BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,1100.0,1100.0,1100.0,0,0.0,0
2024-08-22,1100.0,1100.0,1090.0,405,441750.0,4
2024-08-21,1090.0,1090.0,1090.0,125,136250.0,2
2024-08-18,1090.0,1090.0,1090.0,220,239800.0,4
2024-08-15,1090.0,1090.0,1090.0,50,54500.0,1
2024-08-14,1090.0,1090.0,1090.0,50,54500.0,1
2024-08-13,1090.0,1090.0,1090.0,1035,1128150.0,10
2024-08-12,1090.0,1092.0,1090.0,325,354350.0,3
2024-08-11,1090.0,1090.0,1090.0,0,0.0,0
2024-08-08,1090.0,1090.0,1090.0,50,54500.0,1
2024-08-07,1090.0,1090.0,1090.0,25,27250.0,1
2024-08-06,1085.0,1085.0,1085.0,0,0.0,0
2024-08-05,1085.0,1085.0,1085.0,25,27125.0,1
2024-08-01,1081.0,1081.0,1080.0,800,864300.0,4
2024-07-31,1080.0,1100.0,1080.0,1400,1524510.0,7
2024-07-30,1081.0,1081.0,1080.0,155,167500.0,3
2024-07-29,1080.0,1081.0,1080.0,310,334820.0,5
2024-07-28,1060.0,1060.0,1060.0,300,318000.0,1
2024-07-25,1060.0,1061.0,1060.0,280,296830.0,4
2024-07-24,1080.0,1090.0,1080.0,1350,1458500.0,7
2024-07-23,1060.0,1060.0,1060.0,225,238500.0,2
2024-07-22,1078.0,1078.0,1078.0,0,0.0,0
2024-07-21,1078.0,1100.0,1078.0,185,203280.0,2
2024-07-18,1115.2,1115.2,1115.19,100,111519.9,6
2024-07-17,1137.9,1137.9,1137.9,0,0.0,0
2024-07-16,1137.9,1137.9,1137.9,0,0.0,0
2024-07-15,1137.9,1137.9,1137.9,0,0.0,0
2024-07-14,1137.9,1137.9,1094.1,315,348341.5,6
2024-07-11,1116.0,1138.0,1094.0,357,401535.5,7
2024-07-10,1115.8,1118.0,1115.8,70,78238.0,3
2024-07-09,1138.5,1138.5,1138.5,0,0.0,0
2024-07-08,1138.5,1138.5,1138.5,10,11385.0,1
2024-07-07,1125.0,1125.0,1125.0,50,56250.0,2
2024-07-04,1130.0,1130.0,1130.0,0,0.0,0
2024-07-03,1130.0,1130.0,1130.0,0,0.0,0
2024-07-02,1130.0,1130.0,1130.0,0,0.0,0
2024-07-01,1130.0,1130.0,1095.0,87,96295.0,4
2024-06-30,1091.0,1113.0,1091.0,135,147505.0,3
2024-06-27,1135.0,1135.0,1094.0,842,954525.0,5
2024-06-26,1073.1,1073.1,1073.1,0,0.0,0
2024-06-25,1073.1,1073.1,1073.1,0,0.0,0
2024-06-24,1073.1,1095.0,1073.1,175,189982.5,3
2024-06-23,1115.0,1115.0,1115.0,0,0.0,0
2024-06-20,1115.0,1115.0,1115.0,0,0.0,0
2024-06-19,1115.0,1115.0,1115.0,0,0.0,0
2024-06-18,1115.0,1101.5,1061.0,350,374600.0,8
2024-06-16,1080.0,1080.0,1078.0,130,140240.0,2
2024-06-13,1075.0,1075.0,1075.0,0,0.0,0
2024-06-12,1075.0,1075.0,1075.0,0,0.0,0
2024-06-11,1075.0,1075.0,1075.0,120,129000.0,1
2024-06-10,1076.1,1076.1,1056.0,417,447223.7,3
2024-06-09,1055.0,1055.0,1052.3,50,52682.5,2
2024-06-06,1060.0,1060.0,1050.2,50,52755.0,2
2024-06-05,1050.0,1056.0,1053.1,155,163552.5,6
2024-06-04,1050.1,1050.1,1050.1,0,0.0,0
2024-06-03,1050.1,1050.1,1050.1,0,0.0,0
2024-06-02,1050.1,1055.0,1049.0,170,178777.0,5
2024-05-30,1056.1,1056.1,1056.1,0,0.0,0
2024-05-29,1056.1,1056.1,1056.1,0,0.0,0
2024-05-27,1056.1,1056.1,1056.1,100,105610.0,3
2024-05-26,1055.0,1078.0,1055.0,550,585500.8,14
2024-05-22,1100.0,1100.0,1100.0,0,0.0,0
2024-05-21,1100.0,1100.0,1100.0,20,22000.0,1
2024-05-20,1115.0,1115.0,1115.0,150,167250.0,2
2024-05-19,1122.0,1122.0,1100.0,1429,1602263.0,3
2024-05-16,1080.0,1080.0,1080.0,80,86400.0,3
2024-05-15,1098.5,1098.5,1077.0,110,119755.0,3
2024-05-14,1056.0,1058.0,1056.0,100,105735.0,3
2024-05-13,1075.0,1075.0,1075.0,0,0.0,0
2024-05-12,1075.0,1076.0,1075.0,200,215100.0,2
2024-05-09,1090.0,1100.0,1090.0,394,431213.1,7
2024-05-08,1081.0,1102.8,1060.0,1050,1142787.5,16
2024-05-07,1060.0,1060.0,1060.0,0,0.0,0
2024-05-06,1060.0,1060.0,1060.0,0,0.0,0
2024-05-05,1060.0,1060.0,1060.0,0,0.0,0
2024-05-02,1060.0,1060.0,1060.0,0,0.0,0
2024-04-30,1060.0,1060.0,1060.0,25,26500.0,1
2024-04-29,1081.0,1081.0,1051.0,170,179845.0,6
2024-04-28,1070.0,1080.0,1070.0,295,317150.0,4
2024-04-25,1101.0,1101.0,1101.0,0,0.0,0
2024-04-24,1101.0,1101.0,1101.0,0,0.0,0
2024-04-22,1101.0,1101.0,1085.0,1150,1263419.9,6
2024-04-21,1080.0,1080.0,1080.0,0,0.0,0
2024-04-18,1080.0,1080.0,1059.0,217,232003.0,3
2024-04-16,1055.0,1055.0,1055.0,48,50640.0,1
2024-04-15,1055.0,1055.0,1050.0,372,391360.0,6
2024-04-14,1045.0,1045.0,1037.0,525,548425.0,2
2024-04-10,1037.0,1037.0,1037.0,10,10370.0,1
2024-04-09,1045.0,1045.0,1035.0,355,369943.9,5
2024-04-07,1032.0,1035.0,1032.0,1050,1084500.0,13
2024-04-04,1035.0,1040.0,1030.0,900,931000.0,8
2024-04-03,1040.0,1045.0,1040.0,1025,1070875.0,3
2024-04-02,1038.0,1040.0,1038.0,210,218200.0,4
2024-04-01,1045.0,1045.0,1045.0,700,731500.0,4
2024-03-31,1043.0,1040.0,1034.1,134,138797.0,3
2024-03-28,1035.0,1035.0,1035.0,25,25875.0,1
2024-03-27,1030.0,1030.0,1030.0,100,103000.0,1
2024-03-26,1040.0,1040.0,1040.0,800,832000.0,4
2024-03-25,1040.0,1040.0,1040.0,100,104000.0,2
2024-03-21,1022.0,1022.0,1022.0,100,102200.0,2
2024-03-20,1030.0,1030.0,1030.0,100,103000.0,1
2024-03-19,1031.0,1031.0,1028.0,545,560420.0,5
2024-03-18,1028.0,1028.0,1028.0,20,20560.0,1
2024-03-17,1010.0,1020.0,1010.0,500,506560.0,8
2024-03-14,1020.0,1020.0,1020.0,0,0.0,0
2024-03-13,1020.0,1020.0,1020.0,40,40800.0,1
2024-03-12,1025.0,1025.0,1025.0,1000,1025000.0,3
2024-03-10,1025.0,1025.0,1025.0,200,205000.0,2
2024-03-07,1020.0,1020.0,1020.0,0,0.0,0
2024-03-06,1020.0,1039.0,1019.2,261,266330.0,3
2024-03-05,1040.0,1040.0,1040.0,10,10400.0,1
2024-03-04,1024.0,1024.0,1024.0,0,0.0,0
2024-03-03,1024.0,1024.0,1024.0,0,0.0,0
2024-02-29,1024.0,1024.0,1024.0,0,0.0,0
2024-02-28,1024.0,1024.0,1024.0,65,66560.0,2
2024-02-27,1020.0,1020.0,1020.0,0,0.0,0
2024-02-26,1020.0,1020.0,1020.0,150,153000.0,3
2024-02-25,1018.0,1018.0,1015.0,55,55900.0,3
2024-02-22,1020.0,1020.0,1020.0,30,30600.0,1
2024-02-21,1020.0,1020.0,1020.0,0,0.0,0
2024-02-20,1020.0,1020.0,1010.0,350,354750.0,7
2024-02-18,1019.0,1019.0,1019.0,0,0.0,0
2024-02-15,1019.0,1019.0,1019.0,0,0.0,0
2024-02-14,1019.0,1019.0,1019.0,10,10190.0,1
2024-02-13,1015.0,1015.0,1015.0,0,0.0,0
2024-02-12,1015.0,1015.0,1015.0,0,0.0,0
2024-02-11,1015.0,1015.0,1010.0,160,162265.0,6
2024-02-08,1006.1,1006.1,1005.0,211,212100.1,3
2024-02-07,1005.0,1008.0,1002.0,385,387210.0,9
2024-02-06,1000.0,1000.0,1000.0,100,100000.0,1
2024-02-05,999.0,999.0,999.0,0,0.0,0
2024-02-04,999.0,999.0,999.0,0,0.0,0
2024-02-01,999.0,999.0,999.0,25,24975.0,1
2024-01-31,996.0,1005.0,995.0,180,179700.0,4
2024-01-30,1008.0,1008.0,1008.0,10,10080.0,1
2024-01-29,990.3,990.3,990.3,0,0.0,0
2024-01-28,990.3,991.1,990.2,876,867834.8,8
2024-01-25,999.0,999.0,985.0,254,252451.0,11
2024-01-24,983.0,983.0,976.0,40,39180.0,4
2024-01-23,966.0,972.0,966.0,125,121270.0,3
2024-01-22,990.0,990.0,990.0,0,0.0,0
2024-01-21,990.0,1030.0,990.0,60,60300.0,3
2024-01-18,1046.7,1046.7,1046.7,100,104670.0,3
2024-01-17,1068.0,1068.0,1068.0,0,0.0,0
2024-01-16,1068.0,1068.0,1068.0,0,0.0,0
2024-01-14,1068.0,1068.0,1068.0,0,0.0,0
2024-01-11,1068.0,1080.0,1058.4,70,74400.0,3
2024-01-10,1065.0,1065.0,1065.0,0,0.0,0
2024-01-09,1065.0,1065.0,1065.0,0,0.0,0
2024-01-08,1065.0,1065.0,1050.0,30,31650.0,2
2024-01-07,1049.0,1049.0,1030.0,260,267990.0,4
2024-01-04,1030.0,1030.0,1010.0,75,75960.0,3
2024-01-03,1025.0,1025.0,1025.0,10,10250.0,1
2024-01-02,1005.0,1005.0,1005.0,0,0.0,0
2024-01-01,1005.0,1005.0,1005.0,50,50250.0,1
2023-12-28,1010.1,1010.1,1010.1,10,10101.0,1
2023-12-27,1011.0,1011.0,1011.0,50,50550.0,1
2023-12-24,1011.0,1030.0,1011.0,200,202580.0,2
2023-12-21,1010.0,1010.0,1005.0,335,336730.0,3
2023-12-20,1024.1,1045.0,1013.4,205,209830.0,6
2023-12-19,1034.0,1034.0,1015.0,20844,21052780.0,3
2023-12-18,1030.0,1030.0,1030.0,0,0.0,0
2023-12-17,1030.0,1030.0,1030.0,0,0.0,0
2023-12-14,1030.0,1030.0,1030.0,10,10300.0,1
2023-12-13,1011.0,1011.0,1011.0,10,10110.0,1
2023-12-12,1008.0,1008.0,1008.0,25,25200.0,1
2023-12-11,1027.0,1027.0,1027.0,0,0.0,0
2023-12-10,1027.0,1027.0,1027.0,0,0.0,0
2023-12-07,1027.0,1027.0,1001.0,210,210970.0,4
2023-12-06,1008.0,1008.0,1008.0,360,362880.0,3
2023-12-05,1011.0,1030.0,1011.0,115,117975.0,2
2023-12-04,1010.0,1015.0,1010.0,200,202500.0,4
2023-12-03,1029.9,1029.9,1029.9,0,0.0,0
2023-11-30,1029.9,1029.9,1029.9,0,0.0,0
2023-11-29,1029.9,1029.9,1029.9,0,0.0,0
2023-11-28,1029.9,1029.9,1029.9,0,0.0,0
2023-11-27,1029.9,1029.9,1010.0,60,60799.0,3
2023-11-26,1030.0,1030.0,1030.0,0,0.0,0
2023-11-23,1030.0,1030.0,1030.0,115,118450.0,2
2023-11-22,1019.5,1019.5,980.0,235,238351.0,4
2023-11-21,980.0,980.0,980.0,25,24500.0,1
2023-11-20,980.3,980.3,980.3,0,0.0,0
2023-11-09,980.3,980.3,980.3,0,0.0,0
2023-11-08,980.3,980.3,980.3,0,0.0,0
2023-11-07,980.3,980.3,980.3,0,0.0,0
2023-11-06,980.3,980.3,980.3,0,0.0,0
2023-11-05,980.3,980.3,980.3,0,0.0,0
2023-11-02,980.3,980.3,980.3,0,0.0,0
2023-11-01,980.3,980.3,980.3,0,0.0,0
2023-10-31,980.3,980.3,980.3,0,0.0,0
2023-10-30,980.3,980.3,980.3,0,0.0,0
2023-10-29,980.3,980.3,980.3,0,0.0,0
2023-10-19,980.3,980.3,980.3,0,0.0,0
2023-10-18,980.3,980.3,980.3,0,0.0,0
2023-10-17,980.3,980.3,980.3,0,0.0,0
2023-10-16,980.3,980.3,980.3,0,0.0,0
2023-10-12,980.3,980.3,961.1,30,29025.0,2
2023-10-11,980.0,980.0,980.0,0,0.0,0
2023-10-10,980.0,980.0,980.0,0,0.0,0
2023-10-09,980.0,980.0,980.0,0,0.0,0
2023-10-08,980.0,984.3,966.0,310,300593.0,5
2023-10-05,965.0,965.0,965.0,0,0.0,0
2023-10-04,965.0,965.0,960.0,125,120500.0,2
2023-10-03,965.0,965.0,965.0,0,0.0,0
2023-10-02,965.0,965.0,965.0,65,62725.0,1
2023-10-01,965.0,965.0,965.0,0,0.0,0
2023-09-27,965.0,965.0,964.9,400,385990.0,2
2023-09-26,970.0,970.0,965.0,165,159550.0,3
2023-09-25,964.0,964.0,964.0,50,48200.0,1
2023-09-24,980.0,980.0,950.0,45,43240.0,3
2023-09-21,965.0,965.0,955.0,20,19200.0,2
2023-09-19,950.0,950.0,950.0,0,0.0,0
2023-09-18,950.0,950.0,950.0,0,0.0,0
2023-09-17,950.0,950.0,950.0,0,0.0,0
2023-09-13,950.0,950.0,950.0,0,0.0,0
2023-09-12,950.0,950.0,950.0,150,142500.0,2
2023-09-11,950.0,950.1,941.0,600,569566.5,7
2023-09-10,960.0,960.0,960.0,300,288000.0,2
2023-09-07,960.0,960.0,960.0,100,96000.0,1
2023-09-05,970.0,970.0,970.0,0,0.0,0
2023-09-04,970.0,970.0,970.0,0,0.0,0
2023-09-03,970.0,970.0,970.0,130,126100.0,1
2023-08-30,989.4,989.4,960.0,140,137490.0,3
2023-08-29,975.0,993.4,975.0,400,395520.0,2
2023-08-28,974.0,974.0,955.0,80,77350.0,2
2023-08-27,955.0,955.0,955.0,0,0.0,0
