BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,240.1,240.1,240.1,0,0.0,0
2024-08-22,240.1,240.1,240.1,0,0.0,0
2024-08-21,240.1,240.1,240.1,0,0.0,0
2024-08-18,240.1,240.1,240.1,0,0.0,0
2024-08-15,240.1,240.1,240.1,0,0.0,0
2024-08-14,240.1,240.1,240.1,0,0.0,0
2024-08-13,240.1,240.1,240.1,0,0.0,0
2024-08-12,240.1,240.1,240.1,0,0.0,0
2024-08-11,240.1,240.1,240.1,0,0.0,0
2024-08-08,240.1,240.1,240.1,0,0.0,0
2024-08-07,240.1,240.1,240.1,0,0.0,0
2024-08-06,240.1,240.1,240.1,0,0.0,0
2024-08-05,240.1,240.1,240.1,0,0.0,0
2024-08-01,240.1,240.1,240.1,0,0.0,0
2024-07-31,240.1,240.1,240.1,0,0.0,0
2024-07-30,240.1,240.1,240.1,0,0.0,0
2024-07-29,240.1,240.1,240.1,0,0.0,0
2024-07-28,240.1,240.1,240.1,0,0.0,0
2024-07-25,240.1,240.1,240.1,0,0.0,0
2024-07-24,240.1,240.1,240.1,0,0.0,0
2024-07-23,240.1,240.1,240.1,0,0.0,0
2024-07-22,240.1,240.1,240.1,0,0.0,0
2024-07-21,240.1,240.1,240.1,0,0.0,0
2024-07-18,240.1,240.1,240.1,0,0.0,0
2024-07-17,240.1,240.1,240.1,0,0.0,0
2024-07-16,240.1,240.1,240.1,0,0.0,0
2024-07-15,240.1,240.1,240.1,0,0.0,0
2024-07-14,240.1,240.1,240.1,0,0.0,0
2024-07-11,240.1,240.1,240.1,0,0.0,0
2024-07-10,240.1,240.1,240.1,0,0.0,0
2024-07-09,240.1,240.1,240.1,0,0.0,0
2024-07-08,240.1,240.1,240.1,0,0.0,0
2024-07-07,240.1,240.1,240.1,0,0.0,0
2024-07-04,240.1,240.1,240.1,0,0.0,0
2024-07-03,240.1,240.1,240.1,0,0.0,0
2024-07-02,240.1,240.1,240.1,0,0.0,0
2024-07-01,240.1,240.1,240.1,0,0.0,0
2024-06-30,240.1,240.1,240.1,0,0.0,0
2024-06-27,240.1,240.1,240.1,0,0.0,0
2024-06-26,240.1,240.1,240.1,0,0.0,0
2024-06-25,240.1,240.1,240.1,0,0.0,0
2024-06-24,240.1,240.1,240.1,0,0.0,0
2024-06-23,240.1,240.1,240.1,0,0.0,0
2024-06-20,240.1,240.1,240.1,0,0.0,0
2024-06-19,240.1,240.1,240.1,0,0.0,0
2024-06-18,240.1,240.1,240.1,0,0.0,0
2024-06-16,240.1,240.1,240.1,0,0.0,0
2024-06-13,240.1,240.1,240.1,0,0.0,0
2024-06-12,240.1,240.1,240.1,0,0.0,0
2024-06-11,240.1,240.1,240.1,0,0.0,0
2024-06-10,240.1,240.1,240.1,0,0.0,0
2024-06-09,240.1,240.1,240.1,0,0.0,0
2024-06-06,240.1,240.1,240.1,0,0.0,0
2024-06-05,240.1,240.1,240.1,0,0.0,0
2024-06-04,240.1,240.1,240.1,0,0.0,0
2024-06-03,240.1,240.1,240.1,0,0.0,0
2024-06-02,240.1,240.1,240.1,0,0.0,0
2024-05-30,240.1,240.1,240.1,0,0.0,0
2024-05-29,240.1,240.1,240.1,0,0.0,0
2024-05-27,240.1,240.1,240.1,0,0.0,0
2024-05-26,240.1,240.1,240.1,0,0.0,0
2024-05-22,240.1,240.1,240.1,0,0.0,0
2024-05-21,240.1,240.1,240.1,0,0.0,0
2024-05-20,240.1,240.1,240.1,0,0.0,0
2024-05-19,240.1,240.1,240.1,0,0.0,0
2024-05-16,240.1,240.1,240.1,0,0.0,0
2024-05-15,240.1,240.1,240.1,0,0.0,0
2024-05-14,240.1,240.1,240.1,0,0.0,0
2024-05-13,240.1,240.1,240.1,0,0.0,0
2024-05-12,240.1,240.1,240.1,0,0.0,0
2024-05-09,240.1,240.1,240.1,0,0.0,0
2024-05-08,240.1,240.1,240.1,0,0.0,0
2024-05-07,240.1,240.1,240.1,0,0.0,0
2024-05-06,240.1,240.1,240.1,0,0.0,0
2024-05-05,240.1,240.1,240.1,0,0.0,0
2024-05-02,240.1,240.1,240.1,0,0.0,0
2024-04-30,240.1,240.1,240.1,0,0.0,0
2024-04-29,240.1,240.1,240.1,0,0.0,0
2024-04-28,240.1,240.1,240.1,0,0.0,0
2024-04-25,240.1,240.1,240.1,0,0.0,0
2024-04-24,240.1,240.1,240.1,0,0.0,0
2024-04-22,240.1,240.1,240.1,0,0.0,0
2024-04-21,240.1,240.1,240.1,0,0.0,0
2024-04-18,240.1,240.1,240.1,0,0.0,0
2024-04-16,240.1,240.1,240.1,0,0.0,0
2024-04-15,240.1,240.1,240.1,0,0.0,0
2024-04-14,240.1,240.1,240.1,0,0.0,0
2024-04-10,240.1,240.1,240.1,0,0.0,0
2024-04-09,240.1,240.1,240.1,0,0.0,0
2024-04-07,240.1,240.1,240.1,0,0.0,0
2024-04-04,240.1,240.1,240.1,0,0.0,0
2024-04-03,240.1,240.1,240.1,0,0.0,0
2024-04-02,240.1,240.1,240.1,0,0.0,0
2024-04-01,240.1,240.1,240.1,0,0.0,0
2024-03-31,240.1,240.1,240.1,0,0.0,0
2024-03-28,240.1,240.1,240.1,0,0.0,0
2024-03-27,240.1,240.1,240.1,0,0.0,0
2024-03-26,240.1,240.1,240.1,0,0.0,0
2024-03-25,240.1,240.1,240.1,0,0.0,0
2024-03-21,240.1,240.1,240.1,0,0.0,0
2024-03-20,240.1,240.1,240.1,0,0.0,0
2024-03-19,240.1,240.1,240.1,0,0.0,0
2024-03-18,240.1,240.1,240.1,0,0.0,0
2024-03-17,240.1,240.1,240.1,0,0.0,0
2024-03-14,240.1,240.1,240.1,0,0.0,0
2024-03-13,240.1,240.1,240.1,0,0.0,0
2024-03-12,240.1,240.1,240.1,0,0.0,0
2024-03-10,240.1,240.1,240.1,0,0.0,0
2024-03-07,240.1,240.1,240.1,0,0.0,0
2024-03-06,240.1,240.1,240.1,0,0.0,0
2024-03-05,240.1,240.1,240.1,0,0.0,0
2024-03-04,240.1,240.1,240.1,0,0.0,0
2024-03-03,240.1,240.1,240.1,0,0.0,0
2024-02-29,240.1,240.1,240.1,0,0.0,0
2024-02-28,240.1,240.1,240.1,0,0.0,0
2024-02-27,240.1,240.1,240.1,0,0.0,0
2024-02-26,240.1,240.1,240.1,0,0.0,0
2024-02-25,240.1,240.1,240.1,0,0.0,0
2024-02-22,240.1,240.1,240.1,0,0.0,0
2024-02-21,240.1,240.1,240.1,0,0.0,0
2024-02-20,240.1,240.1,240.1,0,0.0,0
2024-02-18,240.1,240.1,240.1,0,0.0,0
2024-02-15,240.1,240.1,240.1,0,0.0,0
2024-02-14,240.1,240.1,240.1,0,0.0,0
2024-02-13,240.1,240.1,240.1,0,0.0,0
2024-02-12,240.1,240.1,240.1,0,0.0,0
2024-02-11,240.1,240.1,240.1,0,0.0,0
2024-02-08,240.1,240.1,240.1,0,0.0,0
2024-02-07,240.1,240.1,240.1,0,0.0,0
2024-02-06,240.1,240.1,240.1,0,0.0,0
2024-02-05,240.1,240.1,240.1,0,0.0,0
2024-02-04,240.1,240.1,240.1,0,0.0,0
2024-02-01,240.1,240.1,240.1,0,0.0,0
2024-01-31,240.1,240.1,240.1,0,0.0,0
2024-01-30,240.1,240.1,240.1,0,0.0,0
2024-01-29,240.1,240.1,240.1,0,0.0,0
2024-01-28,240.1,240.1,240.1,0,0.0,0
2024-01-25,240.1,240.1,240.1,0,0.0,0
2024-01-24,240.1,240.1,240.1,0,0.0,0
2024-01-23,240.1,240.1,240.1,0,0.0,0
2024-01-22,240.1,240.1,240.1,0,0.0,0
2024-01-21,240.1,240.1,240.1,0,0.0,0
2024-01-18,240.1,240.1,240.1,0,0.0,0
2024-01-17,240.1,240.1,240.1,0,0.0,0
2024-01-16,240.1,240.1,240.1,0,0.0,0
2024-01-14,240.1,240.1,240.1,0,0.0,0
2024-01-11,240.1,240.1,240.1,0,0.0,0
2024-01-10,240.1,240.1,240.1,0,0.0,0
2024-01-09,240.1,240.1,240.1,0,0.0,0
2024-01-08,240.1,240.1,240.1,0,0.0,0
2024-01-07,240.1,240.1,240.1,0,0.0,0
2024-01-04,240.1,240.1,240.1,0,0.0,0
2024-01-03,240.1,240.1,240.1,0,0.0,0
2024-01-02,240.1,240.1,240.1,0,0.0,0
2024-01-01,240.1,240.1,240.1,0,0.0,0
2023-12-28,240.1,240.1,240.1,0,0.0,0
2023-12-27,240.1,240.1,240.1,0,0.0,0
2023-12-24,240.1,240.1,240.1,0,0.0,0
2023-12-21,240.1,240.1,240.1,0,0.0,0
2023-12-20,240.1,240.1,240.1,0,0.0,0
2023-12-19,240.1,240.1,240.1,0,0.0,0
2023-12-18,240.1,240.1,240.1,0,0.0,0
2023-12-17,240.1,240.1,240.1,0,0.0,0
2023-12-14,240.1,240.1,240.1,0,0.0,0
2023-12-13,240.1,240.1,240.1,0,0.0,0
2023-12-12,240.1,240.1,240.1,0,0.0,0
2023-12-11,240.1,240.1,240.1,0,0.0,0
2023-12-10,240.1,240.1,240.1,0,0.0,0
2023-12-07,240.1,240.1,240.1,0,0.0,0
2023-12-06,240.1,240.1,240.1,0,0.0,0
2023-12-05,240.1,240.1,240.1,0,0.0,0
2023-12-04,240.1,240.1,240.1,0,0.0,0
2023-12-03,240.1,240.1,240.1,0,0.0,0
2023-11-30,240.1,240.1,240.1,0,0.0,0
2023-11-29,240.1,240.1,240.1,0,0.0,0
2023-11-28,240.1,240.1,240.1,0,0.0,0
2023-11-27,240.1,240.1,240.1,0,0.0,0
2023-11-26,240.1,240.1,240.1,0,0.0,0
2023-11-23,240.1,240.1,240.1,0,0.0,0
2023-11-22,240.1,240.1,240.1,0,0.0,0
2023-11-21,240.1,240.1,240.1,0,0.0,0
2023-11-20,240.1,240.1,240.1,0,0.0,0
