BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,1170.1,1220.0,1110.0,14424,1.69362029E7,310
2024-08-22,1130.0,1130.0,1080.0,13447,1.48185933E7,324
2024-08-21,1109.6,1144.0,1090.0,13020,1.45356625E7,255
2024-08-18,1145.1,1189.9,1145.0,13029,1.50689391E7,285
2024-08-15,1189.9,1220.0,1185.0,15602,1.86412686E7,346
2024-08-14,1225.0,1243.7,1201.0,4480,5466613.7,167
2024-08-13,1269.0,1345.0,1188.0,21374,2.63449214E7,373
2024-08-12,1250.0,1319.0,1230.0,14944,1.86471375E7,279
2024-08-11,1270.0,1324.0,1231.0,14328,1.79153475E7,311
2024-08-08,1230.2,1295.0,1221.0,10751,1.33196204E7,182
2024-08-07,1294.0,1294.0,1151.5,15271,1.82067287E7,319
2024-08-06,1200.0,1200.0,1098.6,15826,1.8450264E7,341
2024-08-05,1193.0,1224.0,1167.1,18032,2.12831612E7,320
2024-08-01,1224.0,1300.0,1219.0,16822,2.08434609E7,303
2024-07-31,1250.0,1280.0,1245.0,12988,1.63822871E7,250
2024-07-30,1284.0,1309.6,1210.3,19338,2.41631945E7,351
2024-07-29,1247.0,1333.5,1239.7,23308,2.98371948E7,443
2024-07-28,1360.6,1468.0,1310.0,15097,2.04682487E7,280
2024-07-25,1390.0,1413.2,1304.4,26159,3.62231958E7,461
2024-07-24,1442.0,1442.0,1295.0,21169,2.7994027E7,424
2024-07-23,1320.9,1440.0,1301.4,21663,2.88715242E7,385
2024-07-22,1365.0,1370.2,1330.0,16122,2.18039128E7,254
2024-07-21,1396.0,1479.0,1321.0,15203,2.10687912E7,274
2024-07-18,1400.0,1491.0,1308.0,29077,4.04892435E7,380
2024-07-17,1415.0,1417.9,1240.0,27969,3.66922344E7,333
2024-07-16,1289.0,1320.0,1210.0,23615,2.98066932E7,369
2024-07-15,1230.0,1269.9,1201.0,20085,2.46955067E7,283
2024-07-14,1245.0,1260.0,1196.5,20008,2.45461969E7,262
