BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,3422.1,3422.1,3070.1,8062,2.70223144E7,299
2024-08-22,3111.0,3151.8,2980.0,5556,1.70286473E7,107
2024-08-21,3000.0,3110.0,2902.7,4239,1.27321711E7,80
2024-08-18,2922.0,3076.0,2920.0,2078,6233191.6,83
2024-08-15,3016.0,3227.3,2792.0,1598,4878260.8,92
2024-08-14,3102.1,3200.0,3030.1,5410,1.69210765E7,111
2024-08-13,3151.1,3399.0,3073.0,10145,3.2123277E7,99
2024-08-12,3386.0,3386.0,3126.4,5770,1.90469753E7,126
2024-08-11,3190.2,3190.2,2842.0,8053,2.40653794E7,180
2024-08-08,2900.2,3042.0,2872.1,2330,6820176.0,82
2024-08-07,2871.5,2907.0,2825.0,5278,1.52090682E7,83
2024-08-06,2850.0,2958.0,2823.0,9259,2.6860879E7,170
2024-08-05,2880.0,2886.0,2753.0,5124,1.44056998E7,99
2024-08-01,2800.0,2856.0,2730.0,3434,9657616.3,100
2024-07-31,2792.2,3046.7,2715.0,11354,3.21408084E7,227
2024-07-30,2987.0,3000.0,2855.0,2776,8069575.6,96
2024-07-29,2909.0,3076.0,2871.0,3201,9393405.2,93
2024-07-28,3076.0,3077.0,2771.0,5718,1.62903152E7,147
2024-07-25,2856.0,2856.0,2675.0,6115,1.69946335E7,164
2024-07-24,2644.0,2720.0,2616.7,5316,1.41097671E7,82
2024-07-23,2740.0,2765.0,2685.2,4283,1.1569492E7,108
2024-07-22,2740.0,2762.0,2651.0,4811,1.29931943E7,70
2024-07-21,2783.0,2813.0,2740.0,2996,8286464.5,88
2024-07-18,2813.0,2856.0,2727.2,7363,2.07335824E7,151
2024-07-17,2740.0,2740.0,2631.0,1868,5006881.4,72
2024-07-16,2667.0,2725.0,2628.0,956,2556729.5,37
2024-07-15,2725.0,2725.0,2550.0,3368,8729772.0,123
2024-07-14,2621.0,2780.0,2610.0,3277,8646991.0,78
2024-07-11,2680.0,2850.0,2633.0,3410,9137407.4,107
2024-07-10,2780.0,2876.8,2661.0,3771,1.0322551E7,131
2024-07-09,2659.6,2659.6,2450.0,9114,2.37458977E7,365
2024-07-08,2417.9,2450.0,2345.0,4827,1.15246701E7,55
2024-07-07,2414.8,2419.0,2377.0,1473,3540232.4,62
2024-07-04,2400.0,2400.0,2330.0,1659,3951477.1,36
2024-07-03,2375.0,2377.0,2300.3,3110,7330385.8,42
2024-07-02,2380.0,2477.0,2353.0,1039,2473594.1,44
2024-07-01,2381.0,2381.0,2320.0,1367,3213375.1,31
2024-06-30,2350.0,2398.0,2315.0,468,1099768.4,26
2024-06-27,2400.0,2400.0,2307.0,3526,8302536.7,47
2024-06-26,2393.9,2429.0,2359.0,1152,2756808.1,36
2024-06-25,2395.5,2400.0,2339.0,1332,3147885.8,58
2024-06-24,2398.0,2440.0,2353.1,1084,2582426.5,52
2024-06-23,2400.0,2497.0,2382.0,1517,3654557.7,76
2024-06-20,2500.0,2626.5,2490.0,1162,2912353.0,43
2024-06-19,2575.0,2575.0,2420.0,6359,1.59026756E7,209
2024-06-18,2399.0,2439.8,2290.1,4662,1.1026126E7,74
2024-06-16,2313.1,2365.0,2304.1,3162,7442722.3,29
