BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,399.0,415.0,398.2,280315,1.127123985E8,1342
2024-08-22,411.0,420.2,410.3,184187,7.6391676E7,955
2024-08-21,414.9,417.0,406.0,272796,1.121948751E8,1175
2024-08-18,410.0,428.4,407.0,573837,2.39581433E8,2020
2024-08-15,419.0,423.1,400.0,511952,2.136147405E8,1898
2024-08-14,402.1,406.0,396.0,259891,1.042985502E8,1079
2024-08-13,400.0,405.0,393.0,357409,1.426680509E8,1632
2024-08-12,392.0,392.5,383.1,283100,1.101264838E8,1289
2024-08-11,383.9,384.9,376.0,303869,1.157934164E8,1246
2024-08-08,375.1,384.9,375.0,134799,5.09621715E7,753
2024-08-07,378.0,380.4,367.0,181152,6.80404999E7,1073
2024-08-06,372.1,393.0,372.0,338449,1.295319867E8,1869
2024-08-05,386.0,400.0,377.1,622697,2.412061586E8,2352
2024-08-01,369.8,383.0,369.5,302530,1.128900098E8,950
2024-07-31,376.4,384.9,370.1,287817,1.093629432E8,998
2024-07-30,377.0,384.5,362.0,230971,8.5649042E7,1122
2024-07-29,377.0,400.0,374.0,296529,1.137442061E8,1556
2024-07-28,387.2,387.2,359.0,671424,2.555838719E8,1926
2024-07-25,352.0,354.0,337.0,222739,7.75254959E7,894
2024-07-24,341.5,347.0,337.2,194863,6.65415313E7,840
2024-07-23,343.5,350.0,324.0,237532,8.00160715E7,869
2024-07-22,330.0,335.0,323.4,151988,5.00398064E7,784
2024-07-21,335.0,340.0,321.6,304300,1.018081234E8,1072
2024-07-18,331.8,340.0,309.0,213901,6.96573173E7,1007
2024-07-17,314.0,316.2,305.0,147540,4.58152258E7,632
2024-07-16,310.0,320.0,288.8,270358,8.05878863E7,653
2024-07-15,294.0,308.0,290.2,115912,3.42592528E7,522
2024-07-14,298.5,308.0,294.0,113142,3.37355637E7,524
2024-07-11,291.0,291.8,286.0,139159,4.01774602E7,491
2024-07-10,286.5,288.0,282.0,42559,1.21280993E7,299
2024-07-09,285.2,287.5,278.0,274360,7.82617944E7,384
2024-07-08,280.5,286.4,279.4,49865,1.40442407E7,268
2024-07-07,281.1,283.0,271.0,106759,2.95708006E7,379
2024-07-04,272.9,275.0,267.1,86098,2.33402009E7,263
2024-07-03,271.0,274.9,262.0,41796,1.11976878E7,178
2024-07-02,272.0,286.6,268.4,87848,2.39538934E7,407
2024-07-01,267.5,268.0,256.0,62619,1.65967848E7,315
2024-06-30,259.0,262.9,257.3,17310,4482561.4,133
2024-06-27,261.0,265.0,260.0,28727,7479023.3,115
2024-06-26,263.0,264.0,260.0,7484,1963148.1,81
2024-06-25,262.5,267.0,261.0,22605,5952486.8,133
2024-06-24,265.0,286.0,257.1,41247,1.08564807E7,222
2024-06-23,260.0,287.1,258.0,22427,5847220.4,162
2024-06-20,261.0,265.0,258.0,14554,3791134.0,129
2024-06-19,263.0,266.7,261.1,8129,2129622.1,79
2024-06-18,261.5,267.9,261.5,19809,5224418.5,152
2024-06-16,268.0,270.0,261.2,33067,8772513.7,177
2024-06-13,266.0,269.0,264.6,17533,4657802.5,135
2024-06-12,269.0,282.9,259.6,35200,9303155.4,257
2024-06-11,259.0,261.0,254.0,26904,6911805.4,184
2024-06-10,254.0,260.1,249.9,38941,9767907.9,225
2024-06-09,255.0,267.1,255.0,30419,7820682.6,200
2024-06-06,261.9,268.5,260.0,23243,6060520.5,168
2024-06-05,264.0,272.2,262.4,16572,4373892.2,101
2024-06-04,266.9,267.2,258.0,39795,1.04622448E7,166
2024-06-03,262.0,270.3,261.2,26425,6961479.2,154
2024-06-02,265.0,265.6,258.1,36533,9581141.9,226
2024-05-30,261.0,267.3,260.0,30737,8058622.4,252
2024-05-29,270.0,292.9,267.0,55763,1.52622044E7,350
2024-05-27,277.0,280.0,272.0,63787,1.74970284E7,295
2024-05-26,277.5,285.6,276.0,93070,2.60824826E7,546
