BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,235.0,249.0,234.5,201737,4.81348115E7,1015
2024-08-22,246.1,254.0,240.1,206443,5.11135264E7,1163
2024-08-21,248.0,263.0,246.0,206933,5.17367252E7,1098
2024-08-18,257.0,274.9,253.0,301997,7.81704214E7,1514
2024-08-15,268.0,272.0,254.8,465244,1.227761517E8,2117
2024-08-14,258.0,267.0,234.0,411687,1.005990154E8,1797
2024-08-13,246.7,263.1,243.0,387268,9.73893309E7,2164
2024-08-12,239.5,239.5,222.1,336436,7.9550569E7,1582
2024-08-11,217.8,217.8,199.0,566497,1.185646003E8,2103
2024-08-08,198.0,204.0,197.0,161592,3.23264571E7,716
2024-08-07,199.0,201.0,191.5,123645,2.44607673E7,619
2024-08-06,195.4,206.0,195.0,185004,3.6939079E7,898
2024-08-05,204.5,208.0,202.0,135160,2.76706738E7,698
2024-08-01,205.5,212.6,205.0,220330,4.60364598E7,945
2024-07-31,208.5,213.0,198.0,390286,8.01189629E7,1467
2024-07-30,200.0,203.0,197.1,183372,3.66041999E7,686
2024-07-29,201.0,205.0,198.6,172151,3.47020997E7,763
2024-07-28,202.1,214.2,200.0,151895,3.09044935E7,653
2024-07-25,200.0,205.0,199.2,125615,2.53345324E7,638
2024-07-24,202.0,213.9,200.0,257270,5.36296669E7,1272
2024-07-23,207.7,209.1,200.0,198665,4.08491684E7,917
2024-07-22,205.0,212.1,193.0,185359,3.69732493E7,808
2024-07-21,199.0,212.0,195.5,398086,8.08081243E7,1967
2024-07-18,196.9,196.9,182.5,507091,9.77926025E7,2168
2024-07-17,179.0,179.0,166.0,49212,8791427.0,162
2024-07-16,162.8,162.8,150.9,49035,7964195.8,158
2024-07-15,220.0,228.1,218.9,392073,8.78782078E7,1420
2024-07-14,223.7,227.0,218.0,166180,3.69469177E7,731
2024-07-11,219.0,222.0,218.0,121555,2.67125764E7,558
2024-07-10,218.1,224.0,215.0,164085,3.56729885E7,699
2024-07-09,221.0,223.9,219.6,74445,1.64626199E7,410
2024-07-08,224.0,235.0,221.0,141032,3.18369315E7,763
2024-07-07,234.0,250.0,230.0,352443,8.42711658E7,1611
2024-07-04,227.7,227.7,209.0,291775,6.44465276E7,1310
2024-07-03,207.0,209.9,206.0,17290,3586786.8,94
2024-07-02,211.0,221.0,206.2,56772,1.19513408E7,196
2024-07-01,204.4,207.0,202.1,14488,2962824.7,76
2024-06-30,204.5,207.0,203.0,28990,5929235.0,127
2024-06-27,206.9,209.0,205.7,20975,4341139.5,90
2024-06-26,207.0,212.0,206.2,22591,4705216.1,121
2024-06-25,208.0,214.3,207.0,48011,1.01023268E7,178
2024-06-24,210.0,215.9,206.0,46780,9800022.8,187
2024-06-23,210.0,216.2,208.0,55957,1.18785574E7,211
2024-06-20,212.0,219.7,210.4,25168,5345249.7,155
2024-06-19,215.4,217.8,213.0,19936,4280150.8,121
2024-06-18,213.6,220.1,213.6,42372,9173895.0,188
2024-06-16,216.9,225.0,212.0,106780,2.32648228E7,421
2024-06-13,210.0,213.0,206.2,32557,6852304.1,174
2024-06-12,209.0,214.0,208.8,32187,6816266.8,181
2024-06-11,211.0,218.0,203.0,52785,1.10831509E7,230
2024-06-10,202.0,204.9,194.4,21367,4319298.2,147
2024-06-09,198.3,204.0,198.1,32117,6414004.8,131
2024-06-06,202.0,206.8,200.0,17457,3516410.3,86
2024-06-05,202.0,204.9,199.9,25263,5077058.8,103
2024-06-04,203.8,203.9,201.3,22291,4507906.4,114
2024-06-03,204.8,204.8,202.0,16323,3311877.3,80
2024-06-02,204.0,208.0,203.2,13349,2731175.5,106
2024-05-30,203.0,207.0,202.0,15763,3217179.3,108
2024-05-29,204.9,209.6,204.3,16491,3407391.0,95
2024-05-27,205.5,208.9,204.0,10419,2146206.9,74
2024-05-26,206.0,210.0,205.5,17867,3691602.4,86
2024-05-22,208.0,211.0,207.2,21502,4479658.7,99
2024-05-21,209.8,210.0,205.0,24419,5079463.0,144
2024-05-20,208.0,210.0,206.0,19278,4019845.3,113
2024-05-19,207.1,207.1,203.1,21394,4388994.5,113
2024-05-16,203.1,208.9,203.0,16277,3330176.4,102
2024-05-15,207.0,213.0,206.0,11762,2467604.0,90
2024-05-14,210.0,210.1,201.5,23018,4756422.7,113
2024-05-13,202.0,205.0,201.0,25440,5137620.6,95
2024-05-12,204.4,207.9,202.0,15553,3182365.6,90
2024-05-09,203.9,205.0,201.0,10906,2218689.4,78
2024-05-08,203.9,207.0,203.0,11649,2367637.5,69
2024-05-07,205.0,207.0,203.6,14795,3032400.8,72
2024-05-06,205.9,211.0,204.7,13491,2771786.3,81
2024-05-05,208.0,210.0,206.0,8510,1764731.2,70
2024-05-02,211.9,217.2,209.0,15539,3283799.8,93
2024-04-30,214.0,218.0,205.0,24984,5292550.0,137
2024-04-29,207.9,209.0,205.6,14735,3060348.5,88
2024-04-28,208.0,210.0,204.0,12920,2675414.5,97
2024-04-25,207.0,210.0,206.0,19442,4028447.7,104
2024-04-24,210.0,212.0,207.3,10190,2130064.7,79
2024-04-22,211.5,215.0,209.0,12662,2678959.2,102
2024-04-21,212.0,215.0,205.0,21880,4547587.7,147
2024-04-18,206.2,211.0,206.0,13258,2750889.8,126
2024-04-16,210.0,215.0,208.1,22539,4750037.5,119
2024-04-15,211.0,217.2,211.0,17823,3796483.0,103
2024-04-14,214.0,216.9,212.0,13382,2876242.7,102
2024-04-10,215.0,219.3,214.0,37298,8068962.1,192
2024-04-09,216.1,220.3,215.2,20485,4437744.9,157
2024-04-07,216.0,216.9,213.0,14670,3148259.1,111
2024-04-04,213.9,215.0,212.4,20130,4305791.9,132
2024-04-03,214.9,217.0,214.0,15610,3363247.4,104
2024-04-02,215.0,220.7,215.0,14715,3180850.8,98
2024-04-01,218.1,220.2,215.1,23076,5024702.8,128
2024-03-31,218.0,220.4,217.0,17311,3786438.6,119
2024-03-28,216.1,220.0,213.0,22814,4930745.6,136
2024-03-27,215.0,220.0,215.0,23690,5139234.0,128
2024-03-26,219.0,220.7,214.4,28210,6146156.4,154
2024-03-25,216.4,217.0,214.0,16308,3515009.4,129
2024-03-21,217.0,223.5,217.0,34794,7594552.7,214
2024-03-20,221.5,226.5,220.0,12212,2711663.1,112
2024-03-19,222.0,225.0,221.0,34299,7649129.6,154
2024-03-18,222.0,225.0,221.0,19783,4403621.4,130
2024-03-17,222.0,228.0,221.6,32056,7189398.3,173
2024-03-14,227.8,233.2,225.0,25411,5771550.2,204
2024-03-13,228.7,233.0,227.0,24905,5700758.0,173
2024-03-12,229.0,236.0,227.0,44254,1.01729029E7,258
2024-03-10,226.9,230.5,226.0,36373,8271869.0,201
2024-03-07,226.0,234.6,225.0,48807,1.10551861E7,235
2024-03-06,221.5,227.0,217.0,49423,1.09794918E7,245
2024-03-05,221.0,229.5,220.0,100042,2.24426099E7,473
2024-03-04,217.0,232.6,215.7,4000,917947.0,21
2024-03-03,211.5,217.3,210.0,25791,5500557.1,177
2024-02-29,213.1,224.0,213.0,63261,1.36699858E7,274
2024-02-28,220.1,224.0,220.0,37682,8341458.1,160
2024-02-27,224.0,228.0,220.5,25565,5695139.8,119
2024-02-26,224.0,226.3,218.0,50998,1.12573008E7,226
2024-02-25,220.1,229.1,220.1,50505,1.12134184E7,298
2024-02-22,224.7,235.0,223.0,101468,2.30658921E7,426
2024-02-21,231.0,240.0,228.5,53583,1.25079266E7,283
2024-02-20,235.6,245.0,235.5,108024,2.59369119E7,461
2024-02-18,241.9,250.0,235.0,254376,6.19029417E7,1165
2024-02-15,234.0,242.0,228.0,128953,3.04602216E7,523
2024-02-14,229.0,233.9,229.0,48609,1.1195164E7,234
2024-02-13,231.0,241.2,230.3,78328,1.83166897E7,387
2024-02-12,236.5,237.0,232.6,75970,1.78341725E7,353
2024-02-11,232.0,235.0,230.0,71525,1.65907539E7,300
2024-02-08,229.1,233.0,227.5,54208,1.24380004E7,202
2024-02-07,230.6,232.5,228.0,36794,8483904.2,221
2024-02-06,229.0,234.0,226.1,30694,7023154.1,173
2024-02-05,227.0,232.9,225.0,31110,7084058.8,220
2024-02-04,228.9,230.5,221.3,62337,1.41613352E7,283
2024-02-01,225.8,229.5,224.1,62985,1.42649487E7,366
2024-01-31,230.0,243.4,229.0,109879,2.59506948E7,526
2024-01-30,238.7,242.0,233.0,159028,3.79437765E7,587
2024-01-29,232.0,234.5,227.3,102319,2.36869942E7,445
2024-01-28,227.9,231.0,218.0,70666,1.58456837E7,432
2024-01-25,222.0,228.0,218.0,77176,1.71276676E7,425
2024-01-24,223.9,235.0,220.7,147418,3.34038325E7,567
2024-01-23,230.0,245.0,228.4,94970,2.20737211E7,476
2024-01-22,237.0,250.0,226.5,266454,6.40764496E7,1396
2024-01-21,235.0,235.0,216.0,522775,1.21000656E8,1934
2024-01-18,213.7,218.0,204.9,110717,2.35477881E7,503
2024-01-17,210.7,227.0,210.7,143971,3.1334674E7,661
2024-01-16,223.0,229.5,216.5,157557,3.52647717E7,710
2024-01-14,214.0,215.9,203.0,99643,2.10314344E7,412
2024-01-11,201.6,204.0,198.6,63417,1.27469622E7,249
2024-01-10,199.0,205.0,199.0,41716,8368522.4,202
2024-01-09,203.0,210.0,200.1,85620,1.76451688E7,371
2024-01-08,203.0,204.1,198.0,41935,8447194.9,231
2024-01-07,200.1,209.0,200.0,76014,1.54914209E7,388
2024-01-04,199.0,205.0,198.0,82308,1.66458622E7,379
2024-01-03,196.0,197.0,185.6,47961,9218939.9,245
2024-01-02,186.3,197.8,186.3,62033,1.1778469E7,290
2024-01-01,194.0,205.0,192.1,60705,1.20468738E7,326
2023-12-28,200.0,210.0,188.3,79792,1.56201409E7,422
2023-12-27,200.0,215.0,194.5,97115,1.98382519E7,521
2023-12-24,208.0,232.0,206.1,220329,4.71621831E7,961
2023-12-21,229.0,240.0,213.1,69095,1.52836346E7,437
2023-12-20,225.0,234.0,212.7,115186,2.5463655E7,514
2023-12-19,217.0,234.0,203.0,156191,3.36004591E7,639
2023-12-18,215.0,219.0,199.5,146656,3.080426E7,699
2023-12-17,207.2,207.2,178.2,134141,2.62214353E7,632
2023-12-14,189.0,189.0,166.0,84715,1.52955804E7,411
2023-12-13,172.5,177.9,170.0,49034,8512524.2,253
2023-12-12,169.0,173.0,158.9,54665,9057719.0,264
2023-12-11,159.0,168.0,156.0,49800,7974805.9,286
2023-12-10,160.0,162.6,150.9,7960,1263728.0,32
2023-12-07,148.0,151.3,144.2,15460,2281947.4,96
2023-12-06,145.3,149.0,144.2,8272,1201799.3,53
2023-12-05,147.7,148.8,144.5,6442,938031.0,44
2023-12-04,146.0,149.9,145.1,8645,1269086.8,56
2023-12-03,147.0,147.0,145.1,10888,1589441.5,71
2023-11-30,148.7,150.0,146.1,5804,853190.2,50
2023-11-29,150.0,151.6,148.0,1485,222032.0,35
2023-11-28,151.9,152.0,148.0,16326,2443177.3,86
2023-11-27,149.2,156.0,149.2,15336,2330602.9,93
2023-11-26,154.2,154.2,148.9,11424,1739204.0,78
2023-11-23,149.0,149.8,141.3,13302,1961375.9,73
2023-11-22,146.1,149.7,142.0,4516,658946.0,47
2023-11-21,144.0,149.4,144.0,8302,1211925.4,59
2023-11-20,148.1,153.0,148.0,6146,921946.8,51
2023-11-09,148.0,152.4,148.0,4331,643094.0,27
