BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,367.0,388.0,365.0,2278787,8.468173474E8,7514
2024-08-22,367.2,373.3,362.1,899006,3.310632452E8,3276
2024-08-21,363.0,379.9,363.0,1243099,4.578182867E8,4145
2024-08-18,367.0,390.0,360.0,2142354,7.876519337E8,7030
2024-08-15,375.0,380.9,353.2,1734493,6.500995835E8,6387
2024-08-14,346.3,346.3,321.1,2237172,7.559466693E8,7665
2024-08-13,314.9,325.0,308.2,1353662,4.269649211E8,4129
2024-08-12,320.0,325.0,297.9,1627746,5.08647336E8,4913
2024-08-11,297.9,303.4,278.1,1406458,4.095772798E8,4333
2024-08-08,275.9,285.0,268.0,1307915,3.621018148E8,3559
2024-08-07,268.1,269.0,246.0,1010815,2.643257783E8,3354
2024-08-06,250.1,275.0,250.0,1228937,3.219815425E8,3743
2024-08-05,269.7,270.0,250.0,1362971,3.550881443E8,3420
2024-08-01,253.9,261.9,252.0,828114,2.117854848E8,2511
2024-07-31,258.1,264.2,244.0,1477229,3.782302207E8,4091
2024-07-30,241.0,247.0,231.0,819035,1.959250124E8,2216
2024-07-29,238.5,245.0,229.0,1020096,2.439523534E8,2733
2024-07-28,233.9,241.0,225.4,734555,1.698267131E8,1971
2024-07-25,228.5,232.6,222.2,676251,1.526205285E8,2007
2024-07-24,228.1,241.6,225.0,847574,1.967942916E8,2752
2024-07-23,235.9,237.0,220.0,1043530,2.42612709E8,3118
2024-07-22,220.0,224.4,207.8,830170,1.786423364E8,2378
2024-07-21,210.2,215.2,207.0,522204,1.096235559E8,1632
2024-07-18,210.0,217.0,207.8,842492,1.797114765E8,2279
2024-07-17,208.8,214.0,202.0,744724,1.554424095E8,2657
2024-07-16,209.4,210.0,191.0,883819,1.793671269E8,2844
2024-07-15,191.0,199.9,188.2,605211,1.173935742E8,1746
2024-07-14,188.0,190.7,177.0,351899,6.53493171E7,1223
2024-07-11,176.1,176.1,173.0,172243,3.00930437E7,581
2024-07-10,172.3,173.5,170.7,95253,1.63966363E7,326
2024-07-09,171.0,173.8,169.0,106416,1.81430698E7,378
2024-07-08,170.4,173.0,170.1,73436,1.25573785E7,252
2024-07-07,171.0,174.4,169.6,75586,1.29448572E7,367
2024-07-04,171.0,174.0,167.6,106318,1.82144918E7,374
2024-07-03,171.0,174.0,169.7,71127,1.21237941E7,252
2024-07-02,172.5,182.0,169.2,116222,2.00053799E7,536
2024-07-01,165.9,167.0,164.2,108215,1.78676427E7,372
2024-06-30,165.9,169.0,164.0,114014,1.88220453E7,386
2024-06-27,166.1,171.8,165.2,121831,2.03122738E7,293
2024-06-26,168.5,175.0,167.0,86469,1.45831608E7,370
2024-06-25,172.0,172.8,169.2,93043,1.59020345E7,312
2024-06-24,170.3,173.1,167.0,93658,1.58947244E7,340
2024-06-23,169.8,171.0,168.0,83716,1.41853333E7,304
2024-06-20,169.0,174.0,169.0,70965,1.20923954E7,260
2024-06-19,171.5,176.2,170.1,63652,1.08929754E7,205
2024-06-18,172.8,176.0,171.1,92253,1.58649434E7,283
2024-06-16,173.8,176.3,170.1,91609,1.58248811E7,355
2024-06-13,173.0,176.0,172.5,78373,1.36050264E7,304
2024-06-12,176.0,178.7,172.8,90041,1.57728765E7,377
2024-06-11,176.0,178.0,173.0,109567,1.93735374E7,515
2024-06-10,173.8,175.5,165.0,169792,2.92532404E7,658
2024-06-09,167.2,170.0,163.8,84448,1.41500786E7,347
2024-06-06,167.0,170.3,166.0,82468,1.37852395E7,340
2024-06-05,167.0,172.2,166.1,74511,1.24866186E7,266
2024-06-04,168.9,171.3,167.0,90721,1.53042246E7,302
2024-06-03,168.0,172.5,167.4,73043,1.23141413E7,314
2024-06-02,168.0,172.5,168.0,73202,1.24365923E7,334
2024-05-30,169.2,173.5,168.1,83097,1.41364855E7,361
2024-05-29,172.0,178.0,169.6,89604,1.54262672E7,362
2024-05-27,173.0,177.4,171.5,85640,1.48832928E7,356
2024-05-26,174.0,180.5,173.6,92141,1.61302573E7,404
2024-05-22,177.0,180.0,174.0,84333,1.49070329E7,392
2024-05-21,176.6,179.2,173.5,58253,1.02490984E7,288
2024-05-20,175.7,179.0,174.0,120958,2.12786729E7,475
2024-05-19,174.0,176.8,172.0,101527,1.76383745E7,477
2024-05-16,170.2,175.0,170.2,57581,9884965.3,310
2024-05-15,172.6,180.1,171.5,92456,1.61973862E7,427
2024-05-14,176.6,177.0,170.0,99404,1.73264791E7,494
2024-05-13,171.0,172.9,168.0,92681,1.58260708E7,465
2024-05-12,168.0,169.1,164.0,127385,2.12854904E7,434
2024-05-09,163.3,164.7,162.0,45154,7375645.6,256
2024-05-08,162.5,164.9,162.0,57476,9379854.4,228
2024-05-07,162.5,165.9,162.3,50652,8302658.6,256
2024-05-06,163.6,171.0,163.6,110280,1.81954896E7,412
2024-05-05,167.7,171.0,165.0,83736,1.39809765E7,360
2024-05-02,169.0,175.4,168.9,77730,1.3267456E7,357
2024-04-30,172.0,174.0,166.8,90284,1.54728826E7,401
2024-04-29,169.7,174.4,168.7,43152,7341804.0,231
2024-04-28,171.0,171.0,168.7,72673,1.23431475E7,269
2024-04-25,169.5,172.9,169.0,44787,7601732.6,230
2024-04-24,171.6,172.0,168.8,40255,6866317.6,209
2024-04-22,170.8,177.0,170.1,43640,7510542.6,213
2024-04-21,174.7,174.7,167.0,71354,1.20902366E7,306
2024-04-18,167.9,173.0,166.6,57297,9668646.6,354
2024-04-16,171.3,173.0,170.0,65358,1.11967177E7,329
2024-04-15,172.2,176.0,172.1,42180,7315413.6,246
2024-04-14,173.9,178.0,173.5,53425,9348187.0,294
2024-04-10,176.0,179.4,176.0,80088,1.41649406E7,353
2024-04-09,176.9,177.2,174.0,100318,1.76849077E7,441
2024-04-07,174.1,175.0,172.5,79571,1.38269085E7,421
2024-04-04,173.0,177.0,172.3,126042,2.18291004E7,462
2024-04-03,175.8,176.0,173.8,80963,1.41397918E7,350
2024-04-02,175.9,178.0,173.9,77640,1.35483771E7,358
2024-04-01,174.6,177.0,174.5,96679,1.69479653E7,431
2024-03-31,175.5,180.0,175.5,74235,1.31152566E7,410
2024-03-28,178.5,183.0,177.9,82530,1.47384035E7,387
2024-03-27,179.5,182.5,179.0,76228,1.37923361E7,316
2024-03-26,179.0,180.5,178.0,70877,1.27080052E7,379
2024-03-25,178.6,183.0,178.6,63637,1.14244265E7,312
2024-03-21,181.0,185.0,180.1,64761,1.17272015E7,311
2024-03-20,182.0,187.6,181.0,134701,2.45741511E7,544
2024-03-19,184.0,188.2,183.7,68803,1.27806234E7,366
2024-03-18,186.5,190.6,183.5,44837,8344899.6,285
2024-03-17,186.9,192.2,186.0,112547,2.12569128E7,409
2024-03-14,188.3,194.9,188.0,84425,1.60115529E7,400
2024-03-13,191.1,195.0,189.0,141916,2.73391894E7,547
2024-03-12,191.5,192.5,188.8,109798,2.08939211E7,572
2024-03-10,188.0,193.0,186.0,76086,1.43541165E7,407
2024-03-07,187.0,193.0,186.3,103854,1.96149862E7,414
2024-03-06,187.5,191.0,182.0,126770,2.37471188E7,561
2024-03-05,185.9,197.0,183.0,246540,4.66449607E7,1043
2024-03-04,193.3,193.3,179.0,23832,4583978.6,75
2024-03-03,175.8,177.0,174.0,103413,1.81004673E7,493
2024-02-29,176.6,181.5,175.0,183421,3.2457662E7,571
2024-02-28,179.1,184.0,178.7,73474,1.32689413E7,355
2024-02-27,181.0,184.0,180.0,145129,2.63643541E7,496
2024-02-26,180.9,183.0,177.0,107236,1.93093827E7,542
2024-02-25,178.5,184.0,175.0,168121,3.02731097E7,645
2024-02-22,182.7,190.0,182.2,136028,2.51067752E7,722
2024-02-21,186.3,191.0,186.0,107413,2.01661749E7,542
2024-02-20,188.3,192.0,188.0,140170,2.65635511E7,700
2024-02-18,190.0,197.0,189.0,182646,3.49067823E7,875
2024-02-15,195.2,198.0,194.1,167268,3.27317306E7,688
2024-02-14,196.3,199.9,194.5,135428,2.65760145E7,599
2024-02-13,197.0,203.9,197.0,249134,4.96919248E7,866
2024-02-12,202.0,203.0,198.6,164294,3.30298179E7,595
2024-02-11,198.5,205.0,198.1,191351,3.83748726E7,721
2024-02-08,201.0,203.4,199.5,386327,7.75362068E7,1075
2024-02-07,203.4,206.0,201.0,134579,2.73171444E7,534
2024-02-06,202.0,204.5,200.0,176832,3.57854091E7,643
2024-02-05,199.0,202.8,197.5,136985,2.7359103E7,546
2024-02-04,197.5,202.3,195.1,185914,3.70200588E7,790
2024-02-01,198.7,205.0,198.1,372910,7.47327585E7,1340
2024-01-31,203.9,211.0,203.5,324592,6.72764028E7,1207
2024-01-30,207.0,211.0,206.0,430346,8.95567025E7,1156
2024-01-29,207.0,214.0,206.0,469326,9.78841482E7,1277
2024-01-28,208.7,213.1,205.8,251123,5.24093861E7,935
2024-01-25,209.0,212.9,205.0,435590,9.08290099E7,1627
2024-01-24,211.0,222.3,209.8,507284,1.084089134E8,1988
2024-01-23,218.0,221.9,211.0,826821,1.810180044E8,2865
2024-01-22,210.5,215.0,204.0,1148957,2.427321163E8,3042
2024-01-21,205.0,212.5,198.0,1009989,2.082300869E8,2743
2024-01-18,198.0,202.0,189.9,480594,9.45151079E7,1444
2024-01-17,193.5,204.9,193.4,589730,1.174233715E8,2103
2024-01-16,200.9,205.0,191.0,821079,1.646675283E8,2583
2024-01-14,194.0,194.5,188.0,402898,7.70873636E7,1351
2024-01-11,185.0,187.0,181.0,253584,4.67417439E7,737
2024-01-10,182.9,189.5,182.0,143020,2.63639719E7,689
2024-01-09,186.0,192.0,182.8,343662,6.41403167E7,895
2024-01-08,186.5,191.0,183.2,195187,3.61369363E7,582
2024-01-07,184.5,192.1,184.3,329000,6.19545431E7,1117
2024-01-04,183.0,189.2,182.0,189419,3.50461769E7,751
2024-01-03,182.0,182.1,174.5,228192,4.09561738E7,784
2024-01-02,174.5,178.0,173.5,249035,4.36552425E7,595
2024-01-01,177.0,180.5,175.6,139801,2.4893215E7,631
2023-12-28,177.0,182.0,176.0,271910,4.85416441E7,825
2023-12-27,180.0,192.0,180.0,200208,3.66171758E7,783
2023-12-24,185.0,191.7,184.0,306649,5.76153515E7,1036
2023-12-21,187.5,195.5,187.5,292204,5.57536491E7,1123
2023-12-20,192.3,200.0,190.0,400817,7.81360424E7,1287
2023-12-19,192.1,195.8,188.2,207336,3.97865579E7,876
