BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,292.1,311.0,292.1,620185,1.852142975E8,2423
2024-08-22,307.2,313.0,296.2,925923,2.831829125E8,2963
2024-08-21,301.0,310.0,298.1,732256,2.210469728E8,2478
2024-08-18,305.0,318.0,297.0,1213406,3.714479455E8,3982
2024-08-15,318.0,326.0,300.1,1297606,4.058905408E8,3922
2024-08-14,301.0,314.0,269.3,1395526,3.963207621E8,4348
2024-08-13,286.0,293.4,272.5,904989,2.558906751E8,3309
2024-08-12,287.7,287.7,263.0,1084050,2.998947696E8,3858
2024-08-11,261.6,261.6,239.0,1039564,2.658295784E8,3311
2024-08-08,237.9,241.0,226.0,970203,2.289675023E8,2957
2024-08-07,225.9,226.0,211.0,487458,1.073770042E8,1648
2024-08-06,215.0,233.9,212.0,612071,1.358933265E8,2130
2024-08-05,229.5,232.5,223.0,574408,1.309552846E8,1739
2024-08-01,224.9,232.0,221.6,459341,1.039277256E8,1593
2024-07-31,226.0,232.0,219.0,834153,1.887899542E8,2634
2024-07-30,218.7,220.0,210.0,359881,7.75858408E7,1318
2024-07-29,217.0,225.0,214.1,476003,1.045016771E8,1709
2024-07-28,217.0,222.0,211.0,373655,8.04276794E7,1399
2024-07-25,211.0,214.9,206.3,443854,9.35375696E7,1314
2024-07-24,210.0,225.0,206.8,543451,1.160287988E8,1898
2024-07-23,218.0,218.0,206.0,516312,1.111318208E8,1838
2024-07-22,208.8,213.0,196.2,542877,1.108362907E8,1797
2024-07-21,201.0,204.9,197.0,323483,6.48690121E7,1158
2024-07-18,201.0,206.9,197.0,441953,8.94394246E7,1500
2024-07-17,200.1,208.9,196.0,477248,9.62726417E7,1839
2024-07-16,202.5,202.8,184.0,436992,8.50170752E7,1588
2024-07-15,185.0,193.0,182.3,301917,5.6088106E7,1158
2024-07-14,181.4,181.4,170.0,283623,5.03723224E7,1083
2024-07-11,168.0,168.0,164.0,154068,2.55623841E7,525
2024-07-10,164.0,166.4,163.0,72410,1.18676493E7,332
2024-07-09,164.0,165.0,161.9,60264,9838383.2,272
2024-07-08,162.5,165.8,162.5,43826,7163424.3,217
2024-07-07,163.9,166.0,159.8,60146,9840913.3,311
2024-07-04,163.0,165.1,162.0,90141,1.47163044E7,331
2024-07-03,164.0,165.0,161.8,40326,6556413.7,170
2024-07-02,165.0,171.3,162.1,86843,1.4351962E7,355
2024-07-01,159.0,160.9,157.2,48176,7640846.3,234
2024-06-30,159.0,161.5,158.0,42547,6755418.0,216
2024-06-27,159.9,162.0,159.8,61738,9896247.4,253
2024-06-26,161.1,165.0,161.1,36698,5962239.1,165
2024-06-25,163.0,164.8,161.3,42742,6966704.0,218
2024-06-24,162.9,164.0,161.0,55002,8921103.4,208
2024-06-23,162.5,164.5,161.8,53584,8725924.4,233
2024-06-20,163.5,166.4,163.0,50741,8299250.9,218
2024-06-19,164.0,166.2,163.0,34938,5738272.2,166
2024-06-18,164.9,167.5,164.0,49994,8244381.6,253
2024-06-16,166.0,169.0,165.0,68828,1.15043174E7,282
2024-06-13,167.0,168.0,165.6,43721,7272515.4,232
2024-06-12,168.0,173.0,167.1,64788,1.10101874E7,251
2024-06-11,169.8,172.0,164.3,104771,1.77458596E7,361
2024-06-10,165.7,166.5,161.0,57812,9530702.7,243
2024-06-09,162.1,164.1,161.1,53173,8622192.0,239
2024-06-06,161.7,164.9,161.2,48137,7803320.8,262
2024-06-05,163.0,166.3,163.0,30902,5050821.7,146
2024-06-04,163.1,167.9,163.1,37998,6256955.2,187
2024-06-03,164.0,168.5,163.1,52437,8669717.8,234
2024-06-02,166.1,169.3,161.0,51938,8621140.4,282
2024-05-30,166.9,170.0,165.8,39421,6600151.7,206
2024-05-29,168.9,175.4,168.2,46984,8032636.1,214
2024-05-27,172.0,174.0,170.6,49409,8511081.9,234
2024-05-26,172.4,173.6,169.0,89043,1.5226778E7,335
2024-05-22,170.2,173.7,169.9,97277,1.66451955E7,325
2024-05-21,170.6,172.5,167.7,62829,1.07338329E7,259
2024-05-20,171.0,173.0,169.2,67419,1.15346173E7,266
2024-05-19,170.0,170.0,163.0,88951,1.49475362E7,293
2024-05-16,165.1,168.3,164.1,31149,5169962.7,171
2024-05-15,167.1,172.0,167.0,42105,7150956.1,246
2024-05-14,171.0,172.0,163.0,98942,1.64755718E7,368
2024-05-13,163.4,165.0,162.6,30761,5038943.8,148
2024-05-12,162.6,165.2,162.0,58369,9542514.6,229
2024-05-09,162.9,165.0,161.0,37196,6056647.9,201
