BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,327.0,349.0,325.0,1112492,3.716887672E8,3476
2024-08-22,340.0,345.0,324.2,1410886,4.747088845E8,4173
2024-08-21,322.2,336.0,318.0,904089,2.923731061E8,2708
2024-08-18,319.0,336.1,316.0,1504650,4.88819856E8,3861
2024-08-15,334.0,340.5,317.6,1448716,4.820839828E8,3873
2024-08-14,312.0,317.0,286.0,1347043,4.020938696E8,3741
2024-08-13,295.0,305.0,286.0,1415664,4.200125985E8,4124
2024-08-12,302.8,305.4,281.3,1404188,4.128555748E8,3988
2024-08-11,277.7,277.7,255.0,1392573,3.754849361E8,3652
2024-08-08,252.5,258.4,242.0,1385366,3.495021137E8,3886
2024-08-07,240.0,243.0,221.1,941058,2.192976964E8,2321
2024-08-06,225.0,243.9,222.0,969491,2.251483546E8,2656
2024-08-05,234.8,243.0,223.0,721783,1.676452883E8,1928
2024-08-01,230.0,237.9,228.0,771075,1.794639526E8,2214
2024-07-31,233.9,238.9,223.0,1285670,2.963332312E8,3383
2024-07-30,220.0,222.9,212.0,660235,1.446079947E8,1762
2024-07-29,216.5,225.0,214.0,730545,1.609610906E8,1923
2024-07-28,216.9,226.0,212.0,571248,1.232279278E8,1486
2024-07-25,212.5,218.0,210.0,643350,1.37156788E8,1750
2024-07-24,215.6,226.0,214.7,854267,1.869314381E8,2317
2024-07-23,221.3,221.9,212.0,701968,1.538902475E8,2070
2024-07-22,212.0,215.0,199.0,1154042,2.385391492E8,2481
2024-07-21,201.2,205.0,197.0,645405,1.29571419E8,1816
2024-07-18,201.0,207.0,198.5,687648,1.39779904E8,2032
2024-07-17,203.0,208.0,195.6,962887,1.944441364E8,3155
2024-07-16,195.6,195.6,178.8,881530,1.675886225E8,2566
2024-07-15,177.9,185.0,175.0,703434,1.269702914E8,2193
2024-07-14,173.9,174.0,162.1,526265,8.88202079E7,1794
2024-07-11,159.0,159.0,156.5,150827,2.38182871E7,500
2024-07-10,156.0,157.0,154.0,109046,1.69908826E7,370
2024-07-09,154.8,157.2,153.1,95155,1.46853977E7,310
2024-07-08,155.0,159.0,154.0,124685,1.9374906E7,365
2024-07-07,156.0,157.9,153.5,178352,2.76596786E7,470
2024-07-04,155.0,157.0,153.0,150705,2.33364639E7,446
2024-07-03,154.0,157.1,151.0,91974,1.40696562E7,302
2024-07-02,155.1,164.0,153.0,151276,2.35290218E7,488
2024-07-01,150.0,152.0,149.0,114384,1.71531394E7,289
2024-06-30,149.1,152.0,149.0,140140,2.09989315E7,424
2024-06-27,151.0,152.0,150.8,102231,1.54613517E7,357
2024-06-26,152.0,157.0,151.4,110592,1.68498653E7,406
2024-06-25,155.0,156.0,153.0,112700,1.73150459E7,326
2024-06-24,153.2,156.0,151.1,100452,1.54272932E7,357
2024-06-23,153.3,155.8,153.0,119668,1.84116584E7,364
2024-06-20,154.9,157.0,154.1,77673,1.20463274E7,336
2024-06-19,156.0,157.5,155.3,77091,1.20228504E7,256
2024-06-18,156.0,161.0,156.0,118322,1.86586372E7,375
2024-06-16,157.9,161.5,155.7,245032,3.89156243E7,543
2024-06-13,156.3,159.9,155.8,119455,1.880051E7,381
2024-06-12,158.8,162.4,157.0,119655,1.90161093E7,468
2024-06-11,159.3,163.0,156.4,213532,3.42496352E7,713
2024-06-10,155.0,157.9,152.0,239741,3.71734533E7,636
2024-06-09,151.5,156.0,151.3,122009,1.86054564E7,531
2024-06-06,153.7,157.6,153.4,107690,1.66190841E7,421
2024-06-05,154.6,157.0,154.1,84985,1.32084844E7,373
2024-06-04,155.8,157.9,155.0,92664,1.44387065E7,402
2024-06-03,156.0,160.1,155.0,133983,2.09198284E7,448
2024-06-02,157.0,160.0,156.4,177319,2.79602021E7,526
2024-05-30,158.9,163.0,158.0,172008,2.74709997E7,534
2024-05-29,161.3,166.0,161.1,200870,3.27752373E7,607
2024-05-27,162.6,167.0,162.1,191749,3.1276705E7,580
2024-05-26,164.8,166.0,161.1,272417,4.436904E7,796
2024-05-22,163.8,166.0,161.2,323763,5.30711545E7,942
2024-05-21,161.0,163.0,150.0,571540,9.17867187E7,1561
2024-05-20,164.0,166.4,162.0,74008,1.22075445E7,320
2024-05-19,162.1,164.0,154.0,50807,8195061.1,227
2024-05-16,162.0,168.3,161.7,16093,2626050.8,132
2024-05-15,165.0,171.0,164.0,36594,6103579.0,238
2024-05-14,165.9,167.0,158.0,40183,6494293.1,214
2024-05-13,158.0,160.0,156.1,39301,6226427.3,192
2024-05-12,155.9,160.0,153.9,40482,6305438.9,222
2024-05-09,157.0,162.8,156.0,49152,7746254.1,234
2024-05-08,159.7,162.5,157.0,23064,3659894.75,173
2024-05-07,160.3,163.0,160.0,20721,3335883.5,127
2024-05-06,160.0,165.0,160.0,26471,4263080.1,159
2024-05-05,162.0,168.4,161.7,27925,4556506.55,172
2024-05-02,166.0,168.2,164.0,23857,3948809.3,151
2024-04-30,165.8,166.2,161.0,54496,8950354.4,217
2024-04-29,163.0,165.4,161.0,22842,3705760.8,153
2024-04-28,163.0,164.4,162.0,24529,4004287.9,154
2024-04-25,162.0,166.0,162.0,26991,4413858.9,170
2024-04-24,163.2,168.0,163.2,13608,2239124.9,101
