BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,717.0,750.0,714.0,42105,3.08827568E7,578
2024-08-22,706.0,711.5,671.0,25531,1.77660347E7,418
2024-08-21,674.0,711.0,671.0,12569,8559104.0,260
2024-08-18,684.0,710.0,684.0,16806,1.16961264E7,318
2024-08-15,702.4,730.0,701.0,18268,1.30444597E7,355
2024-08-14,730.0,741.9,715.0,25776,1.87735146E7,366
2024-08-13,713.5,725.0,695.0,20301,1.45299768E7,357
2024-08-12,705.0,735.0,700.0,26675,1.93301958E7,419
2024-08-11,720.0,733.0,682.0,38058,2.6942584E7,587
2024-08-08,690.0,732.0,682.2,21453,1.50808359E7,295
2024-08-07,717.0,735.0,688.0,12872,9146750.6,310
2024-08-06,692.5,740.0,691.0,27938,1.98666879E7,430
2024-08-05,727.0,758.9,720.0,30992,2.2929088E7,431
2024-08-01,733.1,773.2,730.1,41975,3.13495366E7,518
2024-07-31,760.0,823.0,713.0,73475,5.55703147E7,783
2024-07-30,792.0,904.0,792.0,104377,8.32440837E7,877
2024-07-29,880.0,880.0,748.9,62183,4.77564929E7,662
2024-07-28,832.0,832.0,710.0,55071,4.18128629E7,510
2024-07-25,758.8,758.8,703.6,43235,3.20090372E7,426
2024-07-24,689.9,689.9,627.2,33768,2.28314288E7,322
2024-07-23,627.2,648.0,585.0,58146,3.53662666E7,489
2024-07-22,590.0,595.0,560.1,42882,2.48416041E7,296
2024-07-21,580.0,590.0,545.2,34695,1.95885268E7,357
2024-07-18,552.0,563.0,548.0,25748,1.42977729E7,275
2024-07-17,547.0,559.9,536.0,30273,1.65409914E7,241
2024-07-16,541.0,562.0,521.0,32072,1.73424773E7,231
2024-07-15,520.3,537.0,520.0,13490,7095817.8,143
2024-07-14,533.0,551.0,528.0,19487,1.04022243E7,147
2024-07-11,530.0,540.0,524.0,35295,1.86985064E7,210
2024-07-10,524.0,530.9,518.0,9369,4882649.5,97
2024-07-09,521.3,527.0,517.0,9636,4995300.6,104
2024-07-08,517.0,535.0,516.5,25752,1.35270122E7,219
2024-07-07,517.0,536.0,515.0,8760,4552393.5,126
2024-07-04,516.6,534.1,515.0,13952,7258404.5,175
2024-07-03,514.5,520.0,500.8,9946,5089652.2,136
2024-07-02,511.0,550.0,509.0,11158,5743139.0,96
2024-07-01,510.0,513.0,493.0,6102,3089026.5,80
2024-06-30,503.0,524.0,501.1,10515,5323725.0,88
2024-06-27,514.0,523.0,482.6,14016,7166770.6,124
2024-06-26,513.1,538.5,513.0,13040,6789273.6,129
2024-06-25,528.0,536.0,509.2,32349,1.6964989E7,242
2024-06-24,511.2,518.0,508.0,19283,9881576.1,190
2024-06-23,508.0,525.3,500.0,19648,9983068.1,191
2024-06-20,500.0,518.0,497.0,34334,1.73640218E7,179
2024-06-19,508.0,519.0,497.9,20609,1.03443839E7,175
2024-06-18,500.0,508.9,492.0,16996,8481044.7,139
2024-06-16,497.0,534.6,497.0,17820,8954589.5,143
2024-06-13,504.0,519.9,490.9,25468,1.27436297E7,181
2024-06-12,506.0,540.0,496.9,35547,1.80479172E7,226
2024-06-11,520.0,547.0,516.0,22918,1.20801712E7,218
2024-06-10,520.0,529.3,485.1,29179,1.50133221E7,317
2024-06-09,493.0,500.0,473.0,37564,1.83695936E7,262
2024-06-06,468.0,487.0,464.5,6083,2869035.0,97
2024-06-05,473.0,490.6,464.0,7299,3423089.5,72
2024-06-04,472.0,499.8,472.0,12601,6125980.8,115
2024-06-03,486.1,509.5,480.3,18536,9090386.4,169
2024-06-02,490.0,490.5,453.0,29227,1.40387537E7,303
2024-05-30,462.0,471.9,446.2,11732,5396989.0,142
2024-05-29,455.1,478.3,451.1,6536,3056307.5,93
2024-05-27,469.0,480.0,455.0,8651,3997918.3,102
2024-05-26,462.0,488.0,455.0,9347,4325843.1,114
2024-05-22,479.0,501.6,453.0,26535,1.25795686E7,246
2024-05-21,456.0,463.0,431.4,29425,1.33586536E7,251
2024-05-20,444.0,451.0,432.1,12588,5540386.7,136
2024-05-19,436.9,443.0,426.1,6724,2909350.3,105
2024-05-16,429.2,451.0,428.0,16194,6988614.4,122
2024-05-15,443.0,464.0,433.0,11701,5148020.0,86
2024-05-14,448.7,449.6,428.0,12310,5432246.0,118
2024-05-13,435.9,444.0,427.0,8450,3639216.8,77
2024-05-12,439.8,441.6,428.8,1530,665622.0,46
2024-05-09,436.0,440.0,427.3,1362,587232.0,35
2024-05-08,429.2,446.0,429.2,3337,1446544.5,35
2024-05-07,439.0,445.0,431.0,1987,866326.6,54
2024-05-06,439.8,448.9,432.0,2170,956941.0,50
2024-05-05,441.0,452.7,428.1,7743,3360172.0,94
2024-05-02,435.2,474.3,435.2,3781,1674186.0,73
2024-04-30,447.0,468.0,432.0,9756,4340752.6,85
2024-04-29,436.0,454.0,435.0,5658,2482733.0,63
2024-04-28,446.0,463.0,438.0,2815,1243058.5,50
2024-04-25,446.0,454.8,439.0,7599,3400991.9,99
2024-04-24,445.9,455.0,438.0,6374,2831498.0,88
2024-04-22,436.0,458.0,436.0,11391,5001583.0,82
2024-04-21,450.0,450.0,432.1,7302,3221701.0,64
2024-04-18,436.0,460.5,426.2,3514,1527302.8,60
2024-04-16,443.0,449.7,437.0,4206,1851043.0,50
2024-04-15,442.2,468.1,441.0,3452,1548847.9,93
2024-04-14,449.8,469.2,441.0,4887,2183103.3,104
2024-04-10,451.0,462.8,440.0,12462,5601402.0,133
2024-04-09,447.0,450.0,432.0,13451,5936064.2,115
2024-04-07,440.0,443.7,432.0,3740,1634007.5,93
2024-04-04,437.0,448.0,433.0,11440,4969751.2,102
2024-04-03,441.9,466.0,433.0,3281,1446667.0,71
2024-04-02,441.0,448.9,435.1,7384,3247074.6,93
2024-04-01,441.0,451.0,439.0,5336,2357519.5,81
2024-03-31,447.0,463.9,441.5,17247,7698869.9,147
2024-03-28,455.0,464.0,444.1,7365,3332336.5,138
2024-03-27,455.1,460.0,431.1,40280,1.81411017E7,274
2024-03-26,440.0,453.0,420.0,3611,1581800.0,91
2024-03-25,427.0,442.9,427.0,2071,891459.0,54
2024-03-21,437.0,448.5,430.3,6101,2646185.6,80
2024-03-20,439.9,453.9,433.0,4612,2020775.5,84
2024-03-19,436.3,470.1,436.0,9662,4284581.0,85
2024-03-18,446.9,447.0,429.0,5599,2470595.6,103
2024-03-17,435.0,452.0,410.1,2850,1247057.8,73
2024-03-14,442.5,474.0,440.4,4910,2187220.6,84
2024-03-13,447.1,455.9,446.0,1926,866555.0,69
2024-03-12,455.9,468.0,446.0,9758,4440977.0,133
2024-03-10,448.0,453.0,439.5,9620,4310684.0,141
2024-03-07,439.0,461.0,426.0,8151,3581336.9,101
2024-03-06,431.2,445.0,422.0,7680,3316508.5,99
2024-03-05,432.5,472.6,429.0,11046,4860581.5,132
2024-03-04,463.4,463.4,429.7,130,57560.0,9
2024-03-03,421.3,434.3,416.1,7650,3252609.0,72
2024-02-29,429.0,437.0,420.3,21480,9149244.6,132
2024-02-28,430.0,435.5,426.3,16304,7010890.6,124
2024-02-27,427.0,450.0,422.2,3699,1593245.0,76
2024-02-26,435.0,439.0,415.0,6400,2715898.0,117
2024-02-25,429.0,435.0,416.1,15197,6491960.5,177
2024-02-22,436.6,460.0,435.0,13028,5739064.6,205
2024-02-21,455.0,466.0,443.2,4752,2158759.7,148
2024-02-20,450.0,460.0,446.0,9796,4443536.0,135
2024-02-18,457.5,467.5,450.0,11769,5381031.3,182
2024-02-15,467.1,474.0,457.4,13797,6459486.0,193
2024-02-14,465.9,476.0,458.0,25507,1.18378358E7,207
2024-02-13,477.0,500.0,465.9,50699,2.41936528E7,310
2024-02-12,481.0,486.4,460.1,10270,4846602.0,176
2024-02-11,474.0,497.7,461.2,30748,1.45050694E7,299
2024-02-08,488.0,504.0,460.0,34192,1.6606887E7,466
2024-02-07,466.7,466.7,419.2,50136,2.27417808E7,515
2024-02-06,424.3,426.0,411.2,2756,1153790.0,124
2024-02-05,418.0,422.9,410.0,1825,757700.1,95
2024-02-04,415.0,421.2,402.1,5925,2438103.9,183
2024-02-01,409.0,425.0,408.0,15705,6556489.5,226
2024-01-31,425.3,454.0,424.9,12349,5398959.2,255
2024-01-30,436.1,445.0,428.0,18099,7934155.2,280
2024-01-29,434.0,444.0,427.3,11074,4825300.0,199
2024-01-28,438.0,438.0,406.0,30255,1.2813677E7,375
2024-01-25,410.1,419.7,396.2,13461,5558060.9,251
2024-01-24,400.0,414.1,395.1,9440,3815434.0,180
2024-01-23,394.0,407.0,392.3,9618,3815375.0,147
2024-01-22,398.0,418.7,396.2,14002,5692629.5,190
2024-01-21,416.5,430.0,412.6,14580,6116294.4,255
2024-01-18,422.0,440.0,412.0,10065,4229475.1,250
2024-01-17,420.0,450.0,417.0,26560,1.14719449E7,363
2024-01-16,446.0,460.9,443.0,17441,7834980.2,277
2024-01-14,452.0,459.0,422.1,22533,9968273.2,287
2024-01-11,422.1,433.0,402.1,20515,8609441.0,282
2024-01-10,409.0,417.0,392.0,21294,8759601.7,266
2024-01-09,400.0,424.0,398.0,26096,1.0718721E7,277
2024-01-08,405.9,406.0,388.2,10028,4015053.0,223
2024-01-07,392.0,400.7,388.0,15793,6222002.0,229
2024-01-04,392.9,408.0,383.0,22360,8807414.4,292
2024-01-03,382.0,386.0,364.7,5420,2035366.5,115
2024-01-02,372.0,380.0,367.9,6888,2568526.1,135
2024-01-01,379.0,395.0,379.0,9908,3830260.7,171
2023-12-28,384.2,393.7,381.1,12169,4709338.1,171
