BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,771.5,797.4,770.0,87771,6.87231798E7,502
2024-08-22,792.9,806.0,786.0,96215,7.67402594E7,417
2024-08-21,797.0,811.0,795.0,98241,7.86001619E7,484
2024-08-18,796.0,825.0,777.0,228667,1.84343646E8,983
2024-08-15,792.0,808.0,789.0,122925,9.77020299E7,613
2024-08-14,799.0,809.9,781.4,139385,1.105775545E8,618
2024-08-13,800.0,824.1,790.0,145911,1.171460783E8,658
2024-08-12,808.0,813.0,778.0,211990,1.682603447E8,946
2024-08-11,771.9,783.0,738.0,122582,9.38856227E7,557
2024-08-08,753.0,776.0,750.0,137517,1.043893626E8,586
2024-08-07,761.0,761.9,720.3,129416,9.68199191E7,606
2024-08-06,735.0,787.0,731.0,199875,1.525250227E8,926
2024-08-05,774.0,782.0,724.2,173024,1.329120873E8,738
2024-08-01,753.9,772.9,715.4,202318,1.524996519E8,967
2024-07-31,730.0,748.0,723.0,126807,9.3232987E7,603
2024-07-30,727.0,727.0,701.7,115476,8.23187781E7,614
2024-07-29,725.0,754.0,714.0,115406,8.39417108E7,562
2024-07-28,740.0,743.5,702.0,126819,9.22770415E7,548
2024-07-25,715.0,720.0,690.0,120192,8.47917559E7,617
2024-07-24,700.0,719.9,690.0,170795,1.204054486E8,711
2024-07-23,705.0,706.0,660.0,167532,1.156619179E8,681
2024-07-22,670.0,680.0,660.1,82158,5.49474979E7,527
2024-07-21,679.9,685.0,663.3,112216,7.60833325E7,476
2024-07-18,670.0,690.0,662.2,132415,9.00432909E7,602
2024-07-17,670.0,675.2,640.0,104585,6.94911886E7,502
2024-07-16,653.0,653.0,618.7,86989,5.5533589E7,484
2024-07-15,623.0,642.4,617.2,131278,8.20610605E7,531
2024-07-14,629.9,640.9,615.0,94978,5.94955775E7,451
2024-07-11,614.9,616.0,599.0,98544,6.00001709E7,513
2024-07-10,599.0,600.0,578.2,86856,5.16938395E7,327
2024-07-09,590.0,593.0,582.0,60948,3.57721445E7,244
2024-07-08,595.0,603.5,580.1,48770,2.89040757E7,230
2024-07-07,591.9,599.0,581.0,69974,4.12780797E7,246
2024-07-04,588.0,588.0,563.5,81981,4.77197619E7,334
2024-07-03,575.0,576.0,556.4,26446,1.50232074E7,133
2024-07-02,565.0,595.6,560.0,56616,3.22701455E7,258
2024-07-01,551.0,557.5,542.1,16622,9082913.5,121
2024-06-30,548.0,554.0,544.0,35203,1.92557816E7,120
2024-06-27,549.0,560.0,546.2,20360,1.11747783E7,139
2024-06-26,554.0,560.0,551.09,13908,7734903.3,119
2024-06-25,558.8,563.5,548.8,26982,1.50477939E7,83
2024-06-24,560.0,564.2,552.0,16157,8995232.1,96
2024-06-23,560.0,566.0,551.0,16936,9502117.8,124
2024-06-20,562.0,574.0,560.2,18554,1.04484789E7,99
2024-06-19,563.0,579.0,560.0,18969,1.07170735E7,114
2024-06-18,565.9,571.0,560.0,14023,7918664.1,111
2024-06-16,569.0,585.9,566.0,13221,7532364.0,110
2024-06-13,574.9,588.0,567.1,15495,8872878.9,101
2024-06-12,578.8,590.5,568.0,19062,1.09695963E7,106
