BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,1024.0,1045.0,964.0,17317,1.73331889E7,364
2024-08-22,988.0,988.0,955.1,9734,9401127.2,233
2024-08-21,984.0,984.0,950.0,8418,8108402.8,272
2024-08-18,960.4,1015.0,960.4,10761,1.06596322E7,307
2024-08-15,990.0,1024.0,988.0,9590,9594927.6,259
2024-08-14,1024.8,1040.0,975.1,17546,1.76438457E7,372
2024-08-13,1041.9,1071.0,1022.1,10824,1.13143981E7,268
2024-08-12,1092.0,1097.5,1045.0,8087,8623698.4,236
2024-08-11,1076.0,1081.0,1046.0,9611,1.0236375E7,308
2024-08-08,1040.1,1085.0,1020.0,9181,9612624.8,208
2024-08-07,1040.3,1050.0,1010.0,6028,6235601.4,226
2024-08-06,1026.0,1075.1,990.0,10224,1.06016031E7,243
2024-08-05,1097.0,1109.0,1040.0,8623,9235793.2,261
2024-08-01,1088.1,1195.0,1088.1,20527,2.29132379E7,288
2024-07-31,1139.0,1164.8,1085.0,20870,2.34400944E7,320
2024-07-30,1100.0,1105.0,1065.0,13182,1.43138085E7,265
2024-07-29,1070.0,1150.0,1070.0,17344,1.89622568E7,255
2024-07-28,1149.0,1195.0,1060.0,23109,2.55646655E7,269
2024-07-25,1149.0,1180.0,1091.0,34527,3.92908706E7,417
2024-07-24,1090.0,1140.0,1070.0,21862,2.40864047E7,318
2024-07-23,1129.5,1170.0,1075.0,18265,2.07593633E7,337
2024-07-22,1089.0,1120.0,1032.0,39732,4.31561467E7,522
2024-07-21,1032.0,1070.0,1030.0,23755,2.48270515E7,283
2024-07-18,1050.0,1079.9,1020.0,23505,2.47283073E7,331
2024-07-17,1020.0,1025.0,995.0,36866,3.72398575E7,374
2024-07-16,1008.0,1010.0,959.5,13666,1.35513439E7,199
2024-07-15,979.0,1000.0,973.1,21284,2.08668175E7,167
2024-07-14,997.0,1020.0,995.0,11463,1.14843987E7,123
2024-07-11,997.0,1026.0,990.0,20105,2.01295615E7,258
2024-07-10,1010.0,1031.0,990.0,26951,2.73383875E7,388
2024-07-09,984.0,1001.0,938.9,37391,3.66236576E7,374
2024-07-08,958.0,962.0,945.0,7544,7185140.3,133
2024-07-07,945.0,962.0,935.0,9623,9161160.3,145
2024-07-04,949.9,955.0,930.0,8319,7852064.5,116
