BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,700.0,728.0,697.0,8199,5775172.5,159
2024-08-22,718.0,730.0,710.0,7307,5262754.8,160
2024-08-21,715.0,745.0,711.5,12874,9307361.2,186
2024-08-18,726.0,777.0,720.5,21756,1.63028662E7,294
2024-08-15,756.1,780.0,750.0,19941,1.52654743E7,285
2024-08-14,750.0,757.0,717.0,13415,9937992.1,251
2024-08-13,730.0,750.0,727.3,8710,6420855.9,169
2024-08-12,742.0,759.0,740.0,13877,1.03527538E7,251
2024-08-11,729.9,734.0,708.1,11568,8360820.9,255
2024-08-08,710.0,728.0,707.0,9790,6981295.5,179
2024-08-07,715.0,715.0,690.0,13119,9227223.8,219
2024-08-06,695.5,755.0,680.0,17113,1.22389547E7,239
2024-08-05,744.0,769.7,707.0,22713,1.6818908E7,330
2024-08-01,707.0,728.0,705.0,17574,1.2549722E7,262
2024-07-31,714.0,720.0,706.0,11894,8499535.4,199
2024-07-30,713.0,750.0,696.8,24164,1.74215706E7,273
2024-07-29,729.0,733.0,675.3,57685,4.07447929E7,681
2024-07-28,674.0,685.6,665.0,12926,8651848.1,191
2024-07-25,660.0,663.0,648.0,13835,9093492.9,168
2024-07-24,648.0,666.0,648.0,16958,1.11715178E7,194
2024-07-23,662.0,667.9,657.0,19800,1.31137134E7,235
2024-07-22,657.0,672.0,652.2,8615,5665610.8,124
2024-07-21,665.2,683.5,665.2,11834,7974699.8,178
2024-07-18,674.0,685.0,644.2,13743,9250454.3,185
2024-07-17,657.3,678.0,652.2,6693,4428768.1,102
2024-07-16,661.0,666.0,637.0,7822,5170705.2,127
2024-07-15,648.0,671.5,648.0,9641,6342786.4,95
2024-07-14,668.0,690.0,665.0,9117,6103671.0,100
2024-07-11,673.0,675.0,652.0,19722,1.31103204E7,186
2024-07-10,673.0,675.0,635.0,13034,8448113.0,170
2024-07-09,637.0,645.0,630.0,14780,9342533.0,135
2024-07-08,639.0,650.0,630.0,8924,5707774.6,117
2024-07-07,635.0,638.0,615.0,9846,6204703.7,149
2024-07-04,620.0,640.0,620.0,12573,7889241.0,133
2024-07-03,635.0,662.0,630.0,8312,5271254.2,99
2024-07-02,651.0,707.0,630.1,17558,1.13810077E7,146
2024-07-01,655.0,655.0,631.9,5699,3678167.0,75
2024-06-30,644.7,691.0,631.4,8638,5528227.0,146
