BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,380.0,394.9,372.0,115333,4.43403422E7,536
2024-08-22,388.0,397.9,385.0,126774,4.96386365E7,494
2024-08-21,388.1,419.0,388.1,67370,2.66266941E7,404
2024-08-18,395.0,419.0,392.0,149166,6.01999755E7,628
2024-08-15,412.0,431.2,390.9,280942,1.14524985E8,1111
2024-08-14,392.0,408.0,378.0,228957,8.91610874E7,717
2024-08-13,386.0,399.0,380.0,184823,7.17947979E7,674
2024-08-12,390.0,400.0,384.0,184407,7.20948522E7,729
2024-08-11,393.0,400.0,380.3,127489,4.99404398E7,507
2024-08-08,385.0,400.0,379.3,200466,7.77978808E7,638
2024-08-07,377.0,384.0,363.0,102551,3.86747478E7,500
2024-08-06,369.0,405.4,364.0,167639,6.40759376E7,821
2024-08-05,397.0,415.9,372.4,267304,1.035374095E8,839
2024-08-01,386.0,396.5,382.0,239391,9.24778009E7,814
2024-07-31,397.0,422.0,396.9,170054,6.90679554E7,762
2024-07-30,397.1,397.1,360.0,515725,1.964588516E8,1617
2024-07-29,361.0,374.0,351.0,260281,9.33381217E7,538
2024-07-28,358.6,376.0,354.0,141608,5.12525652E7,445
2024-07-25,363.0,369.9,347.5,183825,6.61307095E7,616
2024-07-24,354.0,375.0,344.0,204749,7.2142469E7,743
2024-07-23,349.9,358.0,330.0,336336,1.166671957E8,1013
2024-07-22,333.0,344.7,327.1,156230,5.21496408E7,601
2024-07-21,335.9,342.0,332.0,175896,5.9088524E7,718
2024-07-18,344.7,371.1,330.0,180714,6.23173638E7,675
2024-07-17,343.1,353.0,332.1,457746,1.563010163E8,1377
2024-07-16,325.6,325.6,301.6,229723,7.36381182E7,751
2024-07-15,296.0,306.9,296.0,58670,1.75920275E7,238
2024-07-14,304.0,316.0,299.0,52399,1.58340404E7,246
2024-07-11,299.0,305.9,297.0,56344,1.69109159E7,234
2024-07-10,300.0,300.3,292.0,69743,2.06452376E7,187
2024-07-09,293.0,299.0,290.0,52707,1.54587926E7,190
2024-07-08,295.0,303.0,295.0,49261,1.46909713E7,159
2024-07-07,298.9,305.0,291.0,112111,3.33590172E7,354
2024-07-04,296.9,305.0,293.0,83635,2.49388336E7,250
2024-07-03,300.0,306.0,296.0,66415,1.99623117E7,252
2024-07-02,304.1,329.0,303.3,90540,2.81051846E7,271
2024-07-01,302.5,308.2,301.0,49502,1.50687626E7,169
2024-06-30,302.2,313.9,302.1,61824,1.89936935E7,226
2024-06-27,307.9,309.9,298.0,103406,3.15669412E7,384
2024-06-26,300.0,310.4,298.2,49606,1.49805518E7,217
2024-06-25,304.4,309.3,300.2,97897,2.99908456E7,360
2024-06-24,298.0,309.0,297.2,145831,4.41417441E7,303
2024-06-23,303.0,310.0,296.2,130867,3.97854708E7,402
2024-06-20,309.5,316.0,301.9,183675,5.7153766E7,479
2024-06-19,308.0,319.0,305.0,142553,4.42685005E7,431
2024-06-18,308.0,319.0,305.0,362124,1.127987827E8,989
2024-06-16,307.0,319.0,299.0,344002,1.05660087E8,981
2024-06-13,307.0,311.1,283.7,399806,1.20092209E8,1524
2024-06-12,283.1,301.2,279.3,298525,8.69125297E7,1357
2024-06-11,273.9,273.9,251.0,225159,6.03650866E7,821
2024-06-10,249.0,255.9,231.0,77506,1.9044406E7,289
2024-06-09,240.0,244.4,230.3,23311,5554521.4,113
2024-06-06,235.0,238.5,230.3,5783,1344089.6,66
2024-06-05,235.0,240.5,232.0,11680,2722345.2,70
2024-06-04,237.0,242.0,232.0,13261,3122456.5,73
2024-06-03,239.5,245.8,238.1,20326,4891645.6,114
2024-06-02,241.0,247.0,238.2,58937,1.42382282E7,153
2024-05-30,239.0,247.8,231.0,38164,9140549.4,163
2024-05-29,231.2,247.0,231.2,7025,1657094.6,65
2024-05-27,236.0,241.5,233.6,4658,1101361.2,39
2024-05-26,238.0,244.6,235.0,8723,2064088.6,67
2024-05-22,241.0,245.6,237.4,13641,3283898.0,94
2024-05-21,242.0,247.0,231.0,28759,6946347.2,149
2024-05-20,235.0,243.0,231.7,24219,5701911.3,124
2024-05-19,236.0,243.0,231.4,16217,3832325.3,95
2024-05-16,235.0,235.0,226.1,23565,5448603.2,87
2024-05-15,231.9,239.0,228.0,14826,3468032.1,102
2024-05-14,235.5,239.8,221.5,19294,4473232.3,121
2024-05-13,226.0,226.0,219.0,11054,2457354.0,60
2024-05-12,219.0,222.4,217.3,13130,2887483.3,84
2024-05-09,220.0,221.9,211.0,21353,4658784.4,109
2024-05-08,215.3,222.0,215.0,32010,6958886.1,146
2024-05-07,222.2,229.0,222.0,14540,3260331.3,61
2024-05-06,224.9,227.0,220.0,16270,3630993.4,86
2024-05-05,225.8,231.5,225.7,18727,4264378.3,70
2024-05-02,231.5,238.0,230.0,15284,3563278.4,93
2024-04-30,236.0,239.0,227.0,26570,6227648.8,109
2024-04-29,230.0,232.1,228.0,9804,2256430.5,54
2024-04-28,232.5,236.0,228.7,13874,3198544.9,68
2024-04-25,232.9,236.0,226.4,24977,5729812.8,93
2024-04-24,233.0,238.6,231.0,6457,1508471.7,49
2024-04-22,234.0,238.9,232.5,5725,1349712.5,32
2024-04-21,239.8,239.9,230.0,16345,3835857.5,77
2024-04-18,231.0,236.0,230.0,7399,1715503.7,55
2024-04-16,236.3,241.0,236.0,11282,2683475.7,67
2024-04-15,240.1,247.8,239.0,16526,4008756.8,82
2024-04-14,241.1,244.9,235.1,11456,2765955.5,63
2024-04-10,239.0,244.0,239.0,18904,4563353.0,105
2024-04-09,238.0,243.1,236.1,22899,5468954.0,105
2024-04-07,238.0,240.0,235.1,15077,3584077.4,70
2024-04-04,236.8,243.9,233.0,24367,5764915.5,83
2024-04-03,241.0,246.1,239.0,18098,4408199.7,58
2024-04-02,242.5,246.7,239.0,6517,1566780.4,50
2024-04-01,243.0,248.5,243.0,18023,4395733.3,95
2024-03-31,246.5,247.9,241.0,28949,7090678.7,106
2024-03-28,244.0,245.0,237.2,21517,5187163.1,84
2024-03-27,237.9,246.8,237.6,38685,9278289.6,88
