BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,694.0,737.4,691.0,147391,1.04227402E8,1210
2024-08-22,723.0,745.0,711.9,174358,1.274721614E8,1378
2024-08-21,699.0,710.0,665.0,209569,1.459762085E8,1557
2024-08-18,656.0,714.0,642.0,171104,1.14965629E8,1358
2024-08-15,679.0,720.0,672.2,232314,1.613000091E8,1719
2024-08-14,690.4,690.4,635.5,171529,1.153000476E8,1401
2024-08-13,636.0,648.0,620.0,138384,8.79126969E7,1116
2024-08-12,618.0,624.8,595.0,135748,8.27457173E7,923
2024-08-11,589.0,612.9,578.0,84185,4.94692737E7,587
2024-08-08,578.0,618.0,575.0,99762,5.88793709E7,788
2024-08-07,595.0,602.0,541.5,98912,5.72033472E7,893
2024-08-06,548.0,608.0,548.0,156327,8.95889446E7,1371
2024-08-05,608.0,640.0,590.0,151637,9.2188195E7,1170
2024-08-01,632.5,650.0,615.0,173720,1.108172053E8,1372
2024-07-31,613.0,616.0,562.5,192949,1.162449794E8,1501
2024-07-30,560.0,570.0,522.4,148743,8.21901128E7,938
2024-07-29,529.0,543.0,523.0,75392,4.00466567E7,504
2024-07-28,533.0,555.0,525.0,54034,2.88045478E7,397
2024-07-25,535.0,544.0,530.0,64654,3.47060369E7,365
2024-07-24,532.0,553.0,532.0,108066,5.86798195E7,670
2024-07-23,533.3,537.9,519.0,72561,3.84711651E7,428
2024-07-22,525.0,536.5,522.4,77304,4.08036977E7,418
2024-07-21,526.0,537.0,521.1,90465,4.79862224E7,515
2024-07-18,529.0,552.9,528.0,99622,5.39341631E7,641
2024-07-17,540.0,545.0,512.0,108141,5.70772732E7,640
2024-07-16,512.3,518.0,500.0,47123,2.40587806E7,294
2024-07-15,500.0,511.0,493.3,53147,2.6740548E7,340
2024-07-14,503.0,528.0,495.0,62647,3.17545918E7,317
2024-07-11,508.0,516.0,495.0,50446,2.54341106E7,286
2024-07-10,507.0,515.0,503.0,31687,1.61388478E7,233
2024-07-09,502.0,508.9,499.0,23824,1.2001697E7,179
2024-07-08,500.0,505.0,493.0,32929,1.64190818E7,241
2024-07-07,494.1,512.5,493.0,44281,2.21357102E7,343
2024-07-04,503.4,525.0,502.0,53268,2.7146653E7,384
2024-07-03,515.0,523.0,476.1,162688,8.24643334E7,904
2024-07-02,490.0,499.0,475.0,74946,3.63863204E7,358
2024-07-01,473.0,477.0,466.0,34771,1.6369907E7,173
2024-06-30,470.0,483.0,462.0,38773,1.82822395E7,254
2024-06-27,466.0,476.7,458.7,28093,1.31629586E7,185
2024-06-26,468.0,484.5,466.6,32839,1.54628405E7,274
2024-06-25,475.0,499.0,472.7,63445,3.06015327E7,438
2024-06-24,490.9,496.0,470.6,119204,5.78383663E7,677
2024-06-23,474.0,474.0,444.0,102199,4.77239116E7,531
2024-06-20,453.0,470.0,451.0,49197,2.26778964E7,329
2024-06-19,460.0,473.0,448.5,52265,2.39766859E7,325
2024-06-18,450.9,466.0,440.0,126805,5.68603692E7,389
2024-06-16,444.0,460.0,444.0,45288,2.05532461E7,239
2024-06-13,454.0,470.0,443.0,81767,3.74867601E7,523
2024-06-12,447.0,460.0,429.5,53450,2.35655394E7,309
2024-06-11,439.9,442.0,418.5,42914,1.86777747E7,250
2024-06-10,422.5,440.0,419.0,42099,1.80652485E7,215
2024-06-09,426.7,437.0,423.0,21729,9327119.4,138
2024-06-06,434.0,444.0,430.0,45546,1.98560271E7,218
2024-06-05,440.0,447.0,427.5,42426,1.87186014E7,265
2024-06-04,435.0,436.0,427.3,33566,1.44945252E7,199
2024-06-03,430.0,448.0,425.0,102568,4.49457124E7,496
2024-06-02,432.0,438.4,415.0,87583,3.77822653E7,595
2024-05-30,415.0,416.0,396.9,49536,2.03824157E7,276
2024-05-29,404.9,414.1,400.0,42971,1.74305334E7,177
2024-05-27,406.0,411.8,397.2,14134,5715945.1,107
2024-05-26,404.0,413.0,398.0,37563,1.51911201E7,207
2024-05-22,408.0,425.0,408.0,49338,2.0486229E7,263
2024-05-21,418.8,422.2,401.1,80517,3.34751641E7,456
2024-05-20,399.9,411.0,389.0,58283,2.33219406E7,291
2024-05-19,392.0,402.9,381.2,41715,1.6477166E7,210
2024-05-16,387.0,396.0,387.0,44055,1.72514254E7,219
2024-05-15,391.0,399.0,386.4,27035,1.06074689E7,182
2024-05-14,394.0,398.8,385.0,21346,8370626.5,158
2024-05-13,391.0,398.7,386.3,21600,8453178.5,178
2024-05-12,392.0,411.0,392.0,35954,1.44608014E7,243
2024-05-09,403.0,414.0,399.0,71714,2.91126338E7,431
2024-05-08,400.0,400.0,380.1,47050,1.85814214E7,330
2024-05-07,381.9,390.0,376.3,23789,9075941.4,195
2024-05-06,384.9,388.0,375.0,46722,1.78083327E7,283
2024-05-05,380.0,393.8,374.0,54494,2.09218424E7,347
2024-05-02,380.1,406.0,380.0,71308,2.77355804E7,500
2024-04-30,394.0,424.0,390.0,135367,5.57255026E7,908
2024-04-29,408.0,412.0,383.0,128592,5.10283824E7,811
2024-04-28,394.0,400.8,369.0,127423,4.97608497E7,907
2024-04-25,369.0,376.0,346.0,120888,4.47741942E7,776
2024-04-24,347.0,359.9,344.0,24574,8676732.4,181
2024-04-22,343.0,360.0,343.0,14614,5082480.2,107
2024-04-21,353.9,356.6,346.5,19569,6876095.7,115
2024-04-18,350.0,367.0,343.0,29493,1.03873794E7,182
2024-04-16,346.0,357.0,345.0,13912,4854559.8,139
2024-04-15,355.0,369.0,355.0,16650,6011297.3,155
2024-04-14,364.0,367.2,352.0,28898,1.04249796E7,219
2024-04-10,354.0,375.0,351.0,50012,1.81942867E7,367
2024-04-09,371.2,377.9,362.0,90672,3.37379958E7,641
2024-04-07,360.0,361.0,335.0,48014,1.70576859E7,422
2024-04-04,335.0,342.0,330.0,14953,5037080.8,100
2024-04-03,336.0,343.7,330.5,8362,2816663.3,67
2024-04-02,337.0,339.0,332.0,4133,1388558.2,37
2024-04-01,336.0,340.0,332.1,9187,3078718.7,95
2024-03-31,337.0,348.0,334.0,15221,5124428.4,125
2024-03-28,341.9,348.0,336.0,10992,3751787.7,75
