BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,945.0,999.6,945.0,13429,1.2925935E7,271
2024-08-22,989.0,999.0,967.1,13474,1.32339586E7,251
2024-08-21,984.0,990.0,960.0,16299,1.58192338E7,370
2024-08-18,998.0,1024.0,987.0,19501,1.94188407E7,404
2024-08-15,1024.0,1060.0,1007.0,26416,2.70926611E7,501
2024-08-14,1046.0,1060.8,1031.0,15570,1.62780144E7,347
2024-08-13,1041.0,1095.0,1034.0,16838,1.76017852E7,390
2024-08-12,1075.0,1105.0,1047.2,23153,2.47758703E7,433
2024-08-11,1080.2,1080.2,1038.0,27229,2.88184133E7,573
2024-08-08,1049.0,1110.0,1036.0,22876,2.4416796E7,399
2024-08-07,1073.0,1144.0,1040.0,20842,2.24764346E7,451
2024-08-06,1056.0,1171.2,1028.1,59688,6.61791858E7,1008
2024-08-05,1064.8,1064.8,971.0,44986,4.65002389E7,759
2024-08-01,968.0,996.0,965.0,21836,2.14419863E7,345
2024-07-31,978.0,995.9,952.0,24044,2.346068E7,386
2024-07-30,959.0,973.0,948.0,21494,2.05449108E7,284
2024-07-29,965.0,976.0,936.1,12987,1.25161785E7,304
2024-07-28,944.0,989.4,942.0,13357,1.27176759E7,244
2024-07-25,950.1,980.0,948.3,17731,1.70300013E7,287
2024-07-24,977.3,1008.0,977.2,16606,1.64872555E7,307
2024-07-23,990.0,994.0,960.0,19608,1.92461215E7,313
2024-07-22,962.0,985.0,955.0,23304,2.24592945E7,306
2024-07-21,968.0,999.6,965.1,20480,2.00103286E7,325
2024-07-18,977.1,1011.8,977.0,33911,3.35141079E7,366
2024-07-17,992.0,1025.0,980.0,23677,2.35985117E7,324
2024-07-16,1010.0,1015.0,983.1,27665,2.77309963E7,359
2024-07-15,987.3,1035.0,984.0,38398,3.85908508E7,481
2024-07-14,1001.0,1012.0,953.5,39788,3.91549824E7,423
2024-07-11,953.9,960.0,946.0,31072,2.95631166E7,333
2024-07-10,940.0,951.0,914.1,24846,2.3335598E7,328
2024-07-09,912.9,912.9,895.1,23739,2.14564889E7,289
2024-07-08,895.0,912.9,890.0,10334,9312713.9,127
2024-07-07,900.0,913.0,890.0,23365,2.10145314E7,276
2024-07-04,898.0,921.9,890.0,9570,8660382.4,186
2024-07-03,915.0,936.0,882.0,37314,3.34401391E7,364
2024-07-02,940.4,974.1,899.0,30035,2.7526685E7,307
2024-07-01,918.0,923.1,897.0,5582,5093156.8,124
2024-06-30,912.0,927.0,911.1,9772,8935631.1,148
2024-06-27,927.0,962.0,924.0,11888,1.10615943E7,190
2024-06-26,950.0,1049.0,934.9,30135,2.87022143E7,323
2024-06-25,953.9,975.0,927.0,22513,2.14550938E7,280
2024-06-24,927.0,956.0,926.0,12856,1.20604892E7,242
2024-06-23,946.1,985.0,936.0,22831,2.18316993E7,240
2024-06-20,950.0,1005.0,949.2,37974,3.64269005E7,490
2024-06-19,1005.0,1067.0,952.0,30491,2.9603772E7,409
2024-06-18,970.0,1037.9,942.0,19063,1.88723682E7,342
2024-06-16,1017.9,1153.0,1017.9,15250,1.56041126E7,307
2024-06-13,1131.0,1208.4,1109.7,11598,1.29308524E7,226
2024-06-12,1233.0,1361.7,1133.6,19265,2.20863833E7,407
2024-06-11,1259.5,1259.5,1030.5,35850,3.76979182E7,478
2024-06-10,1145.0,1320.0,1082.8,23408,2.58921635E7,448
2024-06-09,1203.1,1203.1,1000.0,27952,3.01389499E7,425
2024-06-06,1093.8,1093.8,975.0,18798,1.92371973E7,547
2024-06-05,994.4,994.4,868.0,34479,3.28615355E7,494
2024-06-04,904.0,974.0,840.0,26345,2.38785771E7,328
2024-06-03,900.0,916.0,830.0,25679,2.20199532E7,284
2024-06-02,880.6,880.6,787.0,28680,2.4160543E7,395
2024-05-30,835.1,835.1,766.0,62453,5.0709782E7,743
2024-05-29,759.2,759.2,700.0,88455,6.58662496E7,720
2024-05-27,690.2,739.2,665.0,36525,2.56091869E7,275
2024-05-26,672.0,704.0,672.0,18364,1.25822524E7,220
2024-05-22,714.0,776.0,682.1,35386,2.48202098E7,311
2024-05-21,706.0,743.0,695.0,72170,5.10549584E7,535
2024-05-20,729.3,729.3,650.0,55030,3.70405013E7,456
2024-05-19,663.0,663.0,635.0,23280,1.50056462E7,254
2024-05-16,650.0,655.0,616.2,32841,2.1176841E7,335
2024-05-15,626.9,642.6,615.0,22153,1.39180741E7,174
2024-05-14,631.0,632.0,596.1,49613,3.07518731E7,369
2024-05-13,592.0,595.0,583.1,1845,1082526.3,44
2024-05-12,587.1,603.0,587.1,5198,3086268.2,76
2024-05-09,598.4,599.9,586.1,6294,3731653.0,69
2024-05-08,598.0,600.0,584.0,2343,1400854.4,53
2024-05-07,594.0,600.0,580.0,3888,2306963.9,75
2024-05-06,583.3,599.0,580.0,3650,2148471.4,66
2024-05-05,588.0,605.0,587.1,3236,1914905.5,76
2024-05-02,605.0,618.2,602.0,3989,2422268.8,88
2024-04-30,610.0,616.0,600.5,13778,8393792.0,140
2024-04-29,607.9,610.0,595.2,2880,1741252.0,57
2024-04-28,609.9,609.9,585.0,11065,6589560.3,130
2024-04-25,588.0,589.0,579.1,6740,3917212.0,71
2024-04-24,589.0,596.7,580.0,1810,1064666.0,59
2024-04-22,585.0,621.9,580.1,4594,2706738.0,78
2024-04-21,591.0,600.0,582.0,3970,2336425.2,80
2024-04-18,591.0,604.4,588.0,4870,2911871.0,73
2024-04-16,605.2,619.0,601.0,4177,2541211.1,64
2024-04-15,622.0,632.0,618.0,31575,1.96768836E7,224
2024-04-14,617.9,622.0,600.0,24418,1.50007145E7,231
2024-04-10,605.0,612.1,598.0,5241,3169723.2,101
2024-04-09,609.0,610.0,593.1,9635,5788040.0,148
2024-04-07,599.2,609.9,592.1,2029,1213272.5,98
2024-04-04,603.3,603.3,590.2,6291,3730391.7,96
2024-04-03,608.0,613.0,594.1,6684,4006184.9,107
2024-04-02,601.0,610.0,601.0,2160,1309282.6,68
2024-04-01,619.0,619.9,604.0,17630,1.07330606E7,139
2024-03-31,625.9,656.0,605.3,7736,4821279.3,189
2024-03-28,615.0,616.7,603.0,6507,3988962.3,91
2024-03-27,618.0,630.0,605.1,11470,7061541.2,114
2024-03-26,619.1,637.0,612.5,18410,1.14080237E7,143
2024-03-25,650.0,657.0,600.0,11876,7332324.7,155
2024-03-21,632.4,663.0,608.2,23909,1.49302029E7,223
2024-03-20,614.0,644.8,610.0,33930,2.09710002E7,277
2024-03-19,657.9,657.9,591.0,16575,1.01969835E7,206
2024-03-18,602.0,645.7,581.1,8966,5408493.5,170
2024-03-17,587.0,595.0,587.0,4765,2810747.0,94
2024-03-14,598.0,600.0,589.0,8477,5042868.0,108
2024-03-13,604.0,610.0,589.0,5024,3004072.9,135
2024-03-12,601.0,601.0,577.1,14079,8275402.0,207
2024-03-10,574.1,584.9,568.2,8988,5191399.9,120
2024-03-07,575.0,580.0,566.0,5456,3111740.6,111
2024-03-06,566.0,585.0,565.7,7405,4231707.0,133
2024-03-05,576.9,599.0,567.5,6219,3580628.5,118
2024-03-04,599.0,599.0,576.0,240,138700.0,5
2024-03-03,565.0,569.0,548.0,4845,2694685.0,94
2024-02-29,578.0,581.0,561.0,8558,4892603.0,99
2024-02-28,584.0,584.0,567.7,14551,8367987.5,123
2024-02-27,579.0,590.0,570.0,2640,1533995.0,72
2024-02-26,590.0,590.0,569.0,6550,3780212.0,126
2024-02-25,592.0,595.0,566.0,7199,4172082.0,160
2024-02-22,595.0,600.0,581.2,10140,5977308.6,202
2024-02-21,600.0,610.0,594.1,8868,5317150.9,201
2024-02-20,605.0,606.9,586.1,18812,1.1265474E7,277
2024-02-18,596.0,606.3,595.1,8652,5207992.5,235
2024-02-15,616.0,625.0,607.1,9883,6067161.3,202
2024-02-14,617.0,637.0,615.0,10972,6834201.0,185
2024-02-13,631.7,634.4,615.0,18287,1.13902174E7,212
2024-02-12,629.0,639.0,607.6,9146,5691497.4,201
2024-02-11,620.0,632.0,609.0,31579,1.93666361E7,260
2024-02-08,621.5,640.0,597.0,24648,1.50963686E7,223
2024-02-07,632.0,659.0,610.0,31730,1.95757161E7,326
2024-02-06,649.0,689.5,623.5,10980,7083674.6,228
2024-02-05,649.9,710.0,620.0,28825,1.82913797E7,379
2024-02-04,646.0,646.0,590.1,24794,1.5106315E7,251
2024-02-01,605.0,610.0,590.1,10095,6073565.0,194
2024-01-31,620.0,620.0,590.0,28262,1.70911429E7,342
2024-01-30,612.0,620.0,583.0,35369,2.14185791E7,667
2024-01-29,591.0,595.9,566.3,19958,1.1597649E7,338
2024-01-28,575.0,581.0,562.0,12004,6860915.1,343
2024-01-25,570.0,575.0,552.0,13339,7538152.0,261
2024-01-24,563.0,580.0,550.1,8008,4488084.0,200
2024-01-23,567.2,578.0,560.2,5524,3135411.8,269
2024-01-22,578.0,586.0,562.0,14318,8166426.5,337
2024-01-21,580.0,600.0,572.0,17183,1.00838271E7,400
2024-01-18,597.0,597.9,570.0,20337,1.19685695E7,458
2024-01-17,603.8,603.8,567.0,23335,1.36744326E7,446
2024-01-16,598.0,598.0,558.0,36138,2.1017285E7,432
2024-01-14,577.0,582.0,563.2,18537,1.06618381E7,269
2024-01-11,563.0,570.0,552.0,10255,5770291.0,244
2024-01-10,555.1,575.0,555.1,7992,4516071.0,238
2024-01-09,574.0,593.0,565.0,23928,1.37671405E7,323
2024-01-08,584.4,590.0,555.0,25259,1.4488672E7,387
2024-01-07,584.0,588.9,547.6,29562,1.6894989E7,449
2024-01-04,570.0,590.0,549.8,30252,1.74599908E7,481
2024-01-03,561.0,561.0,502.0,21702,1.16648342E7,542
2024-01-02,510.0,510.0,497.9,15680,7924481.0,327
2024-01-01,508.0,538.0,506.0,11187,5800771.4,349
2023-12-28,528.0,538.0,525.0,12276,6515619.8,397
2023-12-27,532.0,542.9,516.0,21147,1.12060747E7,483
2023-12-24,526.2,574.9,525.0,30713,1.7012789E7,664
2023-12-21,558.0,558.0,490.5,33285,1.71371131E7,530
2023-12-20,515.0,520.0,493.0,31910,1.60961835E7,492
2023-12-19,505.0,505.0,481.0,16673,8246623.7,400
2023-12-18,494.0,504.0,475.0,30405,1.48301296E7,447
2023-12-17,487.0,499.0,452.0,43595,2.1044348E7,595
2023-12-14,462.0,472.0,454.1,17738,8256502.5,284
2023-12-13,470.0,494.0,458.8,19877,9428226.5,375
2023-12-12,477.0,484.9,445.9,13807,6509979.0,396
2023-12-11,455.0,464.0,432.0,37059,1.66197878E7,635
2023-12-10,441.0,450.0,435.6,3650,1614825.0,18
2023-12-07,427.1,443.3,427.1,14212,6148936.0,261
