BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,495.0,505.0,482.0,17632,8640307.5,327
2024-08-22,504.0,520.0,496.0,18653,9452302.9,450
2024-08-21,500.0,512.1,499.0,15024,7555830.0,383
2024-08-18,510.0,534.4,509.0,26931,1.3981724E7,508
2024-08-15,536.0,550.0,531.1,26108,1.41487033E7,519
2024-08-14,539.9,545.0,515.0,28158,1.51256572E7,381
2024-08-13,538.0,550.8,511.1,45412,2.41374482E7,565
2024-08-12,523.0,534.0,506.0,37230,1.94508744E7,527
2024-08-11,510.0,520.0,490.0,49760,2.5016762E7,662
2024-08-08,490.0,502.8,482.0,32211,1.58279701E7,399
2024-08-07,489.0,509.2,463.6,31360,1.5132139E7,473
2024-08-06,473.0,510.0,455.0,29120,1.4154806E7,440
2024-08-05,501.0,508.9,466.0,39258,1.94679661E7,578
2024-08-01,484.0,499.9,480.3,29462,1.44381775E7,355
2024-07-31,493.1,513.0,478.2,39097,1.93734577E7,564
2024-07-30,487.9,494.0,476.0,33257,1.60989749E7,436
2024-07-29,484.0,497.0,472.0,41922,2.03785148E7,447
2024-07-28,482.0,504.0,474.0,41998,2.04396873E7,328
2024-07-25,491.9,492.0,464.0,65918,3.15613971E7,495
2024-07-24,471.0,485.0,452.0,44409,2.08568221E7,431
2024-07-23,476.0,480.0,465.0,37007,1.76313967E7,373
2024-07-22,466.0,475.0,456.7,42725,1.98037876E7,392
2024-07-21,466.0,475.0,460.0,30513,1.41760044E7,308
2024-07-18,473.0,490.0,467.0,38664,1.84231383E7,384
2024-07-17,479.5,491.6,463.1,63196,3.01056872E7,411
2024-07-16,467.9,473.0,440.0,47518,2.17836631E7,426
2024-07-15,444.0,448.8,431.5,29251,1.29634628E7,284
2024-07-14,440.0,453.5,430.0,17652,7724345.4,204
2024-07-11,436.0,439.5,429.0,21751,9410739.9,269
2024-07-10,429.0,434.0,417.6,10233,4365537.5,179
2024-07-09,426.0,429.2,420.0,13640,5792149.0,169
2024-07-08,420.8,432.0,420.1,14027,5920657.4,171
2024-07-07,426.0,433.0,425.1,17967,7711464.2,213
2024-07-04,431.0,440.0,427.0,26081,1.1251773E7,220
2024-07-03,432.0,437.9,425.2,16484,7090063.7,144
2024-07-02,432.0,463.0,423.0,36607,1.59165997E7,281
