BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,684.0,719.0,680.0,15150,1.04147766E7,245
2024-08-22,729.0,758.3,669.0,55660,3.90497963E7,506
2024-08-21,695.0,717.0,655.0,24954,1.67571925E7,413
2024-08-18,676.9,705.1,656.1,32359,2.18306164E7,473
2024-08-15,705.0,759.0,705.0,66504,4.78252127E7,673
2024-08-14,759.9,813.2,746.8,105810,7.97091632E7,757
2024-08-13,829.7,829.7,725.1,59947,4.50081953E7,605
2024-08-12,756.0,759.0,690.0,61152,4.42873564E7,682
2024-08-11,690.0,706.6,654.0,42309,2.9034993E7,600
2024-08-08,666.6,688.5,660.1,28668,1.92586248E7,310
2024-08-07,677.0,677.0,630.0,41289,2.71400106E7,521
2024-08-06,640.0,692.9,614.0,67518,4.50949203E7,663
2024-08-05,650.0,653.0,592.9,51144,3.22084782E7,590
2024-08-01,608.1,630.0,607.0,29524,1.81583754E7,352
2024-07-31,619.9,636.0,603.1,29281,1.81120294E7,417
2024-07-30,598.0,599.7,577.0,22319,1.32190234E7,268
2024-07-29,588.0,602.0,579.0,33230,1.95692395E7,286
2024-07-28,591.0,617.0,583.0,11858,6997713.9,172
2024-07-25,594.0,610.0,590.2,11448,6825674.6,195
2024-07-24,608.0,620.0,590.0,24227,1.46326867E7,270
2024-07-23,615.0,635.0,602.0,46385,2.8486658E7,295
2024-07-22,620.0,641.0,606.0,26476,1.62427845E7,234
2024-07-21,629.0,640.0,608.0,47083,2.94973616E7,356
2024-07-18,638.0,643.6,615.0,29080,1.81965324E7,328
2024-07-17,631.0,631.0,601.0,41443,2.56091798E7,399
2024-07-16,613.0,615.0,586.5,43296,2.6141408E7,309
2024-07-15,580.0,594.6,573.0,55462,3.27166057E7,158
2024-07-14,582.0,605.0,575.0,10556,6160820.6,137
2024-07-11,582.0,586.0,570.1,11943,6891154.4,133
2024-07-10,575.0,580.0,570.0,8926,5114212.0,108
2024-07-09,570.0,588.9,557.0,32659,1.85677365E7,126
2024-07-08,560.0,574.9,560.0,8517,4789505.3,104
2024-07-07,570.1,579.0,569.0,11781,6736908.4,121
2024-07-04,582.9,587.0,571.3,6101,3521324.0,109
2024-07-03,578.0,585.0,567.6,8734,4979067.0,85
2024-07-02,576.2,600.7,565.8,21327,1.23036155E7,130
2024-07-01,589.0,595.0,561.1,2509,1439987.5,93
2024-06-30,572.0,583.3,571.0,6242,3575757.0,87
2024-06-27,580.0,582.2,566.0,14660,8435128.0,108
2024-06-26,587.9,602.0,582.0,16382,9696160.3,92
2024-06-25,595.0,601.9,590.0,13294,7914600.2,138
2024-06-24,591.0,604.0,576.1,40097,2.38361547E7,235
2024-06-23,585.0,591.6,575.2,10581,6159682.0,128
2024-06-20,582.0,590.5,570.0,22071,1.29120512E7,163
2024-06-19,575.0,580.9,563.0,8358,4794612.6,124
2024-06-18,571.0,580.0,570.0,13806,7902018.3,114
2024-06-16,580.0,590.5,571.0,12595,7281058.9,140
2024-06-13,578.2,599.8,570.1,29330,1.7144601E7,212
2024-06-12,589.9,602.9,584.0,31104,1.84235294E7,226
2024-06-11,603.0,617.1,596.3,35052,2.10455245E7,251
2024-06-10,605.0,634.2,604.0,31063,1.90052627E7,301
2024-06-09,621.8,622.0,597.0,77551,4.70432148E7,443
2024-06-06,603.0,607.0,564.5,46911,2.77393102E7,389
2024-06-05,583.8,609.9,572.0,14303,8268958.9,169
2024-06-04,598.0,602.0,586.0,40120,2.37872473E7,345
2024-06-03,591.0,600.0,577.2,27661,1.61593341E7,208
2024-06-02,595.0,606.0,585.0,27319,1.62909279E7,298
2024-05-30,590.0,601.0,567.0,60455,3.55422868E7,502
2024-05-29,567.9,570.0,545.0,39702,2.20757295E7,242
2024-05-27,556.0,578.0,534.4,16995,9314210.1,182
2024-05-26,547.0,576.0,545.0,23945,1.32231042E7,205
2024-05-22,576.0,576.0,550.0,42273,2.36991843E7,363
2024-05-21,560.0,561.0,535.0,65789,3.59305616E7,303
2024-05-20,540.0,540.0,498.0,43485,2.25119501E7,305
2024-05-19,505.0,507.0,486.1,10686,5339335.0,154
2024-05-16,496.0,507.0,472.2,6053,2976991.2,131
2024-05-15,480.0,486.0,472.4,7986,3826004.0,80
2024-05-14,481.9,485.0,474.0,4283,2051142.9,58
2024-05-13,477.9,480.0,469.8,2842,1352661.0,53
2024-05-12,479.0,480.0,473.0,1880,895307.0,53
2024-05-09,481.8,491.0,474.4,4121,1984349.3,62
2024-05-08,483.0,487.0,469.0,7845,3759803.0,74
2024-05-07,475.0,475.0,469.7,1165,549090.0,48
2024-05-06,478.9,479.0,463.0,2621,1242314.0,41
2024-05-05,480.0,485.0,471.4,3000,1435757.5,71
2024-05-02,481.0,489.0,481.0,4960,2404456.0,74
2024-04-30,495.0,495.0,466.2,6880,3334452.5,99
2024-04-29,475.1,475.1,468.0,1680,796286.0,46
2024-04-28,477.0,477.0,460.1,1470,687815.0,74
2024-04-25,468.0,479.0,468.0,19646,9255312.1,66
2024-04-24,478.9,488.9,470.0,3390,1612998.0,79
2024-04-22,479.9,490.0,460.5,3355,1588672.0,71
2024-04-21,466.4,471.0,462.0,1170,543411.4,54
2024-04-18,469.1,478.0,468.1,2369,1118797.0,59
2024-04-16,477.0,479.4,470.0,16172,7710283.0,80
2024-04-15,479.0,485.0,470.0,6991,3352595.0,94
2024-04-14,478.0,489.8,467.0,5722,2747193.0,94
2024-04-10,474.0,498.0,464.0,13476,6388945.0,142
2024-04-09,470.2,479.6,463.4,9591,4570216.5,112
2024-04-07,470.2,470.2,455.9,3974,1857564.0,92
2024-04-04,464.9,465.0,455.7,2534,1168615.8,79
2024-04-03,470.5,477.3,456.0,3352,1577931.4,53
2024-04-02,472.5,472.5,456.7,6065,2806296.0,78
2024-04-01,472.8,476.9,452.0,2962,1379322.6,78
2024-03-31,468.9,475.0,453.4,12215,5628902.4,153
2024-03-28,469.0,472.2,451.5,1100,504762.0,67
2024-03-27,465.0,470.0,453.1,2130,972726.0,62
2024-03-26,462.0,469.1,443.0,6550,2996020.0,74
2024-03-25,450.0,460.0,447.7,1659,752635.2,44
2024-03-21,464.0,468.2,464.0,10871,5067924.3,62
2024-03-20,473.0,476.0,459.7,7165,3363215.0,96
2024-03-19,469.0,484.0,466.0,7011,3300029.0,100
2024-03-18,475.0,475.4,460.0,6853,3226819.2,89
2024-03-17,475.0,475.0,461.4,1731,814176.0,74
2024-03-14,478.0,480.0,469.0,938,441681.2,56
2024-03-13,475.0,477.6,459.2,10310,4874613.5,99
2024-03-12,478.0,479.4,460.1,6370,3003321.5,116
2024-03-10,469.0,475.0,460.0,12109,5710037.2,116
2024-03-07,463.0,464.1,445.4,11571,5264208.4,102
2024-03-06,454.0,460.8,438.0,6514,2921567.8,116
2024-03-05,434.2,469.0,434.2,12496,5672250.0,107
2024-03-04,461.7,461.7,443.9,50,22603.0,5
2024-03-03,435.2,455.0,434.0,6920,3052879.0,71
2024-02-29,455.0,475.0,455.0,4594,2122116.0,67
2024-02-28,475.9,488.4,462.7,1757,825975.8,82
2024-02-27,480.4,487.8,462.3,1116,526111.9,64
2024-02-26,479.9,481.9,463.7,2910,1366041.2,95
2024-02-25,473.0,479.3,463.8,4894,2288681.9,138
2024-02-22,489.0,490.0,460.0,13680,6540280.4,197
2024-02-21,478.9,483.0,468.0,12968,6155538.5,138
2024-02-20,489.0,492.0,480.3,2680,1302997.2,124
2024-02-18,500.0,510.0,487.0,18568,9186643.2,236
2024-02-15,520.0,520.2,501.0,16663,8531910.2,235
2024-02-14,518.0,521.8,492.0,35239,1.79239219E7,451
2024-02-13,500.0,505.0,474.2,51778,2.55683022E7,356
2024-02-12,483.0,523.0,468.1,14909,7259730.2,200
2024-02-11,477.3,487.0,475.6,4871,2350212.1,138
2024-02-08,484.0,490.0,472.6,2842,1359228.0,85
2024-02-07,484.0,484.5,465.5,6702,3198738.0,199
2024-02-06,470.5,470.5,454.0,6332,2958926.5,152
2024-02-05,463.0,474.3,452.0,3365,1550629.0,135
2024-02-04,454.0,468.8,446.3,5359,2462039.5,146
2024-02-01,464.0,472.4,456.0,10733,4944338.2,125
2024-01-31,482.0,486.0,466.0,8678,4158578.7,152
2024-01-30,483.0,508.0,470.6,8744,4291858.7,206
2024-01-29,500.0,500.0,452.0,10035,4748477.6,266
2024-01-28,460.0,465.0,446.5,4314,1962822.6,164
2024-01-25,451.0,463.0,438.3,5954,2681876.0,141
2024-01-24,445.2,465.0,441.0,6547,2924852.0,156
2024-01-23,441.0,447.0,426.0,3826,1673719.3,137
2024-01-22,450.0,478.0,437.0,9756,4420429.7,258
2024-01-21,464.0,488.0,460.0,5192,2416643.5,164
2024-01-18,469.8,488.0,461.3,13216,6170822.6,191
2024-01-17,480.1,514.2,480.1,15509,7623517.2,232
2024-01-16,504.2,513.0,487.6,16135,8135496.7,298
2024-01-14,506.0,506.0,470.0,14211,7054589.4,295
2024-01-11,478.0,478.8,460.2,10853,5115294.0,156
2024-01-10,469.5,490.0,456.0,14115,6601554.4,236
2024-01-09,471.5,500.0,470.0,26226,1.2722167E7,306
2024-01-08,500.0,512.0,466.0,22822,1.12011908E7,293
2024-01-07,502.0,503.8,440.0,29770,1.3744217E7,417
2024-01-04,458.0,460.9,411.0,36526,1.56610056E7,309
2024-01-03,419.0,419.0,392.1,3464,1391280.8,181
2024-01-02,400.0,400.0,392.0,12166,4833275.0,143
2024-01-01,405.1,416.0,405.1,18965,7763066.6,226
2023-12-28,415.1,420.0,410.0,5814,2427787.0,201
2023-12-27,414.5,427.0,411.0,9349,3891746.7,252
2023-12-24,415.0,429.2,391.1,23284,9640276.7,316
2023-12-21,399.0,416.0,392.1,5596,2253229.1,143
2023-12-20,408.0,414.1,390.2,23092,9254181.2,210
2023-12-19,398.1,402.0,390.0,10787,4259190.8,129
2023-12-18,402.2,419.9,400.0,11102,4514959.8,206
2023-12-17,413.6,413.6,361.0,24877,9637529.9,306
2023-12-14,376.0,388.0,349.5,9993,3663834.6,170
2023-12-13,362.0,365.0,350.9,16471,5915001.5,164
2023-12-12,357.0,368.0,330.0,16818,5823294.9,226
2023-12-11,335.0,367.0,331.3,9133,3119255.6,168
2023-12-10,348.0,360.0,339.6,340,120411.0,7
2023-12-07,333.0,333.8,325.1,1710,562793.0,64
2023-12-06,330.0,336.6,323.4,2250,735844.1,62
2023-12-05,330.0,351.0,330.0,1690,561082.0,49
2023-12-04,344.5,348.0,330.0,1912,641335.4,71
2023-12-03,343.9,346.0,321.0,1377,452980.2,61
2023-11-30,340.0,341.5,330.0,2380,798434.0,57
2023-11-29,348.0,350.0,332.0,2396,822667.0,58
2023-11-28,351.0,351.0,335.3,5321,1836512.0,95
2023-11-27,349.0,352.0,336.2,2213,753069.8,87
2023-11-26,349.5,350.0,335.0,8571,2937605.2,100
2023-11-23,350.0,350.0,318.0,4055,1370813.0,89
2023-11-22,337.0,340.0,310.2,930,300991.0,54
2023-11-21,327.9,328.0,305.0,420,133903.0,42
2023-11-20,329.0,334.0,321.0,1205,395665.0,74
2023-11-09,326.8,332.9,320.2,1206,390165.5,34
2023-11-08,326.7,327.9,304.0,2030,645987.0,45
2023-11-07,316.1,333.0,313.7,2200,701158.0,79
2023-11-06,320.1,330.0,312.3,1580,505691.0,67
2023-11-05,325.0,325.4,304.1,640,202967.0,32
2023-11-02,332.0,334.0,310.0,3510,1104229.6,85
2023-11-01,328.0,338.9,314.6,3970,1261635.0,67
2023-10-31,327.4,327.4,319.0,1900,611612.0,72
2023-10-30,324.8,352.0,324.8,6151,2032201.0,63
2023-10-29,348.0,348.0,348.0,0,0.0,0
2023-10-19,348.0,348.0,330.3,2632,877072.0,58
2023-10-18,343.0,343.7,325.0,1360,457629.0,51
2023-10-17,340.0,343.0,315.0,1542,507505.0,88
2023-10-16,331.3,331.3,319.0,590,189435.0,52
2023-10-12,338.0,340.0,322.0,2110,690941.0,107
2023-10-11,340.0,348.0,331.5,1725,577183.0,88
2023-10-10,345.0,346.9,333.2,3790,1279518.0,71
2023-10-09,353.9,353.9,328.1,2191,734805.0,100
2023-10-08,342.0,350.0,335.0,3525,1192135.0,106
2023-10-05,355.0,355.0,344.0,1121,390740.0,87
2023-10-04,360.0,367.2,346.2,6090,2133263.0,116
2023-10-03,365.0,369.8,342.2,4372,1526985.4,114
2023-10-02,364.0,364.0,337.0,8722,3054193.4,168
2023-10-01,353.4,371.5,345.1,4933,1726593.1,116
2023-09-27,379.0,387.6,344.1,8809,3110590.7,131
2023-09-26,360.0,360.0,338.1,6881,2398454.4,192
2023-09-25,342.7,342.7,324.0,3869,1296968.3,155
2023-09-24,326.1,346.0,325.5,3784,1250549.0,106
2023-09-21,334.0,337.0,323.0,9854,3272013.0,195
2023-09-19,317.0,323.0,299.0,5732,1812053.5,108
2023-09-18,304.0,311.9,298.0,2383,723146.0,54
2023-09-17,304.0,321.0,300.0,3493,1082439.0,127
2023-09-13,315.0,315.0,300.9,2310,716826.0,70
2023-09-12,304.2,314.0,302.3,2111,647058.2,58
2023-09-11,308.0,320.5,297.0,1900,590265.0,79
2023-09-10,302.2,311.1,295.0,1390,423771.0,86
2023-09-07,299.6,300.0,293.0,4630,1383146.0,66
2023-09-05,303.0,303.0,298.0,991,296315.8,57
2023-09-04,303.0,309.6,298.1,1822,547595.4,76
2023-09-03,303.6,307.0,300.9,1140,344610.0,78
2023-08-30,307.0,317.9,304.1,1042,323130.0,72
2023-08-29,315.3,316.0,308.7,1490,461673.5,81
2023-08-28,314.8,327.1,291.1,2773,879147.3,96
2023-08-27,308.4,311.1,298.2,1222,373877.0,64
