BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,4686.0,4810.0,4657.0,688,3251752.0,49
2024-08-22,4802.0,4898.9,4802.0,936,4530493.9,42
2024-08-21,4834.0,4982.7,4832.0,587,2876624.5,29
2024-08-18,4885.0,5190.0,4885.0,2271,1.14168276E7,98
2024-08-15,4900.0,5011.0,4900.0,1550,7680862.0,87
2024-08-14,4825.0,5052.0,4805.0,1245,6130341.0,57
2024-08-13,4856.1,5120.0,4820.0,1455,7198256.0,73
2024-08-12,5020.0,5314.0,5000.0,956,4842572.9,58
2024-08-11,5110.0,5115.0,4920.0,3629,1.83157559E7,148
2024-08-08,4900.0,4922.6,4406.0,3830,1.8017783E7,164
2024-08-07,4475.1,4540.0,4400.0,1045,4684532.0,50
2024-08-06,4440.0,4708.4,4370.0,1456,6604481.0,77
2024-08-05,4616.1,4700.0,4590.0,1445,6717665.0,63
2024-08-01,4599.9,4689.0,4570.0,852,3947090.0,46
2024-07-31,4620.0,4690.0,4581.0,1473,6811655.5,66
2024-07-30,4517.2,4620.0,4411.0,844,3834045.5,34
2024-07-29,4449.0,4760.0,4362.0,1380,6410561.0,66
2024-07-28,4709.0,4845.0,4530.0,1609,7465837.0,81
2024-07-25,4590.0,4641.0,4470.0,1557,7091079.1,72
2024-07-24,4550.0,4740.0,4480.1,1153,5303522.0,72
2024-07-23,4654.0,4670.0,4580.0,1131,5212251.0,52
2024-07-22,4530.0,4605.0,4500.0,1141,5203850.0,61
2024-07-21,4599.0,4692.0,4360.0,3973,1.80138957E7,176
2024-07-18,4275.0,4396.0,4275.0,1738,7531896.0,68
2024-07-17,4310.0,4364.5,4182.0,1574,6768567.3,72
2024-07-16,4279.0,4279.0,4015.0,1016,4226247.5,44
2024-07-15,4087.0,4130.0,3975.5,495,2005665.0,15
2024-07-14,4050.0,4150.0,4026.1,458,1868869.5,20
2024-07-11,4015.0,4050.0,4000.0,463,1864976.0,14
2024-07-10,4000.0,4000.0,3961.0,196,781994.0,13
2024-07-09,4000.0,4050.0,3969.0,369,1470103.0,19
2024-07-08,3950.0,3986.0,3950.0,185,734912.0,10
2024-07-07,4050.0,4050.0,3970.0,238,957421.0,14
2024-07-04,4050.0,4140.0,4050.0,727,2969629.3,34
2024-07-03,4060.0,4111.0,3901.1,1565,6334771.5,79
2024-07-02,3880.1,3999.4,3875.0,261,1023460.1,11
2024-07-01,3921.0,3955.0,3851.0,70,273960.0,6
2024-06-30,3920.0,4000.0,3892.0,593,2320697.0,31
2024-06-27,3928.0,3980.0,3880.0,230,897102.0,14
2024-06-26,3954.0,4029.0,3945.0,712,2827175.0,34
2024-06-25,4000.0,4136.0,3935.0,398,1601035.0,25
2024-06-24,3901.1,3949.0,3868.0,566,2219250.2,25
2024-06-23,3890.0,3984.0,3885.0,741,2892731.0,29
2024-06-20,3918.0,3993.0,3916.1,290,1137121.3,14
2024-06-19,3968.0,4050.4,3920.0,1060,4207227.5,30
2024-06-18,3970.5,4129.0,3969.0,1136,4583486.0,60
2024-06-16,3995.0,4180.9,3979.0,635,2583735.5,37
2024-06-13,4060.0,4145.2,3975.0,1386,5617755.0,57
2024-06-12,3975.0,4081.0,3975.0,1549,6211992.4,83
2024-06-11,3999.0,4080.0,3839.0,1717,6728217.5,77
2024-06-10,3785.0,3854.0,3784.0,534,2043199.3,25
2024-06-09,3830.0,3850.0,3761.0,628,2406193.0,31
2024-06-06,3832.0,3837.5,3724.0,544,2053247.0,24
2024-06-05,3800.0,3893.9,3684.8,1380,5157650.0,54
2024-06-04,3870.0,3920.0,3841.0,477,1838371.0,26
2024-06-03,3870.0,3900.0,3811.3,100,385083.0,9
2024-06-02,3889.0,3890.0,3750.0,504,1934698.5,34
2024-05-30,3756.2,3875.0,3756.2,350,1326725.0,18
2024-05-29,3846.0,3970.0,3822.0,853,3306214.5,53
2024-05-27,3752.2,3800.0,3700.0,500,1887838.0,26
2024-05-26,3711.1,3770.0,3711.1,205,763848.0,12
2024-05-22,3725.0,3778.0,3715.5,205,766787.0,10
2024-05-21,3775.0,3778.0,3740.0,216,810868.0,11
2024-05-20,3750.0,3796.0,3737.0,100,375510.0,7
2024-05-19,3780.1,3830.0,3715.1,747,2821780.0,42
2024-05-16,3700.0,3740.0,3699.0,297,1102924.5,22
2024-05-15,3728.9,3788.0,3700.0,200,743244.0,15
2024-05-14,3742.0,3750.0,3708.0,75,279530.0,7
2024-05-13,3732.0,3732.0,3631.0,265,981260.0,14
2024-05-12,3700.0,3751.0,3680.0,182,676903.0,14
2024-05-09,3749.0,3784.0,3650.0,225,833175.0,13
2024-05-08,3737.0,3858.6,3634.0,251,931699.0,18
2024-05-07,3709.0,3724.0,3670.0,155,574193.0,10
2024-05-06,3699.8,3800.0,3651.1,190,704158.0,14
2024-05-05,3726.0,3726.0,3635.0,497,1824512.0,31
2024-05-02,3691.0,3760.0,3691.0,160,595408.0,15
2024-04-30,3700.0,3759.0,3660.1,160,594242.0,13
2024-04-29,3688.0,3745.4,3688.0,199,736534.0,12
2024-04-28,3672.0,3720.0,3671.0,176,653046.0,8
2024-04-25,3700.0,3730.0,3691.0,350,1296910.0,16
2024-04-24,3779.0,3779.0,3700.0,150,556625.0,9
2024-04-22,3785.0,3785.0,3785.0,10,37850.0,1
2024-04-21,3760.0,3765.0,3640.0,445,1635070.5,25
2024-04-18,3700.0,3700.0,3680.0,110,406510.0,8
2024-04-16,3700.0,3730.0,3650.0,350,1293017.0,17
2024-04-15,3721.6,3800.0,3701.0,464,1734471.8,22
2024-04-14,3848.0,3854.0,3665.0,255,968825.0,15
2024-04-10,3681.0,3830.0,3681.0,1055,3947855.0,49
2024-04-09,3850.0,3860.7,3760.0,82,312367.0,8
2024-04-07,3785.0,3875.0,3785.0,65,249765.0,5
2024-04-04,3825.0,3825.0,3801.0,103,392238.0,3
2024-04-03,3800.0,3878.0,3800.0,223,851032.0,7
2024-04-02,3879.9,3927.0,3802.4,125,483868.0,11
2024-04-01,3775.1,3845.9,3775.1,130,497032.0,9
2024-03-31,3775.0,3850.0,3775.0,89,338005.0,7
2024-03-28,3830.0,3830.0,3772.0,56,211825.0,4
2024-03-27,3839.9,3839.9,3751.0,724,2724301.8,18
2024-03-26,3800.0,3875.0,3800.0,130,495910.0,10
2024-03-25,3815.0,3850.0,3800.0,280,1069050.0,16
2024-03-21,3825.0,3918.0,3770.0,450,1712813.5,25
2024-03-20,3843.9,3850.0,3813.0,503,1928735.8,30
2024-03-19,3845.0,3970.9,3836.0,120,466448.0,9
2024-03-18,3894.0,3894.0,3845.0,446,1719577.4,18
2024-03-17,3899.8,3964.9,3830.1,236,918237.2,15
2024-03-14,3900.0,3900.0,3835.9,215,830376.7,14
2024-03-13,3949.0,4072.8,3872.0,618,2432427.7,26
2024-03-12,3993.0,3995.0,3866.8,969,3822341.0,35
2024-03-10,3915.0,3980.0,3862.1,524,2043170.4,34
2024-03-07,3979.8,3989.9,3786.0,985,3801831.0,42
2024-03-06,3941.0,4010.0,3860.0,464,1825333.7,34
2024-03-05,3865.0,4155.0,3800.0,1246,4863822.0,59
2024-03-04,4080.0,4080.0,4080.0,10,40800.0,1
2024-03-03,4000.0,4320.0,3884.0,1287,5103049.5,82
2024-02-29,4161.0,4427.0,4106.5,5573,2.40098516E7,274
2024-02-28,4026.0,4026.0,3709.0,3924,1.53307835E7,193
2024-02-27,3660.0,3661.8,3525.0,164,595570.0,12
2024-02-26,3590.0,3633.0,3562.0,150,541681.0,9
2024-02-25,3621.0,3699.0,3577.0,169,612681.0,13
2024-02-22,3650.0,3750.0,3610.0,1006,3720329.0,47
2024-02-21,3560.0,3600.8,3540.0,68,242288.0,5
2024-02-20,3530.2,3531.0,3530.1,80,282437.0,8
2024-02-18,3570.0,3622.0,3548.0,204,729131.0,15
2024-02-15,3635.8,3700.0,3635.8,359,1311133.0,21
2024-02-14,3710.0,3710.0,3640.0,342,1252693.5,18
2024-02-13,3700.0,3750.0,3675.0,345,1287450.0,14
2024-02-12,3700.0,3700.0,3656.2,125,460116.5,5
2024-02-11,3710.0,3760.0,3671.0,100,369780.0,10
2024-02-08,3738.0,3750.0,3665.0,60,222205.0,6
2024-02-07,3694.0,3759.8,3680.0,199,742009.9,14
2024-02-06,3686.1,3730.0,3681.0,240,886865.0,15
2024-02-05,3672.0,3802.4,3666.0,788,2919364.0,55
2024-02-04,3879.9,3879.9,3879.9,10,38799.0,1
2024-02-01,3959.0,3959.0,3959.0,0,0.0,0
2024-01-31,3959.0,3959.0,3959.0,0,0.0,0
2024-01-30,3959.0,3964.0,3700.0,458,1726392.0,21
2024-01-29,3677.0,3700.0,3656.0,215,794039.0,8
2024-01-28,3674.0,3710.0,3674.0,50,185040.0,5
2024-01-25,3655.0,3727.0,3651.0,324,1195686.0,16
2024-01-24,3680.0,3728.1,3680.0,120,444361.0,10
2024-01-23,3655.0,3725.0,3655.0,132,485592.0,11
2024-01-22,3720.0,3750.0,3650.0,233,866151.0,10
2024-01-21,3715.0,3888.0,3711.0,473,1778536.0,20
2024-01-18,3830.0,3860.0,3774.0,294,1118022.0,18
2024-01-17,3851.0,3930.0,3850.0,503,1953454.0,23
2024-01-16,3861.2,3940.0,3850.0,956,3721219.0,28
2024-01-14,3877.0,3877.0,3805.1,145,556284.0,10
2024-01-11,3830.0,3830.0,3807.0,92,351271.8,8
2024-01-10,3870.0,3880.0,3864.0,180,696660.0,13
2024-01-09,3864.0,3937.0,3850.0,563,2181999.0,29
2024-01-08,3875.0,3875.0,3765.0,722,2758008.0,27
2024-01-07,3765.0,3839.0,3765.0,150,567970.9,11
2024-01-04,3839.0,3853.5,3789.0,295,1121735.0,19
2024-01-03,3778.0,3850.0,3775.2,265,1011634.5,19
2024-01-02,3775.2,3850.0,3775.2,185,703897.0,16
2024-01-01,3850.0,3998.0,3843.0,181,705299.3,16
2023-12-28,3865.0,3977.0,3865.0,306,1194499.0,17
2023-12-27,3900.0,4099.0,3870.0,931,3681000.5,34
2023-12-24,4098.0,4199.0,4073.1,1810,7506844.6,68
2023-12-21,4156.1,4275.0,4125.0,1359,5716899.1,82
2023-12-20,4070.0,4100.0,3900.0,1885,7604574.0,73
2023-12-19,3900.0,3942.0,3841.0,379,1468299.0,22
2023-12-18,3865.0,3930.0,3760.0,833,3217201.6,43
2023-12-17,3750.0,3888.0,3750.0,151,571813.0,14
2023-12-14,3830.0,3955.0,3820.0,90,347509.0,9
2023-12-13,3804.0,3967.0,3804.0,440,1719493.0,21
2023-12-12,3890.0,3900.0,3680.0,354,1325583.2,13
2023-12-11,3676.0,3737.0,3621.6,462,1707777.0,30
2023-12-10,3550.6,3550.6,3550.6,0,0.0,0
2023-12-07,3550.6,3685.0,3481.0,315,1119158.2,19
2023-12-06,3548.3,3680.0,3478.8,386,1387640.0,27
2023-12-05,3410.6,3710.0,3410.4,544,1913540.2,33
2023-12-04,3770.0,3775.0,3743.0,115,432515.0,9
2023-12-03,3819.0,3820.0,3675.0,188,709753.0,11
2023-11-30,3825.0,3840.0,3790.0,124,474530.0,4
2023-11-29,3825.0,3830.0,3746.0,364,1399518.0,14
2023-11-28,3899.0,3926.9,3814.0,230,885227.0,10
2023-11-27,4007.0,4007.0,3630.0,1017,3889993.5,36
2023-11-26,3776.0,3776.0,3631.2,150,561472.0,12
2023-11-23,3560.0,3560.0,3519.0,70,247980.0,6
2023-11-22,3590.0,3590.0,3590.0,10,35900.0,1
2023-11-21,3520.0,3525.0,3508.4,49,172224.0,4
2023-11-20,3580.0,3600.0,3574.7,136,486668.0,10
2023-11-09,3647.6,3647.6,3647.6,10,36476.0,1
2023-11-08,3722.0,3722.0,3650.0,90,333300.0,8
2023-11-07,3600.0,3630.0,3590.0,139,503619.0,11
2023-11-06,3590.0,3590.0,3550.0,75,267670.0,6
2023-11-05,3501.0,3505.0,3500.0,35,122565.0,3
2023-11-02,3500.0,3502.0,3500.0,100,350130.0,7
2023-11-01,3505.0,3576.1,3437.0,125,439599.8,8
2023-10-31,3506.0,3506.0,3405.5,77,267409.0,7
2023-10-30,3545.0,3550.0,3500.0,112,395141.0,8
2023-10-29,3512.0,3648.0,3512.0,130,463475.8,7
2023-10-19,3650.9,3650.9,3650.9,18,65716.2,1
2023-10-18,3650.0,3650.0,3570.0,184,663090.0,8
2023-10-17,3500.0,3621.0,3495.0,490,1724093.0,27
2023-10-16,3550.0,3671.0,3501.0,285,1011847.0,17
2023-10-12,3634.0,3700.0,3616.0,185,676716.0,10
2023-10-11,3720.0,3720.0,3595.0,415,1518475.0,24
2023-10-10,3729.9,3729.9,3615.0,40,146472.0,3
2023-10-09,3670.0,3674.0,3670.0,157,576152.0,13
2023-10-08,3670.0,3680.0,3635.0,105,385077.0,7
2023-10-05,3686.0,3827.0,3681.0,190,714196.0,10
2023-10-04,3680.0,3797.0,3680.0,175,656380.0,9
2023-10-03,3651.0,3740.0,3631.0,451,1648849.6,27
2023-10-02,3705.0,3750.0,3700.0,103,382204.0,9
2023-10-01,3665.1,3895.0,3665.1,158,592303.0,10
2023-09-27,3785.0,3926.0,3736.0,445,1680445.0,24
2023-09-26,3851.0,4023.0,3851.0,285,1106963.0,17
2023-09-25,3945.0,4000.0,3920.0,80,315490.0,6
2023-09-24,3929.0,4000.0,3870.0,320,1253076.0,22
2023-09-21,3870.1,3949.0,3855.1,190,738876.0,12
2023-09-19,3800.0,3919.0,3763.9,175,669199.0,12
2023-09-18,3998.9,3998.9,3770.0,45,174199.0,4
2023-09-17,3770.0,4000.0,3770.0,389,1513359.9,24
2023-09-13,3927.0,3927.0,3823.0,393,1530310.3,14
2023-09-12,3765.0,3823.0,3765.0,153,579190.0,13
2023-09-11,3851.0,3875.0,3750.0,464,1767709.2,29
2023-09-10,3715.0,3749.0,3700.0,249,924284.0,16
2023-09-07,3655.0,3701.1,3651.0,270,991410.0,17
2023-09-05,3723.0,3823.0,3711.0,186,696743.0,12
2023-09-04,3823.9,3901.0,3749.0,160,607487.0,10
2023-09-03,3825.0,3850.0,3750.0,220,829478.0,18
2023-08-30,3909.0,3909.7,3800.0,150,581596.0,13
2023-08-29,3900.0,3900.0,3813.2,60,229784.0,5
2023-08-28,3891.0,3970.0,3820.1,280,1078421.0,16
2023-08-27,3898.0,3900.0,3801.0,125,480330.0,11
