BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,17052.0,17400.0,17052.0,170,2913347.0,12
2024-08-22,17294.0,18000.0,17294.0,130,2291530.0,12
2024-08-21,18000.0,18056.0,18000.0,30,541080.0,3
2024-08-18,17702.0,18691.7,17702.0,90,1639777.0,9
2024-08-15,18691.7,19074.0,18401.0,172,3234337.0,15
2024-08-14,18700.0,18768.0,18400.0,215,4007155.0,15
2024-08-13,19111.0,19150.0,19111.0,20,382610.0,2
2024-08-12,19500.0,19500.0,19200.1,104,2019501.4,7
2024-08-11,19800.0,19850.0,19425.0,120,2367491.0,12
2024-08-08,19450.0,20625.0,19404.4,130,2576541.0,11
2024-08-07,19835.2,19835.2,18392.6,160,3120354.0,16
2024-08-06,18032.0,19080.0,18032.0,130,2415217.0,12
2024-08-05,18970.0,19916.0,18968.0,80,1555748.0,8
2024-08-01,19143.0,19143.0,18400.0,50,933110.0,4
2024-07-31,18768.0,19110.0,18370.0,205,3800956.0,13
2024-07-30,19500.0,19500.0,19000.0,50,966400.0,4
2024-07-29,19000.0,20640.0,19000.0,348,6788018.0,29
2024-07-28,20650.0,21012.0,20000.0,200,4114672.0,18
2024-07-25,20600.0,20679.0,19176.0,100,2011505.0,10
2024-07-24,18800.0,21351.6,18438.9,505,9750594.0,29
2024-07-23,19410.6,19410.6,17995.0,240,4511894.0,21
2024-07-22,17646.0,17646.0,17300.0,70,1218460.0,6
2024-07-21,17501.0,17800.0,17340.0,85,1493032.0,8
2024-07-18,17000.0,17000.0,16642.0,80,1339620.0,8
2024-07-17,16595.0,16595.0,16318.0,130,2143530.0,13
2024-07-16,15999.0,15999.0,15999.0,30,479970.0,1
2024-07-15,15705.0,15705.0,15705.0,10,157050.0,1
2024-07-14,16000.5,16131.3,15815.0,30,479468.0,3
2024-07-11,15505.0,15605.0,15463.1,80,1241117.0,7
2024-07-10,15760.0,15760.0,15760.0,0,0.0,0
2024-07-09,15760.0,16075.0,15760.0,50,794320.0,5
2024-07-08,16399.0,16399.0,16168.0,20,325670.0,2
2024-07-07,15851.8,15851.8,15851.0,20,317028.0,2
2024-07-04,15541.0,15541.0,15541.0,10,155410.0,1
2024-07-03,15847.0,16170.0,15847.0,30,478640.0,3
2024-07-02,16500.0,16500.0,16500.0,10,165000.0,1
2024-07-01,16218.0,16218.0,15557.6,100,1589606.0,10
2024-06-30,15875.1,15875.1,15875.1,0,0.0,0
2024-06-27,15875.1,15875.1,15875.1,0,0.0,0
2024-06-26,15875.1,15875.1,15875.1,0,0.0,0
2024-06-25,15875.1,16199.0,15875.1,20,320741.0,2
2024-06-24,15912.0,15912.0,15600.0,30,474240.0,3
2024-06-23,15368.0,15680.0,15368.0,20,310480.0,2
2024-06-20,15680.0,15680.0,15680.0,0,0.0,0
2024-06-19,15680.0,15680.1,15680.0,20,313601.0,2
2024-06-18,16000.0,16000.0,16000.0,40,640000.0,2
2024-06-16,15825.6,15825.6,15825.6,20,316512.0,2
2024-06-13,16148.5,16148.5,16148.5,0,0.0,0
2024-06-12,16148.5,16148.6,16148.5,20,322971.0,2
2024-06-11,16478.0,16478.0,16478.0,0,0.0,0
2024-06-10,16478.0,16478.0,16478.0,0,0.0,0
2024-06-09,16478.0,16478.0,16478.0,50,823900.0,1
2024-06-06,16155.0,16155.0,16151.0,50,807590.0,2
2024-06-05,16449.1,16449.1,16371.0,20,328201.0,2
2024-06-04,16050.0,16050.0,15850.0,160,2558490.0,5
2024-06-03,16000.0,16000.0,16000.0,20,320000.0,2
2024-06-02,15840.1,16100.0,15840.1,44,704401.0,4
2024-05-30,16399.0,16411.0,16399.0,30,492090.0,3
2024-05-29,16090.0,16090.0,15550.0,105,1659640.0,7
2024-05-27,15450.0,15555.0,15123.4,60,918784.0,6
2024-05-26,15432.0,15432.0,15432.0,10,154320.0,1
2024-05-22,15746.0,15801.0,15746.0,30,472970.0,3
2024-05-21,16065.0,16065.0,16065.0,0,0.0,0
2024-05-20,16065.0,16065.0,16065.0,0,0.0,0
2024-05-19,16065.0,16392.0,16065.0,60,970442.0,4
2024-05-16,16071.0,16200.0,16071.0,40,644131.0,3
2024-05-15,16398.0,16398.0,16320.0,30,490380.0,3
2024-05-14,16000.0,16000.0,16000.0,20,320000.0,2
2024-05-13,16078.0,16078.0,15800.0,52,830406.0,4
2024-05-12,15763.0,15763.0,15763.0,10,157630.0,1
2024-05-09,15454.0,15454.0,15151.0,20,306050.0,2
2024-05-08,15450.0,15450.0,15449.9,20,308999.0,2
2024-05-07,15450.0,15450.0,15400.0,40,617500.0,3
