BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,15666.0,15890.0,15652.1,350,5498874.0,28
2024-08-22,15900.0,16320.0,15750.0,384,6105535.0,33
2024-08-21,16000.0,16233.9,15910.0,371,5949613.0,32
2024-08-18,15810.0,16687.2,15810.0,373,5998734.0,33
2024-08-15,16043.6,16999.9,16043.6,817,1.33428515E7,58
2024-08-14,16500.0,16500.0,15991.0,964,1.5597494E7,75
2024-08-13,16680.0,17099.0,16667.0,384,6430960.8,29
2024-08-12,17000.0,17298.0,17000.0,995,1.6984066E7,69
2024-08-11,17080.0,17523.0,16857.2,1308,2.236706E7,112
2024-08-08,16600.0,17129.9,15900.0,914,1.51643305E7,66
2024-08-07,16551.0,16695.0,15700.2,911,1.4840912E7,65
2024-08-06,15666.0,17000.0,15560.0,824,1.336558E7,67
2024-08-05,16750.0,17100.0,16510.0,1263,2.1370334E7,85
2024-08-01,16510.0,17023.0,16400.0,1134,1.9094824E7,67
2024-07-31,16691.0,17400.0,16660.0,1804,3.0270964E7,61
2024-07-30,17070.0,17136.0,16300.0,1071,1.7884443E7,87
2024-07-29,16800.0,18100.0,16752.0,1838,3.18917155E7,121
2024-07-28,17899.0,18100.0,16701.0,3160,5.5786852E7,145
2024-07-25,17099.0,17748.0,16405.4,2403,4.0889951E7,154
2024-07-24,16412.0,16412.0,14900.0,5709,9.2445386E7,229
2024-07-23,14920.0,15195.0,14001.0,1653,2.39846901E7,105
2024-07-22,13907.0,14285.0,13729.8,896,1.25322965E7,57
2024-07-21,14010.0,14585.0,13916.0,2031,2.90132219E7,122
2024-07-18,13700.0,14700.0,13700.0,661,9241648.0,52
2024-07-17,13900.0,14076.0,13260.0,1043,1.41746629E7,77
2024-07-16,13259.9,13259.9,12800.1,823,1.07381585E7,38
2024-07-15,13000.0,13050.0,12800.0,181,2336843.1,16
2024-07-14,13000.0,13099.0,12546.0,675,8749544.0,53
2024-07-11,12300.0,12848.0,12300.0,963,1.213875E7,66
2024-07-10,12710.0,12877.0,12557.0,210,2675170.0,17
2024-07-09,12651.0,12700.0,12651.0,120,1521090.0,11
2024-07-08,12700.0,12900.0,12675.1,430,5472354.0,27
2024-07-07,12700.0,12820.0,12700.0,670,8524154.0,30
2024-07-04,12700.0,12755.0,12672.0,555,7057087.0,35
2024-07-03,12800.0,12900.0,12625.0,100,1269051.0,7
2024-07-02,12721.0,12997.0,12721.0,120,1545908.0,9
2024-07-01,12611.0,13110.0,12611.0,333,4301547.0,27
2024-06-30,12601.0,12896.0,12587.0,302,3822682.0,22
2024-06-27,12700.0,12702.0,12644.0,120,1520970.0,11
2024-06-26,12710.0,12904.0,12653.0,130,1668530.0,6
2024-06-25,12765.0,12900.0,12765.0,50,639610.0,5
2024-06-24,12680.0,12954.0,12670.1,112,1431281.0,10
2024-06-23,12700.0,13200.0,12700.0,220,2818874.0,19
2024-06-20,12713.0,12998.0,12682.0,242,3088437.6,20
2024-06-19,12800.0,13055.0,12630.0,384,4931764.2,28
2024-06-18,12799.0,12800.0,12710.0,140,1786430.0,12
2024-06-16,12800.0,12800.0,12700.0,145,1846203.0,14
2024-06-13,12826.0,13000.0,12826.0,232,2988150.0,18
2024-06-12,12824.0,13020.0,12766.0,482,6228147.9,36
2024-06-11,12761.0,12970.0,12718.0,553,7046491.2,44
2024-06-10,12802.0,13000.0,12752.0,325,4170438.0,17
2024-06-09,12750.0,13000.0,12750.0,380,4870056.0,22
2024-06-06,12906.0,13160.0,12795.0,229,2965481.0,21
2024-06-05,12800.0,13006.0,12501.0,435,5573005.0,21
2024-06-04,12671.2,13260.0,12671.2,164,2104779.0,15
2024-06-03,12910.2,13000.0,12910.2,190,2462142.0,16
2024-06-02,13000.0,13200.0,12900.0,260,3374503.0,20
2024-05-30,13000.0,13430.0,12920.0,250,3273054.0,20
2024-05-29,12913.2,13500.0,12913.2,865,1.13956629E7,62
2024-05-27,12761.1,13000.0,12620.0,200,2557858.0,17
2024-05-26,12761.0,13150.0,12761.0,165,2134615.0,16
2024-05-22,12800.0,12800.0,12601.0,465,5895606.0,29
2024-05-21,12800.0,13100.0,12700.0,671,8678002.1,21
2024-05-20,12650.0,13288.0,12650.0,840,1.0842095E7,50
2024-05-19,12842.0,13066.2,12590.0,101,1295408.0,10
2024-05-16,12810.0,13000.0,12810.0,160,2053020.0,14
2024-05-15,13000.0,13224.3,12800.0,350,4564938.0,28
2024-05-14,12711.0,12985.0,12524.4,250,3191840.0,24
2024-05-13,12780.0,12780.0,12451.0,240,3013190.0,14
2024-05-12,12690.0,13109.0,12690.0,155,1986624.0,15
2024-05-09,12600.0,13900.0,12403.0,700,8892695.0,50
