BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,604.0,623.0,600.0,8491,5144400.9,144
2024-08-22,619.0,652.0,603.7,12552,7733300.3,268
2024-08-21,608.0,630.0,607.6,12323,7587208.3,222
2024-08-18,620.0,645.0,620.0,13110,8268642.2,215
2024-08-15,645.0,689.8,643.0,24957,1.651935E7,301
2024-08-14,665.0,667.0,634.0,37038,2.43747532E7,392
2024-08-13,645.0,665.0,639.6,12275,7976821.1,199
2024-08-12,652.6,678.3,620.0,30813,2.00443994E7,423
2024-08-11,630.0,640.7,614.0,19065,1.20156975E7,264
2024-08-08,626.0,639.0,622.0,10697,6715234.1,159
2024-08-07,639.9,648.0,609.0,8654,5463983.4,202
2024-08-06,621.0,655.0,621.0,17372,1.11313728E7,238
2024-08-05,640.9,648.0,626.0,17808,1.13739033E7,284
2024-08-01,625.0,640.0,625.0,10152,6413085.4,208
2024-07-31,640.0,649.7,627.1,17614,1.12287275E7,260
2024-07-30,637.0,637.0,621.0,13659,8622872.1,210
2024-07-29,630.1,638.0,624.3,8592,5439457.8,168
2024-07-28,626.0,646.0,624.0,9730,6139768.6,163
2024-07-25,634.0,644.5,624.0,14731,9381087.3,186
2024-07-24,633.3,659.0,632.4,16391,1.05823825E7,229
2024-07-23,648.0,654.0,641.2,20456,1.32659345E7,231
2024-07-22,646.0,654.0,637.0,7619,4923969.4,160
2024-07-21,648.3,667.6,644.0,29699,1.93351542E7,289
2024-07-18,654.6,663.1,643.1,25070,1.63876854E7,290
2024-07-17,650.0,664.9,635.0,19832,1.29128539E7,215
2024-07-16,655.0,659.0,640.0,43195,2.8061287E7,256
2024-07-15,637.0,661.0,636.0,13513,8697710.4,173
2024-07-14,649.0,668.1,647.1,15591,1.02116823E7,152
2024-07-11,655.0,668.0,641.5,45136,2.96371531E7,272
2024-07-10,667.8,727.2,667.8,63030,4.24114621E7,529
2024-07-09,742.0,742.0,657.0,30415,2.02473538E7,280
2024-07-08,675.1,705.0,651.7,31776,2.12885504E7,213
2024-07-07,665.0,680.0,653.2,46370,3.08500723E7,373
2024-07-04,640.4,652.8,622.3,11878,7656322.2,138
2024-07-03,635.0,645.0,620.3,11769,7419504.6,100
2024-07-02,645.0,701.0,637.1,5450,3577657.0,63
2024-07-01,649.0,653.8,642.0,11325,7366338.2,84
2024-06-30,641.0,647.0,631.0,8250,5270472.0,99
2024-06-27,640.0,653.0,631.0,8763,5616277.9,74
2024-06-26,641.1,667.9,639.1,8640,5544821.0,100
2024-06-25,655.0,691.0,649.0,17362,1.14473297E7,122
2024-06-24,675.0,711.4,653.4,16396,1.0945463E7,181
2024-06-23,725.9,726.0,633.0,30234,2.00461395E7,272
2024-06-20,671.1,696.0,646.8,58921,3.94119035E7,293
2024-06-19,660.0,688.0,639.9,55418,3.64867948E7,404
2024-06-18,640.1,642.8,616.5,32139,2.03727346E7,188
2024-06-16,629.0,635.0,596.0,20294,1.26763963E7,195
2024-06-13,607.3,619.0,597.1,16468,9997439.7,143
2024-06-12,609.0,625.0,605.0,14820,9057711.2,166
2024-06-11,628.0,630.0,620.1,4945,3085597.0,89
2024-06-10,624.1,656.0,617.1,17818,1.12372635E7,162
2024-06-09,643.5,700.7,643.5,47275,3.06814542E7,333
2024-06-06,715.0,715.0,622.1,35257,2.28170354E7,223
2024-06-05,650.7,686.0,622.3,21282,1.36559516E7,178
2024-06-04,635.0,710.0,620.0,45110,2.91299108E7,338
2024-06-03,672.0,672.0,596.9,66873,4.20864417E7,452
2024-06-02,611.0,636.0,579.2,27355,1.638262E7,203
2024-05-30,591.0,597.0,577.0,14082,8225191.7,128
2024-05-29,587.0,635.1,583.3,37942,2.27094606E7,316
2024-05-27,648.0,734.4,648.0,7827,5075292.2,75
2024-05-26,720.0,730.0,603.9,64670,3.99517058E7,526
2024-05-22,671.0,671.0,593.1,30363,1.85187116E7,290
2024-05-21,610.0,661.8,605.0,29624,1.82326506E7,409
2024-05-20,601.7,601.7,536.1,105690,6.0917351E7,556
2024-05-19,547.0,571.0,520.0,31815,1.7066725E7,292
2024-05-16,520.0,525.0,510.0,21402,1.10947578E7,160
2024-05-15,520.0,530.4,493.0,46632,2.38550952E7,376
2024-05-14,492.0,492.0,444.0,26303,1.25508812E7,239
2024-05-13,453.0,462.0,449.0,2507,1136398.0,39
2024-05-12,454.0,467.0,441.0,9744,4468192.1,113
2024-05-09,445.0,448.6,427.2,6663,2913322.5,83
2024-05-08,427.9,435.0,422.0,2275,971418.7,50
2024-05-07,434.8,443.0,426.3,3201,1399709.4,69
2024-05-06,437.9,452.0,427.0,5675,2474538.6,64
2024-05-05,444.0,458.9,443.0,3341,1497116.5,65
2024-05-02,448.2,472.9,448.0,2062,938709.0,48
2024-04-30,456.0,464.0,441.0,5908,2685590.7,98
2024-04-29,446.0,458.0,442.0,4731,2102404.5,72
