BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,513.0,526.1,500.0,186172,9.49416711E7,964
2024-08-22,525.1,536.5,500.2,243694,1.266581932E8,1450
2024-08-21,504.0,516.0,498.9,178457,9.02171187E7,1077
2024-08-18,508.9,515.9,491.0,415388,2.091894869E8,1974
2024-08-15,486.2,486.2,442.0,352853,1.664170012E8,1856
2024-08-14,442.0,446.0,424.0,131616,5.68186085E7,869
2024-08-13,438.0,452.9,431.2,96729,4.26023432E7,678
2024-08-12,445.0,455.0,440.0,133173,5.94687966E7,749
2024-08-11,447.0,453.0,434.0,152207,6.77535811E7,916
2024-08-08,434.0,456.0,430.1,141548,6.25870024E7,828
2024-08-07,440.0,441.5,399.0,126155,5.34158178E7,889
2024-08-06,406.0,459.9,404.0,253892,1.082459875E8,1623
2024-08-05,419.0,421.0,385.2,201308,8.19313522E7,1163
2024-08-01,386.0,402.0,381.0,122068,4.81569785E7,798
2024-07-31,395.6,403.9,387.0,124700,4.9396981E7,725
2024-07-30,385.3,385.7,370.0,124329,4.71983144E7,673
2024-07-29,375.0,399.0,360.0,219242,8.40496089E7,1234
2024-07-28,364.0,374.0,353.0,72939,2.65182593E7,472
2024-07-25,357.0,362.1,347.0,58599,2.07170458E7,451
2024-07-24,355.0,376.2,352.8,121679,4.40297745E7,783
2024-07-23,368.9,369.9,345.0,129438,4.71416498E7,763
2024-07-22,351.3,356.4,335.8,84378,2.91259362E7,581
2024-07-21,349.5,362.9,325.0,94475,3.21774555E7,543
2024-07-18,330.2,336.0,322.6,63422,2.10210166E7,409
2024-07-17,327.5,329.0,319.0,49481,1.60535036E7,435
2024-07-16,322.0,323.0,308.0,52999,1.68445142E7,332
2024-07-15,310.0,324.0,302.0,30245,9418810.2,228
2024-07-14,309.8,310.0,300.0,29360,8922477.7,236
2024-07-11,298.9,299.9,295.0,23275,6910704.5,158
2024-07-10,296.5,296.5,292.6,8862,2611167.4,92
2024-07-09,293.0,293.9,290.0,21697,6308152.0,112
2024-07-08,294.0,294.8,289.5,13202,3861022.1,92
2024-07-07,292.6,296.79,291.4,14929,4368085.1,101
2024-07-04,292.2,294.5,290.0,13277,3879698.7,102
2024-07-03,291.4,296.0,286.7,6233,1806781.2,65
2024-07-02,291.0,304.0,290.0,15795,4643123.8,117
2024-07-01,288.2,290.0,286.0,7528,2164585.7,77
2024-06-30,288.2,295.0,288.0,7558,2181478.3,67
2024-06-27,289.5,294.0,288.5,10213,2956459.7,73
2024-06-26,290.0,296.0,290.0,8784,2553732.4,81
2024-06-25,291.1,294.0,290.0,8209,2393314.5,56
2024-06-24,290.0,294.0,290.0,10139,2959009.8,85
2024-06-23,292.9,295.9,289.4,13004,3809004.8,97
2024-06-20,292.8,298.8,291.2,7008,2059923.3,58
2024-06-19,293.0,295.0,292.0,5496,1608897.9,63
2024-06-18,293.0,298.0,292.0,13666,4006944.4,89
2024-06-16,293.3,297.0,292.2,14819,4354638.7,103
2024-06-13,293.0,295.0,292.0,10704,3135167.8,100
2024-06-12,296.9,300.0,294.3,11984,3555384.5,106
2024-06-11,297.0,298.0,291.0,13806,4082039.6,121
2024-06-10,291.0,295.6,289.7,7558,2199549.5,93
2024-06-09,289.9,296.1,289.2,9741,2828587.3,103
2024-06-06,290.3,296.9,290.3,8135,2370511.7,87
2024-06-05,292.0,295.6,291.8,9098,2662306.7,69
2024-06-04,294.0,295.5,292.0,5106,1496803.7,56
2024-06-03,292.0,298.0,292.0,13312,3922298.7,99
2024-06-02,295.9,295.9,292.7,5658,1663197.7,70
2024-05-30,294.4,298.0,293.5,7084,2096905.4,84
2024-05-29,297.7,305.1,297.7,8882,2666821.4,85
2024-05-27,299.2,303.0,299.0,12040,3629088.1,99
2024-05-26,301.0,304.0,298.1,8465,2540457.7,89
2024-05-22,299.6,302.0,297.5,16880,5061672.7,127
2024-05-21,299.0,304.9,296.7,6499,1945365.1,80
2024-05-20,299.0,304.9,298.0,14374,4327062.8,144
2024-05-19,298.0,299.0,295.0,18288,5432673.7,90
2024-05-16,295.0,296.9,291.1,7070,2071537.1,73
2024-05-15,294.0,299.8,290.1,5355,1581643.8,56
2024-05-14,294.5,296.8,290.0,4481,1315260.7,67
2024-05-13,291.0,293.0,284.4,7971,2315816.1,86
2024-05-12,290.0,292.0,289.0,8184,2375367.6,76
2024-05-09,292.0,294.9,288.0,7586,2194804.8,113
2024-05-08,290.0,296.9,290.0,5720,1662169.1,64
2024-05-07,291.5,297.0,291.5,5386,1574454.1,55
2024-05-06,292.0,299.3,292.0,15474,4538711.5,99
2024-05-05,293.5,300.9,293.5,4890,1438204.0,75
2024-05-02,296.6,302.7,296.5,5510,1643634.3,77
2024-04-30,296.8,298.0,294.1,7849,2331874.9,80
2024-04-29,296.0,298.0,294.0,4866,1439037.0,54
2024-04-28,294.0,297.0,293.0,10729,3160061.4,85
2024-04-25,292.8,295.0,292.2,5333,1562816.1,80
2024-04-24,293.1,297.0,292.6,4991,1470768.2,59
2024-04-22,294.0,299.8,294.0,5154,1520722.9,80
2024-04-21,294.0,296.0,292.0,12615,3707463.3,124
2024-04-18,297.0,297.0,295.5,3883,1150476.2,53
2024-04-16,298.0,303.0,296.1,4314,1281554.0,59
2024-04-15,298.0,305.7,297.0,9489,2833594.0,103
2024-04-14,299.8,309.9,297.2,5829,1746742.7,90
2024-04-10,298.0,300.6,297.1,10516,3144412.5,124
2024-04-09,300.0,303.7,298.0,14482,4337292.8,143
2024-04-07,297.8,302.0,296.0,12704,3768620.0,120
2024-04-04,296.1,304.0,296.1,14534,4325677.5,144
2024-04-03,299.1,305.0,298.5,10080,3019885.4,87
2024-04-02,300.0,306.0,300.0,8385,2519767.2,104
2024-04-01,300.9,307.0,300.0,7593,2285841.7,86
2024-03-31,301.0,303.0,300.4,14561,4392131.1,142
2024-03-28,305.0,306.5,301.1,4274,1297880.5,68
2024-03-27,304.0,308.0,304.0,7561,2304041.1,76
2024-03-26,305.1,308.0,304.0,7516,2294912.9,75
2024-03-25,304.0,308.0,303.4,10724,3267066.4,96
2024-03-21,307.0,312.2,306.0,8294,2545095.4,73
2024-03-20,306.1,316.0,306.0,7418,2284183.4,98
2024-03-19,310.0,312.0,308.5,8112,2514871.3,79
2024-03-18,309.2,313.9,308.0,5398,1670969.6,63
2024-03-17,310.0,313.9,308.2,3187,990270.1,79
2024-03-14,311.1,316.1,311.1,6799,2121103.0,67
2024-03-13,314.5,318.0,312.0,6475,2033802.8,99
2024-03-12,316.0,316.4,311.2,13741,4311640.4,137
2024-03-10,312.0,316.2,311.5,4009,1253532.5,76
2024-03-07,310.0,321.0,308.2,7339,2286135.0,76
2024-03-06,309.0,315.5,308.0,7797,2424348.5,99
2024-03-05,311.0,335.0,309.0,15871,4992585.7,165
2024-03-04,329.0,329.0,304.9,370,119488.0,9
2024-03-03,301.0,302.9,295.1,9550,2872162.7,106
2024-02-29,300.2,304.0,300.0,13548,4087087.4,120
2024-02-28,303.7,309.0,302.9,2971,904153.2,39
2024-02-27,303.8,307.9,299.0,6358,1930379.4,57
2024-02-26,302.0,312.0,301.2,8876,2688809.2,94
2024-02-25,300.5,316.0,300.3,11107,3376161.1,135
2024-02-22,304.0,310.0,303.1,19794,6041080.5,165
2024-02-21,308.8,321.0,308.1,13813,4263103.3,115
2024-02-20,308.3,309.0,303.0,8110,2494496.3,100
2024-02-18,307.5,315.0,307.0,19573,6049973.4,190
2024-02-15,311.3,314.5,310.0,12369,3861492.4,108
2024-02-14,310.0,315.0,306.4,8580,2669852.8,83
2024-02-13,311.5,318.0,310.1,11869,3717936.3,114
2024-02-12,318.0,323.8,316.0,9308,2957436.9,98
2024-02-11,317.5,325.0,314.0,18770,5994865.2,155
2024-02-08,315.9,317.1,314.0,10216,3229674.3,89
2024-02-07,315.1,318.0,312.0,5100,1603354.2,63
2024-02-06,314.1,316.9,310.6,10446,3274627.4,75
2024-02-05,313.0,318.1,311.0,11840,3710786.9,102
2024-02-04,312.0,315.9,310.0,11628,3622699.4,103
2024-02-01,310.0,319.3,310.0,15897,4954944.3,161
2024-01-31,316.0,323.9,316.0,22545,7186653.0,137
2024-01-30,318.9,324.0,318.0,17777,5683139.5,146
2024-01-29,318.0,327.4,316.1,18492,5896889.9,143
2024-01-28,314.9,320.0,312.0,10254,3234547.9,99
2024-01-25,313.6,322.3,312.0,21309,6742837.8,159
2024-01-24,316.0,329.0,312.0,24390,7792031.8,181
2024-01-23,316.0,326.4,315.0,23863,7601771.8,175
2024-01-22,320.0,332.5,316.1,32124,1.03081537E7,228
2024-01-21,327.0,340.0,327.0,34300,1.13925196E7,302
2024-01-18,339.0,340.0,318.0,38125,1.26330107E7,300
2024-01-17,330.0,360.0,323.4,120690,4.18714411E7,804
2024-01-16,341.0,341.0,316.0,88532,2.88573104E7,603
2024-01-14,310.0,312.0,300.1,30735,9463651.9,251
2024-01-11,303.1,305.0,300.0,16310,4934562.2,116
2024-01-10,303.0,307.0,300.0,14776,4494161.0,122
2024-01-09,303.0,314.0,302.5,24707,7521449.6,225
2024-01-08,303.0,305.0,299.6,29570,8922804.7,156
2024-01-07,299.5,307.9,299.0,20427,6156623.1,169
2024-01-04,299.5,310.0,299.1,11138,3363391.4,130
2024-01-03,302.0,306.0,299.0,20194,6086954.2,198
2024-01-02,296.1,302.0,295.3,16413,4888582.7,166
2024-01-01,301.9,309.5,299.0,29509,8934002.7,235
2023-12-28,305.0,310.5,300.1,33759,1.02440239E7,191
2023-12-27,306.2,310.1,305.5,12222,3759345.7,125
2023-12-24,308.8,313.5,308.0,23388,7256396.8,186
2023-12-21,311.0,318.0,310.0,25808,8059774.4,195
2023-12-20,316.0,319.0,313.0,32067,1.01246649E7,238
2023-12-19,316.5,320.0,309.6,27025,8470364.7,216
2023-12-18,311.0,316.1,305.0,42471,1.32693562E7,262
2023-12-17,309.9,311.0,294.0,61389,1.8850632E7,427
2023-12-14,315.0,317.0,307.5,7633,2396179.9,70
2023-12-13,313.2,320.0,312.0,19623,6189998.0,122
2023-12-12,315.1,317.1,310.5,20387,6423683.8,168
2023-12-11,311.0,321.3,306.0,18151,5673064.9,168
2023-12-10,315.0,315.0,303.1,550,170034.0,7
2023-12-07,297.2,301.0,295.0,4685,1401873.3,61
2023-12-06,296.5,298.7,295.2,1832,542370.5,27
2023-12-05,297.3,298.9,295.3,2690,796422.4,47
2023-12-04,295.2,300.0,295.2,6141,1823794.9,67
