BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,1822.8,1934.9,1805.0,99546,1.832397611E8,983
2024-08-22,1897.0,1973.0,1880.0,132147,2.542842958E8,1564
2024-08-21,1879.9,1885.0,1690.0,201018,3.653262443E8,1983
2024-08-18,1714.9,1780.0,1701.0,94424,1.642643741E8,944
2024-08-15,1780.0,1851.0,1758.1,79371,1.41200871E8,894
2024-08-14,1797.0,1825.0,1760.0,76819,1.382882995E8,938
2024-08-13,1814.0,1906.0,1708.0,138497,2.448118814E8,1662
2024-08-12,1799.0,1885.1,1782.0,119152,2.16549428E8,1222
2024-08-11,1855.0,1892.0,1825.0,77166,1.436968619E8,1025
2024-08-08,1834.0,1939.9,1825.1,121858,2.293366299E8,1182
2024-08-07,1895.0,1920.0,1805.0,185752,3.475072307E8,1709
2024-08-06,1820.0,2050.0,1816.0,226646,4.318305922E8,2452
2024-08-05,1948.1,1948.1,1806.0,176877,3.367112554E8,1580
2024-08-01,1771.0,1803.3,1702.0,240891,4.256933971E8,1638
2024-07-31,1768.0,1814.0,1682.6,156771,2.788736654E8,2061
2024-07-30,1649.7,1649.7,1496.1,172830,2.764567033E8,1586
2024-07-29,1499.8,1515.0,1422.0,228981,3.400034137E8,1671
2024-07-28,1438.0,1452.4,1362.0,183926,2.582770579E8,1182
2024-07-25,1358.0,1379.0,1350.0,111577,1.524955234E8,785
2024-07-24,1372.0,1420.0,1357.0,104414,1.44270845E8,910
2024-07-23,1406.1,1440.0,1387.0,109258,1.53457284E8,908
2024-07-22,1391.0,1423.0,1325.0,186230,2.563223834E8,1164
2024-07-21,1343.0,1370.0,1334.0,198639,2.685884149E8,1044
2024-07-18,1331.0,1394.9,1291.0,160642,2.18457184E8,1138
2024-07-17,1314.0,1314.0,1213.0,154830,1.943589888E8,1035
2024-07-16,1196.0,1205.0,1150.0,114727,1.363115801E8,598
2024-07-15,1159.0,1195.0,1147.6,141889,1.662528783E8,660
2024-07-14,1171.0,1190.0,1145.0,114036,1.338734055E8,624
2024-07-11,1142.0,1159.0,1118.0,134087,1.525810056E8,691
2024-07-10,1116.0,1129.0,1091.0,81619,9.14715678E7,518
2024-07-09,1100.0,1108.9,1064.0,87520,9.61304989E7,634
2024-07-08,1075.0,1098.0,1063.0,89836,9.63924187E7,511
