BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,9.92,10.11,9.9,2590,25878.9,12
2024-08-22,10.03,10.18,9.89,61952,624411.95,33
2024-08-21,9.99,10.13,9.9,8970,90080.3,23
2024-08-18,10.1,10.14,9.99,37160,376096.0,40
2024-08-15,10.32,10.32,9.65,11799,115688.33,28
2024-08-14,9.64,10.2,9.64,43500,429564.0,16
2024-08-13,10.4,10.4,10.0,109986,1137359.42,51
2024-08-12,10.18,10.23,9.84,205453,2067645.1,53
2024-08-11,9.84,9.84,9.41,37500,358077.0,28
2024-08-08,9.73,9.73,9.3,5700,54281.0,17
2024-08-07,9.47,9.47,9.03,34130,315994.1,20
2024-08-06,9.2,9.5,9.2,10285,94983.4,11
2024-08-05,9.57,9.57,9.56,4300,41130.0,12
2024-08-01,9.75,9.9,9.6,29250,284963.0,16
2024-07-31,9.7,10.08,9.51,37250,364648.5,24
2024-07-30,9.7,9.7,9.28,7250,68477.0,12
2024-07-29,9.48,9.54,9.18,28750,269558.0,20
2024-07-28,9.55,9.69,9.5,12900,123431.0,11
2024-07-25,9.65,9.65,9.48,10599,100876.6,8
2024-07-24,9.64,9.65,9.62,4213,40617.45,7
2024-07-23,9.8,10.02,9.64,11450,111236.0,22
2024-07-22,9.83,10.17,9.64,63800,627173.0,11
2024-07-21,9.98,9.98,9.75,2700,26622.0,9
2024-07-18,9.6,9.64,9.28,13300,127753.5,16
2024-07-17,9.46,10.29,9.45,51050,486924.5,18
2024-07-16,10.5,10.68,10.35,403893,4244026.57,67
2024-07-15,10.32,10.32,9.61,165400,1654462.7,45
2024-07-14,9.74,9.74,8.9,59275,547617.25,30
2024-07-11,8.96,8.96,8.46,64960,576253.4,20
2024-07-10,8.31,8.47,8.15,37400,310440.0,8
2024-07-09,8.31,8.57,8.25,2000,16635.0,6
2024-07-08,8.41,8.56,8.39,15186,128961.0,6
2024-07-07,8.4,8.61,8.4,7355,62258.4,6
2024-07-04,8.32,8.48,8.32,2800,23328.0,5
2024-07-03,8.16,8.27,8.16,2100,17147.0,2
2024-07-02,8.43,8.43,8.27,2250,18623.5,2
2024-07-01,8.11,8.11,8.11,0,0.0,0
2024-06-30,8.11,8.25,8.11,600,4880.0,2
2024-06-27,8.09,8.1,8.09,2300,18627.0,3
2024-06-26,8.25,8.25,8.25,28275,233268.75,1
2024-06-25,8.34,8.54,8.34,42600,356408.0,5
2024-06-24,8.35,8.43,8.27,50500,421663.0,5
2024-06-23,8.27,8.51,8.26,300,2504.0,3
2024-06-20,8.35,8.35,8.35,9300,77655.0,5
2024-06-19,8.35,8.5,8.35,1900,15883.75,2
2024-06-18,8.41,8.41,8.41,100,841.0,1
2024-06-16,8.58,8.58,8.58,100,858.0,1
2024-06-13,8.42,8.59,8.42,1900,16113.0,4
2024-06-12,8.43,8.43,8.4,5000,42030.0,3
2024-06-11,8.27,8.47,8.26,2810,23272.7,6
2024-06-10,8.31,8.35,8.27,4167,34744.77,5
2024-06-09,8.48,8.65,8.48,7560,64760.0,6
2024-06-06,8.78,8.79,8.36,5680,49814.4,5
2024-06-05,8.2,8.3,8.2,6300,52165.0,6
2024-06-04,8.3,8.3,8.21,1000,8291.0,2
2024-06-03,8.3,8.3,8.3,0,0.0,0
2024-06-02,8.3,8.3,8.3,4900,40670.0,3
2024-05-30,8.26,8.4,8.24,13600,112260.0,4
2024-05-29,8.57,8.57,8.41,825,6970.25,5
2024-05-27,8.58,8.58,8.26,7075,59159.5,9
2024-05-26,8.26,8.26,8.26,200,1652.0,1
2024-05-22,8.4,8.45,8.4,20400,171380.0,6
2024-05-21,8.47,8.53,8.31,17375,144929.75,5
2024-05-20,8.37,8.37,8.16,145375,1213758.0,14
2024-05-19,8.48,8.48,8.16,5350,43728.0,5
2024-05-16,8.16,8.45,8.0,6350,50961.25,7
2024-05-15,8.14,8.22,8.05,2550,20658.3,8
2024-05-14,8.07,8.07,7.65,57850,444017.0,10
2024-05-13,7.68,7.84,7.65,90100,700579.0,10
2024-05-12,7.84,7.84,7.8,300,2348.0,2
2024-05-09,7.95,7.95,7.95,0,0.0,0
2024-05-08,7.95,7.95,7.95,100,795.0,1
2024-05-07,7.95,7.95,7.91,1700,13495.0,4
2024-05-06,7.8,7.81,7.7,22900,178492.0,6
2024-05-05,7.75,7.76,7.75,21500,166690.0,4
2024-05-02,7.9,8.05,7.9,2100,16800.0,3
2024-04-30,7.9,7.9,7.76,450,3541.0,3
2024-04-29,7.8,7.8,7.7,300,2321.0,3
2024-04-28,7.78,7.9,7.75,1900,14797.0,5
2024-04-25,7.82,7.97,7.82,5100,39957.0,6
2024-04-24,7.67,7.8,7.65,9400,73211.0,6
2024-04-22,7.8,7.95,7.8,5700,45210.0,4
2024-04-21,7.8,7.8,7.8,950,7410.0,3
2024-04-18,7.76,7.76,7.76,400,3104.0,2
2024-04-16,7.89,7.9,7.89,1670,13190.0,6
2024-04-15,8.03,8.03,7.86,8530,68229.5,5
