BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,1545.5,1625.0,1480.2,25601,4.01028573E7,438
2024-08-22,1500.0,1540.0,1491.0,9499,1.43106915E7,265
2024-08-21,1535.0,1535.0,1516.0,3891,5940032.0,152
2024-08-18,1542.0,1586.0,1500.0,11872,1.83449936E7,287
2024-08-15,1525.0,1611.4,1490.6,14532,2.21569984E7,364
2024-08-14,1549.0,1582.0,1540.0,3813,5906370.0,167
2024-08-13,1570.0,1614.0,1560.1,6733,1.06450773E7,188
2024-08-12,1608.0,1635.0,1593.0,14081,2.25879922E7,323
2024-08-11,1590.0,1600.0,1560.0,18625,2.94098761E7,404
2024-08-08,1553.0,1655.0,1533.5,8909,1.38251459E7,238
2024-08-07,1564.0,1564.0,1510.0,4252,6572756.7,202
2024-08-06,1540.0,1638.1,1500.0,10824,1.67651145E7,303
2024-08-05,1550.0,1606.2,1532.0,6921,1.07206386E7,229
2024-08-01,1544.0,1599.0,1528.8,11938,1.87298198E7,245
2024-07-31,1570.1,1592.0,1551.0,11300,1.78517736E7,282
2024-07-30,1570.0,1579.0,1530.0,12951,2.00975885E7,203
2024-07-29,1563.0,1611.0,1555.0,12065,1.89928243E7,301
2024-07-28,1629.0,1744.0,1600.0,8014,1.3044021E7,195
2024-07-25,1679.0,1679.0,1589.2,29541,4.87671395E7,481
2024-07-24,1590.0,1638.7,1575.0,8039,1.2838022E7,188
2024-07-23,1615.0,1630.0,1560.0,8406,1.35494919E7,252
2024-07-22,1581.0,1607.9,1575.8,4440,7049205.9,119
2024-07-21,1580.0,1614.0,1570.2,6008,9566367.9,200
2024-07-18,1593.0,1660.0,1590.0,12962,2.10282462E7,261
2024-07-17,1600.0,1600.0,1575.0,3695,5880418.4,109
2024-07-16,1590.0,1600.0,1553.0,5695,8961895.9,136
2024-07-15,1549.9,1644.0,1530.0,9245,1.44957171E7,193
2024-07-14,1581.1,1649.0,1561.1,5268,8391392.2,154
2024-07-11,1585.0,1727.0,1575.1,16305,2.61603512E7,250
2024-07-10,1630.0,1700.0,1630.0,9195,1.52166619E7,208
