BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,744.0,815.0,744.0,157223,1.197919874E8,1295
2024-08-22,800.0,820.0,790.0,155925,1.258533576E8,1179
2024-08-21,791.0,816.0,770.0,169209,1.329452462E8,1277
2024-08-18,759.0,800.0,732.9,290596,2.228592853E8,2319
2024-08-15,763.0,803.0,731.0,291156,2.260396156E8,2588
2024-08-14,743.6,743.6,680.0,299734,2.183274581E8,2274
2024-08-13,676.0,700.0,654.7,135998,9.28740125E7,953
2024-08-12,665.0,695.0,636.0,136968,9.09411586E7,950
2024-08-11,635.0,650.0,620.2,145025,9.16319489E7,767
2024-08-08,626.0,665.0,614.0,95117,6.02869201E7,653
2024-08-07,638.5,638.5,550.0,177810,1.100734332E8,1062
2024-08-06,580.5,642.0,580.5,260310,1.574165341E8,1690
2024-08-05,645.0,684.0,636.5,151474,9.91400714E7,1106
2024-08-01,675.0,712.9,675.0,221768,1.541579088E8,1451
2024-07-31,699.0,710.0,658.0,187688,1.301826358E8,1226
2024-07-30,659.0,671.0,622.0,151494,9.81512561E7,1118
2024-07-29,620.0,632.0,590.0,169058,1.034932584E8,980
2024-07-28,599.0,610.0,585.1,102388,6.08481872E7,486
2024-07-25,599.0,611.9,588.0,84786,5.12200024E7,553
2024-07-24,600.0,623.0,598.0,139090,8.49761472E7,787
2024-07-23,608.0,616.0,602.0,76854,4.68041813E7,520
2024-07-22,603.0,622.2,592.0,105886,6.42656254E7,736
2024-07-21,610.0,625.0,583.1,215409,1.323123123E8,1204
2024-07-18,590.2,615.9,590.0,132037,7.94851672E7,861
2024-07-17,603.9,603.9,557.0,209104,1.227642321E8,1152
2024-07-16,549.0,553.0,533.6,88263,4.8129926E7,508
2024-07-15,532.0,543.6,530.0,101690,5.45100299E7,503
2024-07-14,533.0,558.0,526.0,72534,3.86850106E7,425
2024-07-11,527.0,539.0,524.0,68354,3.62081721E7,453
2024-07-10,527.0,533.9,522.0,69431,3.66160542E7,367
2024-07-09,524.0,535.5,518.5,97167,5.13187036E7,492
2024-07-08,516.0,527.5,510.5,89697,4.65026698E7,569
2024-07-07,510.0,535.0,510.0,130082,6.78503934E7,690
2024-07-04,528.0,555.0,515.0,154024,8.19254137E7,1089
2024-07-03,526.9,526.9,474.0,253521,1.30523896E8,1329
2024-07-02,479.0,504.0,462.0,108394,5.11513625E7,518
2024-07-01,459.0,464.0,449.0,49967,2.27897773E7,233
2024-06-30,452.0,467.0,450.0,41886,1.91683757E7,259
2024-06-27,455.2,465.0,452.2,45627,2.08711674E7,231
2024-06-26,461.0,470.0,451.0,57217,2.64538955E7,310
2024-06-25,460.0,488.0,458.0,81144,3.82078187E7,488
2024-06-24,476.0,480.0,451.0,111226,5.22204971E7,605
2024-06-23,464.0,464.0,440.0,104469,4.74248228E7,618
2024-06-20,438.0,455.0,434.0,49475,2.19408622E7,357
2024-06-19,433.0,441.6,420.0,32999,1.42411932E7,239
2024-06-18,423.0,437.0,423.0,35259,1.51343374E7,248
2024-06-16,436.1,453.0,436.0,64291,2.83901793E7,320
2024-06-13,445.0,474.0,442.0,146105,6.62786657E7,710
2024-06-12,443.5,460.0,415.0,87922,3.78789006E7,466
2024-06-11,426.0,432.0,415.0,51786,2.21268625E7,255
2024-06-10,420.0,420.0,413.1,34196,1.42706727E7,201
2024-06-09,412.1,420.0,410.5,52986,2.19805188E7,268
2024-06-06,411.8,431.8,411.0,35949,1.49825985E7,281
2024-06-05,425.5,440.0,421.2,70640,3.03270707E7,439
2024-06-04,429.0,430.0,406.0,84514,3.54232621E7,508
2024-06-03,409.0,425.0,405.0,97173,4.04286023E7,501
2024-06-02,410.0,414.8,391.0,138341,5.65273886E7,708
2024-05-30,392.0,395.0,380.0,26068,1.01126765E7,180
2024-05-29,380.0,400.0,380.0,45150,1.74611181E7,214
2024-05-27,387.0,394.3,383.4,17808,6907838.1,114
2024-05-26,386.6,398.8,385.0,20038,7778471.9,119
2024-05-22,395.9,405.0,392.0,41846,1.67417287E7,230
2024-05-21,403.0,403.5,385.0,66294,2.63516105E7,312
2024-05-20,387.0,392.7,382.6,18888,7321140.8,132
2024-05-19,388.0,394.7,377.3,78584,3.02393891E7,273
2024-05-16,387.0,400.0,384.0,40779,1.58123191E7,208
2024-05-15,394.0,402.0,386.0,39425,1.5437335E7,232
2024-05-14,396.0,397.0,386.0,32692,1.28744656E7,155
2024-05-13,393.3,398.0,390.6,18126,7149928.2,101
2024-05-12,394.1,405.9,392.0,22819,9104204.9,145
2024-05-09,401.0,410.0,395.0,61324,2.46551844E7,393
2024-05-08,395.0,398.4,385.0,26616,1.04042215E7,176
2024-05-07,383.0,395.0,378.0,21009,8092764.6,171
2024-05-06,389.0,393.0,376.0,43953,1.68973306E7,217
2024-05-05,386.0,402.0,385.0,58143,2.28413158E7,354
2024-05-02,399.0,417.0,397.1,84771,3.43751905E7,473
2024-04-30,412.5,441.0,405.0,205312,8.70493494E7,1143
2024-04-29,408.5,415.0,382.2,126862,5.05745384E7,633
2024-04-28,389.0,399.0,373.5,111952,4.3766016E7,557
2024-04-25,374.0,389.2,365.5,58772,2.22984795E7,333
2024-04-24,368.0,380.0,361.0,37510,1.39636067E7,185
2024-04-22,363.5,375.0,362.0,18362,6695959.3,100
2024-04-21,368.5,369.0,354.0,27588,9998604.2,136
2024-04-18,361.1,378.2,361.0,21589,7902282.7,156
2024-04-16,368.0,375.0,364.2,36266,1.33698489E7,224
2024-04-15,370.6,390.0,370.6,42424,1.60988375E7,225
2024-04-14,378.0,396.0,368.0,87878,3.36421087E7,479
2024-04-10,377.0,396.2,364.1,142116,5.51788975E7,649
2024-04-09,386.0,391.9,365.0,169122,6.48180177E7,947
2024-04-07,363.0,370.0,345.0,65815,2.37371566E7,419
2024-04-04,339.2,344.0,338.1,11492,3911931.0,69
2024-04-03,338.2,344.9,338.0,8519,2901219.2,55
2024-04-02,344.9,347.0,340.0,9601,3270348.4,60
2024-04-01,342.0,345.9,339.0,8316,2839620.4,51
2024-03-31,341.2,353.9,340.2,9045,3117303.5,68
2024-03-28,347.0,351.0,339.0,11858,4102666.8,64
2024-03-27,345.0,357.0,344.0,11510,3990887.0,84
2024-03-26,350.1,364.0,348.0,13871,4871381.4,90
2024-03-25,350.3,366.1,350.0,24844,8740145.3,149
2024-03-21,359.0,370.0,350.1,64786,2.34105018E7,321
2024-03-20,350.2,361.0,350.0,28411,1.0098512E7,139
2024-03-19,360.0,370.0,348.5,86045,3.12872881E7,533
2024-03-18,341.7,350.0,341.3,11221,3878289.0,87
2024-03-17,344.1,355.9,343.3,24231,8419417.3,134
2024-03-14,349.0,362.0,346.1,14155,4983079.9,109
2024-03-13,356.0,363.0,348.0,25099,8934072.8,167
2024-03-12,349.0,353.0,344.1,15680,5469534.1,88
2024-03-10,343.0,345.0,337.7,16492,5648220.5,85
2024-03-07,337.0,340.6,334.5,11957,4024367.1,47
2024-03-06,334.0,339.2,325.1,14375,4766097.5,76
2024-03-05,327.0,347.0,327.0,15901,5334694.1,103
2024-03-04,347.0,347.0,327.4,2730,939193.0,11
2024-03-03,321.0,329.8,318.0,5090,1642769.7,42
2024-02-29,324.2,336.5,324.1,13074,4283408.4,102
2024-02-28,335.0,336.9,331.0,9729,3238596.5,61
2024-02-27,337.0,341.0,333.0,8220,2751624.3,42
2024-02-26,340.8,344.0,332.1,7091,2382237.1,49
2024-02-25,340.0,345.5,328.0,17778,5998785.8,113
2024-02-22,333.0,348.8,331.0,27801,9509019.7,147
2024-02-21,337.0,344.0,333.0,8701,2915006.3,42
2024-02-20,337.8,342.7,333.2,14955,5076132.6,103
2024-02-18,336.0,345.0,335.7,20699,7036870.4,101
2024-02-15,349.0,367.4,345.1,22826,8036148.0,124
2024-02-14,360.5,365.0,328.0,91723,3.26200686E7,520
2024-02-13,333.5,340.0,332.5,19883,6676278.3,118
2024-02-12,346.0,350.8,336.5,8651,2954857.3,58
2024-02-11,340.1,348.8,336.0,11403,3884598.6,75
2024-02-08,342.0,344.8,338.0,11928,4063206.6,72
2024-02-07,338.1,341.0,336.0,9195,3117511.4,59
2024-02-06,335.6,344.0,335.0,9838,3320549.5,69
2024-02-05,337.0,345.0,335.0,7358,2496604.7,55
2024-02-04,339.0,341.0,334.3,14517,4886526.0,66
2024-02-01,339.1,348.0,337.1,33226,1.13967153E7,168
2024-01-31,337.0,350.0,335.2,11152,3783858.1,81
2024-01-30,342.0,350.0,341.1,11967,4147736.2,82
2024-01-29,345.0,351.0,342.3,6767,2337189.2,58
2024-01-28,347.8,354.9,341.7,12570,4314716.0,62
2024-01-25,342.0,348.0,336.5,9353,3178483.2,75
2024-01-24,342.0,350.9,340.0,10678,3682443.7,80
2024-01-23,339.0,346.8,335.1,11591,3940765.0,91
2024-01-22,340.0,359.9,339.1,21355,7318584.5,122
2024-01-21,352.9,370.0,352.8,22267,8002133.9,165
2024-01-18,364.9,365.0,354.0,23636,8507755.9,152
2024-01-17,360.0,393.0,357.1,63622,2.39614372E7,335
2024-01-16,376.0,378.0,363.0,60200,2.24929915E7,279
2024-01-14,359.0,373.0,352.0,11691,4201305.4,80
2024-01-11,352.9,361.0,346.6,10587,3720665.6,88
2024-01-10,357.9,370.0,353.0,31656,1.14347778E7,157
2024-01-09,357.0,365.0,348.0,26531,9480828.2,182
2024-01-08,347.1,352.0,332.0,18778,6450089.0,120
2024-01-07,333.0,346.0,333.0,15724,5313216.0,79
2024-01-04,345.7,350.8,335.0,24134,8260959.3,117
2024-01-03,338.0,339.0,328.4,9249,3091419.9,64
2024-01-02,335.0,339.3,330.0,10458,3487235.7,80
2024-01-01,337.0,353.4,334.2,10477,3573952.5,90
2023-12-28,340.0,354.0,338.5,19142,6572091.6,96
2023-12-27,341.5,349.8,334.0,11665,3982797.9,121
2023-12-24,343.0,363.1,337.0,15683,5442445.2,126
2023-12-21,356.0,374.3,347.0,17751,6364669.7,120
2023-12-20,367.0,376.9,362.0,23557,8701466.9,134
2023-12-19,364.0,373.0,355.0,14322,5174992.6,97
2023-12-18,366.0,374.2,358.8,36817,1.3545995E7,210
2023-12-17,359.9,361.0,344.0,22256,7907183.1,119
2023-12-14,352.0,355.0,344.5,9652,3381827.3,71
2023-12-13,343.0,365.0,343.0,31473,1.11234435E7,123
2023-12-12,353.0,358.7,338.1,14385,4995279.3,133
2023-12-11,339.0,347.4,328.4,25395,8562105.7,122
2023-12-10,340.6,340.6,321.5,460,156122.0,8
2023-12-07,315.2,320.0,313.0,5182,1648542.3,45
2023-12-06,313.0,315.0,309.0,1154,358038.0,17
2023-12-05,313.0,322.5,308.0,3455,1074695.0,29
2023-12-04,316.9,319.6,306.0,2075,652065.3,34
2023-12-03,307.5,312.0,305.1,2269,703429.3,22
2023-11-30,309.0,322.9,309.0,4905,1539801.0,45
2023-11-29,319.0,330.0,318.9,2374,765768.5,18
2023-11-28,325.0,334.0,321.5,5354,1753947.3,41
2023-11-27,328.0,331.5,316.0,15153,4899542.2,83
2023-11-26,325.0,328.0,315.5,12403,4019953.4,70
2023-11-23,320.2,321.3,300.0,15574,4887937.4,55
2023-11-22,306.0,306.0,301.6,2302,702008.0,25
2023-11-21,299.0,311.0,298.0,9628,2908316.0,32
2023-11-20,309.0,313.1,304.0,12031,3718263.1,40
2023-11-09,307.0,309.9,303.0,4558,1391839.0,33
2023-11-08,308.0,309.0,307.1,1766,544099.0,18
2023-11-07,307.0,312.0,307.0,2060,639619.4,25
2023-11-06,306.0,312.0,303.0,8041,2475403.0,61
2023-11-05,307.0,307.0,300.3,8009,2417248.1,57
2023-11-02,307.0,312.0,306.2,4308,1325975.9,32
2023-11-01,312.0,320.0,309.0,2516,788855.0,23
2023-10-31,310.9,313.0,309.2,1989,618785.9,20
2023-10-30,313.2,317.0,305.0,4667,1447815.8,31
2023-10-29,308.0,310.0,303.0,12693,3876211.0,69
2023-10-19,316.3,326.3,310.1,1774,568476.0,19
2023-10-18,321.0,326.0,317.0,3788,1217773.0,39
2023-10-17,312.0,326.0,311.0,7297,2298400.6,61
2023-10-16,308.0,310.0,304.0,12626,3877630.1,60
2023-10-12,309.9,316.0,306.0,22484,6965759.2,116
2023-10-11,313.1,327.0,313.0,8534,2693441.3,59
2023-10-10,311.9,326.0,299.9,17922,5593678.5,139
2023-10-09,322.0,332.0,320.0,7954,2586346.6,65
2023-10-08,326.0,334.5,325.2,6208,2039468.5,53
2023-10-05,334.0,342.5,330.4,5850,1953278.8,52
2023-10-04,336.0,344.0,331.0,1142,387897.7,23
2023-10-03,331.0,343.0,330.0,6340,2118653.5,43
2023-10-02,340.0,347.0,330.0,8992,3035777.3,65
2023-10-01,333.0,340.0,331.7,7463,2503263.4,82
2023-09-27,345.0,353.0,345.0,8429,2930489.9,70
2023-09-26,358.0,361.7,348.0,7213,2563160.0,71
2023-09-25,347.0,354.0,341.0,11612,4058633.0,70
2023-09-24,347.0,359.0,345.0,11407,4001094.4,90
2023-09-21,357.0,360.0,344.0,21051,7403670.5,149
2023-09-19,338.0,338.0,325.5,2492,827098.9,26
2023-09-18,326.0,333.0,322.0,4250,1386483.2,49
2023-09-17,327.0,340.0,325.0,17279,5743047.4,93
2023-09-13,344.0,345.0,327.0,15517,5234710.5,102
2023-09-12,327.0,332.0,321.0,6609,2136381.2,59
2023-09-11,333.0,335.0,313.0,19666,6324941.0,88
2023-09-10,313.0,316.2,307.0,7466,2310602.0,54
2023-09-07,310.8,319.0,305.0,7170,2206883.1,70
2023-09-05,315.0,321.4,315.0,4593,1455805.5,30
2023-09-04,321.0,322.0,313.1,8693,2759160.1,55
2023-09-03,318.3,324.0,317.7,7781,2484918.5,54
2023-08-30,324.1,334.0,324.1,3351,1091407.3,37
2023-08-29,328.0,339.0,328.0,5209,1716973.0,50
2023-08-28,332.9,336.0,323.4,2824,936245.6,34
2023-08-27,329.9,336.6,326.0,4290,1419801.5,47
