BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,1089.0,1155.0,1082.9,60008,6.65868139E7,733
2024-08-22,1147.0,1186.0,1137.0,68936,7.93895477E7,893
2024-08-21,1175.0,1224.0,1174.0,43307,5.16454731E7,548
2024-08-18,1205.0,1280.0,1200.0,51558,6.3109287E7,742
2024-08-15,1263.0,1325.0,1250.0,208349,2.67235796E8,1575
2024-08-14,1239.0,1260.0,1217.0,33195,4.10571366E7,399
2024-08-13,1238.0,1280.0,1235.1,48752,6.09933571E7,534
2024-08-12,1263.0,1290.0,1239.0,45812,5.81143876E7,581
2024-08-11,1250.0,1275.0,1234.0,31898,3.99870143E7,450
2024-08-08,1250.0,1299.3,1230.0,47978,6.04107435E7,491
2024-08-07,1273.9,1275.0,1189.0,36818,4.58479158E7,526
2024-08-06,1214.0,1349.0,1211.0,58863,7.44637682E7,851
2024-08-05,1320.0,1320.0,1225.0,66926,8.54199911E7,738
2024-08-01,1245.0,1315.0,1240.7,56577,7.22821277E7,628
2024-07-31,1299.8,1360.0,1244.0,46216,6.083691E7,642
2024-07-30,1244.0,1268.0,1171.0,73092,8.89566915E7,871
2024-07-29,1186.0,1220.7,1171.0,62608,7.50047676E7,711
2024-07-28,1175.0,1218.0,1150.0,42475,4.96377766E7,454
2024-07-25,1171.0,1239.0,1166.3,45170,5.33643553E7,568
2024-07-24,1191.0,1191.3,1100.0,126011,1.482607795E8,1291
2024-07-23,1083.0,1090.0,992.1,56176,5.95690996E7,721
2024-07-22,1000.0,1018.0,988.0,38772,3.8707962E7,446
2024-07-21,1008.0,1018.0,975.0,50040,5.0210078E7,540
2024-07-18,977.1,1010.0,976.2,36207,3.59896614E7,495
2024-07-17,995.0,1000.0,960.0,50674,4.99787668E7,512
2024-07-16,960.0,965.0,907.1,52339,4.89944235E7,483
2024-07-15,908.0,930.0,900.0,18647,1.6991755E7,268
2024-07-14,915.0,926.0,900.0,27573,2.51122504E7,324
2024-07-11,888.0,898.5,886.1,25300,2.25695001E7,296
2024-07-10,880.2,887.9,872.0,18462,1.6253855E7,154
