BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,1103.0,1155.0,1067.5,98370,1.082342298E8,1066
2024-08-22,1096.0,1132.0,1096.0,44769,4.96973497E7,524
2024-08-21,1110.3,1152.6,1100.0,73798,8.24618089E7,810
2024-08-18,1100.0,1136.9,1088.0,138151,1.541681897E8,1497
2024-08-15,1079.1,1105.9,1073.2,85531,9.24049911E7,798
2024-08-14,1073.0,1082.0,1041.0,114927,1.221683006E8,829
2024-08-13,1061.0,1089.0,1050.1,39810,4.22494318E7,530
2024-08-12,1069.0,1110.0,1059.0,83906,9.00840404E7,798
2024-08-11,1056.6,1056.6,1030.0,87998,9.21885981E7,782
2024-08-08,1016.0,1040.4,1007.0,45058,4.59596641E7,513
2024-08-07,1020.0,1021.0,980.0,44686,4.49549475E7,566
2024-08-06,994.7,1050.0,994.7,59477,6.05738948E7,790
2024-08-05,1040.0,1065.0,1028.0,41557,4.3237423E7,511
2024-08-01,1047.0,1079.0,1040.0,64827,6.82225547E7,643
2024-07-31,1050.1,1070.0,1032.0,80915,8.4908981E7,792
2024-07-30,1037.0,1051.0,999.9,79589,8.1199729E7,940
2024-07-29,1031.0,1080.0,1025.0,98928,1.036695078E8,1147
2024-07-28,1080.0,1150.0,1050.0,73177,7.84042236E7,847
2024-07-25,1072.0,1080.0,981.1,174514,1.789915932E8,1581
2024-07-24,984.0,1011.0,969.0,59836,5.92915632E7,615
2024-07-23,990.3,997.0,975.0,22625,2.2382359E7,345
2024-07-22,984.0,1005.0,968.0,36625,3.59557265E7,525
2024-07-21,988.9,990.0,954.0,43279,4.23438861E7,553
2024-07-18,954.0,970.0,930.0,53115,5.0760284E7,668
2024-07-17,925.0,925.9,913.0,30406,2.80192741E7,350
2024-07-16,912.9,913.0,885.0,22637,2.0454096E7,270
2024-07-15,900.0,922.0,890.0,29431,2.648886E7,294
2024-07-14,906.0,920.0,892.0,19250,1.74345677E7,270
2024-07-11,890.0,905.7,886.0,31329,2.78717469E7,279
2024-07-10,888.0,895.0,869.9,35242,3.12121117E7,389
2024-07-09,870.0,872.0,845.3,25052,2.16176143E7,264
2024-07-08,855.0,863.9,840.0,14149,1.19805971E7,178
2024-07-07,847.0,853.0,837.0,16931,1.430447E7,197
2024-07-04,835.0,846.0,830.0,12333,1.02984271E7,125
2024-07-03,830.5,850.5,820.1,11490,9545540.2,110
2024-07-02,833.9,867.0,818.0,7693,6447174.5,136
2024-07-01,818.0,824.0,815.0,5034,4126850.6,103
2024-06-30,820.0,825.0,817.1,9283,7605183.2,169
2024-06-27,825.0,830.5,822.0,9535,7870316.8,138
2024-06-26,830.0,843.9,830.0,5895,4908615.9,107
2024-06-25,837.0,839.0,831.7,14183,1.18256095E7,131
2024-06-24,830.7,840.0,830.3,10824,9007853.2,141
2024-06-23,832.0,845.0,831.0,14788,1.2368705E7,134
2024-06-20,840.0,850.0,836.0,17888,1.5035739E7,152
2024-06-19,843.0,860.0,842.0,6025,5086839.4,89
2024-06-18,845.0,851.0,841.1,11961,1.0115451E7,120
2024-06-16,850.0,858.0,845.2,14468,1.22969789E7,150
2024-06-13,858.0,864.0,855.0,16151,1.38869984E7,159
2024-06-12,863.0,873.0,861.2,16538,1.42852811E7,188
2024-06-11,859.0,868.0,850.0,13472,1.15729272E7,148
2024-06-10,851.0,856.0,843.0,11280,9605600.2,127
2024-06-09,850.0,863.0,840.1,22825,1.95780793E7,258
2024-06-06,847.0,858.0,835.0,18774,1.5878208E7,240
2024-06-05,836.0,841.8,833.0,8896,7454804.5,134
2024-06-04,833.1,846.9,830.1,11258,9411012.3,134
2024-06-03,833.8,845.0,830.3,14911,1.2461303E7,182
2024-06-02,839.0,846.0,830.0,16021,1.3396609E7,143
2024-05-30,841.0,853.8,833.0,20091,1.68787989E7,196
2024-05-29,849.0,875.5,845.1,11394,9727803.1,135
