BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,397.0,419.0,396.0,59760,2.41878662E7,336
2024-08-22,419.0,428.0,418.0,38482,1.62311648E7,257
2024-08-21,422.5,434.9,420.0,46577,1.9858286E7,346
2024-08-18,420.0,447.0,415.0,134461,5.78964394E7,692
2024-08-15,421.4,440.0,401.7,141149,6.00790342E7,734
2024-08-14,409.8,409.9,396.9,48446,1.95240578E7,413
2024-08-13,407.0,420.0,402.9,46836,1.91776226E7,364
2024-08-12,411.0,438.0,392.0,82390,3.4411537E7,594
2024-08-11,399.0,400.0,380.0,73970,2.90159039E7,484
2024-08-08,380.0,395.0,376.0,49436,1.90324907E7,282
2024-08-07,383.0,384.0,361.0,37633,1.40650151E7,287
2024-08-06,366.1,395.7,364.0,64885,2.48037253E7,439
2024-08-05,389.0,395.0,380.3,61629,2.39280538E7,343
2024-08-01,388.0,403.0,380.0,39021,1.51650021E7,330
2024-07-31,400.0,407.0,394.0,94918,3.79576634E7,572
2024-07-30,394.0,395.0,370.7,65244,2.5030782E7,423
2024-07-29,379.0,388.6,365.0,71080,2.69774372E7,383
2024-07-28,374.0,385.5,365.0,65191,2.43573145E7,357
2024-07-25,378.0,382.0,368.0,76715,2.87785184E7,426
2024-07-24,378.9,400.0,375.0,114357,4.41606227E7,657
2024-07-23,394.0,396.0,377.4,130108,5.0448221E7,777
2024-07-22,370.0,375.0,338.0,138454,4.93697472E7,669
2024-07-21,342.9,350.0,333.2,67888,2.32268225E7,329
2024-07-18,340.0,350.0,335.1,68285,2.33499699E7,349
2024-07-17,344.0,359.0,333.6,64247,2.20996733E7,321
2024-07-16,337.5,344.7,307.8,131569,4.4177687E7,531
2024-07-15,314.0,322.8,313.0,19115,6059891.2,119
2024-07-14,316.5,328.0,310.7,14530,4592890.2,101
2024-07-11,310.7,319.8,310.7,20474,6461469.1,125
2024-07-10,317.0,319.0,312.7,10050,3152647.2,62
2024-07-09,314.9,314.9,304.8,9981,3109287.8,59
2024-07-08,311.0,318.0,305.9,12595,3900577.0,68
2024-07-07,312.1,315.9,307.1,49375,1.54844517E7,116
2024-07-04,307.0,313.0,307.0,28503,8779241.3,157
2024-07-03,308.8,313.1,306.1,18422,5704010.8,71
2024-07-02,310.0,331.0,308.0,25171,7851999.8,104
2024-07-01,306.1,311.0,300.9,6811,2085067.6,64
2024-06-30,307.0,314.1,302.0,18672,5722680.4,120
2024-06-27,310.0,318.0,308.2,26659,8308431.1,117
2024-06-26,316.7,321.9,313.0,11710,3700804.7,80
2024-06-25,318.9,331.3,318.6,23027,7397362.8,81
2024-06-24,324.9,337.3,314.1,31793,1.02857009E7,118
2024-06-23,316.0,320.1,312.0,15068,4751438.8,70
2024-06-20,318.9,321.0,312.0,14422,4557303.3,97
2024-06-19,321.0,326.0,319.6,23873,7697851.9,93
2024-06-18,327.9,338.0,319.0,20818,6808102.2,108
2024-06-16,325.0,333.0,321.0,32496,1.06871263E7,138
2024-06-13,323.0,333.5,320.0,43957,1.42576008E7,170
2024-06-12,320.7,339.5,320.7,16090,5311004.0,108
2024-06-11,333.0,334.0,326.0,38421,1.26953092E7,155
2024-06-10,320.4,325.0,319.0,24027,7739055.8,111
2024-06-09,319.0,321.0,311.0,9910,3145329.7,94
2024-06-06,315.0,318.5,310.4,18118,5709318.6,108
2024-06-05,313.4,325.0,310.0,18867,5923368.8,102
2024-06-04,320.0,331.3,312.2,17117,5477258.3,106
2024-06-03,324.9,332.0,319.0,12645,4102366.6,80
2024-06-02,332.8,336.0,323.0,37621,1.24412815E7,149
2024-05-30,329.7,332.0,322.9,31571,1.03132708E7,145
2024-05-29,321.0,346.0,319.2,23381,7603927.8,117
2024-05-27,327.0,334.0,317.2,20987,6808004.0,120
2024-05-26,330.0,342.8,325.0,10371,3416306.9,100
2024-05-22,344.0,344.0,327.4,29753,9899621.1,174
2024-05-21,340.1,349.5,326.5,49081,1.66622069E7,365
2024-05-20,336.0,344.3,314.0,119761,3.8527778E7,352
2024-05-19,313.0,319.9,308.2,13284,4122126.5,81
