BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,620.9,647.0,615.2,199604,1.239325205E8,852
2024-08-22,635.1,646.5,633.1,171438,1.094359848E8,669
2024-08-21,639.0,652.0,633.3,234385,1.504147353E8,787
2024-08-18,639.0,670.0,639.0,226349,1.477738333E8,1048
2024-08-15,662.7,688.0,662.5,260274,1.7582292E8,1137
2024-08-14,673.0,687.0,654.1,216691,1.44864062E8,971
2024-08-13,662.0,686.0,660.1,311116,2.080142912E8,1101
2024-08-12,677.0,690.0,668.4,501315,3.405430331E8,1570
2024-08-11,678.6,685.0,667.0,418051,2.824890732E8,1442
2024-08-08,673.0,697.0,660.0,441334,2.978340455E8,1933
2024-08-07,652.0,653.0,582.2,556516,3.500135585E8,1811
2024-08-06,594.0,635.0,590.0,347751,2.131689566E8,1247
2024-08-05,627.0,642.0,618.7,338418,2.136729253E8,1129
2024-08-01,625.0,645.6,623.1,259707,1.642211955E8,1161
2024-07-31,637.0,641.0,620.0,393176,2.480818329E8,1283
2024-07-30,624.0,624.0,592.1,458052,2.776236423E8,1515
2024-07-29,595.4,617.3,568.5,502486,3.027000483E8,1898
2024-07-28,580.0,580.0,546.2,294405,1.660485995E8,894
2024-07-25,559.0,559.0,540.0,179481,9.89364365E7,702
2024-07-24,547.0,567.1,543.0,228960,1.257172233E8,778
2024-07-23,556.0,561.0,535.0,287235,1.579433147E8,946
2024-07-22,544.9,552.8,527.2,288414,1.556239064E8,940
2024-07-21,544.0,555.0,527.4,251633,1.373810698E8,945
2024-07-18,543.0,545.7,525.1,216296,1.157158624E8,911
2024-07-17,535.0,535.0,500.0,305266,1.58768408E8,1403
2024-07-16,498.0,503.0,456.2,173642,8.39322138E7,763
2024-07-15,465.0,465.0,455.1,65737,3.02226027E7,326
2024-07-14,457.9,459.0,449.0,50873,2.30586461E7,261
