BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,655.5,671.0,655.1,11276,7498436.5,263
2024-08-22,654.0,677.2,652.0,10008,6603751.0,320
2024-08-21,650.0,671.1,649.0,17190,1.12902293E7,278
2024-08-18,658.0,732.1,658.0,12030,8152728.5,280
2024-08-15,690.5,710.0,688.0,16081,1.12315972E7,354
2024-08-14,705.0,709.0,683.1,10701,7441817.1,259
2024-08-13,705.1,724.2,696.0,9724,6871314.2,252
2024-08-12,710.0,722.0,702.0,23727,1.69078124E7,429
2024-08-11,688.3,713.0,671.0,13546,9363515.3,314
2024-08-08,670.4,700.0,660.0,11031,7497027.1,218
2024-08-07,683.4,698.0,663.0,7287,4963965.3,254
2024-08-06,675.0,714.0,661.5,20474,1.41614177E7,286
2024-08-05,699.0,728.0,687.1,7996,5578669.0,215
2024-08-01,714.0,719.0,673.5,30553,2.12079727E7,380
2024-07-31,690.0,728.2,674.4,32827,2.29364522E7,432
2024-07-30,714.0,714.0,671.0,24115,1.67009835E7,280
2024-07-29,700.0,710.0,683.0,13751,9527193.5,240
2024-07-28,720.0,723.0,660.0,25704,1.80181765E7,227
2024-07-25,694.6,723.1,694.6,25202,1.79813363E7,228
2024-07-24,710.0,783.0,704.0,29936,2.20867869E7,328
2024-07-23,770.0,774.0,728.0,12983,9852807.0,291
2024-07-22,765.0,765.0,701.0,31472,2.29191715E7,415
2024-07-21,722.0,750.0,673.3,50705,3.55337236E7,420
2024-07-18,687.0,710.0,640.0,31665,2.11741198E7,395
2024-07-17,652.4,652.4,633.2,18309,1.1728498E7,225
2024-07-16,640.0,644.0,595.0,35974,2.26470279E7,296
2024-07-15,606.7,618.0,606.0,9548,5820706.1,129
2024-07-14,623.0,645.0,608.0,16961,1.05607041E7,177
2024-07-11,620.0,620.0,603.0,8181,5001900.2,128
2024-07-10,614.0,617.0,603.5,12247,7457872.3,151
2024-07-09,615.0,615.0,588.0,33187,1.98407914E7,243
2024-07-08,588.0,599.9,581.1,6689,3941060.0,107
2024-07-07,588.2,603.0,588.1,6855,4069995.8,112
2024-07-04,595.3,631.0,590.0,11199,6711031.7,151
2024-07-03,586.1,617.0,586.1,14731,8844010.2,145
2024-07-02,615.0,645.0,606.0,15219,9492532.1,127
2024-07-01,609.0,611.9,595.2,5175,3120689.1,120
2024-06-30,603.0,620.0,593.1,14964,9031738.3,177
2024-06-27,615.0,622.0,600.0,12265,7446325.7,142
2024-06-26,629.3,642.0,613.2,12318,7648977.2,178
2024-06-25,640.0,640.8,599.9,38592,2.42868737E7,494
2024-06-24,599.9,599.9,561.9,32778,1.9216064E7,258
2024-06-23,582.2,604.8,575.0,8409,4872927.4,127
2024-06-20,593.0,605.0,587.1,10246,6118210.0,139
2024-06-19,599.0,600.0,588.1,8455,5036315.0,127
2024-06-18,597.0,600.0,551.0,21412,1.26619949E7,248
2024-06-16,590.0,595.0,575.0,13221,7729332.9,159
2024-06-13,589.5,602.0,579.0,7774,4569305.6,140
2024-06-12,608.0,615.0,580.0,31464,1.87433384E7,295
2024-06-11,587.0,603.0,585.0,8315,4922119.7,175
2024-06-10,594.4,594.6,561.0,45994,2.69394696E7,494
2024-06-09,559.0,559.0,537.0,15780,8643744.3,201
2024-06-06,537.0,553.0,535.0,5070,2745158.0,102
2024-06-05,532.2,555.0,532.2,11918,6519306.4,86
2024-06-04,550.0,560.0,548.8,10215,5645197.8,107
2024-06-03,559.9,564.0,555.0,7365,4114328.0,116
2024-06-02,563.0,564.0,555.0,12578,7034429.2,163
2024-05-30,560.0,567.1,550.3,10060,5657894.9,139
2024-05-29,561.0,570.0,542.1,18996,1.05586257E7,250
2024-05-27,553.0,563.0,533.0,11349,6184182.0,216
2024-05-26,552.0,565.0,543.0,8253,4540405.4,135
2024-05-22,571.0,571.5,555.2,23421,1.31155759E7,205
2024-05-21,560.3,569.0,544.0,7537,4239099.4,143
2024-05-20,555.0,560.0,540.0,19239,1.05842489E7,265
2024-05-19,541.0,545.0,523.0,19125,1.02641165E7,203
2024-05-16,523.9,536.0,520.0,6772,3539375.5,113
2024-05-15,527.9,550.0,525.0,7840,4167509.6,134
2024-05-14,546.0,549.0,506.0,20170,1.07606117E7,275
2024-05-13,510.0,510.0,495.0,15683,7926799.0,104
2024-05-12,505.0,516.3,505.0,5262,2671522.0,116
2024-05-09,510.0,510.0,493.0,10374,5234052.0,147
2024-05-08,493.0,499.8,488.5,2030,1000299.0,57
2024-05-07,491.2,516.0,480.5,7153,3577748.5,100
2024-05-06,490.0,493.0,481.5,4521,2199763.4,89
2024-05-05,490.0,506.0,487.0,9571,4707072.7,134
2024-05-02,496.1,514.8,495.0,7483,3753567.8,107
2024-04-30,504.8,511.9,490.0,21093,1.05669971E7,205
2024-04-29,499.0,518.2,495.0,22913,1.1473258E7,194
2024-04-28,515.0,520.0,507.0,8179,4203637.2,151
2024-04-25,530.0,530.0,510.0,6737,3464879.3,154
2024-04-24,523.9,532.0,512.3,4077,2126002.7,96
2024-04-22,522.0,534.0,520.0,3524,1847625.4,90
