BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,2500.0,2604.0,2500.0,91250,2.312662067E8,1170
2024-08-22,2597.0,2645.0,2586.2,39219,1.021053263E8,672
2024-08-21,2629.0,2700.0,2597.0,96714,2.562371547E8,1319
2024-08-18,2627.0,2690.0,2525.0,148346,3.887040568E8,2283
2024-08-15,2507.0,2573.4,2370.0,114052,2.794145636E8,1508
2024-08-14,2393.0,2432.5,2365.1,46614,1.112889442E8,536
2024-08-13,2384.9,2449.0,2360.0,37176,8.88325838E7,591
2024-08-12,2402.0,2430.0,2390.0,49859,1.20188246E8,708
2024-08-11,2390.0,2400.0,2323.6,63183,1.500849144E8,874
2024-08-08,2371.0,2428.0,2355.0,37314,8.88593895E7,572
2024-08-07,2381.0,2386.0,2301.0,47187,1.116750962E8,735
2024-08-06,2340.0,2487.0,2323.0,89285,2.155273645E8,1441
2024-08-05,2420.1,2473.0,2379.0,73318,1.768984472E8,899
2024-08-01,2379.0,2498.0,2357.0,91189,2.194756416E8,1186
2024-07-31,2374.0,2400.0,2210.0,128312,2.980628405E8,1676
2024-07-30,2190.0,2200.0,2140.0,39924,8.66430871E7,544
2024-07-29,2164.0,2218.9,2162.0,33440,7.32127458E7,534
2024-07-28,2190.0,2285.0,2136.0,28659,6.24962878E7,535
2024-07-25,2118.0,2147.0,2107.1,27729,5.89597475E7,421
2024-07-24,2129.0,2207.2,2115.0,27621,5.9661107E7,570
2024-07-23,2164.0,2181.0,2100.0,26453,5.71110071E7,447
2024-07-22,2100.0,2147.1,2080.0,34192,7.23503468E7,645
2024-07-21,2105.0,2108.0,1985.0,33828,7.02273979E7,577
2024-07-18,2022.0,2040.0,2005.0,30764,6.2389678E7,541
2024-07-17,1998.0,2000.0,1977.0,21307,4.24829606E7,454
2024-07-16,1974.0,1982.0,1942.0,14444,2.84227914E7,297
2024-07-15,1945.0,1997.0,1941.0,17992,3.52708244E7,362
2024-07-14,1921.0,2026.0,1921.0,31449,6.16105377E7,564
2024-07-11,1910.0,1918.0,1900.0,19387,3.69612073E7,352
2024-07-10,1905.0,1915.0,1899.0,15474,2.94546657E7,301
2024-07-09,1902.0,1909.0,1895.0,9065,1.72208634E7,247
2024-07-08,1898.0,1915.0,1895.0,12384,2.35367912E7,316
2024-07-07,1917.0,1950.0,1915.6,15773,3.02898953E7,380
2024-07-04,1920.0,1930.0,1887.0,36049,6.90147734E7,887
2024-07-03,2136.0,2139.0,2112.0,36308,7.72765967E7,826
2024-07-02,2115.1,2200.0,2080.0,15959,3.38470798E7,321
2024-07-01,2058.1,2078.9,2058.0,15859,3.27805928E7,354
2024-06-30,2079.0,2100.0,2070.0,10939,2.27844995E7,216
2024-06-27,2085.0,2100.0,2085.0,10472,2.19139158E7,203
2024-06-26,2096.0,2100.0,2091.0,9229,1.93407371E7,161
2024-06-25,2099.9,2120.0,2093.0,8887,1.8640461E7,177
2024-06-24,2095.0,2130.0,2085.0,24903,5.23005587E7,393
2024-06-23,2097.0,2112.0,2094.0,13796,2.89880254E7,247
2024-06-20,2112.2,2125.0,2111.2,10292,2.17564256E7,168
2024-06-19,2119.0,2120.0,2111.0,7697,1.62926952E7,141
2024-06-18,2116.0,2129.0,2103.0,11455,2.42379441E7,259
2024-06-16,2125.0,2190.0,2107.0,33666,7.17158179E7,558
2024-06-13,2151.0,2159.0,2146.5,9493,2.04310835E7,171
2024-06-12,2159.0,2169.5,2150.2,7709,1.66268902E7,168
2024-06-11,2155.0,2160.0,2140.0,22461,4.82445644E7,262
2024-06-10,2137.8,2141.0,2123.0,13845,2.95445976E7,176
2024-06-09,2128.2,2135.0,2115.0,10430,2.21891642E7,223
2024-06-06,2115.0,2138.0,2108.0,9243,1.95507369E7,194
2024-06-05,2110.0,2126.0,2100.0,9509,2.00622318E7,205
2024-06-04,2118.0,2152.4,2110.0,8194,1.73507283E7,170
2024-06-03,2110.2,2135.0,2110.0,7449,1.57790085E7,179
2024-06-02,2109.0,2140.0,2104.0,10022,2.11668426E7,214
2024-05-30,2120.0,2148.0,2110.0,11644,2.47291652E7,216
2024-05-29,2136.1,2175.0,2136.0,11791,2.54027661E7,216
2024-05-27,2160.0,2160.0,2125.0,7897,1.69855363E7,157
2024-05-26,2145.0,2173.0,2130.0,10659,2.28971438E7,185
2024-05-22,2168.2,2183.0,2160.0,12175,2.64040209E7,217
2024-05-21,2160.0,2189.0,2150.0,10292,2.22768299E7,232
2024-05-20,2166.0,2170.0,2102.5,23237,5.00948788E7,363
2024-05-19,2123.0,2149.0,2105.0,11507,2.44248261E7,210
2024-05-16,2110.0,2123.0,2089.0,9057,1.91270229E7,190
2024-05-15,2110.1,2135.0,2110.1,10386,2.20127938E7,178
2024-05-14,2112.0,2124.0,2099.0,12370,2.6075622E7,227
2024-05-13,2098.0,2110.0,2079.5,7108,1.48729592E7,127
2024-05-12,2074.0,2099.9,2071.0,6528,1.35427539E7,177
2024-05-09,2072.9,2085.0,2060.0,5240,1.08691611E7,160
2024-05-08,2070.0,2095.5,2066.0,5210,1.08084885E7,153
2024-05-07,2074.0,2087.0,2070.0,9477,1.96702818E7,232
