BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,683.1,719.0,683.0,101530,7.03345207E7,1983
2024-08-22,700.0,710.0,696.1,103954,7.31626139E7,2245
2024-08-21,705.0,723.0,704.0,151468,1.077302081E8,2185
2024-08-18,714.0,731.0,700.0,217985,1.564572097E8,3812
2024-08-15,700.0,715.0,693.1,167361,1.180403901E8,3519
2024-08-14,694.0,705.0,679.0,130824,9.06294026E7,2060
2024-08-13,692.0,714.0,680.0,166143,1.146217716E8,2272
2024-08-12,694.0,706.8,663.1,185903,1.267113932E8,3428
2024-08-11,652.0,660.0,635.0,174198,1.130913696E8,3051
2024-08-08,637.0,655.0,635.2,126088,8.09967281E7,1955
2024-08-07,642.0,648.0,608.0,152006,9.62556459E7,2791
2024-08-06,620.0,664.1,618.0,226424,1.450387156E8,2797
2024-08-05,661.3,665.0,630.0,176530,1.151803713E8,2882
2024-08-01,635.0,658.9,605.0,199180,1.273585977E8,3012
2024-07-31,613.0,618.0,600.0,164600,1.007689112E8,2692
2024-07-30,598.0,601.0,584.1,106149,6.28538428E7,1912
2024-07-29,594.0,612.0,592.9,111691,6.67888697E7,1845
2024-07-28,605.0,620.0,585.0,148990,8.90686002E7,1807
2024-07-25,591.0,599.0,582.0,99166,5.86758953E7,1659
2024-07-24,590.0,610.0,581.0,163297,9.72512341E7,1909
2024-07-23,599.0,600.0,568.0,123354,7.2684111E7,2259
2024-07-22,574.0,585.0,570.0,117144,6.7435643E7,1604
2024-07-21,580.0,582.0,567.0,149883,8.63613616E7,1814
2024-07-18,577.0,583.0,563.1,196691,1.131331909E8,2236
2024-07-17,570.0,578.0,557.0,133172,7.61153972E7,1500
2024-07-16,567.0,567.1,545.5,111874,6.24142726E7,1379
2024-07-15,544.6,565.0,543.0,152845,8.42384365E7,1185
2024-07-14,558.0,580.0,550.0,132221,7.38763211E7,1466
2024-07-11,548.0,548.0,527.0,130229,7.03982473E7,1939
2024-07-10,527.0,530.0,519.1,81883,4.29884864E7,1106
2024-07-09,523.5,523.9,511.0,94704,4.9264922E7,1054
2024-07-08,515.9,529.0,513.0,113445,5.87765308E7,1087
2024-07-07,524.0,525.0,507.0,142867,7.44096518E7,1776
2024-07-04,510.0,514.0,486.0,117197,5.91195522E7,1741
2024-07-03,490.0,491.0,483.5,31055,1.5147805E7,507
2024-07-02,490.0,515.0,485.0,65881,3.22749231E7,830
2024-07-01,477.0,478.0,468.7,21025,9964454.0,623
2024-06-30,471.5,480.0,470.0,24306,1.15208017E7,579
2024-06-27,475.0,484.0,474.0,41200,1.96162642E7,514
2024-06-26,479.9,482.0,475.5,38896,1.86698364E7,550
2024-06-25,480.8,483.0,475.5,22485,1.08155651E7,610
2024-06-24,480.1,485.0,480.0,38958,1.87669942E7,711
2024-06-23,480.0,484.0,477.2,44549,2.14358989E7,755
2024-06-20,482.0,486.0,480.0,48532,2.33559373E7,570
2024-06-19,481.5,485.0,480.0,31469,1.51824483E7,571
2024-06-18,485.0,487.0,475.0,42406,2.05170713E7,745
2024-06-16,483.0,493.0,480.0,95866,4.66522282E7,855
2024-06-13,486.1,489.4,479.0,47716,2.3110373E7,662
2024-06-12,484.7,494.0,484.0,55957,2.72465008E7,802
2024-06-11,486.0,487.0,469.0,54596,2.63513396E7,999
2024-06-10,471.6,478.0,471.0,50338,2.38601132E7,728
2024-06-09,475.0,479.5,470.1,36322,1.72315401E7,713
2024-06-06,478.1,480.0,475.1,48175,2.30427954E7,613
2024-06-05,479.0,482.3,475.1,38707,1.85591558E7,582
2024-06-04,480.0,482.0,470.0,46565,2.22749427E7,781
