BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,940.0,1054.0,935.3,34089,3.27901251E7,504
2024-08-22,974.0,993.0,948.0,34644,3.3539655E7,617
2024-08-21,948.0,985.1,941.0,33392,3.20164737E7,553
2024-08-18,989.0,1060.8,960.0,87619,8.88396673E7,741
2024-08-15,1020.0,1080.0,992.0,71817,7.44092787E7,741
2024-08-14,1019.9,1058.9,1015.0,39467,4.05111684E7,572
2024-08-13,1058.9,1139.3,1033.9,41556,4.38136049E7,575
2024-08-12,1074.0,1122.0,1050.0,96212,1.048088148E8,942
2024-08-11,1072.9,1112.1,1030.0,68499,7.33295871E7,883
2024-08-08,1055.0,1142.0,1055.0,55646,6.07842216E7,728
2024-08-07,1078.0,1078.0,985.0,111011,1.143831766E8,1193
2024-08-06,980.0,1168.5,974.2,256472,2.755657711E8,2304
2024-08-05,1062.3,1062.3,985.1,25051,2.64527295E7,422
2024-08-01,965.8,965.8,880.0,100145,9.45094067E7,823
2024-07-31,878.0,916.0,856.1,83717,7.5118648E7,826
2024-07-30,856.1,875.0,799.7,91616,7.75086564E7,881
2024-07-29,816.0,838.0,800.0,58744,4.79622127E7,582
2024-07-28,822.0,849.0,810.0,27096,2.22383631E7,357
2024-07-25,817.0,833.0,805.0,34161,2.80280638E7,410
2024-07-24,821.0,864.0,817.0,63013,5.26577605E7,598
2024-07-23,849.0,861.0,818.0,64026,5.39300877E7,742
2024-07-22,818.9,845.0,810.0,48633,3.99036243E7,483
2024-07-21,834.0,844.5,800.0,72271,5.98639194E7,732
2024-07-18,816.0,844.0,815.0,65514,5.41541144E7,686
2024-07-17,835.0,840.0,781.0,89263,7.26389985E7,989
2024-07-16,780.0,781.0,746.0,49310,3.78650201E7,534
2024-07-15,744.0,770.0,744.0,48950,3.68693742E7,359
2024-07-14,762.0,774.9,755.0,48196,3.66973003E7,407
2024-07-11,759.8,770.0,745.1,31037,2.35474272E7,296
2024-07-10,760.0,760.0,731.1,35487,2.66748462E7,380
2024-07-09,743.0,766.0,740.0,36599,2.74541327E7,321
2024-07-08,751.0,770.0,743.0,77637,5.85014739E7,564
2024-07-07,760.0,780.0,730.0,106789,8.14142999E7,1002
2024-07-04,742.0,744.0,700.0,70276,5.07342608E7,695
2024-07-03,704.7,714.0,690.0,32263,2.25393838E7,264
2024-07-02,704.0,746.1,691.0,36555,2.58127858E7,311
2024-07-01,689.5,689.5,673.1,14865,1.0086977E7,193
2024-06-30,676.0,689.9,675.0,14286,9712828.7,162
2024-06-27,679.0,692.0,675.1,18533,1.26194125E7,170
2024-06-26,682.0,710.0,682.0,21035,1.45920064E7,229
2024-06-25,699.5,707.0,678.0,29794,2.07955225E7,318
2024-06-24,680.0,693.8,676.0,19298,1.32233995E7,239
2024-06-23,676.0,694.0,675.1,29211,1.98859081E7,330
2024-06-20,690.0,710.0,689.9,39205,2.73362739E7,378
2024-06-19,704.2,720.0,699.0,24961,1.76005287E7,300
2024-06-18,708.0,735.6,708.0,41750,3.00594626E7,374
2024-06-16,724.0,749.9,710.0,63018,4.60416131E7,637
2024-06-13,710.0,728.0,700.1,78968,5.64037028E7,625
2024-06-12,711.1,737.4,684.0,92586,6.61115223E7,675
2024-06-11,698.0,710.0,690.3,22663,1.58823276E7,316
2024-06-10,699.0,741.0,692.5,56910,4.0522609E7,709
2024-06-09,712.8,712.8,651.0,199071,1.397949981E8,1537
2024-06-06,648.0,654.9,637.0,19106,1.23521178E7,279
2024-06-05,639.0,654.0,635.2,13962,8944583.4,180
2024-06-04,642.0,657.0,640.0,25717,1.66389347E7,282
