BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,884.0,909.0,842.9,53327,4.73813195E7,389
2024-08-22,826.4,826.4,766.3,44408,3.62280134E7,304
2024-08-21,751.3,751.3,675.2,49866,3.55377111E7,263
2024-08-18,683.0,696.0,661.5,22420,1.53225815E7,136
2024-08-15,675.0,708.0,672.0,15580,1.06965148E7,141
2024-08-14,685.0,689.0,662.0,17219,1.16552718E7,135
2024-08-13,682.0,731.3,673.0,9850,6774469.2,84
2024-08-12,685.0,702.0,673.0,20736,1.40570848E7,99
2024-08-11,676.0,727.8,660.1,11662,7923677.9,126
2024-08-08,664.0,693.0,640.0,7704,5047410.0,78
2024-08-07,680.0,702.9,638.0,11904,7887938.9,102
2024-08-06,639.0,700.0,635.0,17104,1.13254366E7,132
2024-08-05,690.0,718.0,680.0,8675,6045884.7,91
2024-08-01,692.3,744.0,676.0,21251,1.49278936E7,155
2024-07-31,685.0,708.9,640.0,26498,1.83092678E7,201
2024-07-30,646.0,657.9,623.0,18830,1.20861485E7,159
2024-07-29,641.0,641.0,617.3,25490,1.59706202E7,137
2024-07-28,628.5,658.0,597.0,9937,6240192.5,91
2024-07-25,621.0,647.0,602.0,11549,7194822.5,90
2024-07-24,613.0,639.8,608.3,9624,5925941.3,104
2024-07-23,627.5,628.0,596.0,11689,7216232.3,121
2024-07-22,608.0,621.1,600.0,16441,9992902.2,144
2024-07-21,609.0,635.0,606.0,10158,6232315.7,91
2024-07-18,625.0,657.0,615.0,17105,1.07926364E7,132
2024-07-17,632.0,637.5,614.0,16385,1.01913805E7,139
2024-07-16,633.0,645.5,582.0,15975,9685886.3,118
2024-07-15,586.9,596.7,574.3,5953,3452893.4,63
2024-07-14,586.0,594.0,581.0,6662,3903331.4,55
2024-07-11,582.9,596.7,576.2,6922,4042904.7,66
2024-07-10,585.0,603.0,583.0,5050,2973033.9,65
2024-07-09,594.5,600.0,579.2,14285,8464614.9,71
2024-07-08,582.0,599.7,580.0,8965,5225788.0,69
2024-07-07,588.0,617.0,582.0,19158,1.13736025E7,144
2024-07-04,605.0,617.0,580.3,32241,1.94004006E7,208
2024-07-03,588.0,621.1,562.6,19196,1.12257201E7,144
2024-07-02,570.0,598.0,546.0,19939,1.13659027E7,135
2024-07-01,555.0,555.0,520.0,13248,7074332.8,112
2024-06-30,516.2,533.9,516.2,5655,2967473.5,42
2024-06-27,524.0,536.9,516.6,6148,3195752.0,40
2024-06-26,526.9,545.5,522.0,2080,1090450.5,30
2024-06-25,535.0,550.0,533.0,11576,6260640.8,93
2024-06-24,530.0,530.0,507.0,12098,6257785.0,111
2024-06-23,505.0,515.0,498.2,5746,2882903.6,52
2024-06-20,507.5,523.0,503.0,6417,3259221.7,53
2024-06-19,513.0,530.0,502.3,10933,5534635.8,64
2024-06-18,510.0,525.0,501.0,6364,3229703.7,60
2024-06-16,515.0,538.0,507.0,15882,8289189.6,83
2024-06-13,530.0,561.0,497.1,19113,9956503.4,177
2024-06-12,510.0,512.0,493.1,16963,8604245.6,124
2024-06-11,493.0,497.0,476.0,13454,6580811.5,127
2024-06-10,477.0,478.3,468.9,3652,1731205.5,37
2024-06-09,469.0,479.0,463.0,6357,2982279.2,42
2024-06-06,470.0,484.0,468.2,1840,868674.0,23
2024-06-05,475.9,487.6,468.4,1440,677614.0,18
2024-06-04,480.0,483.0,466.0,11081,5275014.0,56
2024-06-03,470.0,482.9,466.2,5835,2770768.0,40
2024-06-02,475.3,479.4,466.0,2757,1303090.0,21
2024-05-30,465.0,479.8,462.1,4892,2282922.2,49
2024-05-29,477.5,488.0,470.0,4949,2346182.1,41
2024-05-27,484.9,489.9,465.0,9323,4491952.5,76
2024-05-26,467.0,483.0,465.0,4133,1940197.0,44
2024-05-22,477.0,489.0,470.5,5160,2458012.0,42
2024-05-21,479.5,485.0,473.0,8234,3941971.8,50
2024-05-20,475.0,493.9,475.0,4940,2351635.5,31
2024-05-19,474.9,489.0,469.0,9654,4616386.8,67
2024-05-16,469.0,488.0,460.1,7503,3520369.2,76
2024-05-15,466.1,489.0,460.8,6818,3260020.3,68
2024-05-14,475.0,480.0,468.6,7255,3437236.0,40
2024-05-13,473.9,489.6,470.0,7667,3683887.2,70
2024-05-12,479.0,486.0,460.0,19840,9439114.0,103
2024-05-09,467.5,471.9,460.0,7135,3315203.0,61
2024-05-08,457.0,464.0,450.0,4184,1895757.4,32
2024-05-07,458.9,460.0,446.5,8221,3731324.0,58
2024-05-06,450.0,475.0,428.1,16411,7390041.5,106
2024-05-05,444.2,477.0,442.0,14185,6468961.5,106
2024-05-02,468.0,496.0,468.0,23205,1.117695E7,178
2024-04-30,486.2,486.2,445.6,31569,1.51018737E7,223
2024-04-29,442.0,445.1,431.0,14926,6569153.0,128
2024-04-28,430.0,437.0,417.3,7545,3233670.0,35
2024-04-25,424.5,433.8,416.2,4699,1976118.4,36
2024-04-24,425.3,439.9,425.3,1155,499076.0,10
2024-04-22,425.9,438.6,405.0,8508,3542161.4,55
2024-04-21,430.0,444.0,422.0,4250,1825085.5,41
2024-04-18,427.0,439.0,426.5,1838,795499.0,15
2024-04-16,441.0,457.0,435.0,11120,4955895.0,74
2024-04-15,442.0,450.0,435.3,8173,3609512.8,46
2024-04-14,435.9,439.0,432.0,2396,1043453.0,30
2024-04-10,431.7,445.9,431.0,4691,2037103.0,45
2024-04-09,445.0,450.1,426.5,4158,1856298.7,65
2024-04-07,438.9,441.0,423.1,11236,4801481.5,84
2024-04-04,424.0,435.0,423.0,4518,1922291.7,33
2024-04-03,427.1,438.0,418.2,2840,1221538.5,49
2024-04-02,443.0,449.0,430.0,2935,1280887.5,35
2024-04-01,444.0,444.0,426.5,8248,3584777.2,43
2024-03-31,435.2,442.0,426.4,2038,887124.4,20
2024-03-28,435.1,448.4,435.0,5025,2214782.5,41
2024-03-27,443.0,450.0,435.9,5675,2516175.5,45
2024-03-26,435.0,460.0,422.6,9313,4132229.8,70
2024-03-25,431.2,469.7,418.5,6686,2900219.8,56
2024-03-21,427.0,445.7,427.0,8865,3869654.8,66
2024-03-20,437.0,452.0,430.0,2204,973029.1,36
2024-03-19,444.0,459.9,444.0,11869,5348911.6,63
2024-03-18,452.0,460.0,443.0,20300,9125225.5,57
2024-03-17,451.0,463.9,437.0,25144,1.13230025E7,161
2024-03-14,439.0,445.0,427.0,12749,5596943.3,82
2024-03-13,434.9,443.8,430.3,3306,1440910.3,27
2024-03-12,435.1,458.3,426.0,8478,3678814.0,49
2024-03-10,432.0,446.9,428.0,7674,3358619.3,56
2024-03-07,427.1,444.9,421.3,4620,1991652.0,31
2024-03-06,413.1,426.0,406.7,19877,8322201.8,89
2024-03-05,407.0,439.7,405.1,14736,6046717.7,78
2024-03-04,432.5,432.5,416.1,50,21128.0,5
2024-03-03,408.0,426.5,393.9,18232,7325494.2,50
2024-02-29,410.0,430.5,405.5,5048,2074312.3,42
2024-02-28,422.1,435.5,420.5,3906,1656057.6,24
2024-02-27,427.0,437.0,425.0,2500,1070767.0,24
2024-02-26,428.5,443.1,418.3,4252,1801475.3,35
2024-02-25,426.0,430.1,418.0,13011,5554346.5,85
2024-02-22,420.0,448.8,408.0,22503,9746018.8,144
2024-02-21,416.1,428.4,415.0,5031,2095993.2,47
2024-02-20,420.0,430.0,420.0,4660,1975893.4,41
2024-02-18,420.5,428.0,415.2,8635,3622159.0,61
2024-02-15,423.0,441.7,422.0,9537,4113289.7,66
2024-02-14,433.0,460.0,426.0,12640,5503822.4,79
2024-02-13,430.0,457.9,422.4,30087,1.32011079E7,118
2024-02-12,450.0,450.0,429.0,16426,7208273.8,115
2024-02-11,444.0,475.0,432.3,21359,9725837.1,208
2024-02-08,440.0,447.2,410.1,55528,2.40154184E7,412
2024-02-07,410.0,415.5,406.2,19908,8211391.8,110
2024-02-06,403.2,415.0,379.1,26586,1.07732038E7,203
2024-02-05,386.0,390.0,378.4,8605,3331405.5,91
2024-02-04,371.0,385.0,370.0,11015,4167520.0,78
2024-02-01,363.0,379.0,363.0,5888,2164959.9,79
2024-01-31,379.0,397.0,378.0,3435,1310992.7,38
2024-01-30,390.0,391.4,377.1,2344,904017.0,34
2024-01-29,384.0,387.5,370.0,6231,2371174.4,57
2024-01-28,374.5,377.0,362.6,4470,1641391.0,46
2024-01-25,370.0,375.0,365.1,5467,2025324.6,50
2024-01-24,376.0,394.7,376.0,2888,1094136.8,43
2024-01-23,381.0,393.0,379.0,3434,1314397.0,36
2024-01-22,379.0,396.0,369.0,9952,3757481.5,93
2024-01-21,390.0,409.0,385.0,13035,5159014.2,131
2024-01-18,401.0,411.0,397.0,10007,4016184.9,145
2024-01-17,409.0,427.9,407.0,36412,1.52319218E7,351
2024-01-16,401.0,409.0,391.0,24527,9873920.4,196
2024-01-14,383.9,385.0,376.5,10035,3834620.4,53
2024-01-11,377.6,385.0,370.2,4205,1584804.0,39
2024-01-10,380.3,400.0,380.3,12351,4811132.5,89
2024-01-09,384.3,395.7,359.5,21122,7921902.4,160
2024-01-08,359.8,376.6,348.0,4463,1589662.4,51
2024-01-07,355.0,370.2,355.0,3476,1253885.0,16
2024-01-04,363.0,365.0,332.2,5088,1820271.3,46
2024-01-03,360.0,364.1,344.2,8843,3159038.0,46
2024-01-02,357.0,364.9,351.0,3375,1200553.4,26
2024-01-01,361.1,368.2,353.9,8563,3097801.1,54
2023-12-28,361.0,364.0,355.0,3875,1389465.2,40
2023-12-27,350.5,367.0,346.4,11150,3994439.5,72
2023-12-24,353.0,360.0,347.9,7852,2786775.9,58
2023-12-21,355.0,369.0,351.0,5834,2080474.2,53
2023-12-20,363.0,372.3,354.0,6520,2344628.3,54
2023-12-19,365.0,385.1,355.8,4546,1666338.1,46
2023-12-18,363.0,371.9,361.0,7796,2859925.2,50
2023-12-17,364.0,365.0,350.0,7965,2892590.5,58
2023-12-14,355.7,362.0,349.4,15590,5567770.2,107
2023-12-13,342.6,363.5,342.5,16064,5672660.6,82
2023-12-12,343.0,355.0,336.0,8491,2964157.1,48
2023-12-11,335.0,366.1,332.0,4078,1416464.4,51
2023-12-10,352.9,352.9,346.0,1603,561155.0,10
2023-12-07,340.0,340.0,327.0,4595,1532680.0,45
2023-12-06,327.0,336.5,325.5,6528,2164624.0,29
2023-12-05,325.6,335.0,325.0,5868,1922314.0,54
2023-12-04,320.2,333.5,320.2,2249,735361.0,31
2023-12-03,327.0,332.9,318.5,6000,1939034.0,41
2023-11-30,320.0,334.9,317.5,3812,1225018.7,46
2023-11-29,322.0,347.9,322.0,2923,955143.2,34
2023-11-28,328.0,345.3,327.0,2070,687386.5,34
2023-11-27,332.0,350.0,322.0,4687,1567755.6,40
2023-11-26,337.0,337.0,317.0,13252,4380753.4,110
2023-11-23,311.1,330.0,311.1,5831,1909558.4,69
2023-11-22,310.0,334.4,307.0,3905,1257331.8,56
2023-11-21,304.0,325.0,304.0,6302,1970849.0,66
2023-11-20,303.0,330.0,303.0,1158,371640.4,22
2023-11-09,311.6,322.5,310.0,1368,430630.0,21
2023-11-08,304.0,337.0,304.0,231,74728.3,14
2023-11-07,324.7,324.7,313.1,1862,588495.0,22
2023-11-06,313.5,321.4,309.0,3046,954116.5,20
2023-11-05,309.0,320.0,309.0,1570,485675.0,25
2023-11-02,315.0,323.4,313.1,1198,379961.8,15
2023-11-01,317.1,332.3,317.1,810,259683.0,14
2023-10-31,319.5,339.6,313.9,922,294984.0,15
2023-10-30,320.2,329.3,320.0,1061,341836.0,12
2023-10-29,319.3,335.0,317.6,575,185366.0,16
2023-10-19,330.0,341.0,322.0,1535,503537.0,26
2023-10-18,322.0,328.7,322.0,803,260755.0,10
2023-10-17,316.0,333.9,312.5,770,243007.0,15
2023-10-16,315.0,317.0,310.3,3902,1218315.1,33
2023-10-12,315.2,344.8,315.2,3133,998737.5,49
2023-10-11,325.0,328.4,317.1,595,192725.0,8
2023-10-10,321.0,325.0,320.0,470,151017.8,14
2023-10-09,327.5,332.0,320.0,3728,1215855.0,10
2023-10-08,321.6,326.0,321.0,1205,388705.0,13
2023-10-05,330.4,332.0,324.0,1931,633244.5,21
2023-10-04,326.0,336.0,326.0,3032,1002844.0,42
2023-10-03,324.1,338.0,323.0,2573,836266.4,27
2023-10-02,329.3,338.0,319.0,2349,772094.7,48
2023-10-01,325.1,334.9,325.1,6276,2059476.1,36
2023-09-27,332.3,337.5,320.0,5188,1715892.9,38
2023-09-26,338.0,341.0,326.2,4650,1555423.0,36
2023-09-25,329.0,339.0,328.0,2434,808680.0,26
2023-09-24,328.6,342.7,328.6,5248,1764213.1,34
2023-09-21,336.0,339.9,330.0,4605,1549639.3,65
2023-09-19,325.4,343.0,311.0,4827,1583709.7,49
2023-09-18,317.1,324.0,311.1,2636,833445.5,20
2023-09-17,314.1,333.0,311.5,2448,774425.8,35
2023-09-13,327.0,330.0,320.0,3339,1083543.8,35
2023-09-12,317.1,326.4,317.0,2520,803094.5,25
2023-09-11,320.0,325.0,318.0,3321,1072626.8,29
2023-09-10,318.0,319.9,313.0,340,107609.0,12
2023-09-07,316.0,317.1,312.9,3253,1026057.9,28
2023-09-05,319.0,328.0,309.0,466,149557.8,19
2023-09-04,322.0,322.0,310.0,4005,1273061.9,44
2023-09-03,314.0,322.9,312.1,4004,1260667.3,48
2023-08-30,316.8,322.5,315.6,3378,1075479.1,44
2023-08-29,316.2,336.0,311.3,1454,461714.5,30
2023-08-28,317.5,324.0,316.0,1528,487383.5,21
2023-08-27,318.1,325.3,318.1,1842,590778.3,28
