BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,1047.7,1085.0,1030.0,66442,7.01260876E7,638
2024-08-22,1039.2,1070.0,1039.2,24890,2.60974108E7,304
2024-08-21,1060.0,1084.0,1045.0,32668,3.47562971E7,382
2024-08-18,1063.0,1099.0,1060.0,71926,7.7814815E7,715
2024-08-15,1051.0,1067.0,1035.1,38706,4.057048E7,373
2024-08-14,1046.1,1087.0,1045.0,62869,6.64982936E7,546
2024-08-13,1025.0,1062.0,1015.0,38494,3.96576292E7,363
2024-08-12,1057.0,1085.0,1050.6,33348,3.55287138E7,335
2024-08-11,1064.0,1066.0,1015.0,49021,5.17142736E7,523
2024-08-08,1014.0,1035.0,996.0,34124,3.44197037E7,292
2024-08-07,1025.0,1025.0,994.0,40276,4.05004968E7,367
2024-08-06,994.0,1050.0,980.0,73467,7.40795038E7,505
2024-08-05,1040.0,1060.0,1029.0,43429,4.51290325E7,340
2024-08-01,1060.0,1080.0,1040.0,56003,5.93898678E7,460
2024-07-31,1060.0,1086.0,1058.0,78307,8.37430987E7,472
2024-07-30,1046.9,1050.0,985.0,73772,7.51264619E7,654
2024-07-29,999.9,1020.0,980.1,89893,8.94506261E7,685
2024-07-28,1025.0,1044.0,990.0,68666,6.95111067E7,576
2024-07-25,1026.0,1030.0,937.0,113963,1.129862559E8,997
2024-07-24,937.0,962.8,915.0,86470,8.04638874E7,437
2024-07-23,944.0,945.0,915.0,36721,3.41133658E7,272
2024-07-22,919.1,945.0,913.0,34651,3.20289364E7,330
2024-07-21,938.7,938.7,901.1,24833,2.30953815E7,307
2024-07-18,914.0,946.0,891.0,43085,3.96753759E7,403
2024-07-17,894.0,894.0,865.0,36753,3.24620431E7,288
2024-07-16,869.0,869.0,830.0,16533,1.41390473E7,179
2024-07-15,841.0,865.0,840.0,26132,2.2206143E7,221
2024-07-14,850.5,880.1,846.0,25027,2.13465192E7,222
2024-07-11,846.0,870.0,843.1,23786,2.03909276E7,235
2024-07-10,853.0,855.0,840.2,45712,3.87583332E7,302
2024-07-09,832.1,836.9,813.0,30871,2.55950286E7,243
2024-07-08,823.0,825.0,810.1,27577,2.25033942E7,236
2024-07-07,806.3,814.0,785.0,32850,2.63715478E7,233
2024-07-04,784.0,795.0,780.0,18604,1.46281191E7,131
2024-07-03,786.0,786.0,771.0,25775,2.00514222E7,105
2024-07-02,783.9,801.0,775.0,6229,4884430.1,98
2024-07-01,770.0,780.0,765.0,12670,9752220.6,76
2024-06-30,768.0,783.5,768.0,14507,1.12146359E7,130
2024-06-27,780.2,797.0,777.1,10061,7861527.4,78
2024-06-26,788.0,800.9,782.2,4735,3738189.3,72
2024-06-25,798.0,818.9,776.5,10461,8334920.1,89
2024-06-24,788.0,797.0,772.0,9540,7543837.1,104
2024-06-23,782.0,799.0,782.0,9520,7488543.9,100
2024-06-20,792.0,802.9,791.4,7636,6062420.8,101
2024-06-19,803.0,803.9,782.1,11070,8860593.6,114
2024-06-18,798.0,809.0,785.0,16482,1.31416187E7,155
2024-06-16,798.0,815.0,796.1,22260,1.79418429E7,206
2024-06-13,821.1,837.0,810.0,51134,4.22212515E7,409
