BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,1329.0,1350.0,1202.6,6725,8643329.6,178
2024-08-22,1229.0,1235.0,1200.1,3318,4054550.9,98
2024-08-21,1219.5,1259.7,1205.0,6883,8398258.4,143
2024-08-18,1237.0,1278.0,1236.0,2931,3691885.9,118
2024-08-15,1278.0,1305.0,1273.0,3171,4088079.9,117
2024-08-14,1295.0,1300.0,1265.0,4212,5402807.7,103
2024-08-13,1289.0,1325.0,1285.0,2675,3474294.9,97
2024-08-12,1316.0,1361.0,1306.2,5446,7193124.3,141
2024-08-11,1335.0,1346.4,1311.1,3726,4954549.1,136
2024-08-08,1311.1,1387.0,1290.0,2887,3823313.4,85
2024-08-07,1310.0,1330.0,1275.0,3194,4161025.1,129
2024-08-06,1290.0,1340.0,1286.0,3765,4920470.2,115
2024-08-05,1332.3,1384.5,1322.0,4850,6477988.0,95
2024-08-01,1361.0,1410.0,1353.5,4132,5740543.1,106
2024-07-31,1380.0,1388.0,1358.0,4034,5550254.1,102
2024-07-30,1358.0,1395.0,1342.0,4594,6260480.0,97
2024-07-29,1368.0,1428.0,1345.0,5533,7545409.4,141
2024-07-28,1400.0,1473.9,1369.0,2960,4147461.4,81
2024-07-25,1439.0,1440.0,1350.0,7840,1.10531236E7,190
2024-07-24,1350.9,1416.7,1350.9,5224,7184432.0,132
2024-07-23,1393.3,1417.0,1389.3,3155,4404155.2,94
2024-07-22,1402.0,1415.0,1375.0,4426,6185044.7,102
2024-07-21,1420.0,1441.0,1401.0,3836,5430154.3,100
2024-07-18,1423.0,1489.0,1420.0,7012,1.02059731E7,154
2024-07-17,1407.0,1428.0,1385.0,4127,5822696.7,111
2024-07-16,1400.0,1400.0,1332.8,4619,6313995.5,92
2024-07-15,1359.4,1402.0,1359.4,3616,5004675.6,78
2024-07-14,1389.9,1450.0,1375.2,3347,4680605.4,87
2024-07-11,1415.0,1426.0,1394.0,5640,7926791.1,156
2024-07-10,1420.5,1465.0,1402.0,13144,1.89249957E7,319
2024-07-09,1375.0,1375.0,1274.0,10854,1.45355861E7,267
2024-07-08,1274.0,1277.0,1240.0,2051,2600820.3,59
2024-07-07,1258.0,1280.0,1250.0,3623,4591055.3,85
2024-07-04,1260.0,1270.0,1247.0,1237,1553541.4,39
2024-07-03,1257.8,1289.0,1230.0,2495,3099671.1,45
2024-07-02,1265.0,1288.0,1251.0,1567,1975775.4,47
2024-07-01,1239.0,1265.0,1236.0,1882,2336273.1,47
2024-06-30,1236.0,1261.9,1236.0,3138,3893548.3,70
2024-06-27,1256.0,1283.5,1241.5,4618,5838268.4,74
2024-06-26,1259.0,1295.0,1246.2,2370,3024410.7,62
2024-06-25,1279.0,1300.0,1254.4,5259,6742152.5,101
2024-06-24,1255.0,1277.0,1226.5,2598,3277120.3,64
2024-06-23,1227.8,1288.0,1227.2,2845,3539109.1,62
2024-06-20,1268.0,1325.0,1252.0,4080,5170203.0,104
2024-06-19,1255.0,1302.0,1255.0,1852,2357337.7,65
2024-06-18,1278.0,1299.4,1233.3,4395,5555970.2,95
2024-06-16,1284.0,1340.0,1280.0,5209,6805633.3,108
2024-06-13,1335.0,1345.0,1305.0,16558,2.19995153E7,275
2024-06-12,1280.0,1280.0,1216.0,5863,7350215.8,129
2024-06-11,1255.0,1267.0,1220.0,4519,5588537.4,92
2024-06-10,1222.2,1243.0,1190.1,2444,2970414.2,58
2024-06-09,1214.0,1260.0,1200.0,5615,6829549.7,117
2024-06-06,1260.0,1280.0,1240.0,2823,3539798.2,80
2024-06-05,1255.0,1283.0,1242.0,3992,5044069.0,87
2024-06-04,1260.0,1282.9,1211.0,5027,6341085.3,103
2024-06-03,1225.0,1244.0,1160.0,3966,4745336.0,97
2024-06-02,1182.0,1196.0,1160.0,1910,2250604.9,60
2024-05-30,1177.0,1214.0,1176.0,4418,5277315.5,87
2024-05-29,1190.0,1252.5,1190.0,3253,3933759.8,84
2024-05-27,1228.0,1270.0,1220.0,4268,5308329.0,95
2024-05-26,1251.1,1285.0,1235.0,3246,4083708.1,91
2024-05-22,1265.1,1300.0,1260.0,10140,1.28877414E7,130
2024-05-21,1295.0,1305.0,1265.1,5484,7031679.9,110
2024-05-20,1290.0,1356.0,1275.0,9441,1.23418842E7,203
2024-05-19,1340.0,1405.0,1328.9,8196,1.11624644E7,207
2024-05-16,1325.0,1326.0,1220.1,19023,2.45197715E7,448
2024-05-15,1220.0,1280.0,1200.0,4295,5344583.0,106
2024-05-14,1264.0,1264.8,1162.3,7247,8946814.8,184
2024-05-13,1179.0,1190.0,1160.0,2345,2769879.9,50
2024-05-12,1158.0,1189.9,1156.5,2925,3422991.2,56
2024-05-09,1189.0,1230.5,1152.0,2791,3322052.1,83
2024-05-08,1220.0,1224.0,1170.0,2943,3531984.8,80
2024-05-07,1175.0,1206.6,1139.0,2050,2386480.0,55
