BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,267.0,294.3,267.0,41171,1.12383768E7,849
2024-08-22,283.0,295.0,281.3,37826,1.09068285E7,1199
2024-08-21,286.9,300.0,284.4,46174,1.33751432E7,1142
2024-08-18,294.0,298.0,284.0,112342,3.28399749E7,1447
2024-08-15,293.0,312.0,290.0,84270,2.50096603E7,1210
2024-08-14,295.0,300.9,267.0,81682,2.29582807E7,1298
2024-08-13,281.9,290.7,275.1,70353,1.99229556E7,993
2024-08-12,285.0,286.5,266.0,147183,4.06374802E7,1431
2024-08-11,261.0,261.0,242.0,102514,2.58564564E7,826
2024-08-08,240.0,262.0,238.0,58021,1.43010828E7,460
2024-08-07,247.0,248.0,233.0,61452,1.47823797E7,1167
2024-08-06,237.9,257.0,233.5,62984,1.54554362E7,882
2024-08-05,253.0,264.2,245.0,61700,1.55562421E7,858
2024-08-01,259.5,273.0,254.8,90373,2.36509721E7,831
2024-07-31,258.5,258.5,235.3,121741,3.03052169E7,1192
2024-07-30,235.0,242.7,229.4,39265,9169087.5,378
2024-07-29,234.0,241.0,230.0,56333,1.33781466E7,327
2024-07-28,234.8,246.5,226.0,49276,1.15756122E7,267
2024-07-25,237.0,239.0,231.0,43342,1.01557269E7,296
2024-07-24,235.0,247.8,233.3,63136,1.51454689E7,504
2024-07-23,238.4,239.3,227.6,74892,1.77216949E7,539
2024-07-22,230.0,237.0,220.0,45249,1.04227115E7,411
2024-07-21,232.8,237.0,227.0,50249,1.16458528E7,462
2024-07-18,236.5,245.0,231.3,52959,1.25171756E7,492
2024-07-17,238.6,239.7,227.9,111239,2.60767779E7,684
2024-07-16,223.5,225.0,215.0,81862,1.80782147E7,373
2024-07-15,213.0,228.0,212.7,35242,7655563.4,251
2024-07-14,215.9,221.0,212.5,30620,6609633.3,240
2024-07-11,211.0,213.0,205.4,29743,6231940.8,208
2024-07-10,205.0,213.0,204.2,16307,3361593.3,139
2024-07-09,205.0,211.0,200.9,18407,3775246.8,150
2024-07-08,207.0,209.0,205.0,13742,2846730.4,99
2024-07-07,205.0,209.0,204.3,30477,6266606.1,149
2024-07-04,205.0,212.0,205.0,16221,3350764.6,109
2024-07-03,205.0,213.1,201.2,18140,3696565.3,105
2024-07-02,209.0,218.0,204.0,21962,4571356.5,118
2024-07-01,204.0,205.0,199.0,10108,2044183.4,64
2024-06-30,202.8,208.7,199.0,15292,3104538.2,126
2024-06-27,201.5,205.1,197.1,23565,4733259.4,124
2024-06-26,205.7,214.0,200.9,23854,4904925.5,136
2024-06-25,209.9,209.9,202.2,28451,5852117.4,134
2024-06-24,200.0,207.0,198.0,34630,6950534.1,144
2024-06-23,203.8,209.0,201.0,26561,5418009.2,133
2024-06-20,209.0,218.9,204.0,50514,1.04819142E7,229
2024-06-19,215.1,228.0,213.0,29462,6420305.3,158
2024-06-18,220.2,225.0,205.8,130458,2.86880301E7,652
