BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,618.0,643.9,618.0,58724,3.67512612E7,496
2024-08-22,657.0,713.0,630.0,75406,5.08315449E7,828
2024-08-21,660.1,660.1,588.1,74500,4.74109951E7,1026
2024-08-18,600.1,662.0,585.0,60181,3.71669934E7,723
2024-08-15,615.1,643.6,605.0,62514,3.90703543E7,683
2024-08-14,631.0,671.5,615.0,64020,4.12984334E7,781
2024-08-13,610.5,610.5,555.0,96855,5.79724911E7,851
2024-08-12,555.0,577.5,516.0,104753,5.76967096E7,966
2024-08-11,525.0,540.0,519.4,56498,2.98488746E7,709
2024-08-08,531.1,541.0,505.0,100242,5.27493981E7,1151
2024-08-07,498.3,498.3,450.0,95470,4.6022282E7,777
2024-08-06,453.0,497.0,451.0,44246,2.0812758E7,431
2024-08-05,488.8,498.3,482.0,31498,1.54041102E7,420
2024-08-01,488.6,516.9,479.0,58639,2.93743841E7,631
2024-07-31,490.0,499.0,480.0,66004,3.24684944E7,627
2024-07-30,471.0,480.0,463.0,22028,1.03888135E7,340
2024-07-29,471.0,481.1,458.0,31486,1.48850442E7,321
2024-07-28,467.1,482.0,460.0,23709,1.11498619E7,225
2024-07-25,474.0,480.0,460.0,37494,1.77307299E7,355
2024-07-24,465.0,486.0,464.0,33025,1.55815581E7,326
2024-07-23,480.1,486.3,470.0,37403,1.79986772E7,383
2024-07-22,476.9,481.3,459.8,59523,2.79252976E7,518
2024-07-21,466.0,478.0,460.0,39044,1.83306576E7,409
2024-07-18,466.3,499.0,465.4,67988,3.20473267E7,550
2024-07-17,479.9,485.0,466.2,33980,1.60727806E7,368
2024-07-16,478.9,488.5,462.0,59940,2.87548442E7,506
2024-07-15,462.0,473.0,432.0,91727,4.14594137E7,670
2024-07-14,432.0,446.0,427.3,11167,4838804.9,182
2024-07-11,429.0,435.5,426.0,14536,6233405.8,172
2024-07-10,427.0,433.8,424.0,15186,6468300.2,157
2024-07-09,428.4,429.9,420.6,12544,5341372.9,155
2024-07-08,423.0,427.0,418.4,9080,3843807.0,127
2024-07-07,424.0,425.1,418.0,6896,2916072.2,151
2024-07-04,426.1,438.0,425.0,17176,7378118.0,176
2024-07-03,426.0,428.0,421.0,7303,3084070.0,119
2024-07-02,429.0,454.0,424.9,21768,9411146.4,228
2024-07-01,427.9,430.0,408.0,25646,1.08812691E7,246
2024-06-30,406.7,420.0,406.7,17535,7252217.9,167
2024-06-27,420.1,426.0,420.1,6138,2596170.0,101
2024-06-26,423.0,435.7,422.1,14861,6374262.3,175
2024-06-25,427.2,429.9,417.0,18422,7850934.3,192
2024-06-24,420.0,424.0,410.0,8866,3713682.3,176
2024-06-23,413.1,420.0,412.0,21026,8739604.8,153
2024-06-20,417.0,423.0,415.5,9234,3857446.0,111
2024-06-19,419.0,428.3,415.0,14210,5975944.0,137
2024-06-18,420.1,425.0,416.0,17282,7267548.2,178
2024-06-16,423.1,440.0,423.0,16504,7097618.5,209
2024-06-13,424.5,433.9,424.0,29386,1.25476861E7,234
