BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,510.0,525.0,499.0,51611,2.63151859E7,490
2024-08-22,514.7,517.0,504.7,26084,1.3331433E7,548
2024-08-21,510.3,517.0,500.0,41250,2.1005081E7,562
2024-08-18,497.0,538.5,496.3,52779,2.69070747E7,645
2024-08-15,528.0,550.0,528.0,53089,2.86373342E7,871
2024-08-14,532.5,547.0,527.0,55471,2.98077203E7,613
2024-08-13,539.9,561.0,520.0,57039,3.05443005E7,780
2024-08-12,525.0,537.5,515.0,58364,3.08361579E7,740
2024-08-11,524.9,535.5,496.0,82074,4.27819275E7,1005
2024-08-08,495.9,507.0,489.0,80825,4.01874121E7,724
2024-08-07,494.7,503.9,464.1,53988,2.61563811E7,602
2024-08-06,476.0,499.0,456.7,57466,2.77620906E7,603
2024-08-05,490.0,494.7,466.5,52019,2.5270349E7,631
2024-08-01,476.0,498.0,475.0,60842,2.95038888E7,523
2024-07-31,490.0,502.5,484.3,58857,2.9134173E7,619
2024-07-30,492.7,495.0,473.0,61917,3.00596634E7,553
2024-07-29,480.0,493.0,470.0,60322,2.90963489E7,496
2024-07-28,480.0,498.7,461.0,35323,1.67794261E7,351
2024-07-25,474.1,485.0,472.5,29042,1.38550795E7,364
2024-07-24,482.3,512.0,475.0,50889,2.49380712E7,588
2024-07-23,502.9,505.0,485.0,79858,3.97640337E7,773
2024-07-22,482.0,488.6,465.0,85002,4.08692793E7,759
2024-07-21,464.0,473.9,460.1,45779,2.13489173E7,450
2024-07-18,465.0,473.9,457.0,51251,2.38100214E7,428
2024-07-17,469.0,480.0,461.0,51444,2.40382936E7,385
2024-07-16,472.0,473.0,446.0,47006,2.1894904E7,357
2024-07-15,450.5,464.0,446.9,24456,1.11361533E7,232
2024-07-14,456.0,472.0,445.0,38159,1.72468383E7,300
2024-07-11,449.0,465.0,443.0,66786,3.00317104E7,383
2024-07-10,460.0,478.0,441.0,62499,2.88062153E7,283
2024-07-09,474.0,483.0,466.1,23062,1.09445923E7,220
2024-07-08,478.0,478.0,446.0,44249,2.0751309E7,394
2024-07-07,455.1,465.0,452.0,35211,1.61172811E7,272
2024-07-04,461.0,493.6,461.0,76112,3.61375178E7,443
2024-07-03,484.0,488.0,470.0,47090,2.24571879E7,318
2024-07-02,489.0,502.8,468.0,59864,2.86535404E7,430
2024-07-01,474.0,475.0,428.3,162262,7.44376515E7,954
2024-06-30,437.0,448.2,426.6,45621,2.016658E7,289
2024-06-27,435.0,435.0,419.5,13167,5618707.4,193
2024-06-26,428.0,449.0,424.0,13457,5819676.3,137
2024-06-25,433.0,446.0,415.5,22738,9722156.0,237
2024-06-24,417.2,429.4,412.7,10790,4534087.2,129
2024-06-23,420.0,422.0,410.2,11238,4682825.6,167
2024-06-20,416.0,423.1,416.0,9846,4114174.8,122
2024-06-19,420.0,427.0,415.0,8737,3655090.3,112
2024-06-18,419.0,425.0,416.5,16849,7068395.9,170
2024-06-16,425.0,435.0,425.0,16548,7132956.2,172
2024-06-13,430.0,439.0,425.0,20786,8938246.8,202
2024-06-12,433.0,445.0,430.0,22072,9617640.5,161
2024-06-11,439.0,451.0,435.0,24374,1.07513462E7,277
2024-06-10,439.0,453.0,420.0,82486,3.65687197E7,532
2024-06-09,426.9,437.0,424.0,15537,6687957.0,170
2024-06-06,424.0,429.9,411.0,36660,1.54799024E7,210
2024-06-05,418.0,427.5,418.0,10645,4498229.4,128
2024-06-04,430.0,442.0,427.1,18128,7863674.9,179
2024-06-03,435.0,438.6,422.1,57310,2.4792522E7,442
2024-06-02,420.0,424.0,411.1,16331,6823422.2,209
2024-05-30,414.0,439.0,406.0,8253,3420941.0,137
2024-05-29,414.0,424.9,406.1,9107,3790586.5,140
2024-05-27,413.0,420.0,407.3,5238,2164961.8,119
2024-05-26,412.1,427.0,408.0,9127,3762299.9,165
2024-05-22,423.0,441.0,422.1,20065,8546672.5,187
2024-05-21,433.0,434.0,417.0,27951,1.1947693E7,303
2024-05-20,415.0,416.0,402.1,28659,1.1842661E7,257
2024-05-19,402.0,407.0,396.5,13963,5599431.0,166
2024-05-16,403.0,404.0,398.6,10383,4156107.0,144
2024-05-15,406.0,419.9,405.4,8760,3588458.6,120
2024-05-14,412.0,413.0,392.3,16210,6569598.1,203
2024-05-13,399.0,400.0,393.0,8439,3344045.3,99
2024-05-12,398.0,405.0,396.0,7348,2936932.0,113
2024-05-09,396.0,410.9,395.0,14645,5815281.5,123
2024-05-08,403.0,408.0,396.0,4304,1734295.0,69
2024-05-07,403.0,419.0,399.0,5557,2235193.5,98
2024-05-06,408.0,417.0,399.0,8400,3421903.2,111
2024-05-05,406.0,412.0,403.0,6363,2580980.0,135
2024-05-02,412.0,416.0,408.0,9237,3813365.6,153
2024-04-30,406.1,418.0,404.3,15521,6390860.7,227
2024-04-29,410.0,417.8,408.0,6264,2586259.5,92
2024-04-28,414.2,426.9,412.0,6488,2698334.8,107
2024-04-25,420.0,423.0,401.0,24343,9995226.3,231
2024-04-24,406.0,425.0,406.0,10444,4290217.4,163
2024-04-22,413.0,430.0,407.7,8162,3372901.2,116
2024-04-21,422.0,422.0,406.0,6937,2861317.4,162
2024-04-18,413.9,430.0,411.6,15337,6397044.5,174
2024-04-16,425.0,440.0,423.5,9000,3835647.0,115
2024-04-15,431.9,442.5,420.2,20754,8860030.1,198
2024-04-14,433.9,444.0,427.0,19377,8400723.4,215
2024-04-10,436.0,443.7,427.0,25139,1.09607079E7,242
2024-04-09,435.0,443.0,430.1,14032,6109070.9,205
2024-04-07,435.0,435.0,418.0,13186,5580122.1,256
2024-04-04,418.4,430.0,418.0,18425,7757803.6,222
2024-04-03,425.0,438.6,425.0,15153,6478538.1,198
