BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,577.0,612.7,576.0,5355,3149998.5,136
2024-08-22,589.8,611.5,576.1,9297,5479709.6,218
2024-08-21,588.0,599.0,569.5,15526,9007666.7,204
2024-08-18,594.1,625.0,594.1,15008,9144549.8,207
2024-08-15,633.0,681.0,633.0,14697,9551238.5,216
2024-08-14,657.9,657.9,618.3,19442,1.23681306E7,281
2024-08-13,626.4,650.0,620.0,28833,1.82938388E7,331
2024-08-12,630.0,635.0,605.0,27474,1.72049899E7,322
2024-08-11,603.2,615.0,595.1,12660,7666187.3,250
2024-08-08,600.0,625.0,590.0,15453,9310890.4,172
2024-08-07,619.0,631.2,585.3,19594,1.18927761E7,273
2024-08-06,594.9,638.0,585.1,31838,1.95492683E7,349
2024-08-05,615.0,618.0,580.0,24231,1.4653558E7,301
2024-08-01,584.9,603.0,577.2,14204,8405233.5,180
2024-07-31,600.0,610.0,590.1,26995,1.61888678E7,301
2024-07-30,596.0,602.7,575.2,14651,8702180.5,207
2024-07-29,582.0,621.0,582.0,17679,1.04703145E7,216
2024-07-28,597.5,608.9,575.1,17789,1.05356925E7,169
2024-07-25,597.0,603.0,574.2,23980,1.42771166E7,247
2024-07-24,585.0,607.0,578.0,21726,1.28481348E7,223
2024-07-23,598.0,605.4,566.7,20533,1.21866517E7,247
2024-07-22,590.0,601.0,580.0,20742,1.21463413E7,194
2024-07-21,601.3,625.0,600.0,31230,1.89802371E7,276
2024-07-18,624.0,642.0,589.0,44930,2.71177819E7,377
2024-07-17,589.0,594.0,568.4,32224,1.87812671E7,209
2024-07-16,580.0,580.0,550.0,22771,1.30033415E7,213
2024-07-15,550.1,566.0,547.5,15122,8446841.5,89
2024-07-14,555.0,558.0,541.8,13658,7538695.5,105
2024-07-11,542.0,552.0,531.0,9332,5089478.5,81
2024-07-10,549.0,555.9,537.0,10207,5565430.8,85
2024-07-09,545.0,572.2,518.6,17723,9567902.9,149
2024-07-08,529.1,541.6,525.9,5217,2795652.7,66
2024-07-07,535.0,558.9,527.5,8020,4334821.0,94
2024-07-04,538.2,559.0,538.0,9852,5359535.7,131
2024-07-03,550.0,559.0,548.0,3589,1979347.9,48
2024-07-02,565.0,581.0,527.4,4873,2728746.8,78
2024-07-01,548.0,548.8,535.1,5800,3134755.0,86
2024-06-30,546.0,574.0,536.0,9602,5274369.5,81
2024-06-27,563.8,570.0,549.8,5475,3042063.1,83
2024-06-26,561.0,589.5,560.0,8078,4569596.2,93
2024-06-25,579.9,579.9,545.0,20224,1.14409761E7,196
2024-06-24,547.0,560.0,540.0,10154,5568589.2,93
2024-06-23,549.9,555.0,535.0,10696,5782127.0,104
2024-06-20,549.0,562.9,538.1,7080,3871981.6,76
2024-06-19,549.0,565.0,541.2,7649,4187313.9,75
2024-06-18,554.9,559.0,539.0,10550,5742932.5,108
2024-06-16,550.0,577.5,546.0,19657,1.09566146E7,157
2024-06-13,566.2,580.9,565.1,21635,1.240614E7,171
2024-06-12,579.0,618.1,573.0,39772,2.33185647E7,286
2024-06-11,606.0,612.0,568.0,40338,2.39933875E7,303
2024-06-10,580.0,590.0,550.0,31184,1.79482973E7,333
2024-06-09,550.0,550.0,500.0,45693,2.44343623E7,356
2024-06-06,500.0,518.0,490.0,14215,7171755.4,153
2024-06-05,500.0,509.9,497.0,5341,2682961.0,65
2024-06-04,509.0,550.0,508.5,16529,8634445.6,152
2024-06-03,534.0,565.0,508.0,27593,1.46461119E7,254
2024-06-02,519.3,523.6,494.0,23473,1.19729192E7,221
2024-05-30,504.0,520.0,495.0,26388,1.33010787E7,177
2024-05-29,518.0,543.6,511.5,18604,9741307.2,168
2024-05-27,533.0,536.0,496.2,40243,2.08006845E7,314
2024-05-26,511.0,524.9,496.0,31989,1.63390073E7,268
2024-05-22,520.0,521.0,491.1,45545,2.3167772E7,455
2024-05-21,493.6,493.6,444.0,40213,1.88540475E7,290
2024-05-20,449.9,455.0,441.0,6008,2692266.0,62
2024-05-19,449.8,454.0,440.0,5707,2550145.0,59
2024-05-16,448.0,455.0,435.0,7657,3356380.6,94
2024-05-15,443.0,467.9,442.1,5469,2475222.5,73
2024-05-14,450.0,465.0,446.0,9761,4462297.0,102
2024-05-13,454.0,464.9,440.0,2860,1281658.0,37
2024-05-12,462.0,478.0,437.0,16337,7368043.0,154
2024-05-09,442.9,443.7,436.0,4611,2025258.0,52
2024-05-08,440.0,449.0,432.0,1531,669791.4,44
2024-05-07,442.5,457.9,434.0,5395,2383832.0,56
2024-05-06,449.9,460.0,441.8,3541,1570970.0,40
2024-05-05,456.9,460.0,449.1,3120,1415321.0,41
2024-05-02,463.0,482.4,455.2,4591,2122152.0,70
2024-04-30,473.0,480.4,446.7,25494,1.19065401E7,208
2024-04-29,452.1,478.9,451.0,10880,4954553.2,80
2024-04-28,470.0,517.0,462.0,37815,1.7877241E7,248
2024-04-25,479.7,482.0,466.0,21376,1.01733661E7,168
2024-04-24,465.0,473.1,457.0,41905,1.9457546E7,183
2024-04-22,456.0,465.0,436.0,26575,1.20887233E7,188
2024-04-21,445.0,456.3,431.8,2400,1058972.0,56
2024-04-18,438.8,455.0,436.1,2590,1138976.5,43
2024-04-16,450.0,456.0,440.2,8228,3681592.6,64
2024-04-15,449.0,468.0,434.3,14083,6304823.3,125
2024-04-14,440.0,445.8,432.0,5160,2259361.5,83
2024-04-10,437.1,454.4,436.6,12730,5625873.0,75
2024-04-09,446.0,458.0,435.0,5877,2629618.7,106
2024-04-07,442.8,443.0,425.7,6190,2675243.0,85
2024-04-04,436.0,445.0,423.9,3719,1609148.3,57
2024-04-03,432.5,459.0,431.0,7870,3417171.8,105
2024-04-02,434.0,447.0,434.0,4384,1909262.0,58
2024-04-01,439.5,462.0,435.0,5840,2582818.0,86
2024-03-31,453.0,471.0,446.0,20569,9358904.4,142
2024-03-28,469.4,480.0,460.7,8694,4085926.9,109
2024-03-27,474.0,478.4,435.0,56009,2.60611108E7,414
2024-03-26,442.0,445.0,425.4,3392,1495661.2,96
2024-03-25,434.0,448.4,425.0,1362,585537.6,36
2024-03-21,439.9,454.5,431.3,6576,2865241.3,62
2024-03-20,446.0,454.0,435.5,3931,1725522.0,55
2024-03-19,447.0,454.0,438.0,2060,913853.0,44
2024-03-18,446.0,448.0,436.0,2320,1022067.0,61
2024-03-17,440.0,444.5,434.2,5542,2420987.3,77
2024-03-14,442.0,472.0,439.0,4697,2085132.5,69
2024-03-13,445.0,460.0,439.0,3510,1564141.6,49
2024-03-12,457.0,460.0,440.3,14170,6294390.9,106
2024-03-10,453.5,465.0,437.7,9400,4175680.0,78
2024-03-07,455.9,465.0,436.0,4620,2090635.0,79
2024-03-06,448.0,460.0,427.0,3500,1532638.2,84
2024-03-05,440.0,463.0,428.0,3228,1411306.4,68
2024-03-04,454.0,454.0,436.0,60,26480.0,4
2024-03-03,429.9,439.4,415.7,1733,736317.6,48
2024-02-29,431.0,454.0,426.1,11405,4951892.0,73
2024-02-28,447.9,453.7,436.2,2542,1125151.0,44
2024-02-27,444.9,452.0,431.0,5645,2467884.8,75
2024-02-26,439.0,451.5,427.6,7306,3166744.0,93
2024-02-25,434.1,440.0,433.2,7821,3419526.3,99
2024-02-22,441.5,449.9,426.5,10055,4400226.5,123
2024-02-21,448.8,461.0,443.0,4700,2105670.0,89
2024-02-20,453.8,457.0,437.1,5875,2635629.5,122
2024-02-18,446.0,453.1,440.0,14419,6446987.1,138
2024-02-15,460.0,467.0,451.7,5888,2686135.0,113
2024-02-14,459.0,469.2,451.1,12975,5950260.7,181
2024-02-13,460.0,482.4,453.2,26241,1.2182633E7,198
2024-02-12,470.0,477.0,454.0,10320,4776223.5,152
2024-02-11,469.0,489.6,460.4,13866,6509327.0,163
2024-02-08,480.0,500.0,475.0,45682,2.21891669E7,433
2024-02-07,470.8,470.8,419.0,56759,2.62421128E7,486
2024-02-06,428.0,429.0,416.0,1535,648367.5,62
2024-02-05,422.0,436.0,416.0,2195,926321.0,64
2024-02-04,419.9,432.7,407.0,6209,2604731.9,106
2024-02-01,415.1,438.0,415.1,7371,3093660.0,116
2024-01-31,430.0,455.0,428.0,15281,6658604.6,149
2024-01-30,449.0,452.0,427.1,5867,2611701.5,149
2024-01-29,435.0,436.0,411.6,7795,3347219.0,176
2024-01-28,420.0,424.0,408.0,9098,3786271.5,124
2024-01-25,415.0,418.0,404.1,7364,3047480.1,130
2024-01-24,412.0,420.2,408.0,8074,3343959.8,128
2024-01-23,415.0,419.0,392.0,12373,4939450.0,139
2024-01-22,414.3,443.5,405.0,13585,5606340.8,163
2024-01-21,434.9,438.0,421.0,4405,1907361.5,95
2024-01-18,439.2,439.2,410.1,10641,4497810.2,223
2024-01-17,429.3,486.5,429.3,15315,6877396.1,197
2024-01-16,477.0,479.9,442.0,28991,1.31458596E7,281
2024-01-14,463.0,471.2,443.5,17472,8083848.9,161
2024-01-11,469.2,488.5,442.4,19164,8935807.6,185
2024-01-10,479.0,480.5,432.5,22681,1.02702401E7,245
2024-01-09,461.9,461.9,408.0,25258,1.08807886E7,282
2024-01-08,427.0,427.9,389.0,8303,3399960.9,171
2024-01-07,396.9,421.9,374.0,13525,5389925.0,170
2024-01-04,398.0,411.9,390.1,18570,7394165.6,173
2024-01-03,403.9,408.0,386.0,2843,1130053.0,89
2024-01-02,400.0,410.0,388.0,9216,3661529.7,145
2024-01-01,395.0,416.0,395.0,10100,4091440.7,141
