BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,1200.0,1299.9,1168.0,10104,1.23944178E7,187
2024-08-22,1212.0,1287.0,1205.0,6022,7451194.0,138
2024-08-21,1230.0,1258.0,1187.1,6502,7939118.0,163
2024-08-18,1210.0,1230.0,1170.0,8720,1.04710501E7,217
2024-08-15,1220.0,1290.3,1206.0,15201,1.8902228E7,245
2024-08-14,1245.0,1297.0,1236.0,8664,1.09234278E7,176
2024-08-13,1290.0,1295.0,1265.0,11376,1.45184785E7,176
2024-08-12,1295.0,1344.2,1290.0,8478,1.10484861E7,185
2024-08-11,1317.9,1373.0,1294.0,11098,1.4524348E7,189
2024-08-08,1294.0,1319.0,1274.0,14349,1.85136882E7,200
2024-08-07,1327.9,1328.9,1254.0,12905,1.67516637E7,233
2024-08-06,1279.0,1415.0,1260.1,16317,2.16032717E7,250
2024-08-05,1390.0,1404.0,1325.0,17669,2.43422701E7,216
2024-08-01,1324.0,1406.9,1322.0,12113,1.64405978E7,218
2024-07-31,1400.0,1453.5,1389.0,19052,2.71164815E7,239
2024-07-30,1399.8,1426.0,1252.0,29981,4.00541481E7,379
2024-07-29,1297.0,1335.0,1270.0,13471,1.73340051E7,162
2024-07-28,1312.0,1333.0,1283.0,11857,1.5556589E7,177
2024-07-25,1299.0,1321.0,1282.0,11949,1.54656726E7,146
2024-07-24,1326.0,1359.0,1275.0,17155,2.23160467E7,186
2024-07-23,1344.0,1355.0,1293.0,8330,1.10648881E7,182
2024-07-22,1303.0,1305.0,1266.0,22316,2.85505068E7,176
2024-07-21,1315.0,1337.0,1263.0,16741,2.15173898E7,187
2024-07-18,1315.0,1330.0,1230.0,25739,3.26806789E7,274
2024-07-17,1261.0,1261.0,1151.0,20939,2.46558439E7,178
2024-07-16,1190.0,1190.0,1115.0,9625,1.10854055E7,161
2024-07-15,1108.0,1133.4,1093.1,5402,6001812.0,87
2024-07-14,1130.0,1162.0,1105.1,6603,7430817.7,91
2024-07-11,1117.6,1145.9,1115.2,8763,9864450.4,123
2024-07-10,1123.9,1132.0,1081.0,5301,5908207.1,110
2024-07-09,1098.8,1109.0,1076.0,6808,7413781.4,109
2024-07-08,1088.0,1099.8,1055.0,8723,9323807.4,108
2024-07-07,1079.0,1120.0,1078.0,6764,7392538.5,100
2024-07-04,1102.0,1160.0,1100.0,14589,1.63170437E7,162
2024-07-03,1139.0,1140.0,1052.0,14139,1.57110139E7,244
2024-07-02,1089.9,1141.8,1038.1,15240,1.65284699E7,186
2024-07-01,1038.0,1050.6,998.0,16625,1.70151785E7,216
2024-06-30,997.0,1013.0,977.2,7042,7012878.4,88
2024-06-27,988.0,990.0,966.1,4705,4613873.5,55
2024-06-26,985.1,1022.0,982.6,8257,8250299.0,93
2024-06-25,1004.0,1014.0,985.0,9859,9860476.4,124
2024-06-24,979.0,990.0,955.0,6978,6844227.0,91
2024-06-23,957.5,973.0,950.0,8496,8129816.0,114
2024-06-20,968.0,999.6,950.6,10711,1.03270958E7,126
2024-06-19,980.0,1006.0,975.0,4289,4243133.3,54
2024-06-18,988.0,1001.0,967.6,5319,5215607.7,87
2024-06-16,998.0,1018.0,978.0,8985,8978748.3,113
2024-06-13,1000.0,1068.0,997.7,18137,1.87481304E7,206
2024-06-12,1018.0,1045.5,987.0,9501,9721241.9,159
2024-06-11,1007.0,1023.0,970.2,11355,1.13228303E7,121
2024-06-10,1019.0,1028.0,971.0,19977,1.99678493E7,205
2024-06-09,1011.0,1118.0,995.0,23781,2.50540765E7,311
2024-06-06,1021.9,1021.9,925.0,47601,4.68381944E7,412
2024-06-05,929.0,940.0,887.0,10482,9597465.2,150
2024-06-04,905.0,946.0,900.0,2115,1917016.0,43
2024-06-03,910.0,925.8,900.0,7505,6876348.6,100
2024-06-02,912.6,923.0,880.0,7689,6916019.1,125
2024-05-30,916.0,936.0,910.5,5310,4902890.0,73
2024-05-29,929.0,965.0,895.1,25054,2.34325412E7,299
2024-05-27,890.0,908.1,852.0,13934,1.24976953E7,205
2024-05-26,852.0,872.9,846.0,3195,2733375.0,61
2024-05-22,868.9,874.0,860.0,2674,2303538.8,44
2024-05-21,884.9,917.9,836.0,6739,5927379.3,118
2024-05-20,850.0,881.0,840.0,4409,3737624.6,60
2024-05-19,865.0,875.0,822.0,6887,5970650.8,124
2024-05-16,838.0,840.0,810.0,4715,3906205.4,93
2024-05-15,814.9,820.0,802.0,1713,1395014.8,45
2024-05-14,800.1,812.0,788.4,2000,1601273.0,35
2024-05-13,798.0,804.7,784.1,1885,1494096.0,40
2024-05-12,789.0,812.9,774.0,1035,824528.0,24
2024-05-09,782.0,794.0,766.0,803,628080.0,29
2024-05-08,781.0,790.0,781.0,1250,979266.4,15
2024-05-07,795.1,801.0,786.0,527,421106.5,13
2024-05-06,785.9,810.0,785.1,2004,1590337.3,40
2024-05-05,795.0,821.0,775.0,4061,3265206.0,47
2024-05-02,790.1,810.0,790.1,3425,2731239.0,69
2024-04-30,805.0,821.1,785.0,1394,1119979.0,46
2024-04-29,799.0,799.0,780.5,1280,1008547.5,34
2024-04-28,780.2,816.7,770.0,2241,1752647.9,77
2024-04-25,785.0,804.9,785.0,1186,937915.0,31
2024-04-24,798.0,812.7,782.6,1344,1069915.2,28
2024-04-22,798.0,805.0,787.0,1720,1367926.5,34
2024-04-21,803.6,819.0,801.2,1535,1236252.0,41
2024-04-18,815.2,830.0,812.5,1736,1424930.0,53
2024-04-16,820.0,820.0,783.1,2535,2047803.2,69
2024-04-15,796.8,815.0,795.1,4182,3376406.2,76
2024-04-14,805.0,833.0,780.1,3594,2883142.3,91
2024-04-10,816.7,882.1,816.7,5316,4447288.2,116
2024-04-09,835.1,846.0,785.4,16765,1.38485085E7,259
2024-04-07,770.0,770.0,733.3,2880,2189980.8,56
2024-04-04,748.2,784.9,748.2,2093,1584084.4,47
2024-04-03,775.0,775.2,755.0,2289,1750352.5,44
2024-04-02,765.0,785.0,757.0,1315,1017147.0,30
2024-04-01,762.3,774.4,756.0,2322,1782588.5,44
2024-03-31,756.2,780.0,753.8,3189,2453545.2,88
2024-03-28,765.0,768.9,753.9,824,629939.0,25
2024-03-27,764.0,784.8,761.0,1491,1146920.0,29
2024-03-26,772.0,780.0,761.0,1056,815975.1,39
2024-03-25,770.0,787.0,760.1,1418,1089989.6,34
2024-03-21,762.2,786.0,761.0,1493,1151876.6,39
2024-03-20,772.0,787.0,772.0,2370,1840954.8,39
2024-03-19,773.0,783.3,765.0,1813,1393232.0,50
2024-03-18,768.0,792.1,764.0,822,633297.0,29
2024-03-17,779.0,799.9,766.0,1155,897563.8,43
2024-03-14,789.0,804.0,780.1,1754,1384647.0,51
2024-03-13,804.7,804.8,780.0,3111,2479452.8,72
2024-03-12,792.0,793.5,778.0,2991,2357988.0,61
2024-03-10,783.0,788.0,748.0,1802,1391965.0,46
2024-03-07,763.1,784.9,763.1,1348,1042896.9,22
2024-03-06,770.0,790.0,755.0,2186,1679187.0,65
2024-03-05,765.7,784.0,746.0,1855,1431815.7,61
2024-03-04,754.8,754.8,754.8,10,7548.0,1
2024-03-03,740.0,754.8,728.0,1205,887831.5,23
2024-02-29,740.0,765.0,739.9,1960,1468812.5,34
2024-02-28,765.1,775.9,756.0,1699,1306725.8,43
2024-02-27,761.0,782.9,740.0,1085,817927.0,39
2024-02-26,740.0,747.0,730.0,1051,775500.7,35
2024-02-25,733.0,750.0,733.0,1648,1219157.0,49
2024-02-22,740.0,774.0,740.0,3966,2978657.1,55
2024-02-21,760.0,774.0,752.3,543,412047.2,28
2024-02-20,760.0,770.1,733.0,3547,2648001.4,86
2024-02-18,758.0,785.0,755.8,6567,5051059.2,117
2024-02-15,796.0,818.8,776.4,8783,6912193.1,101
2024-02-14,819.9,819.9,794.0,6981,5574657.8,87
2024-02-13,821.8,829.0,788.9,9214,7367333.7,138
2024-02-12,822.0,852.0,788.0,11647,9543173.5,90
2024-02-11,855.0,860.0,806.9,14084,1.16746209E7,131
2024-02-08,847.0,847.0,790.0,8928,7372189.0,106
2024-02-07,831.0,854.7,815.0,1277,1065073.9,36
2024-02-06,822.0,823.0,803.4,678,550036.0,29
2024-02-05,826.2,826.2,800.1,1880,1523036.0,42
2024-02-04,803.4,815.0,800.1,2680,2162636.0,41
2024-02-01,811.5,822.0,811.5,1640,1333479.5,30
2024-01-31,828.0,835.0,818.0,3155,2585076.0,51
2024-01-30,835.0,840.0,816.0,2149,1761529.0,55
2024-01-29,825.0,852.7,807.2,1200,986759.0,58
2024-01-28,820.0,822.0,807.1,1408,1150398.5,51
2024-01-25,815.0,833.0,812.1,2548,2084763.0,50
2024-01-24,825.0,846.1,812.5,2349,1954326.5,58
2024-01-23,810.0,840.0,810.0,4545,3750858.0,68
2024-01-22,825.0,850.0,824.0,4142,3441566.0,70
2024-01-21,847.2,860.0,842.8,1703,1448467.0,65
2024-01-18,860.0,876.7,853.0,3880,3341088.0,55
2024-01-17,888.0,907.0,855.1,13531,1.20697264E7,152
2024-01-16,889.0,894.7,832.0,10709,9345582.0,142
2024-01-14,842.0,850.1,829.0,3470,2927929.0,57
2024-01-11,829.0,846.0,820.0,1930,1590993.0,38
2024-01-10,830.0,857.0,830.0,5376,4490336.7,63
2024-01-09,840.8,867.0,839.0,6288,5374417.9,91
2024-01-08,840.0,849.9,832.1,2334,1954153.0,62
2024-01-07,833.0,872.0,833.0,6639,5638148.0,80
2024-01-04,855.0,880.0,851.5,5409,4667554.0,69
2024-01-03,870.0,876.0,849.0,2466,2135208.0,51
2024-01-02,860.0,863.0,827.0,9187,7844162.5,97
2024-01-01,842.0,869.0,825.0,11641,9888024.4,118
2023-12-28,810.0,854.9,800.0,8700,7122381.2,114
2023-12-27,857.9,882.3,830.0,7864,6650413.0,105
2023-12-24,882.8,906.0,845.0,7289,6295617.0,71
2023-12-21,890.0,930.0,858.7,22380,1.9847096E7,163
2023-12-20,930.0,940.0,866.0,21240,1.89764245E7,156
2023-12-19,904.7,981.2,873.0,9300,8369287.0,95
2023-12-18,908.0,929.7,845.0,15787,1.41882474E7,154
2023-12-17,860.0,876.3,840.0,3915,3339238.0,79
2023-12-14,877.9,891.0,845.0,3190,2718887.0,51
2023-12-13,875.0,930.0,840.0,7820,6703997.2,103
2023-12-12,913.4,913.4,836.0,8356,7136645.2,88
2023-12-11,844.0,881.0,826.0,1275,1070772.0,44
2023-12-10,871.0,871.0,821.1,215,181704.5,11
2023-12-07,805.0,855.0,790.5,845,697761.0,22
2023-12-06,826.8,843.6,784.0,131,105772.0,13
2023-12-05,795.0,800.0,784.0,541,429527.0,28
2023-12-04,798.7,847.0,798.7,97,79098.9,5
2023-12-03,832.9,832.9,781.3,1888,1533850.6,18
2023-11-30,845.0,850.0,802.0,1550,1272705.4,24
2023-11-29,835.0,880.0,835.0,6732,5660067.0,39
2023-11-28,855.0,856.0,810.0,2010,1685773.0,45
2023-11-27,824.6,835.0,808.5,2765,2245868.7,42
2023-11-26,806.0,830.0,769.7,2419,1938985.0,40
2023-11-23,785.4,785.4,743.1,518,392791.6,23
2023-11-22,775.2,775.2,734.0,170,128626.0,13
2023-11-21,760.0,760.0,737.0,1759,1314598.2,36
2023-11-20,750.0,756.0,741.0,1218,912611.0,20
2023-11-09,740.0,763.1,727.0,1132,858025.0,23
2023-11-08,770.1,795.0,770.1,1170,915990.0,28
2023-11-07,809.0,814.9,798.8,900,726212.0,16
2023-11-06,799.0,817.9,790.0,540,438023.0,20
2023-11-05,786.2,805.0,786.1,100,78934.0,10
2023-11-02,801.0,827.0,800.0,365,295141.0,12
2023-11-01,827.0,827.0,789.2,2358,1913240.8,35
2023-10-31,805.1,819.3,804.0,920,741810.5,24
2023-10-30,836.0,865.8,798.7,1385,1133209.5,25
2023-10-29,800.0,814.0,799.0,1341,1074965.3,19
2023-10-19,830.0,831.0,815.0,310,256193.0,11
2023-10-18,829.0,833.0,808.0,762,629573.0,19
2023-10-17,817.0,864.0,802.7,1685,1369742.3,27
2023-10-16,818.9,818.9,800.0,2290,1844761.5,31
2023-10-12,819.3,831.0,815.2,4125,3405174.5,50
2023-10-11,838.5,872.9,820.0,1660,1398966.9,56
2023-10-10,825.0,867.0,825.0,1290,1077842.0,36
2023-10-09,862.0,907.0,820.1,5204,4479615.4,81
2023-10-08,826.0,848.9,823.8,1815,1509218.5,29
2023-10-05,836.4,856.8,836.0,1756,1483460.1,47
2023-10-04,837.3,870.0,826.2,328,277207.0,23
2023-10-03,842.0,854.0,838.0,2400,2025237.2,53
2023-10-02,855.0,856.0,810.0,881,743972.4,42
2023-10-01,825.0,865.0,823.0,2303,1925870.5,60
2023-09-27,870.0,895.0,835.0,2781,2396248.0,48
2023-09-26,897.5,904.9,875.0,2896,2573395.3,60
2023-09-25,890.0,905.0,890.0,1715,1538407.2,55
2023-09-24,905.0,953.0,901.7,4731,4381846.4,68
2023-09-21,953.2,1054.1,940.0,5136,4939613.4,97
2023-09-19,970.0,1050.0,949.0,9243,8805609.8,123
2023-09-18,1054.4,1054.4,925.5,7897,7608207.2,94
2023-09-17,958.6,967.7,924.0,5107,4779829.0,59
2023-09-13,980.0,980.0,941.8,2160,2073265.5,49
2023-09-12,961.0,980.0,930.0,7598,7245655.0,92
2023-09-11,961.8,961.8,925.0,5029,4732626.7,77
2023-09-10,938.6,964.9,918.0,1310,1220013.4,43
2023-09-07,931.0,998.9,931.0,1335,1257180.0,41
2023-09-05,982.0,982.0,894.0,5879,5464812.5,109
2023-09-04,944.0,959.9,909.0,7990,7404380.0,100
2023-09-03,944.0,950.0,917.3,2682,2517212.0,71
2023-08-30,955.0,968.9,942.1,2483,2363406.3,47
2023-08-29,967.9,967.9,946.0,2520,2411107.0,60
2023-08-28,964.0,988.0,934.0,9184,8758523.5,57
2023-08-27,970.0,999.0,950.2,10011,9750864.6,79
