BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,747.0,767.0,737.0,267998,2.006198242E8,1394
2024-08-22,766.0,790.0,762.2,180780,1.400900729E8,949
2024-08-21,770.0,778.5,725.0,603337,4.509625785E8,2007
2024-08-18,727.0,740.0,716.1,399125,2.921587916E8,1446
2024-08-15,713.6,720.0,700.0,239159,1.707199822E8,1084
2024-08-14,703.0,717.0,700.0,152919,1.074672895E8,597
2024-08-13,703.0,714.9,698.0,162399,1.145774161E8,786
2024-08-12,703.0,705.5,690.3,232675,1.62896768E8,1027
2024-08-11,692.5,695.0,679.0,243151,1.67139092E8,961
2024-08-08,682.0,695.0,675.0,125871,8.59031431E7,623
2024-08-07,682.8,686.0,660.0,268169,1.81566795E8,896
2024-08-06,673.0,700.5,670.0,401087,2.748526052E8,1562
2024-08-05,687.9,707.0,683.0,285021,1.967602382E8,1331
2024-08-01,670.1,688.0,670.0,278830,1.876640284E8,685
2024-07-31,677.0,681.8,665.0,228076,1.539966088E8,880
2024-07-30,665.0,670.0,650.0,182913,1.204710445E8,843
2024-07-29,664.0,700.0,660.0,332829,2.229656075E8,1194
2024-07-28,678.5,678.5,629.2,368776,2.470034551E8,1512
2024-07-25,616.9,619.0,600.1,159802,9.73516715E7,503
2024-07-24,610.0,620.0,600.0,216469,1.31673903E8,610
2024-07-23,615.0,615.0,603.0,133980,8.16297367E7,562
2024-07-22,607.5,617.0,600.0,102363,6.22427061E7,624
2024-07-21,614.8,621.0,598.0,131301,8.06904519E7,615
2024-07-18,610.0,618.0,587.3,162266,9.81908756E7,786
2024-07-17,587.2,590.0,571.0,102276,5.95106574E7,477
2024-07-16,572.9,573.0,556.0,44666,2.53988623E7,272
2024-07-15,560.0,575.0,552.0,96569,5.42878103E7,370
2024-07-14,568.0,575.0,558.2,59158,3.34524815E7,332
2024-07-11,553.0,556.0,547.7,83055,4.58012838E7,306
2024-07-10,548.0,548.7,540.0,40800,2.22250412E7,191
2024-07-09,540.0,540.0,534.2,16393,8816785.4,120
2024-07-08,537.8,542.0,535.5,23102,1.2435441E7,132
2024-07-07,541.0,545.0,538.2,33158,1.79209116E7,177
2024-07-04,542.0,544.2,536.0,44284,2.39517238E7,180
2024-07-03,538.0,538.0,526.4,23887,1.27690481E7,141
2024-07-02,537.0,570.0,529.0,34288,1.83098051E7,229
2024-07-01,519.0,519.0,511.0,15298,7893793.3,132
