BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,584.3,626.0,561.1,330262,1.992413943E8,983
2024-08-22,580.0,589.9,554.0,160003,9.29256054E7,844
2024-08-21,545.0,557.0,532.5,68705,3.73691233E7,248
2024-08-18,549.0,570.0,541.6,109981,6.07506999E7,400
2024-08-15,561.0,575.0,549.0,143874,8.18116617E7,548
2024-08-14,549.0,556.0,517.5,118705,6.39167193E7,457
2024-08-13,525.5,544.5,525.0,62235,3.31446193E7,240
2024-08-12,539.0,553.2,530.0,71568,3.88181586E7,300
2024-08-11,539.9,550.0,526.0,55233,2.95681131E7,283
2024-08-08,520.4,534.0,511.0,101489,5.32331973E7,354
2024-08-07,516.8,519.1,481.0,69535,3.54710197E7,354
2024-08-06,490.1,525.0,490.0,72219,3.67833619E7,396
2024-08-05,527.0,534.0,512.0,58277,3.0252929E7,288
2024-08-01,524.0,545.0,520.0,102587,5.43368524E7,433
2024-07-31,543.0,562.0,535.0,105873,5.82592708E7,546
2024-07-30,534.7,540.6,512.3,92931,4.87572754E7,381
2024-07-29,524.8,540.0,519.4,116794,6.18064047E7,317
2024-07-28,540.0,549.0,510.0,65534,3.45534051E7,321
2024-07-25,518.5,535.0,513.0,83107,4.36364596E7,443
2024-07-24,513.0,560.0,510.5,108503,5.71127723E7,477
2024-07-23,534.0,549.6,517.0,85933,4.62592977E7,404
2024-07-22,525.0,530.0,510.0,160215,8.28395996E7,438
2024-07-21,520.0,529.6,495.0,126947,6.50425215E7,430
2024-07-18,512.0,529.9,500.0,116257,5.93723919E7,471
2024-07-17,500.0,502.0,468.1,167397,8.20270806E7,489
2024-07-16,478.8,480.0,451.0,69885,3.26969646E7,292
2024-07-15,453.0,474.3,449.0,38686,1.76553428E7,262
2024-07-14,465.0,500.0,455.0,58409,2.73824937E7,280
2024-07-11,462.9,467.9,451.0,67629,3.11820953E7,311
2024-07-10,460.0,475.0,452.8,55448,2.55349025E7,293
2024-07-09,462.0,479.4,460.1,163386,7.70305032E7,675
2024-07-08,465.0,477.0,435.0,140421,6.32240659E7,589
2024-07-07,450.0,454.0,438.8,59282,2.64859335E7,379
2024-07-04,439.0,448.0,420.0,145984,6.38073829E7,666
2024-07-03,414.1,415.9,383.4,120570,4.91006754E7,589
2024-07-02,391.1,400.0,384.0,37029,1.43978589E7,164
2024-07-01,384.8,388.0,371.3,13493,5158292.0,75
2024-06-30,378.8,383.0,374.4,18044,6833335.9,65
2024-06-27,382.0,383.0,373.4,34213,1.30264492E7,54
2024-06-26,381.0,390.4,380.0,15264,5882153.4,106
2024-06-25,386.9,395.0,383.0,37248,1.44875375E7,186
2024-06-24,380.0,391.0,377.0,36010,1.38029814E7,146
2024-06-23,378.9,379.0,371.0,26391,9890929.7,74
2024-06-20,375.9,386.4,371.5,11727,4402149.5,72
2024-06-19,379.0,383.0,376.1,9624,3637192.0,60
2024-06-18,384.0,386.9,377.7,8631,3287244.1,70
2024-06-16,384.0,398.8,384.0,30156,1.17279742E7,126
2024-06-13,391.0,412.0,378.2,43196,1.69341216E7,222
2024-06-12,378.9,386.5,376.0,19207,7305522.7,84
2024-06-11,382.0,386.0,371.0,30585,1.16067376E7,107
2024-06-10,375.9,382.0,367.7,15549,5822679.9,57
2024-06-09,375.0,378.5,370.0,16701,6243928.9,97
2024-06-06,379.4,384.5,370.0,4327,1632370.6,43
2024-06-05,380.5,387.0,374.2,8150,3067470.8,60
2024-06-04,380.0,387.6,375.2,12466,4755116.7,75
2024-06-03,380.0,395.7,373.0,12738,4809193.6,76
2024-06-02,380.0,387.0,373.0,18793,7120713.3,72
2024-05-30,380.0,388.9,375.0,13620,5173327.3,69
2024-05-29,385.0,398.8,378.5,21178,8152399.6,91
2024-05-27,391.0,401.6,383.0,18584,7255151.8,83
2024-05-26,389.1,394.8,384.2,23965,9363415.1,103
2024-05-22,392.0,399.8,387.1,34400,1.3469194E7,134
2024-05-21,392.0,393.3,380.0,27574,1.07452175E7,119
2024-05-20,391.0,400.0,388.0,38543,1.51624996E7,179
2024-05-19,395.0,399.2,390.0,39075,1.54430637E7,214
2024-05-16,391.4,395.0,385.0,145227,5.63200381E7,169
2024-05-15,394.7,403.9,389.3,71326,2.82209337E7,244
2024-05-14,394.9,395.1,386.0,34267,1.34097572E7,173
2024-05-13,387.5,393.0,382.0,22074,8585743.5,127
2024-05-12,387.4,396.0,375.0,63085,2.46207725E7,252
2024-05-09,384.8,386.0,373.0,38615,1.46639384E7,171
2024-05-08,370.0,374.1,365.1,14549,5386593.3,56
2024-05-07,367.0,376.5,362.0,12789,4696357.5,65
2024-05-06,366.0,375.0,361.0,68638,2.50574146E7,68
2024-05-05,368.0,380.0,367.0,42206,1.57176083E7,117
2024-05-02,381.0,395.0,378.0,30266,1.15742549E7,128
2024-04-30,385.0,400.0,379.0,114331,4.46287486E7,450
