BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,1588.9,1698.0,1539.0,14978,2.36282685E7,266
2024-08-22,1571.0,1599.0,1541.0,10229,1.60062554E7,150
2024-08-21,1575.0,1596.0,1555.0,9137,1.43301218E7,151
2024-08-18,1575.0,1620.0,1568.0,15028,2.40108743E7,225
2024-08-15,1589.0,1604.0,1570.0,20123,3.19457341E7,277
2024-08-14,1584.0,1600.0,1560.0,9949,1.57076626E7,199
2024-08-13,1591.0,1640.0,1581.0,14097,2.2476692E7,238
2024-08-12,1630.0,1650.0,1611.0,24861,4.05957402E7,328
2024-08-11,1603.0,1635.0,1549.2,32979,5.2717364E7,348
2024-08-08,1518.9,1559.0,1501.1,9853,1.5058682E7,176
2024-08-07,1529.9,1530.0,1480.0,8378,1.26084022E7,183
2024-08-06,1471.0,1580.0,1466.0,15469,2.39298182E7,258
2024-08-05,1555.0,1590.0,1550.1,11715,1.82738581E7,224
2024-08-01,1568.0,1632.0,1560.0,8781,1.39558785E7,192
2024-07-31,1600.0,1664.0,1577.8,12820,2.05329896E7,216
2024-07-30,1600.0,1628.0,1550.0,14452,2.29449828E7,211
2024-07-29,1601.1,1670.0,1601.1,17694,2.89096617E7,327
2024-07-28,1695.0,1736.0,1640.0,21803,3.65179444E7,268
2024-07-25,1703.0,1739.0,1599.0,25141,4.16993122E7,375
2024-07-24,1585.0,1625.0,1555.0,11168,1.78251745E7,174
2024-07-23,1594.9,1608.0,1556.2,9666,1.53380741E7,170
2024-07-22,1580.0,1590.0,1523.0,14346,2.24418191E7,193
2024-07-21,1582.0,1638.0,1570.0,12462,1.98889078E7,221
2024-07-18,1608.0,1625.0,1498.0,28869,4.53147312E7,317
2024-07-17,1507.9,1519.0,1430.0,27394,3.98717024E7,181
2024-07-16,1450.0,1450.0,1400.0,5787,8246003.3,93
2024-07-15,1413.0,1449.0,1410.0,7443,1.05743956E7,110
2024-07-14,1435.0,1477.0,1410.0,9871,1.41442492E7,126
2024-07-11,1420.0,1462.0,1411.0,11012,1.58138926E7,169
2024-07-10,1448.0,1535.0,1425.0,18925,2.74913353E7,221
2024-07-09,1435.1,1455.0,1403.0,10411,1.49610217E7,197
2024-07-08,1407.0,1408.6,1355.0,29056,4.06277325E7,271
2024-07-07,1350.0,1390.0,1323.0,20074,2.72986022E7,373
2024-07-04,1304.0,1321.0,1304.0,5894,7708573.5,90
2024-07-03,1315.0,1315.0,1275.1,5980,7766379.4,81
2024-07-02,1310.0,1355.0,1280.1,5924,7743861.7,123
2024-07-01,1277.9,1282.8,1260.0,6667,8490119.3,71
2024-06-30,1260.0,1285.2,1240.0,6444,8153126.4,64
2024-06-27,1260.0,1265.0,1237.0,7284,9186698.1,74
2024-06-26,1260.0,1275.0,1260.0,3680,4644036.0,56
2024-06-25,1262.0,1267.0,1244.0,5363,6749793.5,70
2024-06-24,1259.0,1273.0,1249.0,3365,4226725.5,49
2024-06-23,1250.0,1267.0,1236.3,2099,2624916.3,52
2024-06-20,1259.9,1291.3,1245.7,1465,1844005.6,38
2024-06-19,1266.0,1299.9,1265.0,5502,7085854.3,65
2024-06-18,1260.0,1275.0,1245.0,4310,5396005.7,73
2024-06-16,1265.0,1301.1,1265.0,5690,7286189.0,75
2024-06-13,1290.0,1320.0,1290.0,8295,1.08075623E7,119
2024-06-12,1295.0,1320.0,1274.1,18297,2.39032502E7,179
2024-06-11,1287.0,1304.0,1270.1,7976,1.03139213E7,91
2024-06-10,1273.0,1274.0,1251.0,3251,4099294.0,51
2024-06-09,1271.0,1305.0,1264.0,8487,1.08805918E7,106
2024-06-06,1290.0,1305.0,1271.3,12288,1.58541487E7,171
