BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,1669.0,1724.0,1609.0,12328,2.03992325E7,231
2024-08-22,1616.0,1645.1,1616.0,5460,8871116.6,142
2024-08-21,1614.8,1653.0,1603.0,5362,8697412.5,114
2024-08-18,1600.0,1642.2,1580.0,6648,1.06564093E7,171
2024-08-15,1590.0,1666.6,1565.0,12720,2.05296683E7,223
2024-08-14,1634.0,1660.0,1632.0,7400,1.21241393E7,153
2024-08-13,1661.0,1710.0,1641.0,5574,9256025.5,145
2024-08-12,1699.0,1769.0,1680.0,12091,2.07493006E7,233
2024-08-11,1696.0,1730.0,1650.0,7546,1.28549153E7,166
2024-08-08,1658.5,1700.0,1642.0,5807,9678950.3,137
2024-08-07,1675.0,1690.0,1633.0,3986,6667175.5,104
2024-08-06,1666.0,1784.0,1656.3,23277,4.03200267E7,252
2024-08-05,1750.0,1755.0,1686.0,7746,1.32885773E7,207
2024-08-01,1752.3,1960.0,1752.0,21429,3.84265909E7,348
2024-07-31,1859.9,1878.4,1820.0,8853,1.63379841E7,173
2024-07-30,1891.0,1974.0,1826.0,6356,1.18284074E7,146
2024-07-29,2014.0,2014.0,1740.0,50710,9.21590112E7,522
2024-07-28,1890.0,2043.3,1876.5,27815,5.23636182E7,552
2024-07-25,2085.0,2085.0,1850.0,41784,7.94360481E7,544
2024-07-24,1896.0,2009.0,1895.0,12785,2.4412776E7,178
2024-07-23,1935.3,2178.0,1930.0,43689,8.55378851E7,482
2024-07-22,2055.1,2327.0,2053.8,15201,3.13644289E7,280
2024-07-21,2282.0,2282.0,2030.0,15398,3.16740034E7,246
2024-07-18,2075.0,2217.0,2011.0,26606,5.44787857E7,313
2024-07-17,2026.1,2200.0,1961.0,23824,4.84884652E7,208
2024-07-16,2020.1,2249.1,2015.0,38712,7.83883446E7,292
2024-07-15,2205.0,2206.2,2000.0,8190,1.66614555E7,150
2024-07-14,2163.0,2163.0,1923.0,16012,3.23661657E7,213
2024-07-11,2000.2,2037.0,1960.1,20600,4.10160126E7,154
2024-07-10,2000.0,2000.0,1831.0,13578,2.58963545E7,216
2024-07-09,1867.2,1867.2,1663.6,24205,4.43412268E7,304
2024-07-08,1697.5,1719.0,1653.2,9093,1.53755109E7,83
2024-07-07,1713.0,1728.0,1625.0,16011,2.66613485E7,96
2024-07-04,1652.1,1733.9,1611.1,12547,2.06958968E7,81
2024-07-03,1668.0,1685.0,1608.0,18903,3.0798288E7,130
2024-07-02,1640.0,1727.0,1636.2,7109,1.17835831E7,59
2024-07-01,1660.0,1747.0,1608.0,22866,3.75298108E7,157
2024-06-30,1652.1,1718.0,1652.1,13933,2.32179817E7,127
2024-06-27,1753.0,1840.0,1671.0,20974,3.63017457E7,304
2024-06-26,1714.0,1714.0,1568.0,31601,5.1687693E7,353
2024-06-25,1600.0,1683.0,1580.0,12032,1.94532713E7,197
2024-06-24,1591.1,1591.1,1452.0,39140,6.11623726E7,404
2024-06-23,1446.5,1446.5,1315.0,34938,4.95285304E7,325
2024-06-20,1315.0,1345.0,1300.1,4263,5661509.0,48
2024-06-19,1339.9,1344.0,1312.0,1673,2214236.7,35
2024-06-18,1312.0,1349.0,1301.0,5312,6993372.8,68
2024-06-16,1327.0,1367.0,1307.0,6864,9129081.4,96
2024-06-13,1384.0,1458.0,1365.0,9060,1.28162227E7,141
2024-06-12,1387.3,1404.0,1280.0,14285,1.93202177E7,211
2024-06-11,1277.0,1305.0,1257.0,7745,9933564.0,54
2024-06-10,1265.0,1300.0,1244.5,5360,6835932.9,70
2024-06-09,1255.0,1280.2,1235.0,4059,5123971.0,53
2024-06-06,1266.1,1290.0,1255.0,12953,1.63273232E7,89
2024-06-05,1253.0,1300.0,1181.3,8095,1.00078733E7,96
2024-06-04,1240.1,1323.0,1240.1,2623,3358583.8,59
2024-06-03,1299.0,1301.0,1205.0,1987,2476388.7,61
2024-06-02,1250.8,1280.0,1161.2,2988,3657202.7,109
2024-05-30,1180.0,1220.0,1172.1,848,1013022.2,33
2024-05-29,1230.0,1268.0,1217.3,2160,2647479.0,23
2024-05-27,1268.0,1273.8,1230.0,2049,2564685.4,53
2024-05-26,1226.0,1310.0,1226.0,2406,3027047.1,46
2024-05-22,1300.0,1350.0,1290.0,2828,3712100.1,41
2024-05-21,1329.0,1340.0,1300.0,1596,2101989.8,35
2024-05-20,1327.0,1372.9,1294.5,4344,5730506.7,81
2024-05-19,1320.0,1348.0,1279.0,5997,7901339.0,82
2024-05-16,1355.0,1370.0,1229.1,6659,8811607.5,149
2024-05-15,1254.0,1299.0,1232.0,7598,9495305.1,133
2024-05-14,1234.0,1239.0,1191.9,3382,4141103.9,73
2024-05-13,1170.1,1215.0,1168.9,518,608981.7,18
2024-05-12,1159.0,1180.0,1137.3,729,843118.4,22
2024-05-09,1180.0,1226.0,1162.0,910,1077492.7,29
2024-05-08,1226.0,1226.0,1156.1,2859,3471875.4,49
2024-05-07,1177.0,1205.0,1169.0,2197,2622310.9,42
