BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,496.0,518.0,495.0,215726,1.084643061E8,1155
2024-08-22,511.0,531.4,495.0,442632,2.291632256E8,1935
2024-08-21,492.0,505.0,488.0,220721,1.088229606E8,854
2024-08-18,499.0,517.2,496.0,272463,1.371742671E8,1120
2024-08-15,510.0,522.0,496.0,439853,2.245058485E8,1406
2024-08-14,498.0,500.0,480.0,294882,1.451067776E8,990
2024-08-13,483.0,499.0,480.0,191232,9.30396823E7,908
2024-08-12,486.3,490.0,460.0,271837,1.307450918E8,1168
2024-08-11,466.0,468.1,455.0,192836,8.93936669E7,946
2024-08-08,450.0,468.0,449.0,143095,6.51849829E7,715
2024-08-07,450.2,454.7,431.0,151484,6.7810019E7,790
2024-08-06,439.0,470.0,439.0,234477,1.060488573E8,1110
2024-08-05,464.0,477.0,459.9,158542,7.35278638E7,771
2024-08-01,460.0,473.0,446.9,321574,1.491909234E8,1072
2024-07-31,456.0,467.0,444.0,288720,1.316417377E8,1080
2024-07-30,442.0,450.0,432.3,141259,6.21553046E7,707
2024-07-29,442.0,460.0,441.6,176493,7.88528209E7,795
2024-07-28,451.0,459.0,433.0,210178,9.38933389E7,910
2024-07-25,433.0,438.9,430.2,131969,5.71880556E7,565
2024-07-24,435.0,453.0,430.0,177987,7.8623102E7,845
2024-07-23,444.1,446.0,422.2,160437,7.02715589E7,724
2024-07-22,430.0,438.0,421.4,166252,7.10267882E7,810
2024-07-21,431.0,436.0,415.2,205395,8.82356404E7,993
2024-07-18,419.1,429.0,414.0,203716,8.59530926E7,910
2024-07-17,413.9,415.0,396.0,174506,7.06735995E7,772
2024-07-16,398.8,399.9,384.0,93031,3.66775051E7,470
2024-07-15,385.1,400.0,380.0,117774,4.56230506E7,425
2024-07-14,392.2,400.0,385.1,123635,4.83002495E7,531
2024-07-11,385.0,392.7,384.0,106272,4.10433845E7,387
2024-07-10,385.0,389.0,381.7,67621,2.60130762E7,352
2024-07-09,384.0,387.0,371.0,126338,4.82548578E7,533
2024-07-08,372.2,376.0,371.0,35125,1.30957775E7,172
2024-07-07,375.0,380.0,373.1,42819,1.6115849E7,283
2024-07-04,376.7,384.7,365.0,187625,7.07247498E7,741
2024-07-03,368.0,368.8,357.5,30179,1.09727707E7,162
2024-07-02,364.0,375.8,361.4,37886,1.38260674E7,187
2024-07-01,354.4,354.5,350.1,21307,7526757.3,122
2024-06-30,352.7,355.0,351.0,19604,6915735.3,153
2024-06-27,354.0,356.9,352.3,21096,7458890.0,137
2024-06-26,355.0,361.1,354.2,27500,9827835.4,156
2024-06-25,360.0,363.1,359.0,20092,7253675.4,152
2024-06-24,359.0,361.0,356.0,16771,6031148.9,127
2024-06-23,356.0,359.0,355.5,19352,6892377.2,155
