BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,255.0,270.2,254.0,724121,1.886588234E8,1985
2024-08-22,255.8,269.0,255.8,369282,9.63648356E7,1235
2024-08-21,259.0,270.0,255.8,470356,1.23164077E8,1573
2024-08-18,257.0,276.0,253.0,719865,1.905609603E8,2350
2024-08-15,270.0,283.0,260.0,839595,2.276423498E8,2651
2024-08-14,258.0,260.1,239.3,666793,1.653318665E8,1994
2024-08-13,249.0,265.0,240.1,574728,1.43907974E8,1854
2024-08-12,250.0,256.0,235.0,953333,2.324494027E8,2729
2024-08-11,234.2,234.8,215.2,905804,2.053743487E8,2374
2024-08-08,216.0,225.0,215.0,542883,1.186322678E8,1323
2024-08-07,215.5,217.7,207.0,402893,8.59195002E7,1176
2024-08-06,208.2,225.0,205.0,611587,1.309957914E8,1700
2024-08-05,220.0,227.0,211.0,565822,1.250607667E8,1430
2024-08-01,218.0,229.0,215.3,560831,1.248469785E8,1715
2024-07-31,222.0,225.5,200.9,1036316,2.258669173E8,2691
2024-07-30,205.0,209.0,199.0,408477,8.32142103E7,1264
2024-07-29,203.0,214.0,201.7,521994,1.083136468E8,1381
2024-07-28,206.0,214.0,196.9,457582,9.34022105E7,1345
2024-07-25,204.0,213.1,203.0,552698,1.143802272E8,1482
2024-07-24,205.0,214.0,198.0,869430,1.796191855E8,2232
2024-07-23,200.0,202.0,191.3,685015,1.361046868E8,1826
2024-07-22,193.2,198.5,179.9,685170,1.294361481E8,1568
2024-07-21,185.8,187.0,177.3,616911,1.123714248E8,1571
2024-07-18,182.0,192.4,180.0,518025,9.5915319E7,1616
2024-07-17,186.0,187.1,178.0,739487,1.361627131E8,1972
2024-07-16,181.0,181.9,165.0,754529,1.330006233E8,1687
2024-07-15,166.7,174.0,165.0,403806,6.83145116E7,1132
2024-07-14,170.0,171.0,161.1,493392,8.24485199E7,1265
2024-07-11,158.8,159.6,153.0,306490,4.81530299E7,765
2024-07-10,154.0,155.0,148.6,172182,2.62804795E7,402
2024-07-09,148.5,151.8,148.0,59782,8928716.0,168
2024-07-08,149.6,152.1,149.0,52649,7887559.1,161
2024-07-07,150.6,151.9,147.5,85434,1.28375491E7,235
2024-07-04,149.0,153.5,148.4,93876,1.4111854E7,295
2024-07-03,150.5,150.9,147.6,53506,8018777.1,145
2024-07-02,150.5,157.8,147.0,113984,1.71875982E7,331
2024-07-01,146.0,147.2,144.4,23850,3482656.2,108
2024-06-30,145.3,148.0,145.3,36212,5289179.6,130
2024-06-27,147.3,149.0,146.5,41835,6161950.9,158
2024-06-26,147.0,150.1,146.8,71979,1.06392484E7,179
2024-06-25,147.2,152.0,147.2,78266,1.17057533E7,152
2024-06-24,149.6,151.7,147.1,99272,1.48196023E7,195
2024-06-23,148.4,150.0,147.0,68150,1.00847141E7,204
2024-06-20,147.6,154.0,147.5,66109,9830511.4,231
2024-06-19,152.0,153.9,149.5,34835,5244830.8,157
2024-06-18,151.0,156.0,150.5,146316,2.23215189E7,313
2024-06-16,153.6,160.0,149.8,333157,5.16975725E7,662
2024-06-13,151.7,154.0,149.0,140962,2.13903112E7,422
2024-06-12,152.0,156.9,150.0,226502,3.47018422E7,632
2024-06-11,148.8,150.0,145.1,86827,1.28688993E7,275
2024-06-10,144.1,149.6,143.0,58332,8500422.7,211
2024-06-09,142.9,145.0,142.0,32429,4625303.0,144
2024-06-06,143.0,144.9,141.6,52674,7523673.2,165
2024-06-05,143.0,146.0,143.0,40846,5869468.9,191
2024-06-04,144.9,149.8,144.0,39476,5721383.6,185
2024-06-03,146.9,149.9,145.3,34122,5003100.9,126
2024-06-02,146.0,149.9,145.0,59528,8697484.7,216
2024-05-30,147.0,151.4,146.2,60362,8924974.4,187
2024-05-29,148.5,155.4,148.0,57451,8611180.7,216
2024-05-27,149.5,152.2,148.0,67993,1.0203061E7,216
2024-05-26,148.1,155.0,148.1,54475,8181364.1,198
2024-05-22,152.0,156.1,151.4,94533,1.45371585E7,273
2024-05-21,153.9,155.0,149.0,123763,1.88955396E7,333
2024-05-20,151.0,153.5,150.1,112434,1.7014615E7,245
2024-05-19,151.8,152.9,147.0,59405,8925163.9,204
2024-05-16,150.0,154.8,149.1,67737,1.02889719E7,185
2024-05-15,150.0,159.1,148.6,152799,2.34065668E7,490
2024-05-14,148.2,150.5,143.3,77887,1.14261382E7,216
2024-05-13,144.0,144.2,141.0,29183,4179569.6,117
2024-05-12,142.4,146.7,142.0,33144,4736035.3,118
2024-05-09,143.9,144.5,141.7,42367,6035415.7,172
2024-05-08,142.9,145.0,142.0,23213,3313995.5,125
2024-05-07,144.1,147.0,143.6,34809,5030252.5,126
2024-05-06,145.8,149.0,144.0,43135,6265557.0,141
2024-05-05,146.3,150.0,146.0,47215,6940485.9,186
2024-05-02,150.0,154.0,149.0,38977,5888943.5,168
2024-04-30,151.0,156.0,147.0,91868,1.38514214E7,294
2024-04-29,147.1,151.3,147.0,48613,7189919.8,168
2024-04-28,148.4,151.0,148.0,48387,7200462.5,153
2024-04-25,148.1,151.0,148.0,55116,8190450.4,177
2024-04-24,149.0,153.0,148.2,39109,5880009.4,145
2024-04-22,150.0,155.0,149.0,47696,7221291.7,175
2024-04-21,154.0,154.0,147.0,68954,1.03242546E7,234
