BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,567.0,590.0,565.0,107834,6.19662688E7,1523
2024-08-22,585.0,601.0,572.3,135160,7.93683815E7,2116
2024-08-21,571.0,580.2,561.0,119386,6.80848863E7,1960
2024-08-18,568.9,595.0,566.0,192787,1.11737699E8,2439
2024-08-15,597.0,630.0,596.0,161610,9.85039358E7,2559
2024-08-14,623.0,635.0,580.0,350010,2.101851412E8,3568
2024-08-13,615.0,639.0,607.0,221127,1.358938326E8,2303
2024-08-12,628.0,640.0,618.5,246070,1.548392195E8,2772
2024-08-11,639.0,668.0,615.1,316951,2.028751037E8,3565
2024-08-08,612.9,612.9,550.0,427554,2.536250938E8,3518
2024-08-07,557.2,569.9,530.2,119196,6.58559913E7,1845
2024-08-06,537.5,585.0,535.1,228934,1.283733714E8,2079
2024-08-05,574.0,587.1,560.4,172755,9.90671596E7,1957
2024-08-01,573.0,597.0,570.0,199858,1.162163917E8,1922
2024-07-31,585.0,607.9,567.0,265065,1.560769713E8,2547
2024-07-30,565.0,572.2,549.1,126072,7.08844638E7,1713
2024-07-29,556.7,584.4,544.0,315974,1.788930096E8,2543
2024-07-28,549.0,568.6,538.1,148282,8.11523723E7,1321
2024-07-25,536.0,551.0,535.1,100230,5.43364135E7,1190
2024-07-24,547.0,575.0,539.2,183152,1.017562203E8,1629
2024-07-23,567.9,570.0,546.0,165571,9.28401717E7,1633
2024-07-22,551.0,559.9,532.6,184175,1.008081365E8,1855
2024-07-21,539.4,547.0,515.0,260015,1.390001699E8,1774
2024-07-18,524.0,542.9,518.6,146874,7.8003804E7,1495
2024-07-17,534.0,545.0,522.0,141879,7.57464413E7,1469
2024-07-16,522.0,523.0,494.0,137524,7.05250335E7,1272
2024-07-15,496.0,517.1,493.1,116190,5.81275662E7,800
2024-07-14,507.0,513.0,492.0,95737,4.83004468E7,1041
2024-07-11,493.9,494.8,484.0,70435,3.43799428E7,696
2024-07-10,485.1,490.0,478.5,62507,3.03572319E7,539
2024-07-09,485.0,488.0,481.5,29568,1.43108627E7,483
2024-07-08,487.0,494.0,484.0,24985,1.21627878E7,427
2024-07-07,486.0,490.9,477.5,73235,3.5606867E7,820
2024-07-04,477.0,486.9,467.0,58258,2.78174916E7,543
2024-07-03,474.0,481.0,470.0,26159,1.24182979E7,321
2024-07-02,478.0,514.0,471.1,39967,1.94445214E7,400
2024-07-01,468.0,471.0,460.0,23247,1.08166308E7,359
2024-06-30,466.0,476.0,460.0,66426,3.10534318E7,331
2024-06-27,466.7,475.0,465.0,20744,9700852.2,314
2024-06-26,471.9,484.6,470.0,15249,7227375.9,283
2024-06-25,475.1,488.0,463.5,81771,3.88948936E7,521
2024-06-24,472.9,478.0,470.1,22752,1.07590665E7,434
2024-06-23,474.0,480.0,472.7,25986,1.2338173E7,430
2024-06-20,476.1,482.5,475.0,29080,1.38703584E7,354
2024-06-19,478.0,484.0,467.5,30510,1.45576069E7,359
2024-06-18,477.0,486.0,472.4,40923,1.95733098E7,468
2024-06-16,482.0,493.9,482.0,28682,1.39861221E7,435
2024-06-13,489.0,505.0,488.3,39009,1.92244022E7,480
2024-06-12,496.3,507.8,480.2,78596,3.94205347E7,838
2024-06-11,490.0,494.0,474.0,49871,2.43076749E7,513
2024-06-10,483.5,492.0,473.4,28305,1.37251063E7,492
2024-06-09,483.0,488.5,476.0,26884,1.29534133E7,477
2024-06-06,479.0,486.0,467.5,35749,1.72030016E7,456
2024-06-05,477.0,490.0,470.4,30673,1.4711685E7,378
2024-06-04,480.0,489.0,478.7,36994,1.78275163E7,424
2024-06-03,483.1,497.0,483.0,32221,1.56332832E7,425
2024-06-02,488.0,510.0,485.1,24204,1.18729073E7,490
2024-05-30,492.0,507.0,486.5,39932,1.97036841E7,456
2024-05-29,498.1,514.0,495.0,98783,4.93672683E7,681
2024-05-27,504.0,508.0,486.0,52298,2.62366443E7,641
2024-05-26,492.0,509.0,490.4,37104,1.84947786E7,572
2024-05-22,504.8,512.0,496.0,74938,3.79813201E7,768
2024-05-21,498.5,505.0,493.0,41750,2.08872555E7,657
2024-05-20,496.1,513.0,494.1,55810,2.78869348E7,726
2024-05-19,503.0,507.0,481.0,78017,3.88727447E7,1004
2024-05-16,483.9,495.0,480.0,38824,1.89410377E7,501
2024-05-15,484.6,497.0,476.2,57172,2.79272458E7,618
2024-05-14,480.0,483.5,471.2,34848,1.66244605E7,545
2024-05-13,477.9,482.9,471.0,46574,2.22458852E7,515
2024-05-12,484.0,494.0,470.0,56444,2.74289763E7,553
2024-05-09,478.9,480.0,469.0,35843,1.70183157E7,480
2024-05-08,472.5,484.0,470.4,31675,1.50671226E7,338
2024-05-07,479.9,490.0,477.0,28851,1.38809931E7,367
2024-05-06,482.9,487.0,478.1,38809,1.87205565E7,396
2024-05-05,480.1,492.0,480.0,28136,1.3576941E7,499
2024-05-02,487.0,500.0,482.0,28361,1.39237671E7,460
2024-04-30,491.0,501.8,486.0,71891,3.56025885E7,649
2024-04-29,489.5,497.0,480.9,41881,2.0576974E7,431
2024-04-28,490.7,499.0,488.0,29004,1.43046571E7,509
2024-04-25,488.0,493.8,485.0,29213,1.42804128E7,430
2024-04-24,489.9,498.0,489.9,27091,1.33366427E7,406
