BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,10.5,10.54,10.04,690270,7204659.8,95
2024-08-22,10.34,10.37,10.05,87000,889519.0,106
2024-08-21,10.2,10.3,9.96,191305,1948752.0,88
2024-08-18,10.2,10.21,9.82,353400,3570907.0,78
2024-08-15,10.2,10.3,9.7,124035,1245207.8,117
2024-08-14,9.83,10.0,9.65,223600,2173688.0,57
2024-08-13,10.02,10.38,9.79,27700,278633.0,54
2024-08-12,10.18,10.27,9.61,70500,703775.0,77
2024-08-11,9.89,10.08,9.7,29100,289277.0,43
2024-08-08,9.99,10.0,9.56,119030,1155979.96,54
2024-08-07,9.71,10.0,9.47,76750,752433.5,36
2024-08-06,9.66,10.14,9.5,75100,734315.0,39
2024-08-05,9.69,9.83,9.5,32500,314543.0,38
2024-08-01,10.0,10.6,9.95,253100,2579188.0,72
2024-07-31,10.2,10.2,9.66,554430,5575566.5,113
2024-07-30,9.89,10.18,9.44,8700,84627.0,33
2024-07-29,10.38,10.4,9.62,167330,1665993.2,68
2024-07-28,10.12,10.14,9.25,109000,1084333.0,49
2024-07-25,9.58,9.63,9.14,1127000,1.048947E7,90
2024-07-24,9.81,10.01,9.12,21230,202147.0,36
2024-07-23,10.03,10.03,8.85,161700,1497454.0,75
2024-07-22,9.12,9.36,8.73,143455,1280089.8,36
2024-07-21,8.9,9.64,8.85,179400,1658084.0,44
2024-07-18,9.46,9.46,9.0,41260,384267.4,33
2024-07-17,9.1,9.28,8.92,8400,76441.0,12
2024-07-16,9.1,9.1,8.59,13150,113757.5,24
2024-07-15,9.1,9.58,8.68,28200,258823.0,27
2024-07-14,9.04,9.05,8.63,52724,474845.24,27
2024-07-11,8.78,8.93,8.49,15000,131359.0,12
2024-07-10,8.66,8.95,8.65,7100,61722.0,15
2024-07-09,8.95,8.95,8.51,2000,17166.0,13
2024-07-08,8.85,8.85,8.78,20900,183958.0,7
2024-07-07,8.77,8.77,8.27,1300,11012.0,12
2024-07-04,8.6,8.73,8.4,7650,66577.0,9
2024-07-03,8.56,8.56,8.4,500,4258.0,5
2024-07-02,8.7,8.73,8.56,9400,81385.0,12
2024-07-01,8.4,8.47,8.15,14000,117315.0,15
2024-06-30,8.27,8.36,8.2,1710,14101.4,8
2024-06-27,8.52,8.86,8.52,15600,133813.0,9
