BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,275.0,288.0,272.0,593298,1.635677318E8,2214
2024-08-22,284.7,300.0,284.0,460097,1.324065536E8,1861
2024-08-21,287.0,292.0,279.0,709266,2.02921015E8,2586
2024-08-18,287.0,302.0,283.5,1427895,4.216257518E8,4891
2024-08-15,283.0,285.0,260.0,1270505,3.538049415E8,4691
2024-08-14,259.1,260.0,250.1,463875,1.18746972E8,1846
2024-08-13,257.9,260.0,253.0,560415,1.441710017E8,2162
2024-08-12,253.8,258.9,245.0,653658,1.646967166E8,2237
2024-08-11,243.6,243.6,235.5,786878,1.891897316E8,2029
2024-08-08,236.5,243.0,234.0,310600,7.38319042E7,1557
2024-08-07,238.5,239.0,223.2,512810,1.194188594E8,1934
2024-08-06,230.0,248.0,226.1,694815,1.643910718E8,3231
2024-08-05,249.4,255.0,245.7,706240,1.761735694E8,2811
2024-08-01,255.9,264.1,255.0,379256,9.77183833E7,1764
2024-07-31,259.0,261.0,253.0,489245,1.258246831E8,2065
2024-07-30,254.0,257.9,243.0,740562,1.855600476E8,2945
2024-07-29,253.0,284.3,253.0,1288357,3.435178633E8,4943
2024-07-28,258.5,258.5,239.7,1002360,2.569184987E8,3101
2024-07-25,235.0,239.0,221.0,699280,1.589124265E8,2051
2024-07-24,221.0,230.0,218.0,629002,1.40907226E8,2019
2024-07-23,223.1,224.9,216.2,566972,1.251711351E8,1681
2024-07-22,220.1,227.0,214.0,450025,9.90492142E7,1995
2024-07-21,224.9,225.3,214.0,654503,1.453829936E8,2173
2024-07-18,218.3,224.2,203.0,628039,1.340034623E8,2431
2024-07-17,204.9,205.0,200.0,270536,5.49378989E7,1213
2024-07-16,201.0,203.0,193.6,225370,4.47103798E7,980
2024-07-15,194.2,204.0,194.1,326661,6.43840445E7,1254
2024-07-14,200.0,204.7,192.1,368225,7.21034846E7,1400
2024-07-11,189.9,190.0,182.8,192251,3.59685438E7,756
2024-07-10,184.0,185.9,180.5,203192,3.72701488E7,504
2024-07-09,182.3,186.6,179.1,179442,3.23422658E7,496
2024-07-08,183.0,184.0,179.5,108356,1.95797008E7,412
2024-07-07,181.4,183.6,179.2,149397,2.70462343E7,495
2024-07-04,180.0,182.4,178.4,107015,1.93179956E7,506
2024-07-03,180.6,183.6,174.4,151772,2.71947929E7,377
2024-07-02,181.5,188.0,171.0,167185,2.99148613E7,619
2024-07-01,173.9,173.9,171.0,76610,1.31910156E7,362
2024-06-30,172.5,175.0,172.2,53993,9349835.7,306
2024-06-27,173.4,174.0,170.0,82663,1.41850729E7,406
2024-06-26,173.0,176.0,171.0,110410,1.90791949E7,588
2024-06-25,175.5,178.0,174.5,76268,1.33456797E7,381
2024-06-24,175.9,179.0,175.1,65835,1.15815741E7,386
2024-06-23,177.0,180.7,176.0,68819,1.21668112E7,299
2024-06-20,177.8,182.2,177.2,39187,6980428.2,324
2024-06-19,178.7,182.7,178.6,35384,6352316.5,240
