BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,1365.0,1420.0,1311.0,19438,2.63305686E7,255
2024-08-22,1326.5,1353.0,1326.5,14093,1.8857518E7,197
2024-08-21,1341.0,1379.0,1341.0,10232,1.3829336E7,193
2024-08-18,1363.0,1400.0,1363.0,16498,2.27190541E7,245
2024-08-15,1385.0,1408.8,1375.0,15558,2.15799677E7,254
2024-08-14,1384.0,1391.0,1364.0,15894,2.18324898E7,242
2024-08-13,1386.0,1450.1,1384.0,17430,2.45118305E7,254
2024-08-12,1423.0,1470.0,1418.2,20420,2.91729868E7,287
2024-08-11,1446.0,1485.0,1345.6,20312,2.91740864E7,289
2024-08-08,1373.0,1440.0,1373.0,12591,1.76385448E7,186
2024-08-07,1389.0,1409.0,1350.5,14240,1.98550644E7,181
2024-08-06,1378.0,1431.0,1378.0,20983,2.92382306E7,264
2024-08-05,1410.0,1421.0,1392.7,12206,1.71548566E7,175
2024-08-01,1394.0,1468.8,1387.0,28753,4.09059863E7,295
2024-07-31,1431.0,1445.0,1396.5,20471,2.90389234E7,281
2024-07-30,1425.0,1449.0,1400.0,16107,2.28591156E7,242
2024-07-29,1400.0,1482.0,1400.0,36885,5.3075041E7,393
2024-07-28,1482.0,1549.0,1470.0,27506,4.08807065E7,348
2024-07-25,1530.0,1530.0,1427.0,74345,1.113030053E8,791
2024-07-24,1400.1,1436.0,1390.0,17824,2.51396403E7,230
2024-07-23,1415.0,1425.0,1400.0,25931,3.65699029E7,259
2024-07-22,1406.0,1423.0,1391.0,15875,2.23236698E7,242
2024-07-21,1418.0,1450.0,1403.4,18580,2.63147336E7,253
2024-07-18,1404.0,1458.0,1380.0,28410,4.05715859E7,401
2024-07-17,1407.0,1430.0,1370.0,13793,1.9427337E7,207
2024-07-16,1395.0,1400.0,1377.0,14271,1.98199009E7,200
2024-07-15,1365.0,1422.0,1365.0,13880,1.91799307E7,224
2024-07-14,1395.0,1478.0,1381.8,26677,3.75269987E7,316
2024-07-11,1407.0,1455.0,1405.0,25026,3.54594529E7,347
2024-07-10,1430.0,1550.0,1420.1,43333,6.32230152E7,576
2024-07-09,1494.0,1555.0,1409.3,85424,1.236432611E8,714
2024-07-08,1438.0,1458.6,1392.0,13567,1.92726707E7,174
2024-07-07,1430.0,1430.0,1385.0,15632,2.20963838E7,193
2024-07-04,1410.0,1414.5,1355.0,13978,1.94951522E7,191
2024-07-03,1379.0,1389.9,1340.0,14540,1.97553497E7,161
2024-07-02,1367.0,1477.0,1366.4,13623,1.89657387E7,158
2024-07-01,1361.6,1364.9,1340.1,7847,1.05921763E7,135
2024-06-30,1357.0,1414.0,1355.0,42156,5.76852825E7,215
2024-06-27,1390.6,1458.0,1390.6,6946,9760032.5,122
2024-06-26,1430.0,1455.5,1389.0,62382,8.82131863E7,468
2024-06-25,1387.0,1409.4,1373.0,30507,4.22450453E7,296
2024-06-24,1410.0,1489.2,1373.1,43674,6.20261562E7,435
2024-06-23,1420.0,1489.6,1406.0,26913,3.85428755E7,352
2024-06-20,1520.0,1600.0,1457.0,57150,8.48578114E7,712
2024-06-19,1605.0,1605.0,1468.0,60009,8.99044611E7,738
2024-06-18,1545.0,1632.0,1470.0,61626,9.41835444E7,538
2024-06-16,1548.1,1632.0,1512.0,29342,4.54741004E7,378
2024-06-13,1638.0,1750.0,1620.0,37158,6.07977587E7,429
2024-06-12,1616.3,1815.0,1584.7,61252,1.003624378E8,591
2024-06-11,1683.0,1772.0,1605.2,65193,1.082866363E8,681
2024-06-10,1705.4,1705.4,1576.9,52959,8.56933091E7,699
2024-06-09,1609.0,1673.0,1547.0,70457,1.118263566E8,715
2024-06-06,1643.0,1643.0,1509.2,42568,6.61953075E7,601
2024-06-05,1540.0,1591.0,1417.6,55880,8.53547532E7,975
2024-06-04,1446.5,1446.5,1290.0,77297,1.090206667E8,931
2024-06-03,1315.0,1317.9,1215.3,24985,3.21673226E7,313
2024-06-02,1240.1,1280.0,1237.0,14535,1.81806422E7,181
2024-05-30,1267.4,1286.0,1254.4,16650,2.11468124E7,203
2024-05-29,1279.9,1314.0,1207.0,56776,7.12423051E7,485
2024-05-27,1255.0,1255.0,1164.0,28159,3.40909513E7,243
2024-05-26,1184.0,1224.0,1165.0,12411,1.4657733E7,165
2024-05-22,1224.0,1250.0,1200.0,17302,2.10798716E7,145
2024-05-21,1226.0,1250.0,1196.1,7412,9079658.6,118
2024-05-20,1220.0,1265.1,1204.5,20270,2.48992942E7,233
2024-05-19,1239.0,1270.0,1197.1,22231,2.75240621E7,254
2024-05-16,1253.8,1255.0,1136.0,42863,5.18808229E7,424
2024-05-15,1150.0,1187.0,1142.1,17676,2.05794509E7,177
2024-05-14,1175.0,1230.0,1145.7,46122,5.47772574E7,343
2024-05-13,1169.0,1189.0,1115.0,30091,3.4778694E7,251
2024-05-12,1123.0,1167.9,1117.0,18181,2.06307565E7,195
2024-05-09,1145.0,1174.0,1107.2,33236,3.82697419E7,366
2024-05-08,1129.7,1130.0,1043.7,29334,3.23893568E7,345
2024-05-07,1065.0,1087.5,1000.0,11201,1.17596138E7,182
2024-05-06,1010.0,1038.0,1000.1,6601,6714042.1,89
2024-05-05,1038.0,1120.0,1022.0,22569,2.39299942E7,263
2024-05-02,1085.0,1100.0,1045.0,16867,1.82356285E7,291
2024-04-30,1040.0,1053.0,991.0,20591,2.1017394E7,190
2024-04-29,1009.0,1014.0,995.0,10525,1.0563672E7,103
2024-04-28,1003.0,1010.0,973.3,8974,8855951.6,101
2024-04-25,994.0,994.0,965.1,5713,5577877.3,71
2024-04-24,979.0,990.5,965.5,6164,6009182.1,63
2024-04-22,985.0,1011.0,960.0,9514,9375095.1,136
2024-04-21,993.0,993.0,946.1,11934,1.15390225E7,119
2024-04-18,965.0,978.7,950.0,7647,7344478.9,84
2024-04-16,989.0,990.0,971.0,5873,5747034.0,58
2024-04-15,986.4,1031.0,985.0,11414,1.14250269E7,127
2024-04-14,1021.0,1035.0,950.6,32497,3.3035299E7,354
2024-04-10,970.0,980.2,950.0,12128,1.16927721E7,130
2024-04-09,989.0,1000.0,963.1,7517,7378161.0,105
