BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,1194.0,1264.0,1169.9,263165,3.166531423E8,1752
2024-08-22,1216.0,1300.0,1188.0,191568,2.384830008E8,1373
2024-08-21,1192.6,1205.0,1125.3,216898,2.53219362E8,1503
2024-08-18,1111.0,1244.0,1050.0,314677,3.47888586E8,2107
2024-08-15,1150.0,1295.0,1078.2,271498,3.201624648E8,2277
2024-08-14,1177.8,1177.8,1092.0,160901,1.884841308E8,1369
2024-08-13,1070.8,1070.8,992.9,231251,2.448448226E8,1882
2024-08-12,973.5,975.0,900.0,162472,1.55450793E8,1243
2024-08-11,890.0,914.8,819.3,221802,1.918364443E8,1372
2024-08-08,836.0,877.0,814.5,192559,1.62806668E8,1496
2024-08-07,798.6,798.6,711.5,142374,1.104006696E8,992
2024-08-06,726.0,780.0,700.0,267562,1.98655605E8,1888
2024-08-05,777.0,828.2,770.8,211363,1.675082304E8,1314
2024-08-01,812.0,880.0,796.2,178486,1.48657781E8,1253
2024-07-31,848.5,855.0,795.0,131794,1.098671548E8,915
2024-07-30,795.4,808.0,763.0,105618,8.35066818E7,914
2024-07-29,769.0,800.6,716.0,185882,1.406369055E8,1247
2024-07-28,727.9,739.5,707.1,77704,5.6071342E7,477
2024-07-25,725.0,764.0,688.0,116201,8.44238887E7,903
2024-07-24,699.9,714.0,673.0,153414,1.074090403E8,893
2024-07-23,682.1,696.0,652.1,109093,7.36942772E7,761
2024-07-22,650.4,668.8,646.9,64513,4.25441039E7,464
2024-07-21,664.0,665.0,646.0,93293,6.12869345E7,494
2024-07-18,650.0,685.0,650.0,114795,7.63380192E7,626
2024-07-17,666.0,670.0,640.0,65162,4.26494831E7,489
2024-07-16,636.0,640.0,620.0,58511,3.70498324E7,335
2024-07-15,627.0,652.8,603.0,101925,6.42049292E7,589
2024-07-14,637.0,667.0,637.0,51061,3.2959392E7,332
2024-07-11,630.0,665.0,629.1,75644,4.9204268E7,460
2024-07-10,655.0,659.9,630.1,110515,7.15936739E7,598
2024-07-09,626.0,645.0,617.3,75600,4.80241862E7,377
2024-07-08,629.8,644.6,627.0,93903,5.964429828E7,533
2024-07-07,633.0,669.9,633.0,178692,1.159268823E8,1021
2024-07-04,677.9,690.0,645.0,162866,1.088780227E8,972
2024-07-03,684.9,686.0,632.1,158548,1.061406432E8,1007
2024-07-02,645.0,660.1,603.0,174026,1.110062465E8,1068
2024-07-01,610.0,634.0,565.1,116411,6.86799301E7,701
2024-06-30,588.0,619.3,587.0,118836,7.15921658E7,666
2024-06-27,599.0,627.9,599.0,61498,3.76944871E7,467
2024-06-26,617.3,635.0,578.2,246054,1.516496374E8,1310
2024-06-25,589.9,623.9,579.0,68953,4.09601303E7,492
2024-06-24,613.0,630.0,581.0,148320,8.93864702E7,998
2024-06-23,580.3,580.3,538.1,142850,8.03635176E7,591
2024-06-20,549.0,572.1,517.3,150375,8.28404566E7,754
2024-06-19,520.6,536.5,511.0,60748,3.16567846E7,282
2024-06-18,513.0,528.9,506.0,31060,1.59814549E7,193
2024-06-16,519.0,545.1,515.0,57517,3.0533828E7,389
2024-06-13,525.7,531.3,478.0,195627,1.012118545E8,777
