BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,845.1,897.0,830.0,37479,3.21328616E7,483
2024-08-22,838.0,845.0,826.1,21109,1.76997155E7,311
2024-08-21,835.0,855.0,833.0,22003,1.84958769E7,312
2024-08-18,852.1,880.0,850.1,45495,3.94679426E7,477
2024-08-15,870.0,899.0,870.0,27856,2.44113872E7,394
2024-08-14,891.0,893.0,853.0,42897,3.72529443E7,524
2024-08-13,878.0,904.7,875.0,49104,4.3362028E7,566
2024-08-12,905.1,939.0,904.0,61910,5.68073031E7,554
2024-08-11,922.0,935.0,897.0,41556,3.81731335E7,536
2024-08-08,880.0,900.0,880.0,25208,2.23433587E7,313
2024-08-07,890.0,893.0,860.0,23112,2.04045342E7,330
2024-08-06,875.5,928.2,870.0,37392,3.35048669E7,431
2024-08-05,910.0,921.0,903.0,29704,2.70684937E7,353
2024-08-01,901.6,958.8,901.6,63651,5.87836904E7,538
2024-07-31,906.0,920.0,900.0,44115,4.01875035E7,425
2024-07-30,902.0,913.0,870.0,48002,4.2836331E7,508
2024-07-29,880.0,942.4,880.0,68123,6.13246421E7,619
2024-07-28,924.0,979.5,903.6,47709,4.45010668E7,493
2024-07-25,949.0,954.9,877.0,77828,7.16151176E7,781
2024-07-24,870.0,905.8,870.0,31099,2.75968759E7,329
2024-07-23,893.0,895.0,880.0,28217,2.50430619E7,276
2024-07-22,880.0,888.3,852.0,40134,3.48991094E7,332
2024-07-21,886.4,904.0,877.7,44081,3.92076512E7,347
2024-07-18,888.0,901.0,858.0,57440,5.10256681E7,534
2024-07-17,854.9,855.0,826.5,34715,2.92003937E7,319
2024-07-16,832.9,835.0,816.0,19470,1.60859283E7,162
2024-07-15,811.0,838.0,810.2,30922,2.53778292E7,218
2024-07-14,829.0,861.0,815.0,22886,1.90196391E7,210
2024-07-11,829.0,840.0,816.5,22258,1.84342434E7,263
2024-07-10,826.0,842.0,817.4,42164,3.50149883E7,420
2024-07-09,809.9,814.0,779.0,40716,3.26163239E7,320
2024-07-08,783.9,795.0,770.0,6094,4754062.1,75
2024-07-07,783.9,787.0,772.0,17887,1.39798583E7,125
2024-07-04,783.0,799.0,772.0,10593,8274025.5,106
2024-07-03,783.4,783.4,770.0,6352,4930896.6,80
2024-07-02,783.5,811.0,770.1,12743,9892268.8,121
2024-07-01,765.0,773.5,751.0,6190,4716034.5,77
2024-06-30,758.0,764.0,751.0,8060,6094918.0,101
2024-06-27,762.0,773.0,762.0,6180,4735844.2,73
2024-06-26,775.0,800.0,775.0,10949,8540531.9,92
2024-06-25,790.0,795.0,781.0,9707,7644964.7,128
2024-06-24,782.0,785.0,758.0,15082,1.17113376E7,138
2024-06-23,756.0,770.0,755.0,11433,8698303.5,110
2024-06-20,770.0,781.0,768.0,11630,8991104.9,113
2024-06-19,779.0,788.8,770.0,13191,1.02375178E7,134
2024-06-18,777.0,790.0,772.0,25358,1.98072394E7,136
2024-06-16,798.0,812.2,791.0,20587,1.64332502E7,191
2024-06-13,812.2,829.9,800.1,42109,3.43428086E7,255
2024-06-12,815.0,827.0,785.0,64169,5.19945184E7,400
2024-06-11,790.0,800.3,780.0,24055,1.89363829E7,157
2024-06-10,784.7,785.0,765.0,25583,1.99344004E7,144
2024-06-09,775.0,799.0,770.0,25425,1.98460858E7,273
2024-06-06,795.0,800.0,772.0,58471,4.61767051E7,356
2024-06-05,774.0,783.1,770.0,24873,1.93305189E7,213
2024-06-04,770.0,791.9,768.0,22602,1.7666086E7,250
2024-06-03,769.9,788.0,745.0,26196,2.0062079E7,192
2024-06-02,754.0,757.0,744.0,11794,8843939.1,103
2024-05-30,750.0,759.0,738.1,14139,1.0536428E7,122
2024-05-29,752.8,777.0,745.0,20033,1.51244935E7,157
2024-05-27,757.0,769.0,751.6,9055,6879453.9,115
2024-05-26,755.9,783.2,750.0,24861,1.8876059E7,276
2024-05-22,767.9,789.0,761.2,19800,1.52624933E7,258
2024-05-21,782.2,790.0,770.0,23058,1.79844948E7,234
2024-05-20,780.0,810.0,775.0,24024,1.89972206E7,303
2024-05-19,798.0,810.1,784.0,37855,3.01659207E7,316
2024-05-16,800.0,811.0,765.0,63354,5.05989985E7,452
2024-05-15,778.0,820.0,770.0,47115,3.69867205E7,398
