BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,580.0,599.7,576.0,21475,1.24843965E7,455
2024-08-22,588.0,609.9,588.0,37616,2.24144855E7,628
2024-08-21,600.0,612.0,588.3,35577,2.12628904E7,575
2024-08-18,598.0,628.0,597.0,44984,2.71867456E7,697
2024-08-15,614.1,638.0,613.5,53863,3.34611494E7,743
2024-08-14,626.0,630.0,615.2,44567,2.77771864E7,540
2024-08-13,626.9,655.0,620.0,42333,2.66922062E7,563
2024-08-12,645.0,648.0,611.0,101765,6.4792717E7,1162
2024-08-11,622.0,635.0,608.1,72281,4.50093681E7,859
2024-08-08,614.0,627.1,609.0,36024,2.22080604E7,459
2024-08-07,627.0,630.0,592.0,39211,2.41371805E7,651
2024-08-06,605.0,638.9,600.0,63272,3.92441712E7,625
2024-08-05,629.8,632.0,601.0,66094,4.09845661E7,813
2024-08-01,613.5,640.0,612.0,58858,3.66782118E7,616
2024-07-31,633.0,653.0,625.0,78474,5.01124594E7,711
2024-07-30,645.0,653.8,624.0,100171,6.38276628E7,794
2024-07-29,634.0,639.0,605.0,214686,1.315556959E8,1233
2024-07-28,608.2,656.8,608.0,37716,2.3394176E7,405
2024-07-25,610.0,624.7,604.7,52525,3.2219106E7,562
2024-07-24,620.0,635.0,616.3,50216,3.14457743E7,541
2024-07-23,633.0,655.0,618.0,105474,6.70695212E7,558
2024-07-22,630.0,649.0,622.0,61068,3.84197483E7,560
2024-07-21,646.7,678.0,627.2,82759,5.33576636E7,618
2024-07-18,672.1,699.9,613.0,163912,1.102972071E8,849
2024-07-17,669.0,669.0,620.6,121615,7.84781135E7,710
2024-07-16,649.0,657.5,608.0,99171,6.26243791E7,624
2024-07-15,645.0,645.0,583.5,97143,5.91232323E7,446
2024-07-14,620.0,627.0,568.5,99775,6.08698894E7,568
2024-07-11,590.0,636.4,575.8,130647,7.80857674E7,470
2024-07-10,600.0,623.0,577.0,31241,1.86114633E7,353
2024-07-09,599.0,599.7,566.5,25319,1.4739856E7,264
2024-07-08,581.1,589.0,567.6,23981,1.38195824E7,211
2024-07-07,578.0,600.0,574.3,25625,1.49010408E7,309
2024-07-04,591.0,600.0,578.0,25255,1.49501972E7,292
2024-07-03,594.0,600.8,582.0,22511,1.32067576E7,251
2024-07-02,592.0,635.4,580.0,48007,2.83813134E7,304
2024-07-01,587.9,593.8,574.0,39428,2.28632006E7,288
2024-06-30,582.2,605.0,582.2,33132,1.95618353E7,233
2024-06-27,608.0,624.0,595.0,39005,2.34459112E7,391
2024-06-26,609.5,609.5,585.2,111110,6.65453593E7,649
