BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,286.0,304.0,285.0,101600,2.97599651E7,767
2024-08-22,304.0,311.0,299.0,94255,2.86683421E7,815
2024-08-21,300.0,311.0,292.3,123897,3.71592829E7,911
2024-08-18,299.0,320.0,299.0,168903,5.17913274E7,1117
2024-08-15,319.0,336.0,316.0,213338,6.93754391E7,1378
2024-08-14,315.0,318.0,298.0,139497,4.27425829E7,943
2024-08-13,306.0,321.2,296.0,188644,5.79946528E7,1087
2024-08-12,316.0,317.0,296.0,229482,7.06391607E7,1374
2024-08-11,303.9,304.0,279.5,291236,8.580771E7,1376
2024-08-08,283.0,295.3,281.1,125465,3.61206216E7,852
2024-08-07,285.4,287.0,271.2,160551,4.50259652E7,998
2024-08-06,271.1,297.0,271.1,379407,1.081638014E8,1669
2024-08-05,285.0,289.6,265.0,356411,9.91641709E7,1419
2024-08-01,270.0,283.4,267.0,175897,4.86066912E7,814
2024-07-31,277.2,290.0,270.0,232070,6.49614426E7,1131
2024-07-30,269.0,270.0,246.0,359267,9.34121934E7,1278
2024-07-29,247.0,258.0,245.5,182163,4.59744444E7,772
2024-07-28,253.0,265.9,248.1,135478,3.4151826E7,568
2024-07-25,250.7,258.9,249.0,133515,3.3844424E7,607
2024-07-24,255.0,269.1,249.2,156075,4.0207951E7,761
2024-07-23,263.9,265.0,246.2,184723,4.79059279E7,789
2024-07-22,250.0,251.3,236.0,230164,5.63263162E7,781
2024-07-21,242.5,254.0,233.0,137456,3.31588651E7,695
2024-07-18,237.0,246.8,235.3,117855,2.82505659E7,615
2024-07-17,242.0,247.0,233.1,154213,3.71082723E7,664
2024-07-16,233.9,236.0,219.0,188228,4.28494013E7,658
2024-07-15,216.1,229.9,216.0,107894,2.4049912E7,453
2024-07-14,221.0,226.0,216.2,79162,1.73656422E7,288
2024-07-11,214.0,215.0,210.0,52865,1.12364673E7,232
2024-07-10,211.5,216.0,211.0,38355,8183977.2,177
2024-07-09,208.5,214.1,207.6,32449,6799159.5,169
2024-07-08,211.0,215.0,210.0,34092,7198074.2,177
2024-07-07,213.7,217.0,212.9,25917,5561077.5,154
2024-07-04,215.0,215.2,209.5,48542,1.03744319E7,236
2024-07-03,209.0,215.6,207.2,30659,6457563.5,169
2024-07-02,211.4,223.3,208.8,55338,1.18108014E7,242
2024-07-01,206.0,211.3,205.0,29656,6175575.4,182
2024-06-30,205.8,211.0,205.7,40959,8477972.4,190
2024-06-27,208.1,215.1,207.1,36991,7773248.3,169
2024-06-26,213.0,214.0,209.0,30579,6451395.4,164
2024-06-25,214.5,218.0,211.2,47594,1.02010065E7,226
2024-06-24,212.1,219.3,209.0,71223,1.5063163E7,276
2024-06-23,215.0,219.9,211.0,72567,1.55525148E7,330
2024-06-20,218.7,223.3,216.0,77751,1.6996105E7,274
2024-06-19,219.3,224.3,215.0,130346,2.85494465E7,351
2024-06-18,216.0,222.2,213.2,100750,2.18247329E7,411
2024-06-16,221.9,237.6,217.8,262919,5.82917006E7,894
2024-06-13,233.0,250.9,231.6,152838,3.65420405E7,864
2024-06-12,232.3,232.3,196.0,951207,1.995036425E8,1462
2024-06-11,211.2,211.2,203.1,24039,5000084.8,190
2024-06-10,201.7,206.0,200.5,12870,2606955.5,120
2024-06-09,202.0,204.9,200.0,16184,3252116.5,123
2024-06-06,202.9,205.0,200.0,17472,3519620.1,132
2024-06-05,201.0,204.0,200.3,10229,2069043.0,95
2024-06-04,203.9,206.0,201.0,19478,3931376.6,114
2024-06-03,202.2,205.0,202.0,14206,2889128.7,137
2024-06-02,201.0,212.1,200.0,23614,4779310.7,176
2024-05-30,204.0,210.0,202.0,25781,5264375.7,136
2024-05-29,209.0,215.0,202.9,18558,3861127.0,131
2024-05-27,211.4,213.0,208.0,19216,4031921.5,121
2024-05-26,211.7,214.2,208.0,10361,2192160.8,119
2024-05-22,210.0,216.0,209.1,20421,4326912.7,154
2024-05-21,212.0,218.3,207.1,20117,4285903.3,207
2024-05-20,207.0,213.0,207.0,19457,4079202.0,167
2024-05-19,207.0,208.8,205.0,14582,3017766.0,140
2024-05-16,205.0,207.0,202.0,4870,995479.7,80
2024-05-15,205.0,210.6,205.0,19025,3937228.6,146
2024-05-14,210.0,210.0,200.0,15569,3222533.8,137
2024-05-13,200.0,207.0,200.0,14121,2834122.0,125
2024-05-12,204.0,205.0,199.0,7026,1424157.6,93
2024-05-09,203.0,205.0,199.9,11249,2285233.3,102
2024-05-08,203.0,205.0,201.0,8812,1777808.0,71
2024-05-07,204.0,213.9,198.0,16673,3376362.0,123
2024-05-06,201.2,205.0,201.0,8889,1797934.4,80
2024-05-05,201.0,208.0,201.0,19622,3996888.9,110
2024-05-02,205.0,213.0,201.9,10982,2254533.9,105
2024-04-30,209.8,212.0,201.8,21177,4405156.8,168
2024-04-29,202.0,215.0,198.0,103821,2.09431482E7,331
2024-04-28,203.9,208.0,203.9,15743,3243112.4,121
2024-04-25,208.0,209.0,202.3,22200,4534979.2,117
2024-04-24,206.0,209.0,204.0,6222,1282921.6,72
2024-04-22,206.0,212.0,205.0,7385,1532574.5,78
2024-04-21,208.5,209.2,201.1,12694,2619938.8,126
2024-04-18,205.1,213.0,205.1,12213,2536107.5,108
2024-04-16,209.0,212.5,206.8,13269,2786148.7,111
2024-04-15,210.1,212.5,206.0,36554,7641351.6,203
2024-04-14,212.5,215.0,210.0,22198,4721106.4,150
2024-04-10,212.0,221.5,212.0,28664,6121937.3,166
2024-04-09,213.0,217.0,210.5,30570,6567832.9,166
2024-04-07,213.7,217.0,212.0,11721,2519322.9,151
2024-04-04,216.0,219.0,212.0,13118,2812968.9,136
2024-04-03,215.8,218.0,212.0,19117,4110084.0,121
2024-04-02,216.9,222.0,214.0,10200,2207711.5,129
2024-04-01,217.6,223.2,215.0,15195,3326306.8,127
2024-03-31,219.0,224.3,215.0,26566,5859078.8,169
2024-03-28,218.0,220.0,214.6,9911,2152211.7,90
2024-03-27,218.0,225.0,217.0,11689,2552242.5,126
2024-03-26,219.0,224.5,217.0,23323,5150709.1,174
2024-03-25,219.0,225.0,217.0,19989,4393359.3,134
2024-03-21,225.0,248.4,222.1,120367,2.72968238E7,313
2024-03-20,225.9,227.0,219.0,28159,6297497.5,196
2024-03-19,222.3,232.0,222.0,33460,7505089.6,188
2024-03-18,228.0,236.0,222.6,14602,3313759.9,183
2024-03-17,227.0,234.0,226.0,24391,5571329.1,192
2024-03-14,234.0,240.0,229.2,66742,1.55913784E7,365
2024-03-13,232.0,236.0,215.8,133348,2.97629697E7,449
2024-03-12,217.6,226.0,211.0,37201,8076343.6,261
2024-03-10,214.0,219.3,211.0,25869,5535101.3,205
2024-03-07,211.0,220.0,211.0,17802,3799773.8,166
2024-03-06,213.0,220.0,210.2,50991,1.09048005E7,208
2024-03-05,213.2,231.8,212.0,50820,1.10009071E7,251
2024-03-04,228.0,228.4,212.9,3840,857697.0,17
2024-03-03,209.8,213.0,203.8,29315,6110438.6,255
2024-02-29,204.1,212.0,204.1,28237,5867663.2,147
2024-02-28,211.8,214.0,208.2,14399,3047336.0,118
2024-02-27,212.0,217.0,207.7,19202,4063779.5,130
2024-02-26,210.0,218.0,202.6,46863,9819652.4,205
2024-02-25,212.0,219.0,208.2,42775,9106534.8,302
2024-02-22,219.8,226.9,218.0,24585,5454259.8,220
2024-02-21,224.0,228.4,202.0,114609,2.5128055E7,495
2024-02-20,218.7,247.8,218.7,190039,4.17118108E7,668
2024-02-18,243.0,251.0,234.0,25626,6231651.9,273
2024-02-15,238.4,248.0,238.0,33523,8117292.4,286
2024-02-14,244.3,250.9,243.0,18836,4640295.4,158
2024-02-13,250.0,254.4,246.7,24264,6049626.0,198
2024-02-12,256.0,256.9,249.1,21508,5436716.8,218
2024-02-11,251.3,265.0,249.7,25803,6643872.9,249
2024-02-08,253.5,258.0,250.0,18348,4637149.9,190
2024-02-07,251.5,254.9,246.0,11972,3012586.8,166
2024-02-06,250.0,251.0,246.9,13109,3271908.0,161
2024-02-05,249.5,251.9,246.0,7712,1919944.8,129
2024-02-04,247.0,252.0,245.1,13115,3247168.0,170
2024-02-01,251.0,262.0,250.0,18467,4651054.9,199
2024-01-31,262.0,278.4,258.1,32831,8725009.9,290
2024-01-30,273.0,275.9,252.9,88776,2.36521125E7,668
2024-01-29,252.8,255.1,248.6,58180,1.4636923E7,425
2024-01-28,245.0,245.0,235.2,16546,3963352.3,183
2024-01-25,243.0,250.0,242.0,11017,2706690.4,172
2024-01-24,246.5,249.0,241.1,18358,4500461.4,204
2024-01-23,243.7,249.0,240.0,22574,5471920.8,218
