BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,873.0,929.0,869.0,104778,9.31170138E7,913
2024-08-22,919.0,980.0,917.0,113658,1.069209486E8,964
2024-08-21,914.0,929.9,876.2,104804,9.60946702E7,753
2024-08-18,894.0,950.0,885.0,170903,1.562016701E8,1379
2024-08-15,942.0,1041.0,940.0,169295,1.668216898E8,1386
2024-08-14,982.0,985.0,915.0,163272,1.5748712E8,1361
2024-08-13,915.0,946.1,855.0,173287,1.586970852E8,1480
2024-08-12,860.1,890.0,850.0,103194,8.95012827E7,800
2024-08-11,840.0,847.0,815.0,97966,8.16621161E7,745
2024-08-08,815.0,863.0,815.0,87322,7.27831176E7,732
2024-08-07,848.0,870.0,745.8,140199,1.160775245E8,1217
2024-08-06,792.3,870.0,792.3,250116,2.054819285E8,2346
2024-08-05,880.3,932.9,880.3,182455,1.64219214E8,1634
2024-08-01,931.0,943.8,875.1,233614,2.190151254E8,2079
2024-07-31,858.0,858.0,781.0,173974,1.478083649E8,1042
2024-07-30,780.0,795.0,756.6,140000,1.087299429E8,958
2024-07-29,762.0,786.0,761.0,92753,7.15308052E7,727
2024-07-28,775.0,799.0,744.0,67123,5.21547215E7,528
2024-07-25,770.0,788.0,760.0,80657,6.26558685E7,598
2024-07-24,769.0,799.0,760.0,109796,8.58505736E7,909
2024-07-23,775.1,779.0,758.0,76787,5.90974328E7,582
2024-07-22,755.0,770.0,743.5,80471,6.11163096E7,605
2024-07-21,755.0,773.9,740.0,131346,9.91207251E7,998
2024-07-18,751.4,775.0,751.2,88983,6.78990932E7,782
2024-07-17,757.3,772.0,726.0,87353,6.5838822E7,727
2024-07-16,742.9,754.0,706.1,69515,5.12861791E7,532
2024-07-15,720.0,750.3,718.0,47245,3.43462192E7,403
2024-07-14,735.6,758.0,721.3,43428,3.19543404E7,384
2024-07-11,729.0,739.0,701.0,96658,6.98730814E7,824
2024-07-10,699.9,710.0,698.0,46320,3.25568012E7,414
2024-07-09,697.2,706.9,694.2,32717,2.28939202E7,331
2024-07-08,697.0,710.1,695.0,58770,4.11835551E7,437
2024-07-07,700.1,714.0,700.1,42944,3.02804647E7,426
2024-07-04,710.5,738.0,710.5,61645,4.44668847E7,527
2024-07-03,727.0,735.0,692.0,84106,6.04478831E7,670
2024-07-02,703.0,740.0,700.1,43786,3.11372629E7,407
2024-07-01,696.9,712.0,692.0,31571,2.20938163E7,311
2024-06-30,700.0,717.9,698.0,43110,3.04561479E7,389
2024-06-27,711.0,744.0,710.0,68000,4.890985E7,549
