BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,1501.1,1576.1,1501.0,68209,1.044779831E8,772
2024-08-22,1547.0,1623.0,1540.1,47548,7.52114676E7,738
2024-08-21,1593.0,1630.0,1521.0,87193,1.390274874E8,1120
2024-08-18,1542.0,1600.0,1533.9,65802,1.02820099E8,972
2024-08-15,1593.2,1683.0,1590.0,94345,1.52594305E8,1061
2024-08-14,1650.0,1790.0,1629.0,121664,2.04864618E8,1383
2024-08-13,1657.0,1719.0,1510.0,128553,2.056830081E8,1616
2024-08-12,1564.0,1610.0,1563.1,75984,1.200470928E8,948
2024-08-11,1578.0,1626.0,1570.0,90835,1.449601622E8,1138
2024-08-08,1570.0,1710.0,1563.1,127178,2.026550483E8,1506
2024-08-07,1645.0,1698.0,1575.0,116558,1.921796496E8,1453
2024-08-06,1602.9,1816.0,1602.9,200293,3.378825522E8,2556
2024-08-05,1781.0,1781.0,1631.0,163637,2.814256109E8,1864
2024-08-01,1620.0,1729.0,1565.0,197986,3.25051566E8,2017
2024-07-31,1640.0,1737.5,1580.0,144625,2.443844707E8,1485
2024-07-30,1579.6,1580.5,1430.0,107565,1.63115374E8,1551
2024-07-29,1436.9,1480.0,1350.0,145616,2.095918496E8,1542
2024-07-28,1354.1,1354.1,1230.5,212001,2.797074513E8,1484
2024-07-25,1231.0,1297.0,1216.1,102097,1.267276994E8,1072
2024-07-24,1260.0,1305.5,1210.0,175829,2.235786274E8,1732
2024-07-23,1186.9,1186.9,1070.0,100641,1.163376453E8,878
2024-07-22,1079.0,1091.0,1058.0,84035,9.00943501E7,677
2024-07-21,1076.0,1100.0,1059.0,79354,8.58431383E7,815
2024-07-18,1080.0,1119.0,1056.0,116913,1.275930094E8,980
2024-07-17,1067.0,1078.0,1004.2,99977,1.046732199E8,762
2024-07-16,1024.6,1045.0,1011.0,57867,5.94582262E7,537
2024-07-15,1013.0,1050.0,1012.0,87437,8.94683962E7,678
2024-07-14,1030.0,1080.0,1023.0,70746,7.36887732E7,619
2024-07-11,1020.0,1045.0,1014.0,76776,7.84561843E7,605
