BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,235.0,253.0,233.4,751220,1.810645909E8,2749
2024-08-22,248.0,252.0,237.0,876328,2.154669462E8,3044
2024-08-21,243.5,260.0,242.0,928790,2.288158745E8,3422
2024-08-18,251.0,267.4,248.0,1505717,3.829267588E8,5421
2024-08-15,265.1,273.0,250.0,1457144,3.811699244E8,5085
2024-08-14,249.9,260.0,227.0,1338673,3.185664617E8,4198
2024-08-13,237.2,241.5,227.9,1428652,3.362431957E8,5252
2024-08-12,223.5,223.5,207.2,1725865,3.803352943E8,5138
2024-08-11,203.2,203.2,184.0,2037542,4.011924011E8,5144
2024-08-08,184.8,194.0,184.0,655414,1.22408364E8,1879
2024-08-07,188.0,189.5,174.0,611083,1.114667855E8,1996
2024-08-06,177.5,194.8,177.3,823872,1.511973528E8,2797
2024-08-05,191.0,196.5,188.0,753037,1.437147933E8,2083
2024-08-01,190.3,197.0,189.0,863508,1.66747849E8,2839
2024-07-31,192.0,197.5,185.0,1123010,2.150562141E8,3266
2024-07-30,185.0,188.1,179.2,699870,1.289432228E8,2141
2024-07-29,184.5,191.0,183.0,653454,1.222620555E8,2081
2024-07-28,186.0,200.9,182.3,687623,1.28651892E8,2250
2024-07-25,184.6,190.0,180.0,615615,1.143912571E8,1990
2024-07-24,185.0,193.0,179.7,1234364,2.313240269E8,4261
2024-07-23,182.0,182.0,167.0,1071826,1.878689285E8,3017
2024-07-22,168.9,171.0,161.7,637091,1.060482994E8,1901
2024-07-21,166.2,172.3,162.0,873502,1.444640252E8,2215
2024-07-18,166.2,171.0,163.6,868353,1.455549833E8,2492
2024-07-17,166.6,167.0,158.0,1229884,2.027564877E8,3636
2024-07-16,159.9,160.0,147.1,810209,1.27006786E8,2226
2024-07-15,149.0,158.0,147.2,747260,1.128978684E8,2261
2024-07-14,146.1,146.1,135.5,523297,7.3783574E7,1626
2024-07-11,132.9,133.7,131.5,156549,2.07871493E7,469
2024-07-10,131.1,131.6,130.1,77845,1.01838229E7,282
2024-07-09,130.0,131.9,128.0,84322,1.10037862E7,250
