BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,252.5,269.2,252.0,94164,2.40700205E7,513
2024-08-22,264.0,272.0,260.8,121366,3.22035499E7,604
2024-08-21,265.0,281.2,262.0,139655,3.7522617E7,686
2024-08-18,275.7,291.7,270.0,182699,5.05826615E7,900
2024-08-15,286.0,290.0,266.0,292042,8.13274938E7,1171
2024-08-14,265.0,265.2,249.8,176289,4.53909047E7,689
2024-08-13,260.0,265.2,251.9,145788,3.77169871E7,802
2024-08-12,260.0,260.0,248.0,243657,6.2388842E7,1133
2024-08-11,243.2,250.0,228.4,218863,5.25598824E7,989
2024-08-08,232.5,240.0,229.0,117955,2.74783462E7,664
2024-08-07,225.0,226.4,217.0,78529,1.74944644E7,415
2024-08-06,219.0,237.0,219.0,73900,1.67701757E7,438
2024-08-05,233.0,238.0,227.0,89993,2.08239596E7,436
2024-08-01,234.0,241.0,234.0,78199,1.85871473E7,380
2024-07-31,236.0,245.0,234.0,155823,3.75013196E7,626
2024-07-30,233.0,235.4,225.1,86120,1.9802261E7,453
2024-07-29,229.0,239.0,228.9,65463,1.52324494E7,414
2024-07-28,235.0,248.8,225.6,88833,2.07192356E7,452
2024-07-25,235.0,244.0,232.0,124584,2.93573516E7,572
2024-07-24,242.0,258.9,240.0,159291,3.99149136E7,822
2024-07-23,248.4,248.4,223.0,156465,3.77666039E7,733
2024-07-22,225.9,229.0,220.0,109356,2.45892415E7,542
2024-07-21,224.9,225.4,214.0,222645,4.90599508E7,968
2024-07-18,213.0,219.8,211.0,95734,2.04844883E7,499
2024-07-17,213.0,221.0,207.8,188204,4.04727575E7,712
2024-07-16,213.0,213.2,196.0,155545,3.22050607E7,620
2024-07-15,195.0,204.0,191.7,62766,1.23665978E7,302
2024-07-14,196.1,203.5,188.2,63369,1.23636775E7,315
2024-07-11,188.2,191.4,188.0,66170,1.25520575E7,268
2024-07-10,190.0,196.5,186.0,41692,7891602.8,227
2024-07-09,185.0,189.0,183.6,45724,8448036.3,213
2024-07-08,187.0,190.8,184.5,44295,8281611.0,200
2024-07-07,188.0,198.9,186.6,119494,2.25131609E7,449
2024-07-04,195.0,201.9,188.1,193657,3.80904758E7,1043
2024-07-03,269.0,284.0,265.0,220771,5.97879905E7,1060
2024-07-02,281.0,303.5,277.0,201706,5.77581433E7,840
2024-07-01,299.6,299.6,267.6,72846,1.98477446E7,345
2024-06-30,273.0,279.0,266.5,76457,2.07762311E7,406
2024-06-27,276.5,284.0,275.0,160802,4.45753111E7,360
