BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,286.3,303.0,285.0,265181,7.66275276E7,1061
2024-08-22,300.0,310.0,294.5,265872,7.97607702E7,1057
2024-08-21,302.0,310.0,288.0,425259,1.257668585E8,1500
2024-08-18,298.8,312.1,289.0,638621,1.938467316E8,2130
2024-08-15,289.0,293.5,266.9,584117,1.665862537E8,2069
2024-08-14,266.9,267.0,258.0,158425,4.15606914E7,705
2024-08-13,266.0,271.0,261.0,186361,4.96384093E7,866
2024-08-12,266.1,272.3,262.0,251891,6.75900263E7,1025
2024-08-11,257.6,260.0,242.0,260303,6.55628275E7,1056
2024-08-08,242.0,251.9,241.0,138115,3.37810094E7,661
2024-08-07,243.0,247.0,233.0,143516,3.44302154E7,773
2024-08-06,236.3,260.0,235.5,275813,6.81354831E7,1338
2024-08-05,260.0,272.0,257.8,299670,7.83922001E7,1147
2024-08-01,266.0,276.0,264.0,169849,4.57457041E7,740
2024-07-31,272.0,276.0,266.0,185777,5.06266475E7,846
2024-07-30,270.0,276.0,260.0,265681,7.14473672E7,1174
2024-07-29,276.0,299.0,273.0,403882,1.145169441E8,1755
2024-07-28,278.8,278.8,258.5,401317,1.112810998E8,1120
2024-07-25,253.5,254.5,241.0,257789,6.47625967E7,735
2024-07-24,249.0,259.0,244.7,177199,4.42208139E7,767
2024-07-23,254.0,255.0,245.1,255069,6.37704946E7,902
2024-07-22,252.0,262.0,244.0,385243,9.67473932E7,1367
2024-07-21,248.9,248.9,225.4,340632,8.05970419E7,1180
2024-07-18,226.3,232.1,212.2,330463,7.3992046E7,1051
2024-07-17,211.0,213.4,207.8,92701,1.95171811E7,411
2024-07-16,209.5,210.1,203.0,63008,1.30183287E7,313
2024-07-15,204.2,215.2,203.9,101206,2.09846819E7,465
2024-07-14,211.0,212.0,203.0,81778,1.70197265E7,477
2024-07-11,201.6,201.7,191.0,95935,1.91146339E7,520
2024-07-10,191.0,191.0,186.4,61431,1.16283179E7,244
2024-07-09,186.1,188.5,185.0,46386,8665535.1,116
2024-07-08,186.0,188.0,184.2,24265,4515518.5,165
2024-07-07,186.4,189.5,184.1,50352,9411033.6,252
2024-07-04,185.0,189.5,184.5,36619,6838375.8,223
2024-07-03,186.0,186.5,179.4,49082,8981384.1,181
2024-07-02,183.0,195.0,180.5,54143,1.00623337E7,228
2024-07-01,180.0,180.5,172.1,40875,7169377.0,149
2024-06-30,174.0,175.0,173.0,13947,2420514.3,105
2024-06-27,174.0,175.5,173.0,22614,3948271.0,89
2024-06-26,174.2,176.4,173.0,31909,5569083.8,136
2024-06-25,174.7,175.4,172.1,23123,4014315.2,151
2024-06-24,173.0,177.0,172.3,62246,1.08526465E7,277
2024-06-23,176.5,179.0,174.1,28415,4993712.9,154
2024-06-20,177.5,184.6,177.0,33240,5922224.8,192
2024-06-19,181.0,185.0,180.0,16006,2896086.7,116
2024-06-18,182.0,183.4,180.5,8236,1501052.4,87
2024-06-16,184.0,186.3,182.0,17657,3240885.1,117
2024-06-13,184.0,184.4,181.3,32660,5979132.8,111
2024-06-12,183.0,192.0,183.0,41677,7744051.6,188
2024-06-11,183.0,187.6,180.1,28684,5242634.5,176
2024-06-10,182.3,185.0,181.3,27776,5063654.6,155
2024-06-09,182.0,191.2,182.0,30635,5638581.8,180
2024-06-06,187.5,190.0,185.0,27461,5133072.2,134
2024-06-05,189.5,190.7,188.6,15703,2978497.7,95
2024-06-04,191.0,193.5,190.0,15110,2886901.3,105
2024-06-03,193.3,197.1,191.0,12229,2359487.3,120
2024-06-02,193.3,195.0,189.0,19445,3742662.2,132
2024-05-30,191.6,195.9,191.6,29396,5686744.6,163
2024-05-29,194.7,211.0,194.7,92492,1.84713341E7,277
2024-05-27,196.0,199.0,192.1,22745,4461248.8,163
2024-05-26,198.0,205.0,195.5,70759,1.40985436E7,360
2024-05-22,201.9,203.9,190.0,96061,1.91646365E7,454
2024-05-21,193.0,196.4,188.2,38869,7442629.0,217
2024-05-20,191.0,195.5,180.0,80489,1.52542957E7,388
2024-05-19,181.0,182.0,175.7,31768,5694123.8,147
2024-05-16,175.6,181.5,175.1,43319,7627854.3,126
2024-05-15,178.0,185.6,178.0,15048,2712518.0,117
2024-05-14,180.0,182.5,176.1,14319,2566368.3,113
2024-05-13,180.8,181.5,172.1,38458,6844423.9,202
2024-05-12,173.0,173.9,169.5,15033,2586477.9,121
2024-05-09,170.5,170.5,168.0,23939,4048662.8,147
2024-05-08,170.0,175.2,168.0,27080,4588606.9,121
2024-05-07,172.0,173.4,167.1,8083,1386507.0,70
2024-05-06,170.0,173.9,168.6,14849,2540108.9,112
2024-05-05,171.2,177.9,168.5,51020,8793106.7,273
2024-05-02,176.0,181.1,174.5,22945,4056077.2,142
2024-04-30,177.6,180.4,177.0,32234,5739622.6,141
2024-04-29,176.9,179.5,175.5,25542,4500556.6,90
2024-04-28,176.0,178.0,176.0,15877,2803526.4,124
2024-04-25,178.0,178.0,175.2,11206,1981606.6,64
2024-04-24,177.0,177.0,174.0,32688,5771640.1,96
2024-04-22,175.0,179.5,174.0,15515,2720192.5,113
2024-04-21,176.0,179.0,174.0,25043,4394938.2,202
2024-04-18,179.6,181.0,178.8,19573,3519682.5,110
2024-04-16,181.0,182.0,179.5,18609,3352693.2,136
2024-04-15,182.0,183.0,180.3,16775,3040586.3,125
2024-04-14,183.0,185.0,181.5,12241,2241442.4,114
2024-04-10,184.0,188.4,182.3,21117,3901496.2,155
2024-04-09,186.9,189.0,185.2,14416,2689260.5,115
2024-04-07,184.0,184.0,179.6,35250,6402179.2,261
2024-04-04,184.0,186.0,183.0,30072,5532241.6,147
2024-04-03,184.6,187.0,184.1,22480,4158047.9,148
2024-04-02,186.9,188.0,185.0,14676,2730267.8,110
2024-04-01,186.0,188.0,185.0,30813,5733128.0,177
2024-03-31,188.0,190.0,187.3,26610,5011466.8,158
2024-03-28,189.5,191.0,188.2,16801,3178126.7,116
2024-03-27,191.0,192.0,189.0,14148,2692892.0,104
2024-03-26,191.8,192.0,190.0,12495,2383845.5,107
2024-03-25,191.0,192.0,190.1,13808,2636230.1,105
2024-03-21,193.0,197.6,191.0,9939,1905844.2,114
2024-03-20,194.0,195.0,192.0,27258,5276452.5,126
2024-03-19,195.9,199.0,192.2,13519,2640017.8,111
2024-03-18,197.8,204.9,184.0,37648,7174042.1,242
2024-03-17,193.0,195.0,192.0,29858,5768760.2,161
2024-03-14,193.7,198.9,193.0,9785,1901357.1,120
2024-03-13,196.3,201.8,196.0,32410,6408922.0,182
2024-03-12,198.3,199.9,194.2,46432,9119314.1,255
2024-03-10,194.2,196.6,190.8,26033,5049314.9,153
2024-03-07,190.0,193.0,189.0,26590,5049803.5,128
2024-03-06,191.0,194.0,189.0,36268,6927097.0,122
2024-03-05,190.9,198.0,189.0,59296,1.13825655E7,263
2024-03-04,190.5,190.5,187.0,1150,218900.0,10
2024-03-03,186.8,187.5,184.0,50166,9336772.5,165
2024-02-29,187.0,188.9,186.1,57479,1.07419961E7,146
2024-02-28,187.5,189.9,187.0,24799,4644908.7,113
2024-02-27,188.5,189.0,186.0,32101,6009550.9,110
2024-02-26,188.0,189.0,186.1,27615,5174078.1,149
2024-02-25,186.2,187.9,185.1,31773,5935664.4,137
2024-02-22,188.0,191.8,186.8,39980,7570960.4,223
2024-02-21,190.5,194.0,190.3,18311,3499885.6,124
2024-02-20,191.1,198.0,190.0,23755,4537972.4,204
2024-02-18,192.0,195.0,189.0,54867,1.04631182E7,239
2024-02-15,192.5,195.0,192.5,23587,4560121.4,157
2024-02-14,193.0,196.9,193.0,64524,1.25753543E7,218
2024-02-13,195.0,199.0,194.1,69621,1.3643216E7,325
2024-02-12,199.9,201.0,197.5,26851,5341004.2,170
2024-02-11,199.0,203.0,198.3,32974,6593117.3,223
2024-02-08,200.9,201.0,198.7,20407,4083122.6,136
2024-02-07,200.0,205.0,199.4,41884,8388715.8,173
2024-02-06,201.0,202.0,199.0,24371,4882725.4,161
2024-02-05,200.9,203.3,198.7,22357,4466578.1,202
2024-02-04,199.4,201.9,199.1,33360,6675169.4,196
2024-02-01,200.0,202.4,199.2,32715,6552087.0,214
2024-01-31,202.5,205.8,201.8,20790,4215610.1,161
2024-01-30,203.0,206.0,202.2,31810,6466301.9,187
2024-01-29,203.0,222.6,202.4,45091,9233834.7,205
2024-01-28,202.4,207.0,201.0,51185,1.03540006E7,273
2024-01-25,205.0,209.0,203.1,18818,3855823.0,155
2024-01-24,205.0,209.0,204.0,23644,4839515.8,172
2024-01-23,205.5,209.1,203.1,30645,6287022.3,199
2024-01-22,205.0,209.0,204.4,63822,1.31773745E7,251
2024-01-21,208.5,219.0,206.8,146622,3.08958805E7,481
2024-01-18,215.0,218.0,212.0,50335,1.08133073E7,346
2024-01-17,219.0,220.0,214.5,102684,2.2275917E7,419
2024-01-16,214.5,215.1,208.7,75822,1.61024127E7,329
2024-01-14,209.0,209.4,202.5,30095,6236761.3,163
2024-01-11,205.0,207.9,204.0,22127,4552792.7,152
2024-01-10,205.0,210.1,204.5,39360,8184141.1,214
2024-01-09,204.0,206.0,202.0,47559,9731643.3,184
2024-01-08,201.4,205.0,200.0,38483,7769498.2,186
2024-01-07,201.0,209.0,201.0,46539,9447613.2,219
2024-01-04,209.0,210.9,203.2,63260,1.32187555E7,244
2024-01-03,206.0,206.9,203.1,25666,5248464.0,147
2024-01-02,206.0,210.0,201.4,46926,9615964.2,176
2024-01-01,210.0,212.0,209.0,65494,1.37661448E7,213
2023-12-28,209.6,211.0,208.2,68124,1.43013579E7,181
2023-12-27,210.1,214.0,210.0,79857,1.68276924E7,276
2023-12-24,210.8,220.0,209.5,61806,1.3199724E7,305
2023-12-21,212.0,217.0,210.8,83847,1.78347931E7,342
2023-12-20,216.4,223.0,210.2,91596,1.99166525E7,441
2023-12-19,218.9,219.8,210.0,99719,2.16699637E7,409
2023-12-18,209.0,211.0,202.0,88797,1.83385087E7,338
2023-12-17,206.0,208.0,199.6,23306,4754407.5,171
2023-12-14,207.7,209.9,207.0,15409,3205279.0,128
2023-12-13,209.8,210.0,206.0,32115,6668353.7,192
2023-12-12,206.5,208.0,204.0,36739,7572076.3,200
2023-12-11,207.2,215.0,205.0,53328,1.10481248E7,315
2023-12-10,207.1,207.1,198.0,1740,354141.0,9
2023-12-07,198.9,200.9,196.3,15581,3090267.6,114
2023-12-06,198.5,199.9,196.1,11914,2356132.6,87
2023-12-05,199.8,201.0,196.1,11461,2284005.0,86
2023-12-04,199.5,200.0,196.0,27732,5470006.7,117
2023-12-03,197.0,198.1,195.9,20400,4019030.7,136
2023-11-30,198.4,199.6,196.0,20933,4123733.6,112
2023-11-29,199.6,202.0,198.1,9913,1976018.5,90
2023-11-28,199.6,204.0,199.0,17432,3488523.3,108
2023-11-27,204.0,208.0,201.1,26379,5365583.5,141
2023-11-26,205.5,205.5,197.5,30912,6244045.8,159
2023-11-23,198.0,199.0,196.0,17391,3436675.5,107
2023-11-22,198.0,199.9,197.0,17526,3472267.6,126
2023-11-21,199.0,200.0,196.0,13041,2580445.1,119
2023-11-20,199.6,202.0,199.0,11853,2365260.5,112
2023-11-09,198.2,201.3,196.0,25161,4980098.0,147
2023-11-08,198.1,215.2,195.2,18278,3635409.1,118
2023-11-07,197.9,201.0,195.1,19292,3799546.5,149
2023-11-06,198.0,214.0,194.1,22725,4484427.6,137
2023-11-05,195.0,200.0,193.6,42761,8343590.8,170
2023-11-02,197.4,199.0,196.0,16464,3248139.1,110
2023-11-01,198.8,200.0,197.0,14778,2929019.4,112
2023-10-31,199.0,200.0,198.0,12374,2461396.2,89
2023-10-30,200.0,201.0,198.5,27696,5525650.9,150
2023-10-29,200.2,203.8,200.2,12410,2506860.5,95
2023-10-19,204.6,205.9,200.0,31250,6295419.8,118
2023-10-18,203.3,204.9,199.0,21236,4298689.6,102
2023-10-17,200.9,200.9,193.0,70472,1.38873658E7,259
2023-10-16,199.0,200.0,198.5,16355,3258325.0,138
