BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,1468.0,1525.0,1465.0,86997,1.287940435E8,1801
2024-08-22,1499.5,1529.0,1499.0,108550,1.635750305E8,1860
2024-08-21,1512.0,1550.0,1509.0,84163,1.279791205E8,1565
2024-08-18,1529.4,1618.0,1525.0,149050,2.312041211E8,2263
2024-08-15,1562.0,1600.0,1535.0,207900,3.239008223E8,3059
2024-08-14,1549.0,1568.0,1509.2,251438,3.884908572E8,4013
2024-08-13,1600.0,1640.0,1582.0,114218,1.830890845E8,2034
2024-08-12,1618.5,1665.0,1605.0,165922,2.701781476E8,2582
2024-08-11,1635.6,1696.0,1605.1,131641,2.162411514E8,2191
2024-08-08,1605.1,1632.0,1505.0,168957,2.653930303E8,2388
2024-08-07,1504.0,1505.0,1442.0,99361,1.474052905E8,1979
2024-08-06,1484.0,1561.0,1480.0,127159,1.925017177E8,2629
2024-08-05,1559.0,1610.0,1548.0,101053,1.582550987E8,1821
2024-08-01,1582.0,1623.6,1578.0,79598,1.270146301E8,1398
2024-07-31,1592.0,1617.0,1575.0,109268,1.744167403E8,1817
2024-07-30,1588.0,1610.0,1528.0,124363,1.946812668E8,2464
2024-07-29,1603.0,1690.0,1600.0,82384,1.34648527E8,1718
2024-07-28,1660.0,1749.0,1621.0,91784,1.51958415E8,1814
2024-07-25,1590.0,1611.6,1575.0,89934,1.433569506E8,1594
2024-07-24,1605.0,1671.0,1577.0,131162,2.141366434E8,2641
2024-07-23,1619.9,1620.0,1575.0,88588,1.421888449E8,1714
2024-07-22,1584.0,1601.0,1520.0,159444,2.499416443E8,3119
2024-07-21,1519.0,1520.0,1410.0,100783,1.484083435E8,2173
2024-07-18,1419.0,1422.0,1390.0,90662,1.276000597E8,1728
2024-07-17,1397.0,1420.0,1377.0,68295,9.54405223E7,1245
2024-07-16,1393.0,1400.0,1338.0,56659,7.80222662E7,1117
2024-07-15,1384.0,1430.0,1365.0,95921,1.341803495E8,1897
2024-07-14,1370.0,1379.0,1304.0,90612,1.220839549E8,1803
2024-07-11,1279.9,1279.9,1226.0,42489,5.39345263E7,814
2024-07-10,1251.0,1260.0,1246.0,30810,3.85794859E7,559
2024-07-09,1243.0,1269.9,1236.0,20006,2.4861322E7,420
2024-07-08,1245.0,1280.0,1244.0,22596,2.82906305E7,533
2024-07-07,1263.0,1272.0,1258.0,37315,4.71708636E7,763
2024-07-04,1252.0,1260.0,1226.0,35086,4.37958356E7,668
2024-07-03,1240.0,1260.0,1195.0,38659,4.73400036E7,698
2024-07-02,1246.0,1262.8,1170.9,82904,1.009221494E8,1577
2024-07-01,1148.0,1160.9,1140.0,38149,4.37588432E7,816
2024-06-30,1160.9,1194.8,1159.0,36416,4.24908343E7,879
2024-06-27,1187.4,1203.4,1171.0,51764,6.12114725E7,1186
2024-06-26,1203.0,1230.0,1200.1,35071,4.23947299E7,765
2024-06-25,1218.2,1249.5,1218.0,31824,3.90798053E7,751
2024-06-24,1236.0,1261.0,1230.0,43193,5.36205736E7,959
2024-06-23,1256.0,1284.0,1255.0,35150,4.434492E7,659
2024-06-20,1269.0,1297.4,1268.0,18016,2.28933039E7,437
2024-06-19,1272.0,1293.3,1269.0,18336,2.335377834E7,463
2024-06-18,1276.5,1290.0,1274.3,26612,3.40567735E7,596
2024-06-16,1287.9,1309.0,1285.0,19835,2.56463008E7,443
2024-06-13,1293.8,1318.0,1290.0,28966,3.75529646E7,578
2024-06-12,1309.0,1320.0,1303.0,17522,2.29158122E7,342
2024-06-11,1305.0,1321.9,1297.0,16246,2.11534961E7,383
2024-06-10,1296.0,1310.0,1290.0,23737,3.08188627E7,467
2024-06-09,1293.0,1310.0,1282.0,24997,3.24579154E7,571
2024-06-06,1282.0,1295.0,1280.0,27066,3.47157813E7,530
2024-06-05,1286.0,1297.9,1285.0,25174,3.244694799E7,472
2024-06-04,1294.0,1317.0,1293.1,22650,2.93409082E7,441
2024-06-03,1295.0,1322.0,1290.0,20544,2.66673587E7,483
2024-06-02,1303.0,1315.0,1299.0,19608,2.5511408E7,469
2024-05-30,1304.0,1338.0,1290.0,23240,3.05038468E7,516
2024-05-29,1330.0,1355.0,1325.0,34093,4.55141558E7,689
2024-05-27,1328.5,1330.0,1318.0,22264,2.95097066E7,470
2024-05-26,1322.0,1340.0,1320.0,25130,3.32400868E7,574
2024-05-22,1317.0,1341.3,1314.0,29696,3.91215183E7,573
2024-05-21,1315.0,1320.0,1304.0,21616,2.84066392E7,496
2024-05-20,1313.0,1320.0,1310.0,26496,3.47883718E7,571
2024-05-19,1304.0,1328.0,1299.0,30710,4.01323832E7,663
2024-05-16,1302.0,1329.0,1300.0,16902,2.20932187E7,389
2024-05-15,1311.0,1326.0,1301.0,21639,2.84871752E7,555
