BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,732.0,765.0,731.0,66969,4.98895015E7,407
2024-08-22,763.9,768.0,755.0,51496,3.92734502E7,344
2024-08-21,756.0,788.0,755.0,70371,5.34996623E7,382
2024-08-18,759.0,789.0,755.1,95280,7.39834129E7,514
2024-08-15,780.0,797.8,777.0,93541,7.34757161E7,511
2024-08-14,784.0,806.0,775.0,162351,1.283416988E8,686
2024-08-13,770.2,810.0,766.9,122006,9.60865534E7,530
2024-08-12,787.5,807.3,779.0,87464,6.89766239E7,507
2024-08-11,776.0,779.0,743.0,181148,1.377782962E8,629
2024-08-08,735.0,765.0,727.5,116332,8.62677729E7,442
2024-08-07,742.0,742.0,707.0,71146,5.19739505E7,433
2024-08-06,714.0,764.0,711.0,142545,1.049436755E8,780
2024-08-05,758.9,780.0,742.1,264074,2.013224878E8,730
2024-08-01,745.0,765.0,716.0,197827,1.482484263E8,828
2024-07-31,716.0,733.0,704.1,92594,6.64828253E7,468
2024-07-30,703.0,710.0,688.5,67486,4.71663869E7,341
2024-07-29,700.0,730.0,699.0,91143,6.48401019E7,406
2024-07-28,725.0,734.0,690.0,81818,5.82247459E7,410
2024-07-25,706.0,722.0,685.0,133621,9.44310146E7,620
2024-07-24,693.9,709.0,675.0,58605,4.06072664E7,375
2024-07-23,698.0,707.0,668.0,98126,6.76995018E7,432
2024-07-22,668.8,680.0,665.0,68854,4.62371526E7,320
2024-07-21,676.0,685.3,665.0,60668,4.09134581E7,302
2024-07-18,671.0,685.9,665.2,95683,6.46282905E7,475
2024-07-17,670.0,673.0,648.0,120345,7.96508504E7,436
2024-07-16,648.0,648.0,639.1,31757,2.04189138E7,186
2024-07-15,632.0,650.0,632.0,66837,4.28666256E7,253
2024-07-14,646.0,667.9,640.0,83665,5.39145373E7,279
2024-07-11,643.0,645.0,630.0,77586,4.93936194E7,248
2024-07-10,633.0,646.0,628.0,62515,3.98598692E7,254
2024-07-09,624.0,627.8,618.0,25777,1.6081762E7,130
2024-07-08,621.0,628.0,618.0,47251,2.94189476E7,165
2024-07-07,627.0,630.0,613.0,61926,3.86864751E7,242
2024-07-04,619.0,622.0,602.0,62393,3.84642364E7,223
2024-07-03,616.0,616.0,598.0,32171,1.95603611E7,166
2024-07-02,609.8,614.0,590.0,74798,4.49183955E7,265
2024-07-01,580.0,586.0,575.0,15997,9288485.6,73
2024-06-30,578.9,580.0,567.5,9043,5180169.7,94
2024-06-27,573.2,590.0,573.0,23806,1.38313538E7,118
2024-06-26,580.1,594.9,576.0,21533,1.25404114E7,104
2024-06-25,587.2,598.0,587.0,10516,6205374.9,93
2024-06-24,594.0,600.5,587.0,13191,7800269.1,109
2024-06-23,587.0,597.0,578.0,17335,1.01617574E7,123
2024-06-20,586.0,595.0,582.9,24986,1.4651057E7,158
2024-06-19,591.0,595.0,585.0,9467,5592427.2,93
2024-06-18,590.0,598.0,589.1,21498,1.2730007E7,163
2024-06-16,596.2,617.0,596.0,12265,7399999.9,98
2024-06-13,605.0,615.0,605.0,19094,1.16578353E7,132
2024-06-12,614.0,620.0,603.0,14109,8635497.5,141
2024-06-11,619.0,620.0,592.0,54455,3.32749978E7,309
2024-06-10,593.2,599.0,593.0,21107,1.25614688E7,117
2024-06-09,593.0,598.0,590.0,12675,7506449.2,126
2024-06-06,594.0,598.0,593.1,19299,1.14963025E7,110
2024-06-05,596.1,608.0,596.0,22797,1.36666876E7,106
2024-06-04,601.0,612.0,590.0,43705,2.63476404E7,244
2024-06-03,594.1,604.0,592.1,19377,1.15335947E7,114
2024-06-02,601.0,612.0,590.0,17299,1.0362978E7,132
2024-05-30,592.2,614.0,589.0,56733,3.38266433E7,210
2024-05-29,605.0,638.0,599.0,29154,1.77575177E7,175
2024-05-27,616.0,624.0,611.0,22830,1.41279444E7,134
2024-05-26,613.1,628.0,613.1,32623,2.01417065E7,244
2024-05-22,628.0,635.0,622.3,26126,1.63969682E7,153
2024-05-21,632.0,634.9,622.1,24905,1.56945464E7,165
2024-05-20,625.0,652.0,625.0,58568,3.73903331E7,432
2024-05-19,639.9,647.0,614.0,115154,7.35304656E7,719
2024-05-16,606.8,616.0,605.3,28048,1.70876387E7,173
2024-05-15,613.0,630.0,613.0,72300,4.50260561E7,527
2024-05-14,613.0,616.1,598.0,40264,2.44990569E7,231
2024-05-13,595.9,613.0,588.2,30150,1.80856364E7,205
2024-05-12,606.9,607.0,583.0,90422,5.37458422E7,450
2024-05-09,575.0,575.3,568.5,11110,6347299.0,78
2024-05-08,580.0,580.0,570.0,27044,1.55889274E7,58
2024-05-07,580.0,585.0,575.2,12699,7350720.1,71
2024-05-06,574.0,585.0,574.0,14466,8361279.4,77
2024-05-05,584.0,594.0,583.2,12506,7329964.5,114
2024-05-02,583.1,599.9,583.1,22938,1.35826731E7,137
2024-04-30,595.0,595.0,575.0,33791,1.98486216E7,194
2024-04-29,577.0,580.3,570.4,9318,5369290.2,61
2024-04-28,577.0,584.6,572.0,8438,4885177.7,86
2024-04-25,571.5,591.0,568.2,15617,8937574.0,92
2024-04-24,570.0,585.0,570.0,11892,6817197.1,73
2024-04-22,581.8,583.7,570.0,5141,2948925.2,53
2024-04-21,579.3,579.3,558.0,4167,2381306.0,50
2024-04-18,568.0,579.9,567.0,10143,5807035.9,76
2024-04-16,582.0,584.1,567.0,10942,6285583.0,68
2024-04-15,578.5,582.0,573.0,10945,6303988.5,78
2024-04-14,576.1,595.0,575.0,14523,8464545.7,115
2024-04-10,591.0,608.0,590.0,26400,1.57791078E7,243
2024-04-09,600.0,601.8,580.4,30892,1.82551918E7,253
2024-04-07,580.0,580.0,563.5,10620,6126044.2,98
2024-04-04,567.1,571.2,553.3,9730,5503298.8,93
2024-04-03,563.0,569.0,560.0,11261,6351866.5,72
2024-04-02,569.1,587.0,569.1,17742,1.0147069E7,88
2024-04-01,577.0,585.4,568.0,33302,1.92092867E7,103
2024-03-31,584.0,588.0,576.0,14162,8228383.1,62
2024-03-28,579.3,580.0,575.0,11282,6514887.3,93
2024-03-27,582.0,594.0,582.0,8397,4913611.4,69
2024-03-26,587.0,590.0,583.1,7715,4512834.9,73
2024-03-25,588.8,603.0,582.1,15049,8830637.8,103
2024-03-21,592.0,605.0,590.3,13534,8021649.1,102
2024-03-20,595.0,606.5,590.2,13652,8124973.9,87
2024-03-19,598.0,605.0,596.3,16469,9888205.5,126
2024-03-18,601.0,605.0,595.0,40070,2.40831571E7,140
2024-03-17,598.0,609.7,587.1,22770,1.36383837E7,152
2024-03-14,595.0,610.1,590.0,27261,1.63271024E7,165
2024-03-13,609.0,617.0,603.0,29379,1.79378748E7,257
